Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,11.05,11.27,11.05,11.27,1000,11.27
2012-05-14,10.84,10.95,10.84,10.95,500,10.95
2012-05-07,10.81,10.84,10.81,10.84,000,10.84
2012-04-30,10.93,10.95,10.93,10.94,200,10.94
2012-04-23,10.84,10.94,10.75,10.93,200,10.93
2012-04-16,11.15,11.15,10.80,10.80,300,10.80
2012-04-09,10.83,11.01,10.75,10.92,600,10.92
2012-04-02,10.79,10.89,10.79,10.80,1500,10.80
2012-03-26,10.60,10.79,10.50,10.78,1300,10.78
2012-03-19,10.66,10.80,10.60,10.60,1100,10.60
2012-03-12,11.17,11.17,10.67,10.67,1800,10.67
2012-03-05,10.83,11.07,10.70,10.90,400,10.90
2012-02-27,10.80,11.52,10.69,10.83,2000,10.83
2012-02-21,10.84,11.15,10.84,11.15,2200,10.76
2012-02-13,11.06,11.06,10.80,10.83,500,10.45
2012-02-06,11.05,11.20,10.75,11.01,1900,10.63
2012-01-30,11.05,11.07,11.00,11.03,300,10.65
2012-01-23,11.40,11.57,10.85,11.05,2300,10.67
2012-01-17,10.90,11.29,10.90,11.25,1100,10.86
2012-01-09,10.88,10.95,10.82,10.95,300,10.57
2012-01-03,10.74,10.92,10.72,10.88,600,10.50
2011-12-27,10.65,10.94,10.62,10.90,1500,10.52
2011-12-19,10.70,10.95,10.62,10.95,900,10.57
2011-12-12,10.71,10.74,10.60,10.60,700,10.23
2011-12-05,10.70,10.75,10.60,10.65,1000,10.28
2011-11-28,10.66,10.75,10.63,10.65,600,10.28
2011-11-21,10.69,10.75,10.60,10.66,500,10.29
2011-11-14,10.50,10.69,10.50,10.60,1600,10.23
2011-11-07,10.72,10.78,10.50,10.50,200,10.13
2011-10-31,10.72,10.72,10.72,10.72,000,10.35
2011-10-24,10.71,10.86,10.55,10.72,2100,10.35
2011-10-17,10.91,10.91,10.60,10.60,500,10.23
2011-10-10,10.53,10.72,10.50,10.56,500,10.19
2011-10-03,10.50,10.56,10.50,10.50,200,10.13
2011-09-26,10.59,10.59,10.46,10.50,1200,10.13
2011-09-19,10.65,10.70,10.50,10.59,400,10.22
2011-09-12,10.93,10.93,10.59,10.85,600,10.47
2011-09-06,10.86,10.98,10.59,10.93,300,10.55
2011-08-29,10.86,10.97,10.80,10.86,300,10.48
2011-08-22,11.25,11.38,10.70,11.09,600,10.33
2011-08-15,10.51,11.00,10.51,11.00,700,10.25
2011-08-08,10.72,11.19,10.50,10.51,1600,9.79
2011-08-01,10.64,11.35,10.51,10.65,6300,9.92
2011-07-25,10.61,10.80,10.56,10.64,1400,9.91
2011-07-18,10.77,10.85,10.70,10.75,1400,10.01
2011-07-11,10.82,10.87,10.80,10.85,300,10.11
2011-07-05,10.66,10.82,10.65,10.82,800,10.08
2011-06-27,10.70,10.92,10.65,10.70,500,9.97
2011-06-20,10.79,10.98,10.60,10.65,900,9.92
2011-06-13,10.80,10.80,10.70,10.70,500,9.97
2011-06-06,10.85,10.86,10.85,10.86,200,10.12
2011-05-31,11.19,11.19,10.72,10.85,400,10.11
2011-05-23,11.11,11.27,11.03,11.03,200,10.27
2011-05-16,11.40,11.40,11.11,11.11,500,10.35
2011-05-09,10.96,11.65,10.75,11.40,3300,10.62
2011-05-02,11.00,11.00,10.72,10.83,800,10.09
2011-04-25,11.10,11.25,10.63,11.00,2200,10.25
2011-04-18,10.83,11.24,10.83,11.24,100,10.47
2011-04-11,10.53,11.14,10.50,11.00,1200,10.25
2011-04-04,10.70,11.00,10.53,10.53,2400,9.81
2011-03-28,10.68,10.70,10.60,10.70,1100,9.97
2011-03-21,10.69,10.70,10.40,10.60,2200,9.87
2011-03-14,10.54,10.62,10.41,10.60,700,9.87
2011-03-07,10.71,10.75,10.35,10.70,1900,9.97
2011-02-28,10.52,11.40,10.40,10.67,4800,9.94
2011-02-22,10.70,10.90,10.40,10.50,6200,9.78
2011-02-14,10.99,10.99,10.52,10.65,5200,9.56
2011-02-07,11.30,11.30,10.70,10.72,9600,9.62
2011-01-31,11.12,11.48,11.03,11.03,700,9.90
2011-01-24,11.00,11.48,11.00,11.29,5100,10.14
2011-01-18,11.06,11.17,11.00,11.00,2800,9.88
2011-01-10,11.37,11.73,11.06,11.06,1400,9.93
2011-01-03,11.10,11.55,11.00,11.45,1800,10.28
2010-12-27,11.01,11.20,11.00,11.05,1600,9.92
2010-12-20,11.05,11.24,11.00,11.05,1500,9.92
2010-12-13,11.00,11.79,10.84,11.03,4500,9.90
2010-12-06,10.50,11.10,10.40,10.88,7900,9.77
2010-11-29,10.37,10.37,10.25,10.25,1600,9.20
2010-11-22,10.60,10.60,10.36,10.45,800,9.38
2010-11-15,10.42,10.60,10.36,10.60,300,9.52
2010-11-08,10.36,10.51,10.34,10.42,900,9.35
2010-11-01,10.32,10.32,10.27,10.28,200,9.23
2010-10-25,10.58,10.58,10.32,10.32,200,9.27
2010-10-18,10.35,10.58,10.30,10.58,2600,9.50
2010-10-11,10.26,10.43,10.26,10.27,1600,9.22
2010-10-04,10.34,10.49,10.28,10.30,2300,9.25
