Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,5.62,5.63,5.54,5.63,81800,5.63
2012-05-14,5.67,5.67,5.55,5.61,92200,5.61
2012-05-07,5.58,5.70,5.55,5.67,121300,5.64
2012-04-30,5.53,5.59,5.49,5.59,98700,5.56
2012-04-23,5.45,5.53,5.42,5.50,119400,5.47
2012-04-16,5.44,5.47,5.38,5.41,53200,5.38
2012-04-09,5.32,5.45,5.32,5.45,50000,5.39
2012-04-02,5.36,5.43,5.29,5.33,65500,5.27
2012-03-26,5.35,5.38,5.24,5.35,84300,5.29
2012-03-19,5.19,5.34,5.18,5.28,62200,5.22
2012-03-12,5.46,5.51,5.16,5.23,95900,5.17
2012-03-05,5.49,5.49,5.21,5.45,136700,5.36
2012-02-27,5.30,5.50,5.29,5.47,66100,5.38
2012-02-21,5.17,5.33,5.17,5.31,68500,5.22
2012-02-13,5.54,5.57,5.14,5.19,124200,5.10
2012-02-06,5.55,5.64,5.49,5.49,62000,5.36
2012-01-30,5.52,5.59,5.48,5.53,79900,5.40
2012-01-23,5.31,5.52,5.29,5.52,96100,5.39
2012-01-17,5.32,5.35,5.25,5.29,77200,5.17
2012-01-09,5.28,5.38,5.26,5.36,72600,5.21
2012-01-03,5.28,5.32,5.20,5.29,80100,5.14
2011-12-27,5.30,5.35,5.25,5.35,73700,5.20
2011-12-19,5.23,5.33,5.17,5.27,67400,5.12
2011-12-12,5.13,5.30,5.01,5.20,162600,5.05
2011-12-05,5.03,5.15,5.00,5.15,52900,4.97
2011-11-28,5.05,5.09,4.98,5.01,65200,4.84
2011-11-21,5.04,5.06,5.00,5.03,91800,4.86
2011-11-14,5.01,5.06,4.98,5.05,43600,4.87
2011-11-07,4.99,5.04,4.94,4.97,51100,4.77
2011-10-31,4.95,4.99,4.90,4.92,34600,4.72
2011-10-24,4.97,4.98,4.84,4.90,60800,4.70
2011-10-17,4.90,4.99,4.87,4.98,58400,4.78
2011-10-10,4.92,4.96,4.77,4.90,46700,4.70
2011-10-03,4.91,4.95,4.78,4.86,43600,4.63
2011-09-26,4.82,4.94,4.82,4.91,45100,4.68
2011-09-19,4.75,4.90,4.75,4.80,51900,4.57
2011-09-12,4.87,4.91,4.83,4.88,44900,4.65
2011-09-06,4.86,4.91,4.85,4.90,73600,4.64
2011-08-29,4.82,4.91,4.78,4.90,57300,4.64
2011-08-22,4.76,4.84,4.68,4.81,36400,4.55
2011-08-15,4.76,4.80,4.65,4.71,37300,4.46
2011-08-08,4.69,4.75,4.54,4.73,103100,4.48
2011-08-01,4.69,4.83,4.67,4.75,68800,4.46
2011-07-25,4.82,4.84,4.62,4.64,60400,4.36
2011-07-18,4.80,4.83,4.72,4.83,43800,4.54
2011-07-11,4.92,4.92,4.76,4.78,44800,4.49
2011-07-05,4.79,4.94,4.78,4.91,50500,4.58
2011-06-27,4.76,4.84,4.72,4.81,47700,4.49
2011-06-20,4.67,4.76,4.63,4.74,44000,4.43
2011-06-13,4.70,4.72,4.64,4.67,66000,4.36
2011-06-06,4.76,4.83,4.68,4.70,51900,4.39
2011-05-31,4.79,4.79,4.73,4.79,45300,4.44
2011-05-23,4.76,4.80,4.71,4.74,35900,4.40
2011-05-16,4.77,4.80,4.70,4.75,52500,4.41
2011-05-09,4.75,4.77,4.70,4.76,39700,4.42
2011-05-02,4.68,4.75,4.64,4.72,54200,4.35
2011-04-25,4.63,4.68,4.61,4.65,56200,4.28
