Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.16,25.55,25.07,25.40,74900,25.40
2012-05-14,25.87,26.00,25.08,25.12,94400,25.12
2012-05-07,26.20,26.23,25.34,25.86,71800,25.69
2012-04-30,26.25,26.35,25.78,26.25,62200,26.08
2012-04-23,26.09,26.40,25.76,26.04,114100,25.87
2012-04-16,26.00,26.42,25.68,26.15,46100,25.98
2012-04-09,25.80,26.04,25.76,26.00,51600,25.67
2012-04-02,25.55,25.93,25.55,25.80,69900,25.47
2012-03-26,25.41,25.90,25.24,25.61,79100,25.28
2012-03-19,25.25,25.50,25.13,25.46,73900,25.13
2012-03-12,25.76,25.90,24.98,25.23,66800,24.91
2012-03-05,25.64,25.99,25.40,25.74,97100,25.24
2012-02-27,26.51,26.51,25.30,25.67,179500,25.18
2012-02-21,26.59,26.87,26.17,26.55,55000,26.04
2012-02-13,26.05,26.59,26.00,26.59,45300,26.08
2012-02-06,26.23,26.32,26.00,26.04,23800,25.54
2012-01-30,25.84,26.60,25.44,26.48,136200,25.97
