Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,0.72,0.78,0.66,0.78,219200,0.78
2012-05-14,0.87,0.99,0.73,0.75,308100,0.75
2012-05-07,0.91,0.94,0.83,0.86,177500,0.86
2012-04-30,1.06,1.06,0.86,0.91,385200,0.91
2012-04-23,1.14,1.33,1.00,1.02,604700,1.02
2012-04-16,1.26,1.29,1.16,1.16,142300,1.16
2012-04-09,1.28,1.31,1.16,1.25,227100,1.25
2012-04-02,1.41,1.42,1.27,1.34,399100,1.34
2012-03-26,1.33,1.44,1.22,1.42,645400,1.42
2012-03-19,1.53,1.53,1.13,1.33,769900,1.33
2012-03-12,1.60,1.64,1.32,1.49,1182900,1.49
2012-03-05,1.69,1.99,1.53,1.62,1257300,1.62
2012-02-27,1.53,2.17,1.52,1.68,1916700,1.68
2012-02-21,1.75,1.76,1.47,1.53,840800,1.53
2012-02-13,2.00,2.01,1.56,1.70,909300,1.70
2012-02-06,1.76,2.23,1.70,1.97,1540900,1.97
2012-01-30,1.87,1.89,1.65,1.73,759500,1.73
2012-01-23,2.14,2.18,1.67,1.89,1037700,1.89
2012-01-17,2.24,2.28,1.84,2.14,1269000,2.14
2012-01-09,2.22,2.38,2.16,2.25,1096000,2.25
2012-01-03,1.66,2.48,1.66,2.26,3097200,2.26
2011-12-27,1.44,1.85,1.43,1.66,1864800,1.66
2011-12-19,1.51,1.60,1.34,1.44,1073600,1.44
2011-12-12,1.37,1.66,1.30,1.53,1504300,1.53
2011-12-05,1.70,1.86,1.30,1.40,2151500,1.40
2011-11-28,0.88,1.92,0.83,1.63,5957100,1.63
2011-11-21,0.95,0.95,0.71,0.78,452700,0.78
2011-11-14,0.94,1.12,0.73,0.99,821400,0.99
2011-11-07,1.20,1.24,0.73,0.88,959100,0.88
2011-10-31,0.66,1.44,0.59,1.17,1760000,1.17
2011-10-24,0.69,0.75,0.62,0.69,299600,0.69
2011-10-17,0.59,0.86,0.59,0.71,449400,0.71
2011-10-10,0.60,0.68,0.58,0.58,232100,0.58
2011-10-03,0.55,0.66,0.36,0.60,799900,0.60
2011-09-26,0.95,1.01,0.54,0.56,525300,0.56
2011-09-19,1.00,1.01,0.75,0.91,442600,0.91
2011-09-12,1.21,1.27,1.00,1.04,435900,1.04
2011-09-06,1.46,1.52,1.20,1.21,299100,1.21
2011-08-29,1.60,1.62,1.25,1.46,179000,1.46
2011-08-22,1.38,1.75,1.25,1.55,658000,1.55
2011-08-15,1.25,1.48,1.21,1.26,381600,1.26
2011-08-08,1.60,1.61,1.23,1.23,504700,1.23
2011-08-01,2.02,2.10,1.56,1.66,547600,1.66
2011-07-25,2.40,2.63,1.95,2.02,695200,2.02
2011-07-18,2.49,2.54,2.17,2.44,254600,2.44
2011-07-11,2.79,2.83,2.47,2.48,297700,2.48
2011-07-05,2.55,2.96,2.55,2.84,392600,2.84
2011-06-27,2.32,2.72,2.32,2.53,680300,2.53
2011-06-20,2.74,3.46,2.26,2.30,3695700,2.30
2011-06-13,2.08,2.48,2.01,2.10,724500,2.10
2011-06-06,2.15,2.20,1.91,2.06,581700,2.06
2011-05-31,2.47,2.59,2.02,2.15,993400,2.15
2011-05-23,2.16,2.65,1.61,2.47,1638000,2.47
2011-05-16,2.86,2.96,2.10,2.20,858800,2.20
2011-05-09,3.51,3.54,2.84,2.87,426700,2.87
2011-05-02,4.50,4.53,3.29,3.52,568700,3.52
2011-04-25,3.99,4.39,3.84,4.20,306900,4.20
2011-04-18,4.16,4.44,3.88,3.94,399200,3.94
