Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,15.31,15.62,15.29,15.56,48800,15.56
2012-05-14,16.08,16.13,15.06,15.26,61900,15.26
2012-05-07,16.09,16.20,15.89,16.14,48600,16.03
2012-04-30,15.81,16.08,15.79,16.04,44400,15.93
2012-04-23,15.65,15.91,15.60,15.82,42400,15.71
2012-04-16,15.94,16.05,15.60,15.65,34300,15.54
2012-04-09,16.01,16.02,15.31,15.85,55700,15.63
2012-04-02,16.12,16.25,15.99,16.02,44000,15.80
2012-03-26,16.04,16.20,15.91,16.03,52500,15.81
2012-03-19,15.75,15.98,15.75,15.95,54000,15.73
2012-03-12,15.81,16.11,15.73,15.76,54900,15.54
2012-03-05,16.23,16.24,15.55,15.71,71400,15.39
2012-02-27,15.85,16.23,15.59,16.14,80800,15.81
2012-02-21,15.52,15.85,15.45,15.85,80800,15.52
2012-02-13,15.43,15.58,15.21,15.52,59700,15.20
2012-02-06,15.14,15.34,15.03,15.33,77200,14.91
2012-01-30,14.79,15.14,14.63,15.12,80600,14.70
2012-01-23,14.33,14.79,14.30,14.79,96100,14.38
2012-01-17,14.26,14.33,14.16,14.33,63800,13.93
2012-01-09,14.20,14.33,14.07,14.23,76300,13.73
2012-01-03,13.99,14.13,13.81,14.13,70700,13.63
2011-12-27,13.99,14.03,13.84,13.86,75400,13.37
2011-12-19,13.63,13.97,13.50,13.97,70800,13.48
2011-12-12,13.78,13.85,13.45,13.60,49500,13.12
2011-12-05,13.68,13.84,13.63,13.84,55000,13.25
2011-11-28,13.40,13.70,13.28,13.62,54100,13.04
2011-11-21,13.58,13.63,13.15,13.22,47600,12.65
2011-11-14,14.07,14.07,13.49,13.60,46000,13.02
2011-11-07,14.02,14.10,13.77,14.07,50200,13.36
2011-10-31,14.08,14.21,13.83,13.99,65500,13.29
2011-10-24,13.71,14.15,13.63,14.04,56700,13.33
2011-10-17,13.32,13.66,13.22,13.65,50900,12.96
2011-10-10,12.85,13.32,12.82,13.25,55600,12.58
2011-10-03,13.01,13.01,12.13,12.65,55900,11.91
2011-09-26,13.47,13.53,12.92,13.07,61700,12.31
2011-09-19,13.55,13.60,13.18,13.37,49800,12.59
2011-09-12,13.47,13.66,13.45,13.56,51500,12.77
2011-09-06,13.46,13.67,13.26,13.51,60300,12.62
2011-08-29,13.49,13.67,13.44,13.58,71300,12.69
2011-08-22,13.35,13.48,13.22,13.43,53900,12.55
2011-08-15,13.49,13.64,13.17,13.21,57800,12.34
2011-08-08,13.56,13.59,12.25,13.38,96300,12.40
2011-08-01,14.58,14.61,13.69,13.89,61300,12.87
2011-07-25,14.65,14.69,14.26,14.44,48200,13.38
2011-07-18,14.62,14.70,14.49,14.69,44300,13.61
2011-07-11,14.77,14.77,14.59,14.62,63100,13.55
2011-07-05,14.64,14.80,14.60,14.76,116500,13.57
2011-06-27,14.48,14.64,14.44,14.64,44800,13.46
2011-06-20,14.24,14.42,14.24,14.42,45100,13.26
2011-06-13,14.67,14.67,14.18,14.32,44500,13.17
2011-06-06,14.76,14.78,14.58,14.64,35700,13.36
2011-05-31,14.86,14.86,14.67,14.74,44200,13.45
2011-05-23,14.60,14.80,14.53,14.80,59600,13.51
2011-05-16,14.75,14.84,14.55,14.67,74200,13.39
2011-05-09,14.64,14.81,14.58,14.77,60600,13.39
2011-05-02,14.67,14.71,14.54,14.65,53300,13.28
2011-04-25,14.55,14.73,14.55,14.68,45800,13.30
2011-04-18,14.53,14.65,14.47,14.64,39700,13.27
2011-04-11,14.63,14.69,14.48,14.53,45800,13.17
2011-04-04,14.64,14.68,14.55,14.59,39500,13.13
2011-03-28,14.62,14.70,14.52,14.64,33300,13.17
2011-03-21,14.53,14.60,14.45,14.59,31400,13.13
2011-03-14,14.75,14.75,14.43,14.48,36700,13.03
2011-03-07,14.64,14.75,14.48,14.70,26100,13.14
2011-02-28,14.87,14.87,14.57,14.65,31800,13.09
2011-02-22,14.55,14.71,14.50,14.60,36600,13.05
2011-02-14,14.62,14.72,14.42,14.69,45900,13.13
2011-02-07,14.39,14.63,14.34,14.61,57300,12.97
2011-01-31,14.35,14.37,14.28,14.35,49500,12.74
2011-01-24,14.18,14.35,14.18,14.25,58100,12.65
2011-01-18,14.10,14.22,14.10,14.18,46400,12.58
2011-01-10,14.20,14.40,14.08,14.16,84500,12.57
2011-01-03,14.10,14.26,14.03,14.19,54300,12.51
2010-12-27,14.04,14.26,14.03,14.08,77400,12.42
2010-12-20,13.87,14.07,13.87,14.03,59900,12.37
2010-12-13,14.21,14.21,13.75,13.96,112100,12.31
2010-12-06,14.20,14.33,14.07,14.12,95300,12.37
2010-11-29,13.61,14.25,13.61,14.19,92300,12.43
2010-11-22,14.30,14.30,13.88,14.11,125900,12.36
2010-11-15,14.81,14.83,14.33,14.46,215400,12.67
2010-11-08,14.84,14.94,14.74,14.80,94100,12.90
2010-11-01,14.84,14.96,14.60,14.88,112100,12.97
2010-10-25,14.64,14.92,14.63,14.84,84900,12.93
2010-10-18,14.54,14.65,14.42,14.59,77100,12.71
2010-10-11,14.40,14.64,14.35,14.60,156700,12.72
2010-10-04,13.52,14.48,13.38,14.38,432300,12.46
2010-09-27,13.40,13.55,13.28,13.47,44400,11.67
2010-09-20,13.33,13.40,13.15,13.33,50900,11.55
2010-09-13,13.36,13.40,13.16,13.25,40100,11.48
2010-09-07,13.23,13.32,12.90,13.32,35400,11.47
2010-08-30,12.95,13.27,12.86,13.20,56200,11.37
2010-08-23,13.08,13.09,12.74,12.98,53400,11.18
2010-08-16,12.95,13.13,12.85,12.96,42300,11.16
2010-08-09,13.25,13.36,12.71,12.93,41500,11.14
2010-08-02,13.20,13.25,13.04,13.20,55000,11.30
2010-07-26,12.98,13.20,12.97,13.12,57800,11.23
2010-07-19,12.67,13.00,12.60,12.96,41300,11.10
2010-07-12,12.68,12.88,12.53,12.60,48700,10.79
2010-07-06,12.60,12.86,12.30,12.66,67300,10.77
2010-06-28,12.72,12.72,12.18,12.36,60600,10.52
2010-06-21,12.52,12.70,12.34,12.66,95900,10.77
2010-06-14,12.69,12.69,12.39,12.47,49200,10.61
2010-06-07,12.23,12.51,12.07,12.43,64600,10.51
2010-06-01,12.29,12.49,12.17,12.19,111400,10.31
