Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,2.45,2.78,2.31,2.59,4800,2.59
2012-05-14,2.63,2.82,2.30,2.39,6500,2.39
2012-05-07,2.11,2.69,1.95,2.64,9700,2.64
2012-04-30,2.36,2.38,2.08,2.09,10500,2.09
2012-04-23,2.29,2.49,2.29,2.37,5300,2.37
2012-04-16,2.60,2.60,2.29,2.33,12600,2.33
2012-04-09,2.24,2.36,2.24,2.29,9400,2.29
2012-04-02,2.35,2.62,2.26,2.26,9400,2.26
2012-03-26,2.51,2.70,2.25,2.33,19200,2.33
2012-03-19,2.44,2.55,2.44,2.52,9300,2.52
2012-03-12,2.53,2.68,2.39,2.46,10100,2.46
2012-03-05,2.42,2.82,2.35,2.54,10100,2.54
2012-02-27,2.74,2.83,2.32,2.44,12400,2.44
2012-02-21,2.96,3.04,2.70,2.75,5900,2.75
2012-02-13,2.92,3.29,2.71,2.87,13900,2.87
2012-02-06,3.26,3.29,2.75,2.86,9000,2.86
2012-01-30,3.47,3.50,3.09,3.35,10300,3.35
2012-01-23,3.90,3.90,3.38,3.54,7500,3.54
2012-01-17,4.07,4.07,3.47,3.99,8700,3.99
2012-01-09,3.63,4.10,3.50,3.99,8300,3.99
2012-01-03,3.25,3.68,3.25,3.59,3400,3.59
2011-12-27,3.15,3.24,3.05,3.19,4700,3.19
2011-12-19,3.23,3.36,2.81,3.16,6400,3.16
2011-12-12,3.69,3.70,3.17,3.17,10000,3.17
2011-12-05,4.09,4.20,3.31,3.65,14400,3.65
2011-11-28,3.85,4.20,3.60,4.04,11000,4.04
2011-11-21,3.78,4.20,3.60,3.65,5600,3.65
2011-11-14,4.04,4.30,3.61,3.78,6100,3.78
2011-11-07,4.15,4.52,3.75,4.05,8400,4.05
2011-10-31,4.54,4.77,4.00,4.17,11000,4.17
2011-10-24,3.63,5.29,3.25,4.83,15700,4.83
2011-10-17,3.93,4.01,3.35,3.61,8900,3.61
2011-10-10,4.25,4.40,3.74,4.15,10800,4.15
2011-10-03,3.34,4.73,2.11,4.23,17900,4.23
2011-09-26,3.75,5.07,3.56,3.63,13200,3.63
2011-09-19,3.89,4.00,2.65,3.71,15500,3.71
2011-09-12,4.41,4.56,3.78,3.97,12300,3.97
2011-09-06,5.20,5.73,4.15,4.32,19800,4.32
2011-08-29,6.00,6.04,5.35,5.36,8900,5.36
