Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,10.83,10.95,10.82,10.93,274000,10.93
2012-05-14,10.78,10.95,10.66,10.85,231400,10.85
2012-05-07,10.71,10.96,10.61,10.85,310800,10.85
2012-04-30,10.70,10.84,10.60,10.68,253700,10.68
2012-04-23,10.65,10.98,10.65,10.72,291900,10.72
2012-04-16,10.39,10.78,10.31,10.72,263300,10.66
2012-04-09,10.30,10.44,10.10,10.43,328700,10.37
2012-04-02,10.10,10.44,10.10,10.31,434700,10.25
2012-03-26,10.81,10.85,10.07,10.10,614800,10.04
2012-03-19,11.04,11.04,10.12,10.81,855700,10.68
2012-03-12,11.34,11.38,11.08,11.11,381400,10.98
2012-03-05,11.24,11.30,11.03,11.24,264700,11.11
2012-02-27,11.38,11.42,11.24,11.27,273500,11.14
2012-02-21,11.27,11.47,11.24,11.41,342900,11.21
2012-02-13,11.30,11.35,11.18,11.27,288200,11.07
2012-02-06,11.22,11.35,11.14,11.29,322400,11.09
2012-01-30,11.25,11.31,11.15,11.15,294800,10.95
2012-01-23,11.25,11.36,11.14,11.26,364400,11.06
2012-01-17,11.18,11.37,11.10,11.25,388000,10.99
2012-01-09,11.03,11.18,10.91,11.18,420000,10.92
2012-01-03,10.97,11.04,10.71,10.96,323600,10.71
2011-12-27,11.00,11.18,10.36,10.92,677700,10.67
2011-12-19,11.05,11.18,10.93,10.95,353800,10.63
2011-12-12,10.94,11.11,10.84,11.07,413900,10.75
2011-12-05,10.76,11.00,10.76,10.99,326700,10.67
2011-11-28,10.70,10.98,10.57,10.79,365200,10.48
2011-11-21,10.64,10.81,10.56,10.59,296300,10.22
2011-11-14,10.83,10.88,10.57,10.75,374600,10.37
2011-11-07,10.68,10.85,10.50,10.82,387600,10.44
2011-10-31,10.62,10.70,10.35,10.63,333900,10.26
2011-10-24,10.29,10.85,10.29,10.67,580300,10.30
2011-10-17,10.18,10.45,10.06,10.35,302700,9.93
2011-10-10,9.92,10.20,9.92,10.20,450300,9.78
2011-10-03,10.00,10.00,9.65,9.90,338500,9.50
2011-09-26,10.15,10.17,9.88,10.00,446600,9.59
2011-09-19,10.08,10.18,10.00,10.14,347000,9.66
2011-09-12,10.00,10.16,9.98,10.13,409000,9.65
2011-09-06,9.87,10.05,9.80,10.05,258200,9.58
2011-08-29,9.95,10.02,9.78,9.98,275900,9.51
2011-08-22,9.86,10.12,9.70,9.95,386800,9.42
2011-08-15,9.61,9.88,9.60,9.74,294800,9.22
2011-08-08,9.47,9.70,8.52,9.57,850100,9.06
2011-08-01,10.00,10.00,9.25,9.67,520000,9.15
2011-07-25,10.05,10.19,9.63,9.87,424700,9.34
2011-07-18,9.99,10.14,9.96,10.06,339400,9.46
2011-07-11,10.09,10.19,10.00,10.05,374900,9.45
2011-07-05,9.95,10.09,9.95,10.09,289900,9.49
2011-06-27,9.91,10.00,9.91,9.96,272900,9.37
2011-06-20,9.85,9.95,9.84,9.93,279600,9.28
2011-06-13,9.84,9.96,9.81,9.88,317800,9.23
2011-06-06,9.94,9.99,9.80,9.96,303000,9.31
2011-05-31,9.95,9.98,9.89,9.91,224200,9.26
2011-05-23,9.93,9.99,9.85,9.90,253400,9.25
2011-05-16,9.75,9.99,9.70,9.99,275900,9.27
2011-05-09,9.75,9.98,9.71,9.75,352700,9.05
2011-05-02,9.73,9.75,9.63,9.75,258800,9.05
2011-04-25,9.62,9.73,9.60,9.72,282000,9.02
2011-04-18,9.57,9.75,9.55,9.64,331200,8.89
2011-04-11,9.70,9.70,9.53,9.63,275400,8.88
2011-04-04,9.49,9.66,9.49,9.53,316000,8.79
2011-03-28,9.58,9.63,9.45,9.49,267900,8.75
2011-03-21,9.73,9.73,9.50,9.54,362300,8.74
2011-03-14,9.67,9.70,9.46,9.63,296900,8.82
2011-03-07,9.65,9.70,9.48,9.67,281100,8.86
2011-02-28,9.56,9.59,9.43,9.59,264600,8.78
2011-02-22,9.73,9.79,9.49,9.51,385300,8.71
2011-02-14,9.64,9.84,9.64,9.75,222400,8.87
2011-02-07,9.58,9.77,9.53,9.61,297200,8.74
2011-01-31,9.54,9.64,9.46,9.53,217000,8.67
2011-01-24,9.37,9.69,9.34,9.47,300300,8.62
2011-01-18,9.41,9.46,9.30,9.31,272300,8.41
2011-01-10,9.54,9.54,9.25,9.40,319400,8.49
2011-01-03,9.19,9.44,9.05,9.42,333700,8.51
2010-12-27,9.18,9.36,9.05,9.14,318600,8.26
2010-12-20,9.45,9.55,9.12,9.23,307000,8.28
2010-12-13,9.65,9.65,9.00,9.41,664500,8.44
2010-12-06,9.93,10.05,9.52,9.65,412000,8.66
2010-11-29,10.00,10.03,9.90,9.96,292900,8.94
2010-11-22,10.02,10.13,9.96,10.04,241300,9.01
2010-11-15,10.12,10.19,9.90,10.06,293700,8.97
2010-11-08,9.97,10.24,9.95,10.11,318000,9.01
2010-11-01,9.98,10.08,9.78,10.01,288600,8.92
2010-10-25,10.00,10.08,9.84,9.93,259600,8.85
2010-10-18,9.97,10.05,9.93,10.00,218400,8.86
2010-10-11,9.90,10.10,9.90,9.98,296600,8.84
2010-10-04,9.82,9.95,9.77,9.94,219400,8.80
2010-09-27,9.73,9.84,9.67,9.80,239200,8.68
2010-09-20,9.66,9.81,9.63,9.69,302400,8.53
2010-09-13,9.94,9.95,9.60,9.65,405400,8.49
2010-09-07,9.58,9.95,9.55,9.95,344000,8.75
2010-08-30,9.47,9.60,9.37,9.60,281500,8.45
2010-08-23,9.45,9.60,9.37,9.52,264200,8.38
2010-08-16,9.52,9.62,9.36,9.39,250900,8.21
2010-08-09,9.45,9.60,9.43,9.52,348500,8.32
2010-08-02,9.44,9.45,9.35,9.44,244500,8.25
2010-07-26,9.37,9.45,9.30,9.40,261400,8.21
2010-07-19,9.34,9.43,9.25,9.40,225700,8.16
2010-07-12,9.43,9.43,9.23,9.40,287800,8.16
2010-07-06,9.02,9.31,8.99,9.30,264600,8.07
2010-06-28,9.33,9.33,8.93,9.06,226900,7.86
2010-06-21,9.36,9.38,9.20,9.37,257500,8.08
2010-06-14,9.19,9.30,9.14,9.29,211000,8.01
2010-06-07,8.87,9.23,8.83,9.17,280600,7.90
2010-06-01,8.82,9.08,8.71,8.88,237100,7.65
2010-05-24,8.76,9.02,8.62,8.86,280000,7.64
2010-05-17,8.97,9.14,8.51,8.77,388700,7.50
2010-05-10,9.20,9.24,8.71,9.00,324900,7.70
2010-05-03,9.23,9.28,5.00,8.96,653700,7.66
2010-04-26,9.21,9.49,9.12,9.23,281400,7.90
2010-04-19,9.27,9.35,9.15,9.21,326800,7.82
2010-04-12,9.55,9.55,9.16,9.21,346100,7.82
2010-04-05,9.28,9.42,9.18,9.42,290500,8.00
2010-03-29,9.37,9.37,9.17,9.32,257900,7.92
2010-03-22,9.40,9.49,9.23,9.31,348900,7.85
2010-03-15,9.40,9.50,9.33,9.37,272500,7.90
2010-03-08,9.19,9.46,9.14,9.43,301300,7.95
2010-03-01,9.20,9.31,9.10,9.21,277800,7.77
2010-02-22,9.24,9.44,9.06,9.18,335300,7.74
2010-02-16,9.20,9.27,9.12,9.26,270600,7.76
2010-02-08,8.95,9.17,8.95,9.12,379900,7.64
2010-02-01,9.03,9.10,8.92,9.01,291800,7.55
2010-01-25,9.11,9.11,8.92,8.96,310800,7.51
2010-01-19,9.05,9.14,9.03,9.09,348500,7.56
2010-01-11,9.05,9.05,8.94,9.05,296100,7.53
2010-01-04,9.01,9.10,8.92,8.97,318400,7.46
2009-12-28,9.14,9.19,8.83,8.95,309900,7.44
2009-12-21,9.10,9.20,8.95,9.14,319600,7.55
2009-12-14,8.79,9.10,8.77,9.09,401500,7.51
2009-12-07,8.67,8.81,8.62,8.79,328500,7.26
2009-11-30,8.59,8.66,8.53,8.65,247400,7.14
2009-11-23,8.56,8.73,8.43,8.61,198300,7.11
2009-11-16,8.52,8.59,8.33,8.53,319300,6.99
2009-11-09,8.49,8.68,8.45,8.50,313700,6.97
2009-11-02,8.58,8.65,7.99,8.47,386800,6.94
2009-10-26,8.95,8.98,8.56,8.61,348500,7.06
2009-10-19,8.87,8.99,8.84,8.94,271100,7.27
2009-10-12,8.87,8.95,8.77,8.94,277200,7.27
2009-10-05,8.79,8.95,8.77,8.81,249700,7.17
2009-09-28,8.94,8.98,8.70,8.80,194900,7.16
2009-09-21,8.81,9.08,8.81,8.94,266300,7.22
2009-09-14,8.84,8.88,8.69,8.86,231600,7.16
2009-09-08,8.40,8.87,8.40,8.78,303800,7.09
2009-08-31,8.80,8.87,8.11,8.37,383500,6.76
2009-08-24,8.81,9.01,8.73,8.75,315900,7.07
2009-08-17,8.81,8.88,8.63,8.86,254800,7.10
2009-08-10,8.89,9.00,8.72,8.81,273800,7.06
2009-08-03,8.82,8.90,8.57,8.90,302800,7.14
2009-07-27,8.48,8.94,8.46,8.84,330800,7.09
2009-07-20,8.10,8.43,8.04,8.43,292600,6.71
