Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,29.44,29.77,29.29,29.58,1271400,29.58
2012-05-14,29.88,30.33,29.28,29.35,1205400,29.35
2012-05-07,30.63,30.68,29.76,30.09,1133700,30.09
2012-04-30,32.10,32.27,30.66,30.76,1246800,30.76
2012-04-23,31.61,32.39,31.36,32.16,712100,32.16
2012-04-16,31.55,32.00,31.28,31.83,753500,31.83
2012-04-09,31.37,31.63,30.61,31.54,701900,31.54
2012-04-02,31.47,31.93,31.36,31.50,723500,31.50
2012-03-26,31.16,31.90,31.09,31.58,931500,31.58
2012-03-19,31.02,31.38,30.72,31.06,557100,31.06
2012-03-12,30.74,31.18,30.50,31.10,1006800,31.10
2012-03-05,30.57,30.85,30.04,30.73,693400,30.73
2012-02-27,30.68,30.91,30.50,30.63,711000,30.63
2012-02-21,30.60,30.89,30.39,30.85,678400,30.85
2012-02-13,30.40,30.90,30.25,30.68,871900,30.68
2012-02-06,29.51,30.49,29.51,30.35,1287800,30.35
2012-01-30,29.44,30.19,29.29,29.77,1028100,29.77
2012-01-23,29.40,29.82,29.17,29.70,540900,29.70
2012-01-17,29.11,29.55,29.01,29.40,580400,29.40
2012-01-09,28.58,29.07,28.53,28.97,495800,28.97
2012-01-03,28.91,29.13,28.22,28.60,611500,28.60
2011-12-27,28.17,28.82,28.14,28.53,611500,28.53
2011-12-19,27.63,28.45,27.29,28.25,738100,28.25
2011-12-12,27.75,28.18,27.42,27.48,1167700,27.48
2011-12-05,28.71,29.00,27.43,28.01,1209200,28.01
2011-11-28,28.01,29.00,27.68,28.46,1043200,28.46
2011-11-21,28.50,28.59,27.36,27.54,541700,27.54
2011-11-14,29.48,29.77,28.58,28.76,1115400,28.76
2011-11-07,30.23,30.34,27.80,29.85,1590100,29.85
2011-10-31,30.38,30.74,28.80,30.22,1036400,30.22
2011-10-24,30.06,31.06,29.57,30.71,944700,30.71
2011-10-17,29.54,30.15,29.03,29.98,717900,29.98
2011-10-10,28.00,29.83,27.99,29.79,1028200,29.79
2011-10-03,27.10,28.35,25.67,27.71,1339700,27.71
2011-09-26,27.50,28.27,26.82,27.12,1171200,27.12
2011-09-19,27.90,28.66,26.40,27.29,1266900,27.29
2011-09-12,26.52,28.53,26.41,28.45,982200,28.45
2011-09-06,25.41,27.31,25.41,26.89,1564300,26.89
2011-08-29,27.02,28.18,26.07,26.11,1283800,26.11
2011-08-22,26.37,27.08,25.87,26.78,1565200,26.78
2011-08-15,27.61,27.86,25.81,25.97,1627000,25.97
2011-08-08,27.93,28.05,26.45,27.41,2441600,27.41
2011-08-01,31.77,32.00,28.09,28.61,1648800,28.61
2011-07-25,31.47,31.98,30.77,31.53,2415900,31.53
2011-07-18,30.68,31.95,30.48,31.67,1777000,31.67
2011-07-11,30.52,31.00,30.29,30.69,1323500,30.69
2011-07-05,30.40,31.23,30.29,30.77,1213100,30.77
2011-06-27,29.64,30.50,29.62,30.46,1381100,30.46
2011-06-20,28.65,29.98,28.34,29.71,1527500,29.71
2011-06-13,28.82,29.41,28.58,28.67,1106500,28.67
2011-06-06,29.30,29.61,28.86,28.93,895300,28.93
2011-05-31,30.44,30.49,29.34,29.39,1146700,29.39
2011-05-23,29.77,30.47,29.67,30.32,826400,30.32
2011-05-16,29.60,30.25,29.12,30.10,1077600,30.10
2011-05-09,29.67,30.03,29.40,29.70,798700,29.70
2011-05-02,30.73,30.82,29.43,29.72,1145100,29.72
2011-04-25,30.43,31.00,30.16,30.75,1612700,30.75
2011-04-18,29.19,30.51,29.00,30.35,854100,30.35
