Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,29.98,31.98,29.69,31.41,1146200,31.41
2012-05-14,33.32,33.47,29.79,29.96,1309100,29.96
2012-05-07,32.35,34.00,32.14,33.65,1579600,33.65
2012-04-30,37.30,38.02,32.40,32.64,2735000,32.64
2012-04-23,34.93,37.31,34.20,37.15,1003800,37.15
2012-04-16,36.35,36.65,34.50,35.32,817800,35.32
2012-04-09,35.75,36.05,34.35,35.49,801200,35.49
2012-04-02,36.30,37.23,35.86,36.33,669700,36.33
2012-03-26,36.63,36.80,35.26,36.30,812200,36.30
2012-03-19,41.80,42.21,35.83,36.25,2115000,36.25
2012-03-12,39.94,40.36,39.34,39.96,533600,36.98
2012-03-05,37.74,40.28,37.65,39.83,870300,36.86
2012-02-27,33.01,39.80,32.92,37.85,2420400,35.03
2012-02-21,33.01,33.84,32.88,33.20,531600,30.73
2012-02-13,32.60,33.49,32.23,32.97,660300,30.51
2012-02-06,33.67,33.76,32.34,32.46,416400,30.04
2012-01-30,32.15,33.91,31.81,33.87,457600,31.35
2012-01-23,31.96,32.67,30.90,32.31,709900,29.90
2012-01-17,34.06,34.22,31.87,32.00,906100,29.61
2012-01-09,33.50,34.64,33.33,33.76,554400,31.24
2012-01-03,34.58,34.75,33.03,33.30,648900,30.82
2011-12-27,33.88,34.53,33.67,33.95,324500,31.42
2011-12-19,33.64,34.01,32.50,33.87,433300,31.35
2011-12-12,34.42,35.30,32.88,33.30,1006500,30.82
2011-12-05,33.66,35.00,32.92,34.70,828400,32.11
2011-11-28,31.28,34.05,30.89,33.56,955600,31.06
2011-11-21,31.94,31.99,30.39,30.51,659100,28.24
2011-11-14,32.35,33.70,31.82,32.50,805100,30.08
2011-11-07,32.04,33.00,31.75,32.37,668400,29.96
2011-10-31,31.82,32.61,31.07,32.01,791100,29.62
2011-10-24,32.38,33.00,31.20,32.15,1328300,29.75
2011-10-17,28.34,32.25,27.75,32.25,2307800,29.85
2011-10-10,27.03,28.49,26.95,28.32,1078700,26.21
2011-10-03,27.16,27.64,25.29,26.63,1020400,24.65
2011-09-26,28.39,29.54,26.11,27.25,925500,25.22
2011-09-19,27.85,29.74,27.03,28.16,932900,26.06
2011-09-12,26.44,28.30,26.01,28.28,1111800,26.17
2011-09-06,26.16,28.27,26.00,26.87,982500,24.87
2011-08-29,27.40,28.45,26.69,26.86,1146800,24.86
2011-08-22,25.62,27.41,25.25,26.98,1140000,24.97
2011-08-15,26.16,26.40,24.76,25.02,1165000,23.16
2011-08-08,24.49,26.59,22.84,25.88,1226300,23.95
2011-08-01,27.14,27.15,24.26,25.37,1194300,23.48
2011-07-25,25.45,28.74,25.28,26.87,1288600,24.87
2011-07-18,25.31,26.15,25.06,25.82,383100,23.90
2011-07-11,25.90,26.26,25.17,25.47,490400,23.57
2011-07-05,25.85,26.16,25.52,26.13,442400,24.18
2011-06-27,24.72,26.04,24.52,25.78,674200,23.86
2011-06-20,23.76,25.00,23.65,24.79,1084700,22.94
2011-06-13,23.20,24.17,22.99,23.80,719500,22.03
2011-06-06,24.17,24.37,22.87,23.12,797900,21.40
2011-05-31,24.90,25.05,23.58,24.24,1162300,22.43
2011-05-23,24.21,24.98,24.09,24.58,999100,22.75
2011-05-16,23.40,24.79,23.14,24.52,1212000,22.69
2011-05-09,21.97,23.61,21.76,23.53,1217300,21.78
2011-05-02,18.58,22.15,18.30,21.94,1908100,20.30
2011-04-25,18.22,18.81,18.12,18.57,670500,17.19
2011-04-18,17.88,18.56,17.75,18.30,599800,16.94
2011-04-11,18.05,18.40,17.69,18.06,839000,16.71
2011-04-04,18.53,18.75,17.97,18.05,550000,16.70
2011-03-28,18.20,18.74,17.82,18.47,851900,17.09
2011-03-21,17.88,18.49,17.73,18.19,795800,16.83
2011-03-14,17.70,17.93,16.88,17.72,1243600,16.40
2011-03-07,17.33,18.13,16.99,17.86,913100,16.53
2011-02-28,16.78,17.40,15.80,17.32,2363400,16.03
2011-02-22,16.95,17.13,16.09,16.79,1049900,15.54
2011-02-14,17.06,17.61,16.79,17.14,796500,15.86
2011-02-07,16.48,17.15,16.30,17.05,762300,15.78
2011-01-31,16.50,17.01,16.06,16.52,1156500,15.29
2011-01-24,16.73,17.04,16.37,16.37,572100,15.15
2011-01-18,17.20,17.22,16.22,16.67,685300,15.43
2011-01-10,16.59,17.28,16.30,17.16,796700,15.88
2011-01-03,16.10,17.05,15.88,16.63,1122300,15.39
2010-12-27,15.98,16.06,15.78,15.95,406400,14.76
2010-12-20,15.97,16.22,15.80,16.00,508800,14.81
2010-12-13,15.41,16.03,14.87,15.85,1087200,14.67
2010-12-06,14.79,15.71,14.72,15.40,1132800,14.25
2010-11-29,14.70,15.00,14.63,14.85,580000,13.74
2010-11-22,14.39,14.91,14.33,14.78,439400,13.68
2010-11-15,14.68,14.78,13.97,14.39,752500,13.32
2010-11-08,15.20,15.67,14.60,14.65,1254900,13.56
2010-11-01,14.95,15.25,14.71,15.15,989200,14.02
2010-10-25,15.37,15.59,14.49,14.84,914700,13.73
2010-10-18,14.67,15.70,14.58,15.28,2132100,14.14
2010-10-11,14.21,14.78,14.17,14.62,679600,13.53
2010-10-04,13.17,14.21,13.00,14.18,687000,13.12
2010-09-27,13.31,13.39,13.00,13.15,587200,12.17
2010-09-20,13.97,14.20,13.06,13.35,697600,12.35
2010-09-13,14.04,14.22,13.80,13.97,400800,12.93
2010-09-07,13.78,14.21,13.31,13.86,561600,12.83
2010-08-30,12.84,13.86,12.59,13.83,514900,12.80
2010-08-23,13.16,13.27,12.45,12.86,581600,11.90
2010-08-16,13.06,13.50,12.90,13.08,672100,12.11
2010-08-09,13.11,13.45,12.53,13.17,792600,12.19
2010-08-02,13.04,13.04,12.35,13.00,813400,12.03
2010-07-26,13.23,14.00,12.68,12.79,1331600,11.84
2010-07-19,12.23,13.22,11.75,13.20,603000,12.22
2010-07-12,12.27,13.10,11.94,12.16,612600,11.25
