Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,2.24,2.35,2.24,2.33,9900,2.33
2012-05-14,2.29,2.33,2.14,2.28,70300,2.28
2012-05-07,2.30,2.34,2.25,2.31,19000,2.31
2012-04-30,2.19,2.35,2.15,2.30,76100,2.30
2012-04-23,2.04,2.21,2.04,2.21,35000,2.21
2012-04-16,2.04,2.10,1.95,2.07,11700,2.07
2012-04-09,2.13,2.16,1.85,2.02,17500,2.02
2012-04-02,2.09,2.16,2.01,2.10,49300,2.10
2012-03-26,2.11,2.14,2.00,2.10,30700,2.10
2012-03-19,2.13,2.18,2.02,2.10,32400,2.10
2012-03-12,2.13,2.18,1.94,2.14,83900,2.14
2012-03-05,2.03,2.15,1.79,2.10,80400,2.10
2012-02-27,1.92,2.06,1.85,2.04,67200,2.04
2012-02-21,1.89,1.91,1.80,1.88,51200,1.88
2012-02-13,1.99,2.07,1.72,1.85,104900,1.85
2012-02-06,1.98,2.00,1.84,1.99,31000,1.99
2012-01-30,2.02,2.05,1.92,1.93,18700,1.93
2012-01-23,1.90,2.07,1.86,2.00,17200,2.00
2012-01-17,1.96,2.00,1.83,1.92,14300,1.92
2012-01-09,1.96,2.07,1.89,2.01,28700,2.01
2012-01-03,1.95,2.06,1.81,2.00,21300,2.00
2011-12-27,1.94,1.99,1.87,1.96,26300,1.96
2011-12-19,1.82,1.99,1.78,1.98,101600,1.98
2011-12-12,1.89,1.89,1.77,1.83,31300,1.83
2011-12-05,2.06,2.06,1.80,1.90,23500,1.90
2011-11-28,2.12,2.14,1.92,2.02,11800,2.02
2011-11-21,2.10,2.11,1.92,2.05,11400,2.05
2011-11-14,2.09,2.17,2.00,2.08,6900,2.08
2011-11-07,2.22,2.29,1.99,2.12,23000,2.12
2011-10-31,2.29,2.40,2.20,2.26,19300,2.26
2011-10-24,2.25,2.41,2.23,2.33,36300,2.33
2011-10-17,2.19,2.30,2.09,2.30,15900,2.30
2011-10-10,2.12,2.30,2.04,2.23,24700,2.23
