Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,2.39,2.64,2.39,2.57,374100,2.57
2012-05-14,2.72,2.74,2.30,2.38,465200,2.38
2012-05-07,2.71,2.83,2.62,2.70,316800,2.70
2012-04-30,3.02,3.15,2.63,2.71,799900,2.71
2012-04-23,2.60,3.08,2.54,3.04,1828500,3.04
2012-04-16,2.63,2.65,2.44,2.60,631400,2.60
2012-04-09,2.54,2.74,2.37,2.62,835100,2.62
2012-04-02,2.62,2.66,2.38,2.59,777900,2.59
2012-03-26,2.81,2.81,2.55,2.68,1533400,2.68
2012-03-19,2.90,2.90,2.73,2.78,2576100,2.78
2012-03-12,3.65,3.74,2.80,2.85,3564600,2.85
2012-03-05,3.61,5.39,3.39,3.64,9324300,3.64
2012-02-27,3.48,3.80,3.25,3.51,1877200,3.51
2012-02-21,2.60,3.45,2.60,3.40,1361700,3.40
2012-02-13,2.62,2.87,2.57,2.63,303800,2.63
2012-02-06,2.53,2.98,2.46,2.65,513900,2.65
2012-01-30,2.23,2.70,2.13,2.51,923800,2.51
2012-01-23,2.14,2.27,2.08,2.24,126900,2.24
2012-01-17,2.26,2.30,2.03,2.13,195100,2.13
2012-01-09,1.75,2.35,1.75,2.26,370900,2.26
2012-01-03,1.71,1.82,1.67,1.76,117900,1.76
2011-12-27,1.73,1.80,1.65,1.68,123500,1.68
2011-12-19,1.52,1.76,1.45,1.72,162100,1.72
2011-12-12,1.70,1.79,1.44,1.54,160700,1.54
2011-12-05,1.68,1.88,1.68,1.70,130400,1.70
2011-11-28,1.67,1.83,1.57,1.69,177100,1.69
2011-11-21,1.69,1.70,1.60,1.64,71800,1.64
2011-11-14,1.76,1.78,1.69,1.70,98800,1.70
2011-11-07,1.79,1.83,1.71,1.75,130500,1.75
2011-10-31,1.77,1.88,1.74,1.79,172500,1.79
2011-10-24,1.77,1.85,1.76,1.78,148600,1.78
2011-10-17,1.81,1.87,1.75,1.77,113200,1.77
2011-10-10,1.86,1.94,1.76,1.86,80500,1.86
2011-10-03,1.96,2.01,1.64,1.83,157500,1.83
2011-09-26,2.18,2.31,1.95,1.96,325800,1.96
2011-09-19,2.18,2.40,1.94,2.09,216700,2.09
2011-09-12,2.25,2.29,2.13,2.26,93300,2.26
2011-09-06,2.07,2.42,2.03,2.28,224900,2.28
2011-08-29,2.06,2.18,2.02,2.09,103600,2.09
2011-08-22,2.10,2.10,1.95,2.02,120800,2.02
2011-08-15,2.29,2.31,1.99,2.05,159600,2.05
2011-08-08,2.10,2.28,1.95,2.26,237600,2.26
2011-08-01,2.48,2.70,1.93,2.20,386300,2.20
2011-07-25,2.52,2.58,2.41,2.47,214200,2.47
