Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,7.21,8.00,7.21,7.75,640800,7.75
2012-05-14,7.55,7.59,7.19,7.20,442100,7.20
2012-05-07,7.81,7.91,7.60,7.60,425800,7.60
2012-04-30,7.95,8.06,7.60,7.80,542800,7.80
2012-04-23,7.88,8.05,7.76,7.98,398200,7.98
2012-04-16,7.75,8.04,7.55,7.98,621600,7.98
2012-04-09,8.25,8.25,7.52,7.76,945000,7.76
2012-04-02,8.96,9.06,8.34,8.39,1020200,8.39
2012-03-26,8.91,9.07,8.48,8.95,761500,8.95
2012-03-19,9.08,9.24,8.54,8.68,327600,8.68
2012-03-12,8.66,9.22,8.43,9.12,584300,9.12
2012-03-05,9.02,9.04,8.21,8.65,514100,8.65
2012-02-27,9.20,9.47,8.86,9.05,674800,9.05
2012-02-21,9.71,9.71,8.80,9.22,902700,9.22
2012-02-13,9.04,10.19,8.85,9.71,1461300,9.71
2012-02-06,8.24,9.39,8.24,8.91,1059600,8.91
2012-01-30,8.27,8.38,8.03,8.29,371800,8.29
2012-01-23,8.45,8.48,8.22,8.34,353000,8.34
2012-01-17,7.93,8.46,7.83,8.44,495800,8.44
2012-01-09,7.90,8.05,7.68,7.87,318100,7.87
2012-01-03,7.62,8.06,7.58,7.94,495800,7.94
2011-12-27,7.68,7.85,7.44,7.48,409500,7.48
2011-12-19,7.96,8.00,7.45,7.71,559800,7.71
2011-12-12,7.85,8.20,7.82,7.99,542600,7.99
2011-12-05,7.75,8.01,7.64,7.97,496600,7.97
2011-11-28,7.44,7.75,7.32,7.60,472200,7.60
2011-11-21,7.93,8.00,7.20,7.25,473700,7.25
2011-11-14,8.40,8.66,7.80,8.09,473500,8.09
2011-11-07,8.30,8.48,7.86,8.41,286600,8.41
2011-10-31,8.29,8.48,7.70,8.30,429100,8.30
2011-10-24,7.98,8.50,7.85,8.41,439800,8.41
2011-10-17,8.36,8.39,7.79,7.95,624500,7.95
2011-10-10,7.26,8.50,7.26,8.45,490000,8.45
2011-10-03,7.40,7.52,6.59,7.08,484200,7.08
2011-09-26,7.99,8.55,7.42,7.42,530500,7.42
2011-09-19,8.56,8.59,7.42,7.94,625500,7.94
2011-09-12,8.41,9.23,8.36,8.75,457100,8.75
2011-09-06,8.56,9.03,8.44,8.55,389400,8.55
2011-08-29,8.46,9.40,8.43,8.81,562600,8.81
2011-08-22,8.21,8.70,7.95,8.40,786600,8.40
2011-08-15,8.16,8.85,7.97,8.04,839700,8.04
2011-08-08,8.05,8.26,7.52,8.06,1301500,8.06
2011-08-01,9.93,9.93,8.11,8.51,1304100,8.51
2011-07-25,9.83,10.07,9.57,9.80,1079500,9.80
2011-07-18,10.74,10.77,9.89,9.93,621500,9.93
2011-07-11,10.90,10.94,10.57,10.77,384200,10.77
2011-07-05,11.10,11.19,10.85,11.00,344100,11.00
2011-06-27,10.75,11.18,10.67,11.13,477200,11.13
2011-06-20,10.73,11.14,10.60,10.78,632000,10.78
2011-06-13,10.69,11.29,10.46,10.78,943800,10.78
2011-06-06,11.04,11.09,10.57,10.70,720800,10.70
2011-05-31,11.59,11.65,11.02,11.09,750300,11.09
2011-05-23,11.25,11.59,11.15,11.53,492600,11.53
2011-05-16,11.28,11.50,11.08,11.40,447500,11.40
2011-05-09,11.21,11.50,11.08,11.31,534600,11.31
2011-05-02,11.25,11.42,10.85,11.19,552500,11.19
2011-04-25,11.18,11.39,11.14,11.26,393000,11.26
2011-04-18,11.50,11.50,11.01,11.19,650600,11.19
2011-04-11,12.01,12.01,11.43,11.50,606600,11.50
2011-04-04,11.91,12.27,11.86,12.01,647000,12.01
2011-03-28,12.12,12.20,11.75,11.86,448800,11.86
2011-03-21,11.74,12.24,11.70,12.12,463700,12.12
2011-03-14,12.40,12.51,11.47,11.71,1096800,11.71
2011-03-07,12.46,12.66,12.04,12.54,570400,12.54
2011-02-28,12.32,12.55,12.15,12.46,463600,12.46
2011-02-22,12.34,12.45,11.53,12.27,733800,12.27
2011-02-14,12.21,12.70,12.11,12.56,756500,12.56
2011-02-07,12.13,12.30,11.85,12.17,547600,12.17
2011-01-31,11.74,12.20,11.57,12.13,886700,12.13
2011-01-24,11.90,12.00,11.40,11.72,1373200,11.72
2011-01-18,12.34,12.55,11.82,11.95,1092500,11.95
2011-01-10,12.41,12.50,12.26,12.41,706200,12.41
2011-01-03,12.13,12.59,11.98,12.48,1250800,12.48
2010-12-27,12.72,12.77,11.75,12.02,1883100,12.02
2010-12-20,12.71,13.12,12.56,12.80,687800,12.80
2010-12-13,13.18,13.21,12.63,12.71,729900,12.71
2010-12-06,13.16,13.44,12.91,13.10,602200,13.10
2010-11-29,12.62,13.74,12.52,13.15,1546500,13.15
2010-11-22,13.14,13.31,12.62,12.70,462500,12.70
2010-11-15,13.83,13.83,12.90,13.16,724300,13.16
2010-11-08,13.60,14.23,13.30,13.60,1175700,13.60
2010-11-01,13.78,13.78,13.21,13.62,698500,13.62
2010-10-25,13.57,13.73,13.16,13.65,502900,13.65
2010-10-18,13.99,14.08,13.08,13.43,733900,13.43
2010-10-11,13.32,14.14,13.27,13.98,1285300,13.98
2010-10-04,12.59,13.35,12.43,13.28,851000,13.28
2010-09-27,12.70,13.02,12.46,12.68,539400,12.68
2010-09-20,12.11,12.74,12.11,12.70,647700,12.70
2010-09-13,12.33,12.56,11.98,12.11,564000,12.11
2010-09-07,12.40,12.62,12.14,12.18,591200,12.18
2010-08-30,11.95,12.64,11.71,12.43,610500,12.43
2010-08-23,12.50,12.72,11.45,12.00,545500,12.00
2010-08-16,12.29,12.91,12.22,12.51,373100,12.51
2010-08-09,13.08,13.41,12.32,12.35,618400,12.35
2010-08-02,13.34,13.48,12.78,13.04,566000,13.04
2010-07-26,13.35,13.65,12.82,13.22,715000,13.22
2010-07-19,12.96,13.43,12.31,13.31,756800,13.31
2010-07-12,12.25,13.42,12.19,13.02,1203400,13.02
2010-07-06,11.84,12.42,11.50,12.40,624800,12.40
2010-06-28,12.36,12.37,10.75,11.68,1294700,11.68
2010-06-21,12.77,12.98,12.03,12.23,529300,12.23
2010-06-14,12.85,12.85,12.06,12.58,893300,12.58
2010-06-07,12.75,12.91,11.75,12.57,1217700,12.57
2010-06-01,13.40,13.75,12.65,12.75,1104100,12.75
2010-05-24,13.23,14.16,12.34,13.56,1355100,13.56
2010-05-17,14.06,14.06,12.20,13.33,1574100,13.33
2010-05-10,13.71,14.77,13.53,13.94,1251000,13.94
2010-05-03,15.31,15.86,12.98,13.00,1686900,13.00
2010-04-26,15.41,16.13,15.23,15.32,1696100,15.32
2010-04-19,14.76,15.73,14.45,15.45,1194400,15.45
2010-04-12,15.20,15.53,14.60,14.96,1174300,14.96
2010-04-05,15.38,15.68,14.84,15.13,1254500,15.13
2010-03-29,14.37,15.45,14.27,15.31,1481100,15.31
2010-03-22,14.09,14.68,13.96,14.24,982700,14.24
2010-03-15,14.80,14.84,13.95,14.24,1013600,14.24
2010-03-08,14.64,15.20,14.20,14.89,1485100,14.89
2010-03-01,13.97,14.80,13.78,14.59,1121700,14.59
2010-02-22,14.66,14.75,13.49,13.91,1177700,13.91
2010-02-16,13.83,14.60,13.76,14.51,895800,14.51
2010-02-08,13.57,13.88,13.22,13.65,934100,13.65
2010-02-01,13.69,14.45,13.08,13.53,1355400,13.53
2010-01-25,14.77,14.84,13.15,13.26,1607400,13.26
2010-01-19,16.05,16.05,14.41,14.45,1804300,14.45
2010-01-11,16.44,16.62,15.81,16.09,1489100,16.09
2010-01-04,14.81,16.24,14.81,16.09,1978500,16.09
2009-12-28,14.75,14.92,14.41,14.48,948700,14.48
2009-12-21,14.91,15.09,14.26,14.63,1555600,14.63
2009-12-14,15.17,15.64,14.65,14.90,1540900,14.90
2009-12-07,15.82,15.87,14.64,14.77,1869500,14.77
2009-11-30,16.00,16.59,15.33,15.88,2406800,15.88
2009-11-23,17.65,17.90,15.61,15.96,2795000,15.96
2009-11-16,16.62,18.24,16.31,17.25,4859100,17.25
2009-11-09,13.60,16.48,13.60,16.30,3694200,16.30
2009-11-02,12.96,13.65,12.41,13.49,1130000,13.49
2009-10-26,14.51,14.67,12.74,12.92,1486000,12.92
2009-10-19,14.34,15.53,14.18,14.37,1710400,14.37
2009-10-12,14.07,14.55,13.78,14.37,1224700,14.37
2009-10-05,12.71,14.60,12.58,13.98,2270500,13.98
2009-09-28,12.29,13.40,12.05,12.61,1937800,12.61
2009-09-21,13.71,14.08,11.93,12.01,2124700,12.01
2009-09-14,13.45,14.96,13.20,14.01,1356300,14.01
2009-09-08,12.90,14.27,12.89,13.60,1593200,13.60
2009-08-31,13.26,13.39,12.40,12.69,1051100,12.69
2009-08-24,13.49,14.00,13.02,13.57,908400,13.57
2009-08-17,12.92,13.60,12.52,13.36,836700,13.36
2009-08-10,13.16,13.71,12.88,13.31,844300,13.31
2009-08-03,14.33,14.80,13.01,13.17,1319000,13.17
2009-07-27,14.50,15.05,13.95,14.24,929500,14.24
2009-07-20,14.32,14.90,14.08,14.60,917100,14.60
2009-07-13,13.23,14.60,12.60,14.21,1176500,14.21
2009-07-06,12.40,13.32,11.94,13.21,1347700,13.21
2009-06-29,14.07,14.17,12.60,12.83,958600,12.83
2009-06-22,14.11,14.24,12.80,13.82,1294300,13.82
2009-06-15,15.57,15.77,13.95,14.36,1225300,14.36
2009-06-08,15.98,16.70,15.50,15.75,1390300,15.75
2009-06-01,18.75,19.00,15.89,16.11,2297500,16.11
2009-05-26,15.40,18.50,15.22,18.03,1780400,18.03
2009-05-18,15.41,17.20,15.13,15.72,1497900,15.72
2009-05-11,15.33,16.10,13.75,15.12,1771300,15.12
2009-05-04,16.86,18.75,15.17,16.01,3387300,16.01
2009-04-27,15.15,16.62,14.56,16.41,1294300,16.41
2009-04-20,14.92,15.92,13.63,15.68,2198800,15.68
2009-04-13,13.24,15.50,12.87,15.13,1736800,15.13
2009-04-06,13.32,13.32,12.13,13.19,1143200,13.19
2009-03-30,12.50,13.50,11.27,13.43,1594500,13.43
2009-03-23,12.81,13.69,11.82,13.20,1762800,13.20
2009-03-16,12.82,13.82,12.02,12.34,1331800,12.34
2009-03-09,11.59,13.95,11.49,12.83,1293400,12.83
2009-03-02,11.25,12.60,10.00,11.86,2045200,11.86
2009-02-23,12.97,13.53,11.25,11.73,1676100,11.73
2009-02-17,14.24,15.14,12.00,12.57,2358900,12.57
2009-02-09,17.50,17.50,13.50,15.09,1940700,15.09
2009-02-02,12.85,17.10,12.13,16.63,2436100,16.63
2009-01-26,12.10,14.19,11.90,13.29,1523000,13.29
2009-01-20,11.92,12.20,10.65,11.82,1225700,11.82
2009-01-12,14.70,14.70,10.55,12.10,1727700,12.10
2009-01-05,14.29,15.25,13.08,14.69,1700500,14.69
2008-12-29,12.18,14.45,11.36,13.92,1250800,13.92
2008-12-22,13.14,13.14,11.51,12.18,934400,12.18
2008-12-15,11.87,15.70,11.81,13.25,3017100,13.25
2008-12-08,8.82,12.30,8.77,11.10,3491800,11.10
2008-12-01,8.76,8.76,7.00,8.09,1477200,8.09
2008-11-24,8.24,9.50,6.85,8.84,1644000,8.84
2008-11-17,10.68,10.97,7.31,8.06,2256600,7.11
2008-11-10,15.50,15.52,10.28,10.59,2637200,9.34
2008-11-03,17.76,18.73,13.80,14.43,1642800,12.73
2008-10-27,14.41,16.70,13.52,16.63,1581600,14.67
2008-10-20,16.66,18.20,13.88,14.80,1390100,13.06
2008-10-13,15.08,17.91,13.30,15.61,2087800,13.77
2008-10-06,17.01,18.75,12.00,14.00,2701100,12.35
2008-09-29,20.14,21.10,17.73,18.87,1512700,16.65
2008-09-22,24.19,24.50,19.81,21.17,1280300,18.67
