Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.51,1.60,1.51,1.53,35400,1.53
2012-05-14,2.34,2.34,1.51,1.53,106500,1.53
2012-05-07,2.29,2.43,2.22,2.29,27100,2.29
2012-04-30,2.61,2.65,2.10,2.30,50700,2.30
2012-04-23,2.67,2.73,2.56,2.62,28200,2.62
2012-04-16,3.08,3.08,2.62,2.72,34300,2.72
2012-04-09,3.01,3.10,2.89,3.06,37900,3.06
2012-04-02,3.08,3.15,2.89,3.04,97900,3.04
2012-03-26,3.18,3.18,3.07,3.08,39400,3.08
2012-03-19,3.13,3.15,3.07,3.15,30000,3.15
2012-03-12,3.18,3.36,3.10,3.12,50600,3.12
2012-03-05,3.13,3.26,3.12,3.13,41200,3.13
2012-02-27,3.17,3.34,3.12,3.14,57200,3.14
2012-02-21,3.52,3.52,3.09,3.16,70400,3.16
2012-02-13,3.70,3.81,3.41,3.52,57100,3.52
2012-02-06,3.86,4.08,3.65,3.66,108700,3.66
2012-01-30,3.71,3.90,3.61,3.84,32500,3.84
2012-01-23,3.65,3.87,3.48,3.78,19300,3.78
2012-01-17,3.70,3.75,3.50,3.68,27800,3.68
2012-01-09,3.66,3.78,3.53,3.65,23400,3.65
2012-01-03,3.76,3.83,3.49,3.65,32100,3.65
2011-12-27,3.75,3.96,3.50,3.64,57400,3.64
2011-12-19,3.73,4.00,3.54,3.79,45600,3.79
2011-12-12,3.84,4.02,3.56,3.70,79900,3.70
2011-12-05,4.15,4.15,3.84,3.85,56500,3.85
2011-11-28,4.06,4.15,3.83,4.10,52700,4.10
2011-11-21,4.08,4.16,3.80,3.82,57500,3.82
2011-11-14,4.00,4.24,3.81,4.17,47300,4.17
2011-11-07,3.33,4.57,3.32,4.12,90500,4.12
2011-10-31,3.44,3.81,2.95,3.36,77000,3.36
2011-10-24,3.69,4.00,3.02,3.49,68400,3.49
2011-10-17,3.54,3.88,3.05,3.63,50600,3.63
2011-10-10,3.23,3.61,3.05,3.56,71600,3.56
2011-10-03,3.54,3.65,2.99,3.18,77300,3.18
2011-09-26,3.97,4.50,3.15,3.60,76200,3.60
2011-09-19,4.90,4.94,3.93,3.98,73000,3.98
2011-09-12,4.77,5.52,4.74,4.99,59500,4.99
2011-09-06,5.75,6.05,4.62,4.84,86400,4.84
2011-08-29,5.62,7.05,5.62,5.94,114500,5.94
2011-08-22,5.01,5.95,4.85,5.58,48100,5.58
2011-08-15,5.24,5.74,4.80,4.87,46100,4.87
2011-08-08,6.59,6.60,5.06,5.17,74800,5.17
2011-08-01,6.68,7.20,6.60,6.74,61500,6.74
2011-07-25,7.50,7.50,6.52,6.59,51000,6.59
2011-07-18,7.20,7.79,7.08,7.53,52300,7.53
2011-07-11,7.46,7.83,7.11,7.24,107000,7.24
2011-07-05,7.47,7.98,7.44,7.52,52300,7.52
2011-06-27,7.43,7.91,7.28,7.50,45700,7.50
