Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,10.42,10.82,10.39,10.57,444900,10.57
2012-05-14,10.24,10.83,10.18,10.41,502400,10.41
2012-05-07,10.00,10.57,9.92,10.36,315800,10.36
2012-04-30,9.99,10.20,9.63,10.02,617800,10.02
2012-04-23,9.48,10.04,9.43,9.97,463000,9.97
2012-04-16,9.56,9.82,9.45,9.60,448700,9.60
2012-04-09,10.23,10.34,9.36,9.51,444600,9.51
2012-04-02,10.35,10.84,10.28,10.45,600400,10.45
2012-03-26,10.46,10.99,10.30,10.43,347200,10.43
2012-03-19,10.82,11.00,10.19,10.35,212400,10.35
2012-03-12,10.25,10.98,10.07,10.83,395900,10.83
2012-03-05,10.31,10.52,10.08,10.22,358100,10.22
2012-02-27,10.74,11.20,10.22,10.37,440400,10.37
2012-02-21,11.59,11.75,10.65,10.80,542000,10.80
2012-02-13,11.23,11.90,10.90,11.60,339600,11.60
2012-02-06,11.58,11.82,11.02,11.12,324200,11.12
2012-01-30,10.98,11.88,10.71,11.70,458100,11.70
2012-01-23,10.75,11.23,10.45,11.05,588800,11.05
2012-01-17,9.81,10.92,9.77,10.72,627900,10.72
2012-01-09,8.85,10.31,8.64,10.01,668100,10.01
2012-01-03,9.52,9.62,8.76,8.83,584100,8.83
2011-12-27,8.54,9.57,8.48,9.31,413000,9.31
2011-12-19,8.32,8.90,8.09,8.58,501000,8.58
2011-12-12,8.19,8.65,7.98,8.28,561500,8.28
2011-12-05,8.38,8.56,7.96,8.31,470700,8.31
2011-11-28,7.14,8.34,7.09,8.24,762500,8.24
2011-11-21,6.97,7.03,6.75,6.93,521300,6.93
2011-11-14,7.30,7.35,6.90,7.10,733900,7.10
2011-11-07,7.61,7.72,7.02,7.34,802700,7.34
2011-10-31,9.80,10.10,7.33,7.63,1822200,7.63
2011-10-24,10.33,11.05,9.13,10.04,1068700,10.04
2011-10-17,11.05,11.59,9.90,10.26,550000,10.26
2011-10-10,11.38,11.79,11.03,11.23,393900,11.23
2011-10-03,11.82,12.43,11.07,11.10,560400,11.10
2011-09-26,12.00,13.04,11.55,12.00,485200,12.00
2011-09-19,12.52,13.69,11.61,11.89,676400,11.89
2011-09-12,11.41,12.80,11.31,12.79,406200,12.79
2011-09-06,11.06,12.32,10.99,11.64,375600,11.64
2011-08-29,11.85,12.40,11.41,11.52,367200,11.52
2011-08-22,11.19,11.82,10.52,11.67,419400,11.67
2011-08-15,11.31,11.69,10.28,10.84,553900,10.84
2011-08-08,10.81,11.54,9.83,11.14,813100,11.14
2011-08-01,14.41,14.54,10.77,11.24,1168800,11.24
2011-07-25,15.33,15.52,13.92,14.18,501500,14.18
2011-07-18,15.62,15.65,15.09,15.43,562100,15.43
2011-07-11,15.27,15.77,15.09,15.66,512200,15.66
2011-07-05,14.65,15.59,14.53,15.47,408000,15.47
2011-06-27,14.54,14.95,14.35,14.61,583500,14.61
2011-06-20,13.36,15.08,13.35,14.60,610600,14.60
2011-06-13,13.57,13.65,12.90,13.40,621500,13.40
2011-06-06,14.56,14.67,13.40,13.50,309400,13.50
2011-05-31,15.40,15.79,14.49,14.59,598900,14.59
2011-05-23,15.12,15.40,14.46,15.30,308600,15.30
2011-05-16,15.26,15.57,14.96,15.40,321400,15.40
2011-05-09,14.98,15.70,14.91,15.40,445200,15.40
2011-05-02,16.69,16.91,14.73,15.01,946300,15.01
2011-04-25,16.31,16.84,15.96,16.65,268900,16.65
2011-04-18,15.78,16.77,15.36,16.39,410700,16.39
2011-04-11,16.18,16.50,15.65,16.01,303800,16.01
2011-04-04,16.36,16.85,15.96,16.21,388500,16.21
2011-03-28,14.74,16.27,14.65,16.27,426500,16.27
2011-03-21,14.00,14.88,13.88,14.64,396000,14.64
2011-03-14,13.52,13.88,13.00,13.35,367600,13.35
2011-03-07,15.16,15.16,13.66,13.87,355100,13.87
2011-02-28,14.84,15.27,13.97,15.13,389400,15.13
2011-02-22,14.62,14.79,13.94,14.73,245100,14.73
2011-02-14,14.70,14.98,14.49,14.82,212000,14.82
2011-02-07,14.28,14.95,14.14,14.75,264100,14.75
2011-01-31,14.21,14.54,13.77,14.32,348000,14.32
2011-01-24,14.37,14.94,13.73,14.10,379500,14.10
2011-01-18,15.45,16.06,14.32,14.40,645100,14.40
2011-01-10,13.62,15.61,13.43,15.39,778300,15.39
2011-01-03,13.74,13.84,13.14,13.73,307900,13.73
2010-12-27,13.62,14.05,13.50,13.65,154800,13.65
2010-12-20,13.15,13.96,13.15,13.61,249900,13.61
2010-12-13,12.23,13.23,12.00,13.11,444600,13.11
2010-12-06,11.75,12.35,11.75,12.20,296300,12.20
2010-11-29,11.79,12.11,11.23,11.80,382100,11.80
2010-11-22,11.84,12.14,11.61,11.88,181500,11.88
2010-11-15,11.72,12.38,11.59,11.93,380100,11.93
2010-11-08,10.78,12.16,10.23,11.71,1089100,11.71
2010-11-01,13.81,14.35,9.91,10.85,1723100,10.85
2010-10-25,14.30,14.33,13.73,13.79,203400,13.79
2010-10-18,14.18,14.47,13.71,14.15,232800,14.15
2010-10-11,13.64,14.47,13.64,14.10,297800,14.10
2010-10-04,13.26,13.74,13.00,13.65,370300,13.65
2010-09-27,14.10,14.10,12.89,13.26,359500,13.26
2010-09-20,13.43,14.18,13.30,14.06,382000,14.06
2010-09-13,13.26,13.50,12.98,13.35,332800,13.35
2010-09-07,13.09,13.67,12.90,13.07,279600,13.07
2010-08-30,12.72,13.43,12.23,13.11,350100,13.11
2010-08-23,12.50,12.80,12.02,12.74,366700,12.74
2010-08-16,12.17,13.31,12.04,12.48,476000,12.48
2010-08-09,11.81,12.56,11.63,12.28,423700,12.28
2010-08-02,11.33,12.35,11.29,11.71,289200,11.71
2010-07-26,11.58,12.06,10.91,11.16,470400,11.16
2010-07-19,10.92,11.63,10.74,11.50,350900,11.50
2010-07-12,11.43,11.60,10.82,10.88,257000,10.88
2010-07-06,11.62,11.77,10.89,11.45,444800,11.45
2010-06-28,11.01,12.02,10.68,11.46,362500,11.46
2010-06-21,11.60,11.90,10.53,11.18,359900,11.18
2010-06-14,10.26,11.74,10.01,11.47,507000,11.47
2010-06-07,9.64,10.13,8.92,10.13,381100,10.13
2010-06-01,10.34,10.50,9.33,9.59,506600,9.59
2010-05-24,10.28,10.60,9.54,10.53,250000,10.53
2010-05-17,10.96,11.20,9.73,10.32,374100,10.32
2010-05-10,9.85,11.26,9.28,10.95,281200,10.95
2010-05-03,10.95,11.39,9.15,9.27,444000,9.27
2010-04-26,10.55,11.38,10.35,10.95,364600,10.95
2010-04-19,10.85,11.20,10.39,10.57,237200,10.57
2010-04-12,9.93,11.00,9.93,10.86,267400,10.86
2010-04-05,9.93,10.25,9.36,9.92,331400,9.92
2010-03-29,9.89,10.18,9.70,9.93,290800,9.93
2010-03-22,9.79,10.95,9.68,9.83,385800,9.83
2010-03-15,9.73,10.00,9.35,9.85,263200,9.85
2010-03-08,9.45,10.32,9.45,9.80,351500,9.80
2010-03-01,9.01,9.50,9.00,9.48,201600,9.48
2010-02-22,9.36,9.50,8.90,9.04,189000,9.04
2010-02-16,9.75,9.86,9.34,9.36,231900,9.36
2010-02-08,9.05,9.68,8.66,9.65,223000,9.65
2010-02-01,9.19,9.49,8.78,8.99,335100,8.99
2010-01-25,9.46,9.60,9.05,9.06,561500,9.06
2010-01-19,9.65,10.20,9.21,9.36,533300,9.36
2010-01-11,9.12,9.89,8.90,9.70,783500,9.70
2010-01-04,8.21,9.34,8.21,9.04,480100,9.04
2009-12-28,7.78,8.24,7.65,8.07,177900,8.07
2009-12-21,7.34,7.76,7.12,7.73,249500,7.73
2009-12-14,7.65,7.87,7.21,7.28,221900,7.28
2009-12-07,7.29,7.75,7.05,7.59,322300,7.59
2009-11-30,7.04,7.54,7.04,7.47,399400,7.47
2009-11-23,7.39,7.54,7.00,7.00,111100,7.00
2009-11-16,7.33,7.69,7.19,7.27,144400,7.27
2009-11-09,7.48,7.66,6.99,7.29,147400,7.29
2009-11-02,6.94,7.49,6.60,7.39,253000,7.39
2009-10-26,7.49,7.69,6.53,6.86,281100,6.86
2009-10-19,7.77,7.99,7.42,7.50,145600,7.50
2009-10-12,7.93,8.00,7.52,7.72,158700,7.72
2009-10-05,7.58,8.26,7.58,7.88,243900,7.88
2009-09-28,7.77,8.10,7.25,7.52,200400,7.52
2009-09-21,7.94,8.26,7.51,7.72,297200,7.72
2009-09-14,8.25,8.31,7.77,8.00,183800,8.00
2009-09-08,8.12,8.54,7.95,8.25,224700,8.25
2009-08-31,7.89,8.12,7.36,8.09,314100,8.09
2009-08-24,8.48,8.64,7.85,7.95,454900,7.95
2009-08-17,6.75,8.96,6.56,8.37,527700,8.37
2009-08-10,6.76,6.96,6.50,6.90,256000,6.90
2009-08-03,6.49,7.45,6.37,6.84,367400,6.84
2009-07-27,5.81,6.96,5.50,6.46,409400,6.46
2009-07-20,5.56,5.93,5.39,5.80,467100,5.80
2009-07-13,5.35,5.81,5.25,5.51,228900,5.51
2009-07-06,5.86,5.86,5.25,5.33,303200,5.33
2009-06-29,6.29,6.38,5.80,5.88,225400,5.88
2009-06-22,5.98,6.49,5.86,6.24,623700,6.24
2009-06-15,5.88,7.05,5.88,6.00,522700,6.00
2009-06-08,5.45,6.26,5.43,6.22,545600,6.22
2009-06-01,5.52,5.96,5.06,5.45,249900,5.45
2009-05-26,4.69,5.56,4.63,5.56,560800,5.56
2009-05-18,4.21,4.80,4.19,4.75,187700,4.75
2009-05-11,3.92,4.23,3.53,4.05,205900,4.05
2009-05-04,4.24,4.40,3.74,4.00,188200,4.00
2009-04-27,4.38,4.48,3.89,4.20,212000,4.20
2009-04-20,4.50,4.86,4.22,4.45,123200,4.45
2009-04-13,4.60,4.89,4.36,4.57,139600,4.57
2009-04-06,4.55,4.75,4.34,4.68,275600,4.68
2009-03-30,4.13,4.72,3.84,4.60,348300,4.60
2009-03-23,4.32,4.68,4.02,4.26,300200,4.26
2009-03-16,4.15,4.45,3.85,4.16,272900,4.16
2009-03-09,3.29,4.25,3.29,4.09,289800,4.09
2009-03-02,3.99,4.05,3.18,3.31,194000,3.31
2009-02-23,3.88,4.40,3.60,4.05,493100,4.05
2009-02-17,3.41,3.95,3.19,3.85,154900,3.85
2009-02-09,3.68,3.93,3.30,3.57,172700,3.57
2009-02-02,3.25,3.79,3.10,3.69,186900,3.69
2009-01-26,3.15,3.50,3.00,3.23,162800,3.23
2009-01-20,3.61,3.67,3.01,3.15,108100,3.15
2009-01-12,3.25,3.95,2.90,3.50,148900,3.50
2009-01-05,2.80,4.72,2.69,3.25,251300,3.25
2008-12-29,2.38,2.84,2.17,2.76,149600,2.76
2008-12-22,2.63,2.78,2.29,2.39,109000,2.39
2008-12-15,3.54,3.59,2.39,2.63,245200,2.63
2008-12-08,3.35,3.83,2.90,3.53,243700,3.53
2008-12-01,2.29,3.62,1.83,3.30,538100,3.30
2008-11-24,1.62,2.21,1.60,2.00,190300,2.00
2008-11-17,2.07,2.26,1.36,1.54,276000,1.54
2008-11-10,3.98,4.00,1.77,2.08,453300,2.08
2008-11-03,4.50,4.71,3.75,3.77,159900,3.77
2008-10-27,3.76,4.83,3.66,4.52,166800,4.52
2008-10-20,4.42,4.83,3.77,3.77,117400,3.77
2008-10-13,4.00,5.50,3.62,4.32,333300,4.32
2008-10-06,5.64,5.99,3.63,4.00,279000,4.00
2008-09-29,6.25,6.61,5.75,5.77,152800,5.77
2008-09-22,7.24,7.26,6.06,6.32,175100,6.32
2008-09-15,6.22,7.90,5.96,7.15,429500,7.15
2008-09-08,7.00,7.44,6.10,6.42,297700,6.42
2008-09-02,7.02,7.02,6.00,6.87,190600,6.87
2008-08-25,6.35,7.28,6.10,6.88,211000,6.88
2008-08-18,6.96,7.04,5.66,6.37,335100,6.37
2008-08-11,7.24,7.24,6.30,6.96,217600,6.96
2008-08-04,6.82,7.50,6.03,7.26,273900,7.26
2008-07-28,6.98,7.48,6.52,6.86,125800,6.86
2008-07-21,6.75,7.89,6.55,7.03,118400,7.03
2008-07-14,6.60,7.40,5.81,6.73,181100,6.73
