Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,24.53,25.13,24.08,24.25,115700,24.25
2012-05-14,25.29,25.60,24.18,24.44,91900,24.44
2012-05-07,23.05,26.21,22.77,25.50,173200,25.50
2012-04-30,23.56,24.75,23.03,23.11,80100,23.11
2012-04-23,21.76,23.73,21.74,23.53,160400,23.53
2012-04-16,21.93,22.37,21.45,22.03,72800,22.03
2012-04-09,21.64,22.26,21.42,21.80,75500,21.80
2012-04-02,22.41,22.80,21.69,22.17,119800,22.17
2012-03-26,21.56,22.70,21.48,22.55,91900,22.55
2012-03-19,22.50,22.60,20.90,21.29,124700,21.29
2012-03-12,22.37,23.40,22.00,22.59,105100,22.59
2012-03-05,21.99,22.52,21.60,22.35,122100,22.35
2012-02-27,23.24,23.24,21.67,21.99,88500,21.99
2012-02-21,24.57,24.73,23.25,23.42,65300,23.42
2012-02-13,23.75,24.91,23.22,24.60,130700,24.60
2012-02-06,24.18,24.52,23.28,23.44,164800,23.44
2012-01-30,23.48,24.86,23.02,24.35,138500,24.35
2012-01-23,22.99,23.50,22.66,23.48,89200,23.48
2012-01-17,22.40,23.03,22.13,22.96,99100,22.96
2012-01-09,21.81,22.69,21.27,22.27,94600,22.27
2012-01-03,21.70,22.37,20.87,21.68,153700,21.68
2011-12-27,21.50,21.62,20.88,21.26,102800,21.26
2011-12-19,20.02,21.58,19.40,21.53,112000,21.53
2011-12-12,21.67,21.76,19.63,19.88,247000,19.88
2011-12-05,21.24,22.09,20.71,22.03,137800,22.03
2011-11-28,20.91,21.96,20.53,20.80,170600,20.80
2011-11-21,21.69,21.69,19.80,20.16,198700,20.16
2011-11-14,23.45,23.65,21.93,22.15,186900,22.15
2011-11-07,23.94,24.23,22.71,23.62,268500,23.62
2011-10-31,26.52,27.50,22.14,24.09,929100,24.09
2011-10-24,26.01,28.50,26.01,27.07,212900,27.07
2011-10-17,26.43,26.67,24.58,25.96,123300,25.96
2011-10-10,25.24,27.00,25.02,26.70,100300,26.70
2011-10-03,21.58,25.21,20.68,24.66,178200,24.66
2011-09-26,22.43,23.82,21.52,21.85,83600,21.85
2011-09-19,23.59,24.75,21.13,22.19,221400,22.19
2011-09-12,21.89,24.16,21.89,24.12,175000,24.12
2011-09-06,21.40,22.88,21.40,22.35,166900,22.35
2011-08-29,22.67,24.26,21.89,22.25,185100,22.25
2011-08-22,20.28,22.39,18.96,22.28,157600,22.28
2011-08-15,22.76,22.98,19.61,19.67,162100,19.67
2011-08-08,21.11,22.32,19.00,22.31,246700,22.31
2011-08-01,27.73,28.64,21.87,22.28,342000,22.28
2011-07-25,27.96,28.61,26.39,27.35,488000,27.35
2011-07-18,27.21,28.65,26.02,28.37,235300,28.37
2011-07-11,27.40,28.89,25.45,27.48,346100,27.48
2011-07-05,31.04,31.78,25.27,26.53,421000,26.53
2011-06-27,29.30,31.21,29.19,31.09,132300,31.09
2011-06-20,29.51,30.99,29.03,29.34,173200,29.34
2011-06-13,30.65,32.48,29.11,29.61,156700,29.61
2011-06-06,32.26,33.00,31.05,31.27,122200,31.27
2011-05-31,32.34,33.16,32.07,32.35,290200,32.35
2011-05-23,30.85,32.20,30.05,32.12,118800,32.12
2011-05-16,30.80,31.59,30.39,31.37,147800,31.37
2011-05-09,29.49,31.85,29.49,30.81,91200,30.81
2011-05-02,30.17,30.17,29.09,29.58,65500,29.58
2011-04-25,25.99,30.51,24.76,29.94,214400,29.94
2011-04-18,25.49,26.70,25.11,26.18,74000,26.18
2011-04-11,25.06,26.28,24.53,25.98,80500,25.98
2011-04-04,25.20,25.83,24.73,24.90,77100,24.90
2011-03-28,25.76,25.76,22.99,25.13,192000,25.13
2011-03-21,25.10,26.32,24.86,25.63,36200,25.63
2011-03-14,24.76,25.29,23.88,24.75,154100,24.75
2011-03-07,26.19,26.68,24.84,24.99,121600,24.99
2011-02-28,27.50,27.50,25.30,25.97,251100,25.97
2011-02-22,26.83,27.65,25.51,27.48,89700,27.48
2011-02-14,23.11,27.67,22.89,27.21,153400,27.21
2011-02-07,23.21,23.79,22.74,23.18,37400,23.18
2011-01-31,22.08,23.91,21.65,23.13,61400,23.13
2011-01-24,23.33,23.66,21.95,21.97,44600,21.97
2011-01-18,24.13,24.39,22.83,23.37,62200,23.37
2011-01-10,23.70,24.63,23.00,24.30,57300,24.30
2011-01-03,23.69,24.38,23.08,23.90,99100,23.90
2010-12-27,22.91,23.67,22.82,23.45,45800,23.45
2010-12-20,21.21,23.04,20.94,23.01,86700,23.01
2010-12-13,22.14,22.20,20.90,21.18,138500,21.18
