Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,26.02,27.51,25.71,27.14,1172600,27.14
2012-05-14,27.32,27.78,25.67,25.79,953300,25.79
2012-05-07,28.58,28.88,27.32,27.75,1334600,27.75
2012-04-30,26.89,28.87,26.28,28.68,1210700,28.68
2012-04-23,26.60,27.00,25.33,26.90,1124300,26.90
2012-04-16,27.55,29.19,26.27,27.09,1005900,27.09
2012-04-09,27.13,28.49,26.70,27.57,707500,27.57
2012-04-02,27.50,28.80,27.40,27.78,698900,27.78
2012-03-26,27.22,27.62,26.00,27.46,971300,27.46
2012-03-19,27.74,28.75,26.17,26.97,1241100,26.97
2012-03-12,27.43,28.29,25.98,27.68,1089300,27.68
2012-03-05,27.14,28.12,25.82,27.40,1125600,27.40
2012-02-27,25.80,27.76,25.49,27.04,732200,27.04
2012-02-21,27.00,27.38,25.47,26.15,926400,26.15
2012-02-13,25.51,27.31,25.44,27.05,880900,27.05
2012-02-06,25.54,26.21,24.50,25.39,1485200,25.39
2012-01-30,24.17,25.92,23.30,25.86,1521200,25.86
2012-01-23,23.34,24.73,22.26,24.59,1051700,24.59
2012-01-17,23.13,24.77,21.88,23.27,3293400,23.27
2012-01-09,22.47,25.25,21.54,25.22,969300,25.22
2012-01-03,24.57,25.04,22.16,22.32,1250900,22.32
2011-12-27,23.87,24.21,23.37,24.05,620800,24.05
2011-12-19,21.74,24.20,21.41,24.08,938700,24.08
2011-12-12,23.82,24.15,20.75,21.74,1760900,21.74
2011-12-05,25.34,25.96,23.81,24.18,835900,24.18
2011-11-28,24.43,26.11,23.34,24.94,1320300,24.94
2011-11-21,23.02,23.98,22.10,23.46,2459200,23.46
2011-11-14,27.11,27.24,22.73,22.78,2372500,22.78
2011-11-07,28.76,29.06,26.69,27.10,723100,27.10
2011-10-31,30.00,30.30,28.10,28.85,906600,28.85
2011-10-24,27.00,30.63,27.00,30.07,1272700,30.07
2011-10-17,29.96,30.97,23.80,26.95,3635900,26.95
2011-10-10,27.71,30.89,27.55,30.20,1672800,30.20
2011-10-03,22.95,27.87,20.61,27.30,3468700,27.30
2011-09-26,28.23,30.04,22.51,22.97,2667400,22.97
2011-09-19,32.01,33.77,26.78,28.27,1474900,28.27
2011-09-12,31.31,34.77,30.98,32.46,1256400,32.46
2011-09-06,29.23,32.35,28.38,31.63,1089000,31.63
2011-08-29,27.40,30.71,27.23,29.59,1166500,29.59
2011-08-22,28.41,28.69,26.49,27.07,1035300,27.07
2011-08-15,121.64,123.47,27.41,27.50,2311800,27.50
2011-08-08,109.16,121.77,105.00,121.20,2801000,30.30
2011-08-01,128.00,128.39,109.49,111.15,1637600,27.79
2011-07-25,127.54,127.82,120.45,127.73,1461300,31.93
2011-07-18,131.25,133.00,119.84,127.71,3087300,31.93
2011-07-11,116.00,123.45,112.82,123.02,1419200,30.75
2011-07-05,114.66,120.25,113.89,117.65,882300,29.41
2011-06-27,105.15,116.45,104.75,114.76,1719200,28.69
2011-06-20,99.37,106.13,98.79,106.02,1694700,26.50
2011-06-13,101.87,106.64,98.72,99.68,1787500,24.92
2011-06-06,114.11,116.39,100.19,100.44,1623300,25.11
2011-05-31,118.21,118.66,110.16,111.35,1102400,27.84
2011-05-23,119.00,119.31,113.88,117.25,808400,29.31
2011-05-16,119.36,123.34,114.80,120.28,1181500,30.07
2011-05-09,119.23,124.46,118.06,120.39,798400,30.10
2011-05-02,124.89,127.80,115.73,119.23,1194900,29.81
2011-04-25,118.64,131.86,117.76,124.79,1831900,31.20
2011-04-18,115.77,119.96,114.50,117.86,972200,29.47
2011-04-11,118.33,118.33,111.42,116.69,1323600,29.17
2011-04-04,103.81,120.20,102.26,118.09,2753700,29.52
2011-03-28,97.98,104.45,96.50,103.61,1107500,25.90
2011-03-21,93.00,100.85,92.74,97.94,2267500,24.49
2011-03-14,93.21,95.60,88.86,91.63,1892800,22.91
2011-03-07,94.66,94.66,86.82,94.04,1671100,23.51
2011-02-28,96.96,97.72,93.14,94.28,673100,23.57
2011-02-22,96.18,96.91,91.69,96.81,1369000,24.20
2011-02-14,95.52,98.04,94.60,97.04,888800,24.26
2011-02-07,98.12,98.60,93.00,94.87,1569800,23.72
2011-01-31,98.82,100.78,97.56,98.36,781800,24.59
2011-01-24,99.14,103.86,98.27,98.86,729600,24.72
2011-01-18,109.99,112.00,99.01,99.75,1896100,24.94
2011-01-10,103.49,109.32,102.52,107.71,924400,26.93
2011-01-03,104.98,106.70,103.82,105.57,1012000,26.39
2010-12-27,105.64,106.99,104.42,105.23,302400,26.31
2010-12-20,109.14,109.16,105.25,106.04,1191200,26.51
2010-12-13,105.60,109.99,102.71,109.62,942000,27.41
2010-12-06,103.16,105.60,100.22,105.59,1137900,26.40
2010-11-29,107.31,107.42,102.83,103.16,809100,25.79
2010-11-22,107.91,109.80,105.00,108.05,881700,27.01
2010-11-15,109.77,110.07,104.62,107.37,906700,26.84
2010-11-08,104.00,113.53,102.28,107.75,1830600,26.94
2010-11-01,108.00,110.00,103.80,104.00,1353000,26.00
2010-10-25,99.40,107.77,99.04,107.37,1998800,26.84
2010-10-18,93.75,98.75,93.00,98.61,1736100,24.65
2010-10-11,89.54,92.85,87.51,91.50,1985400,22.88
2010-10-04,97.58,99.06,88.87,89.02,2844200,22.25
2010-09-27,99.53,100.00,93.22,98.54,2574800,24.64
2010-09-20,106.89,116.29,92.66,99.14,3348100,24.78
2010-09-13,102.47,106.71,100.78,106.02,1144900,26.50
2010-09-07,102.84,103.39,100.97,102.02,686300,25.50
2010-08-30,100.73,104.60,98.05,103.00,1074800,25.75
2010-08-23,101.27,102.92,99.05,100.72,1066200,25.18
2010-08-16,94.72,101.17,94.26,100.91,673200,25.23
2010-08-09,100.36,101.44,95.03,95.72,725400,23.93
2010-08-02,99.50,100.96,97.29,100.87,863500,25.22
2010-07-26,98.05,99.68,94.02,97.80,786000,24.45
2010-07-19,95.51,98.71,93.02,97.94,1704500,24.49
2010-07-12,101.79,102.44,97.08,97.64,1076400,24.41
2010-07-06,93.95,102.00,91.87,101.52,1014400,25.38
2010-06-28,100.29,103.54,91.00,91.91,1458000,22.98
2010-06-21,102.69,103.76,96.83,100.75,1162300,25.19
2010-06-14,93.97,102.50,93.49,101.36,1412400,25.34
2010-06-07,93.06,93.33,88.35,92.72,866700,23.18
2010-06-01,91.36,96.68,89.69,93.55,1605500,23.39
2010-05-24,88.80,92.54,86.17,91.67,1248900,22.92
2010-05-17,93.46,95.68,85.16,88.62,944800,22.16
2010-05-10,89.88,94.36,89.88,92.81,769800,23.20
2010-05-03,93.81,95.15,86.00,87.28,1325300,21.82
2010-04-26,95.39,96.00,93.06,93.57,940100,23.39
2010-04-19,89.20,100.62,89.20,95.54,3294400,23.89
2010-04-12,89.31,94.40,87.94,90.58,2068000,22.65
2010-04-05,86.78,90.25,86.50,88.40,1003000,22.10
2010-03-29,85.56,87.43,84.77,85.93,708000,21.48
2010-03-22,85.00,88.07,84.40,85.01,1142800,21.25
2010-03-15,85.27,88.50,82.70,85.12,1843900,21.28
2010-03-08,77.16,85.95,76.14,85.65,2293500,21.41
2010-03-01,77.80,79.73,76.42,77.00,1628700,19.25
2010-02-22,73.25,79.30,73.25,78.19,2194000,19.55
2010-02-16,70.51,73.98,69.91,73.09,980100,18.27
2010-02-08,69.22,70.20,66.30,69.97,1350300,17.49
2010-02-01,67.62,71.91,67.40,69.00,1379200,17.25
2010-01-25,75.00,75.00,67.76,68.00,2694200,17.00
2010-01-19,69.69,80.00,69.69,74.81,6452600,18.70
2010-01-11,79.14,79.63,71.45,72.13,2438000,18.03
2010-01-04,76.64,80.00,74.97,79.69,1403200,19.92
2009-12-28,76.04,79.30,75.39,75.61,829200,18.90
2009-12-21,75.16,77.47,74.76,75.75,842700,18.94
2009-12-14,77.21,78.02,73.75,74.52,1152400,18.63
2009-12-07,73.11,78.27,71.54,76.63,1208300,19.16
2009-11-30,70.85,73.96,70.33,72.82,1038800,18.20
2009-11-23,73.59,73.59,70.16,70.81,923500,17.70
2009-11-16,73.36,74.31,72.05,72.80,876700,18.20
2009-11-09,71.20,74.89,69.92,73.02,1128800,18.25
2009-11-02,69.71,71.04,65.92,70.33,1687200,17.58
2009-10-26,72.33,73.00,69.79,69.84,1497400,17.46
2009-10-19,80.78,81.30,70.06,72.33,3270000,18.08
2009-10-12,82.21,84.13,80.15,80.17,881100,20.04
2009-10-05,78.30,83.68,77.53,82.63,1540800,20.66
2009-09-28,76.93,81.92,75.13,78.77,1491600,19.69
2009-09-21,78.00,84.97,76.63,77.20,2104500,19.30
2009-09-14,73.86,78.53,73.86,78.46,833100,19.61
2009-09-08,70.25,74.74,69.00,74.22,1096100,18.56
2009-08-31,69.95,71.68,66.75,70.15,1110900,17.54
2009-08-24,76.19,76.19,70.21,70.55,1042400,17.64
2009-08-17,71.00,76.42,69.29,75.59,1146000,18.90
2009-08-10,75.74,76.13,71.55,72.12,937400,18.03
2009-08-03,73.52,75.79,71.65,75.44,1257300,18.86
2009-07-27,70.49,74.18,68.82,73.50,1297200,18.38
2009-07-20,63.50,70.18,61.34,70.00,2588800,17.50
2009-07-13,62.54,64.00,60.42,62.98,1322000,15.74
2009-07-06,63.12,63.47,60.54,62.25,1121000,15.56
2009-06-29,65.07,67.96,63.36,63.87,1370500,15.97
2009-06-22,63.28,65.54,61.75,65.23,1766800,16.31
2009-06-15,60.67,64.34,59.30,63.42,2158600,15.85
2009-06-08,58.08,63.75,56.50,60.68,3010200,15.17
2009-06-01,55.00,60.00,55.00,58.02,2377000,14.51
2009-05-26,54.19,57.42,53.60,54.96,1565800,13.74
2009-05-18,51.28,57.38,50.96,54.22,1922000,13.56
2009-05-11,52.50,54.71,50.78,51.28,1871100,12.82
2009-05-04,53.74,57.25,53.13,53.63,3172700,13.41
2009-04-27,54.16,54.98,51.11,52.72,2559000,13.18
2009-04-20,50.35,55.00,49.62,54.46,3521500,13.61
2009-04-13,52.77,54.66,47.04,51.64,3809600,12.91
2009-04-06,52.34,53.49,51.24,52.66,1537300,13.16
2009-03-30,51.37,53.67,48.46,52.61,2061600,13.15
2009-03-23,48.05,53.68,47.59,52.02,2226800,13.01
2009-03-16,47.01,48.19,44.18,47.36,2107200,11.84
2009-03-09,40.88,47.15,40.88,47.01,1978500,11.75
2009-03-02,43.21,44.46,41.01,42.10,2285600,10.52
2009-02-23,43.22,45.48,42.18,44.77,3083400,11.19
2009-02-17,40.45,43.26,38.93,43.10,3941000,10.77
2009-02-09,54.68,57.23,38.04,41.14,7731200,10.28
2009-02-02,47.88,55.03,47.06,54.82,2753300,13.70
2009-01-26,51.20,51.72,47.59,47.84,1695100,11.96
2009-01-20,53.53,54.00,48.22,50.33,2662000,12.58
2009-01-12,48.26,55.83,48.26,54.12,2626700,13.53
2009-01-05,56.99,57.47,47.00,49.00,2750000,12.25
2008-12-29,51.50,56.72,50.75,56.29,1383700,14.07
2008-12-22,53.00,53.00,48.56,51.69,1474500,12.92
2008-12-15,53.61,55.00,49.30,52.69,1803900,13.17
2008-12-08,51.93,55.41,50.58,52.58,2208100,13.15
2008-12-01,50.93,50.93,44.02,49.75,2714800,12.44
2008-11-24,40.94,52.78,40.76,51.61,3695400,12.90
2008-11-17,54.13,55.61,39.00,39.97,4425200,9.99
2008-11-10,58.10,58.45,51.53,54.85,2643500,13.71
2008-11-03,64.01,64.69,52.33,54.99,2919200,13.75
2008-10-27,50.13,63.95,45.55,63.95,4948300,15.99
2008-10-20,61.74,64.63,50.05,51.35,4527000,12.84
2008-10-13,56.00,63.71,53.24,57.70,2145500,14.43
2008-10-06,56.24,60.63,51.00,52.91,3414400,13.23
2008-09-29,66.35,66.35,58.00,59.20,2410100,14.80
2008-09-22,73.11,73.11,65.45,66.26,1308800,16.57
2008-09-15,67.11,74.50,64.00,72.94,3476000,18.24
2008-09-08,70.65,70.65,62.47,68.36,2017100,17.09
2008-09-02,75.78,76.43,64.05,67.56,3179400,16.89
2008-08-25,78.42,78.42,72.50,74.10,1673900,18.52
2008-08-18,74.35,78.91,69.19,77.83,1550000,19.46
2008-08-11,73.48,75.26,67.64,73.91,1221000,18.48
2008-08-04,69.55,75.83,67.25,74.26,1267500,18.57
2008-07-28,75.92,75.92,67.53,70.27,2035100,17.57
2008-07-21,73.65,76.74,72.20,74.32,2404000,18.58
2008-07-14,64.00,75.05,60.05,73.94,2915700,18.49
2008-07-07,58.01,66.26,56.94,63.21,3135600,15.80
2008-06-30,58.00,60.00,53.01,57.57,3559300,14.39
2008-06-23,65.07,65.30,58.33,58.95,3284600,14.74
2008-06-16,65.64,65.64,62.00,64.79,1535400,16.20
2008-06-09,65.32,67.17,60.00,65.21,2150400,16.30
2008-06-02,65.46,71.52,64.99,65.29,2777200,16.32
2008-05-27,75.41,76.49,65.40,65.75,5304300,16.44
2008-05-19,80.67,81.59,73.13,75.20,1691900,18.80
2008-05-12,72.01,80.98,69.80,80.08,2530000,20.02
2008-05-05,74.83,76.78,71.60,72.06,2056800,18.01
2008-04-28,74.38,77.50,72.75,75.73,1861600,18.93
