Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,21.23,21.55,21.17,21.37,31000,21.37
2012-05-14,21.48,21.70,21.16,21.21,38400,21.21
2012-05-07,19.91,21.91,19.91,21.44,58200,21.44
2012-04-30,19.88,20.08,19.85,19.86,12800,19.86
2012-04-23,19.96,19.96,19.56,19.85,4600,19.85
2012-04-16,19.65,20.00,19.56,19.98,12700,19.98
2012-04-09,19.42,19.85,19.32,19.72,19300,19.72
2012-04-02,19.60,19.62,19.36,19.44,24900,19.44
2012-03-26,19.55,19.85,19.37,19.56,36400,19.56
2012-03-19,19.50,19.68,19.29,19.51,17600,19.51
2012-03-12,19.59,19.66,19.28,19.50,26400,19.50
2012-03-05,19.35,19.56,19.16,19.56,13100,19.56
2012-02-27,19.65,20.15,19.16,19.35,39900,19.35
2012-02-21,19.45,19.62,19.27,19.52,59200,19.13
2012-02-13,19.30,19.62,19.15,19.44,100600,19.05
2012-02-06,19.35,19.47,18.64,19.22,24800,18.83
2012-01-30,19.13,19.54,19.13,19.35,36400,18.96
2012-01-23,19.21,19.79,19.10,19.26,38500,18.87
2012-01-17,18.45,19.23,18.30,19.16,42900,18.77
2012-01-09,18.09,18.99,18.09,18.37,30700,18.00
2012-01-03,17.53,18.15,17.16,18.09,49800,17.73
2011-12-27,17.15,17.35,17.02,17.17,33400,16.82
2011-12-19,17.10,17.40,16.98,17.15,61100,16.81
2011-12-12,17.16,17.36,16.90,17.00,31900,16.66
2011-12-05,17.29,17.30,16.91,17.15,27900,16.81
2011-11-28,17.00,17.26,16.55,17.15,34900,16.81
2011-11-21,17.37,17.41,16.94,16.96,17400,16.23
2011-11-14,17.90,17.98,17.37,17.37,16500,16.62
2011-11-07,18.75,18.75,17.66,17.90,20300,17.13
2011-10-31,18.06,18.74,17.90,18.57,13900,17.77
2011-10-24,17.89,18.44,17.64,18.36,15100,17.57
2011-10-17,17.64,17.92,17.29,17.89,15900,17.12
2011-10-10,17.60,18.27,17.30,17.59,15800,16.83
2011-10-03,16.95,17.52,15.76,17.37,32500,16.62
2011-09-26,16.90,17.50,16.89,17.18,25700,16.44
2011-09-19,17.39,17.71,16.67,16.69,30800,15.97
2011-09-12,17.27,17.73,17.10,17.70,36800,16.94
2011-09-06,17.13,17.41,17.01,17.21,42000,16.47
2011-08-29,17.55,17.88,17.05,17.20,63400,16.46
2011-08-22,18.50,18.50,17.11,17.48,65600,16.35
2011-08-15,18.51,19.33,18.11,18.29,37000,17.11
2011-08-08,18.25,18.95,17.51,18.16,69000,16.99
2011-08-01,19.70,20.64,18.50,18.86,50800,17.64
2011-07-25,20.46,20.53,19.12,19.63,28700,18.36
2011-07-18,20.67,20.72,20.31,20.47,21100,19.15
2011-07-11,21.41,21.49,20.51,20.67,31100,19.33
2011-07-05,21.02,21.95,20.85,21.60,31700,20.20
2011-06-27,20.81,21.12,20.77,21.05,21800,19.69
2011-06-20,21.23,21.23,20.76,20.89,29000,19.54
2011-06-13,22.16,22.16,20.72,21.15,69200,19.78
2011-06-06,22.00,22.20,21.82,22.16,31000,20.73
2011-05-31,21.92,22.10,21.79,22.10,33400,20.67
2011-05-23,22.06,22.31,21.64,21.93,40800,20.51
2011-05-16,22.15,22.27,21.50,22.06,112000,20.26
2011-05-09,22.56,23.15,22.00,22.26,112200,20.45
2011-05-02,23.09,23.20,22.51,22.76,68900,20.91
2011-04-25,22.51,23.35,22.51,22.74,66200,20.89
2011-04-18,22.75,22.82,22.43,22.65,44400,20.80
2011-04-11,22.50,23.00,22.11,22.88,45100,21.02
2011-04-04,23.07,23.10,22.33,22.43,57000,20.60
2011-03-28,23.10,23.17,22.90,22.93,28100,21.06
2011-03-21,23.40,23.41,22.86,23.09,43100,21.21
2011-03-14,23.42,23.43,22.81,23.27,63200,21.37
2011-03-07,23.17,23.60,23.14,23.42,40400,21.51
2011-02-28,23.03,23.69,22.98,23.25,78000,21.36
2011-02-22,24.14,25.09,22.57,23.00,212800,21.13
2011-02-14,24.73,24.99,24.00,24.24,150200,21.05
2011-02-07,22.53,24.16,22.53,23.93,104200,20.78
2011-01-31,22.24,22.70,22.00,22.45,62800,19.49
2011-01-24,22.34,22.64,22.09,22.20,36500,19.28
2011-01-18,22.31,22.70,22.25,22.30,13300,19.36
2011-01-10,22.28,22.51,22.05,22.25,54600,19.32
2011-01-03,22.53,22.57,22.00,22.28,14100,19.35
2010-12-27,22.20,22.40,22.18,22.24,34600,19.31
2010-12-20,22.07,22.49,22.07,22.20,12800,19.28
2010-12-13,22.26,22.68,21.76,21.95,23700,19.06
2010-12-06,22.34,22.65,21.87,22.25,24000,19.32
2010-11-29,22.50,22.56,22.00,22.29,56700,19.36
2010-11-22,22.24,22.65,22.10,22.59,33200,19.62
2010-11-15,22.05,22.50,21.87,22.35,22800,19.41
2010-11-08,22.09,22.29,21.45,21.90,27000,19.02
2010-11-01,22.11,22.21,21.90,22.09,16300,19.18
2010-10-25,22.00,22.10,21.70,22.03,41200,19.13
2010-10-18,22.36,22.55,22.14,22.20,31400,19.28
2010-10-11,21.75,22.49,21.45,22.36,202900,19.42
