Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,15.05,15.21,14.91,15.14,80500,15.14
2012-05-14,15.67,15.69,14.96,15.06,103500,14.97
2012-05-07,15.53,15.77,15.36,15.77,88400,15.68
2012-04-30,15.70,15.84,15.54,15.56,105400,15.47
2012-04-23,15.50,15.80,15.47,15.69,118900,15.60
2012-04-16,15.43,15.54,15.17,15.49,107700,15.40
2012-04-09,15.45,15.62,15.21,15.35,148400,15.18
2012-04-02,15.29,15.47,15.20,15.45,127500,15.27
2012-03-26,15.63,15.75,15.21,15.24,173300,15.07
2012-03-19,15.20,15.68,15.14,15.64,139800,15.46
2012-03-12,15.32,15.40,15.06,15.21,151400,14.95
2012-03-05,15.40,15.59,15.19,15.40,136600,15.14
2012-02-27,15.32,15.37,15.11,15.36,109500,15.10
2012-02-21,15.49,15.60,15.29,15.29,126600,15.03
2012-02-13,15.26,15.63,15.11,15.43,122700,15.17
2012-02-06,15.24,15.36,15.10,15.21,101800,14.87
2012-01-30,15.13,15.80,15.08,15.22,171900,14.88
2012-01-23,14.95,15.38,14.90,15.31,141900,14.97
2012-01-17,14.93,14.99,14.78,14.83,99600,14.50
2012-01-09,14.82,14.87,14.66,14.79,128500,14.46
2012-01-03,14.65,14.99,14.53,14.74,218400,14.41
2011-12-27,14.31,14.50,14.17,14.38,151400,14.06
2011-12-19,13.66,14.38,13.49,14.35,218600,13.95
2011-12-12,14.10,14.14,13.63,13.71,187300,13.24
2011-12-05,14.15,14.32,14.08,14.21,166300,13.73
2011-11-28,13.86,14.21,13.82,14.15,119400,13.67
2011-11-21,13.93,13.97,13.64,13.75,111000,13.28
2011-11-14,14.55,14.55,13.95,14.01,131100,13.45
2011-11-07,14.28,14.58,14.10,14.50,125500,13.92
2011-10-31,14.64,14.64,14.13,14.29,94700,13.72
2011-10-24,14.15,14.62,13.90,14.58,150200,14.00
2011-10-17,13.85,14.33,13.81,14.17,149100,13.61
2011-10-10,13.66,14.14,13.60,13.99,132300,13.36
2011-10-03,14.08,14.10,13.31,13.56,134600,12.94
2011-09-26,13.55,14.24,13.41,14.21,194900,13.57
2011-09-19,13.86,14.08,13.36,13.53,121100,12.92
2011-09-12,14.00,14.15,13.88,14.05,106700,13.33
2011-09-06,14.02,14.33,13.76,14.13,79800,13.41
2011-08-29,13.82,14.30,13.76,14.23,118300,13.51
2011-08-22,13.71,13.78,13.38,13.65,131600,12.95
2011-08-15,14.17,14.35,13.67,13.71,154300,12.93
2011-08-08,14.09,14.28,13.38,14.15,455100,13.35
2011-08-01,14.84,15.03,13.57,14.40,338100,13.58
2011-07-25,15.81,15.90,14.32,14.75,467800,13.91
2011-07-18,15.90,16.08,15.65,16.02,102300,15.11
2011-07-11,16.02,16.02,15.72,15.95,88600,14.97
2011-07-05,16.05,16.06,15.82,16.01,85600,15.02
2011-06-27,15.72,16.06,15.35,16.00,156700,15.02
2011-06-20,16.36,16.37,15.50,15.72,147900,14.75
2011-06-13,16.45,16.58,16.24,16.38,78500,15.29
2011-06-06,16.91,16.99,16.39,16.39,93300,15.30
2011-05-31,17.05,17.17,16.88,16.94,108000,15.82
2011-05-23,17.43,17.50,16.85,16.95,128700,15.83
2011-05-16,17.17,17.69,16.86,17.46,126500,16.30
2011-05-09,16.80,17.19,16.65,17.16,101700,15.95
2011-05-02,16.81,17.18,16.66,16.79,131000,15.60
2011-04-25,17.21,17.25,16.70,16.83,117600,15.64
2011-04-18,16.32,17.34,16.22,17.20,203300,15.98
2011-04-11,16.35,16.45,16.19,16.37,87900,15.14
2011-04-04,16.41,16.47,16.10,16.31,92800,15.08
2011-03-28,16.41,16.58,16.15,16.41,97100,15.17
2011-03-21,16.71,16.88,16.42,16.45,96800,15.21
2011-03-14,16.93,17.30,16.49,16.63,98500,15.30
2011-03-07,17.17,17.26,16.64,16.99,168000,15.63
2011-02-28,18.18,18.42,16.93,17.22,235200,15.84
2011-02-22,17.83,18.25,17.55,18.20,165600,16.74
2011-02-14,17.54,18.10,17.38,17.87,143000,16.44
2011-02-07,17.37,17.50,17.00,17.49,121300,16.01
2011-01-31,16.71,17.48,16.71,17.36,124200,15.89
2011-01-24,16.74,16.93,16.45,16.70,141500,15.28
2011-01-18,16.61,16.93,16.40,16.80,140400,15.38
2011-01-10,16.68,16.99,16.27,16.52,268700,15.12
2011-01-03,16.20,16.66,15.95,16.62,162700,15.21
2010-12-27,16.67,16.85,16.19,16.22,79400,14.85
2010-12-20,16.97,16.97,16.13,16.67,134000,15.13
2010-12-13,16.30,17.00,16.08,17.00,119100,15.35
2010-12-06,15.92,16.35,15.80,16.29,132400,14.71
2010-11-29,15.52,16.12,15.44,15.98,121000,14.43
2010-11-22,15.80,16.00,15.55,15.55,97800,14.04
2010-11-15,15.78,15.98,14.85,15.80,181000,14.27
2010-11-08,16.08,16.34,15.74,15.74,170100,14.13
2010-11-01,15.63,16.13,15.55,16.09,92400,14.45
2010-10-25,15.65,15.70,15.45,15.64,80200,14.04
2010-10-18,15.45,15.65,15.29,15.63,105300,14.03
2010-10-11,15.47,15.89,15.43,15.47,123100,13.81
2010-10-04,15.65,15.75,15.40,15.49,109200,13.83
2010-09-27,15.67,15.73,15.41,15.62,75400,13.95
2010-09-20,15.47,15.69,15.36,15.65,112700,13.97
2010-09-13,15.38,15.47,15.19,15.47,104500,13.73
2010-09-07,15.05,15.43,14.89,15.34,54500,13.62
2010-08-30,15.20,15.35,14.97,15.03,69100,13.34
2010-08-23,15.14,15.20,14.97,15.16,71200,13.46
2010-08-16,15.07,15.14,14.91,15.08,63100,13.39
2010-08-09,15.42,15.42,14.85,15.07,62700,13.30
2010-08-02,15.67,15.69,15.22,15.35,72700,13.55
2010-07-26,15.48,15.62,15.26,15.60,67700,13.77
2010-07-19,15.06,15.45,14.88,15.43,65400,13.62
2010-07-12,14.85,15.17,14.80,15.01,68100,13.17
2010-07-06,15.08,15.08,14.51,14.78,65800,12.97
2010-06-28,14.99,15.00,14.57,14.89,79800,13.07
2010-06-21,15.24,15.34,14.81,14.92,69800,13.10
2010-06-14,15.11,15.21,14.86,15.19,58100,13.26
2010-06-07,14.70,14.87,14.52,14.84,59600,12.95
2010-06-01,14.73,15.25,14.50,14.63,63100,12.77
2010-05-24,14.46,14.89,13.96,14.84,152600,12.95
2010-05-17,15.62,15.66,13.91,14.62,190500,12.76
2010-05-10,15.50,15.79,15.03,15.62,150400,13.56
2010-05-03,16.75,16.90,13.35,14.79,395000,12.84
2010-04-26,16.20,16.75,16.20,16.75,151000,14.54
2010-04-19,15.90,16.25,15.83,16.23,137700,14.09
2010-04-12,15.83,16.42,15.77,15.89,155100,13.72
2010-04-05,16.71,16.71,15.41,15.73,196300,13.58
2010-03-29,16.19,16.70,16.14,16.60,174400,14.34
2010-03-22,15.74,16.19,15.74,16.18,180200,13.97
2010-03-15,15.67,16.06,15.64,15.99,217000,13.73
2010-03-08,15.34,15.73,15.29,15.67,183900,13.46
2010-03-01,14.61,15.40,14.57,15.27,248400,13.12
2010-02-22,14.50,14.71,14.37,14.56,211200,12.51
2010-02-16,15.95,15.95,14.26,14.49,472100,12.45
2010-02-08,15.77,16.05,15.72,15.82,164100,13.51
2010-02-01,16.08,16.25,15.45,15.74,227000,13.45
2010-01-25,15.90,16.27,15.79,15.88,262800,13.56
2010-01-19,15.29,15.84,15.20,15.79,181800,13.49
