Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.00,14.57,13.84,14.07,315800,14.07
2012-05-14,14.81,14.97,13.90,13.99,296600,13.99
2012-05-07,14.37,15.02,14.36,14.99,235200,14.99
2012-04-30,14.95,15.20,14.12,14.38,545600,14.38
2012-04-23,13.85,15.29,13.48,14.97,363000,14.97
2012-04-16,13.71,14.17,13.12,14.02,253100,14.02
2012-04-09,13.82,14.17,13.05,13.45,266500,13.45
2012-04-02,14.27,14.48,13.40,13.83,373900,13.83
2012-03-26,14.57,14.87,14.00,14.65,335700,14.65
2012-03-19,14.08,14.66,13.87,14.46,456100,14.46
2012-03-12,13.26,14.37,12.99,14.17,547000,14.17
2012-03-05,13.00,13.35,11.97,13.31,360900,13.31
2012-02-27,12.90,13.79,12.53,12.96,927400,12.96
2012-02-21,13.02,13.46,12.48,13.01,373200,13.01
2012-02-13,12.91,13.67,12.74,12.96,336700,12.96
2012-02-06,13.39,13.46,12.45,12.76,253800,12.76
2012-01-30,12.99,13.67,12.66,13.46,337000,13.46
2012-01-23,12.24,13.39,12.15,13.03,327000,13.03
2012-01-17,12.15,12.75,12.01,12.23,494200,12.23
2012-01-09,11.52,12.70,11.28,12.63,431400,12.63
2012-01-03,11.63,11.80,11.31,11.45,220900,11.45
2011-12-27,11.51,11.76,11.44,11.48,220800,11.48
2011-12-19,11.71,12.00,11.16,11.55,280200,11.55
2011-12-12,10.66,11.74,10.55,11.68,632600,11.68
2011-12-05,11.49,11.65,10.47,10.75,415200,10.75
2011-11-28,10.55,11.70,10.55,11.38,431000,11.38
2011-11-21,10.17,10.61,10.00,10.20,262000,10.20
2011-11-14,11.46,11.64,10.23,10.36,586900,10.36
2011-11-07,11.65,11.76,10.96,11.53,556000,11.53
2011-10-31,11.05,11.97,10.43,11.72,938300,11.72
2011-10-24,10.59,12.20,10.36,11.20,1296400,11.20
2011-10-17,11.10,11.72,10.18,10.59,738000,10.59
2011-10-10,11.00,11.45,10.78,11.22,408200,11.22
2011-10-03,9.92,11.24,9.75,10.80,679900,10.80
2011-09-26,10.52,11.30,10.00,10.04,482100,10.04
2011-09-19,10.74,11.48,9.95,10.38,561500,10.38
2011-09-12,8.83,11.03,8.82,11.01,1198300,11.01
2011-09-06,8.61,9.49,8.61,8.99,265100,8.99
2011-08-29,9.19,9.81,8.69,8.90,538400,8.90
2011-08-22,8.62,9.37,8.27,9.08,356100,9.08
2011-08-15,9.06,9.60,8.29,8.40,711300,8.40
2011-08-08,8.04,9.10,7.64,8.99,1092800,8.99
2011-08-01,9.20,9.20,7.82,8.26,485400,8.26
2011-07-25,9.27,9.47,8.38,9.08,885600,9.08
2011-07-18,9.44,9.76,9.09,9.32,916800,9.32
2011-07-11,9.09,9.47,8.68,9.36,1141400,9.36
2011-07-05,9.36,9.57,9.14,9.39,302300,9.39
2011-06-27,9.11,9.45,8.95,9.39,538300,9.39
2011-06-20,8.43,9.34,7.80,9.15,733500,9.15
2011-06-13,7.25,8.50,7.25,8.41,469100,8.41
2011-06-06,8.00,8.09,7.34,7.48,236600,7.48
2011-05-31,8.47,8.72,7.97,7.98,758000,7.98
2011-05-23,8.32,8.47,8.02,8.42,651100,8.42
2011-05-16,8.00,8.46,7.75,8.41,415200,8.41
2011-05-09,7.56,8.24,7.56,8.06,233300,8.06
2011-05-02,7.99,8.00,7.10,7.56,261200,7.56
2011-04-25,7.89,8.43,7.73,7.95,667600,7.95
2011-04-18,7.22,7.87,7.09,7.85,461200,7.85
2011-04-11,6.73,7.48,6.68,7.34,280100,7.34
2011-04-04,7.29,7.30,6.72,6.73,258100,6.73
2011-03-28,6.65,7.09,6.49,7.09,216900,7.09
2011-03-21,6.04,6.89,5.87,6.64,276000,6.64
2011-03-14,5.93,6.04,5.69,5.97,256500,5.97
2011-03-07,6.21,6.34,5.80,6.01,212600,6.01
2011-02-28,5.95,6.30,5.79,6.21,257100,6.21
2011-02-22,5.92,6.87,5.47,5.87,839200,5.87
2011-02-14,6.17,6.24,5.79,5.97,191900,5.97
2011-02-07,6.27,6.40,6.10,6.19,129100,6.19
2011-01-31,5.77,6.48,5.64,6.27,852000,6.27
2011-01-24,6.03,6.29,5.43,5.75,402200,5.75
2011-01-18,7.00,7.08,5.91,6.01,490100,6.01
2011-01-10,6.52,7.10,6.25,7.03,383300,7.03
2011-01-03,7.25,7.31,6.52,6.59,215200,6.59
2010-12-27,7.32,7.55,6.90,7.15,149900,7.15
2010-12-20,7.07,7.49,6.93,7.33,251900,7.33
2010-12-13,6.09,7.17,6.09,7.06,723500,7.06
2010-12-06,5.61,6.09,5.61,6.06,331400,6.06
2010-11-29,5.80,5.93,5.60,5.64,162000,5.64
2010-11-22,5.90,5.92,5.48,5.86,129500,5.86
2010-11-15,6.10,6.15,5.85,5.97,128100,5.97
2010-11-08,6.01,6.12,5.79,6.06,137200,6.06
2010-11-01,5.53,6.26,5.36,6.02,288500,6.02
2010-10-25,5.05,5.55,5.05,5.53,176900,5.53
2010-10-18,5.01,5.12,4.90,5.05,107700,5.05
2010-10-11,4.90,5.09,4.84,4.97,110300,4.97
2010-10-04,4.50,4.95,4.42,4.92,163300,4.92
2010-09-27,4.69,4.69,4.42,4.50,239400,4.50
2010-09-20,4.61,4.92,4.48,4.68,91400,4.68
2010-09-13,4.35,4.65,4.30,4.60,112100,4.60
2010-09-07,4.38,4.41,4.25,4.31,62000,4.31
2010-08-30,4.03,4.40,3.81,4.39,112000,4.39
2010-08-23,4.00,4.07,3.70,4.06,148400,4.06
2010-08-16,3.86,4.15,3.68,3.95,141800,3.95
2010-08-09,4.41,4.42,3.84,3.90,232000,3.90
2010-08-02,4.67,4.67,4.35,4.39,76800,4.39
2010-07-26,4.83,5.01,4.43,4.57,274200,4.57
2010-07-19,4.37,4.93,4.35,4.83,169600,4.83
2010-07-12,4.43,4.63,4.34,4.36,137600,4.36
