Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.12,26.07,24.89,25.59,18653900,25.59
2012-05-14,26.09,26.45,24.84,24.94,16197300,24.94
2012-05-07,27.63,27.88,25.88,26.36,18336800,26.36
2012-04-30,28.23,28.75,27.67,27.80,11216600,27.80
2012-04-23,27.70,28.66,27.34,28.32,15525900,28.32
2012-04-16,29.28,29.40,27.46,27.90,23958600,27.90
2012-04-09,28.43,29.38,27.93,28.87,19311100,28.87
2012-04-02,29.83,29.99,28.93,28.94,18335500,28.94
2012-03-26,29.37,30.00,29.03,29.88,15924100,29.88
2012-03-19,28.91,29.36,28.50,29.15,14410500,29.15
2012-03-12,28.99,29.68,28.70,28.89,21046700,28.89
2012-03-05,28.30,29.07,27.07,29.01,22605300,29.01
2012-02-27,27.25,28.74,27.22,28.58,22757400,28.58
2012-02-21,27.13,27.79,26.76,27.52,17255300,27.52
2012-02-13,26.34,27.70,25.96,27.10,22245200,27.10
2012-02-06,26.29,26.43,25.81,26.20,14049400,26.20
2012-01-30,25.50,26.49,25.38,26.39,18014800,26.39
2012-01-23,23.35,25.94,23.16,25.83,35664500,25.83
2012-01-17,22.42,23.32,22.13,23.25,24149900,23.25
2012-01-09,22.00,22.80,21.77,22.25,19442500,22.25
2012-01-03,21.92,22.09,21.59,22.01,23356500,22.01
2011-12-27,21.74,21.88,21.39,21.54,18425000,21.54
2011-12-19,22.43,22.57,21.25,21.83,25924900,21.83
2011-12-12,23.36,23.40,22.06,22.30,23288800,22.30
2011-12-05,23.56,23.99,23.11,23.55,19983300,23.55
2011-11-28,22.43,23.64,22.31,23.26,22545200,23.26
2011-11-21,22.72,22.86,21.81,21.88,16725300,21.88
2011-11-14,24.55,24.89,22.88,23.07,17034000,23.07
2011-11-07,24.59,25.06,23.85,24.64,17305500,24.64
2011-10-31,24.47,25.09,23.58,24.67,22742100,24.67
2011-10-24,24.01,25.13,23.46,25.03,21677800,25.03
2011-10-17,22.98,24.37,22.47,24.03,28945700,24.03
2011-10-10,22.70,23.44,22.56,23.09,19767800,23.09
2011-10-03,20.68,22.85,19.99,22.39,26595000,22.39
2011-09-26,20.79,22.35,20.71,20.99,21197400,20.99
2011-09-19,22.21,22.62,20.06,20.62,25568300,20.62
2011-09-12,20.99,22.99,20.94,22.76,20973100,22.76
2011-09-06,20.68,22.31,20.59,21.29,19971900,21.29
2011-08-29,21.85,22.99,21.22,21.43,22672300,21.43
2011-08-22,20.86,21.99,20.32,21.61,25189900,21.61
2011-08-15,23.29,23.51,19.84,20.28,32894600,20.28
2011-08-08,22.20,23.55,21.40,23.14,42556300,23.14
2011-08-01,26.42,26.50,22.11,22.99,41358200,22.99
2011-07-25,27.44,27.75,25.87,26.08,17576600,26.08
2011-07-18,26.65,28.25,26.43,27.76,17555900,27.76
2011-07-11,27.54,27.72,26.55,26.81,15707300,26.81
2011-07-05,27.72,28.24,27.38,27.87,12748300,27.87
2011-06-27,25.49,27.96,25.39,27.83,19201000,27.83
2011-06-20,25.72,27.01,25.56,25.64,18952000,25.64
2011-06-13,26.26,27.33,25.79,25.83,21448900,25.83
2011-06-06,27.79,27.88,26.26,26.32,16063700,26.32
2011-05-31,28.54,28.60,27.84,27.93,16377300,27.93
2011-05-23,27.69,28.52,27.18,28.43,17143400,28.43
2011-05-16,27.41,28.15,27.15,28.06,14527000,28.06
2011-05-09,27.30,28.02,26.95,27.60,17540300,27.60
2011-05-02,28.64,28.70,26.78,27.12,22361700,27.12
2011-04-25,28.26,28.50,27.81,28.34,14134000,28.34
2011-04-18,26.39,28.73,26.21,28.45,29859800,28.45
2011-04-11,26.04,27.02,25.59,26.91,21689000,26.91
2011-04-04,26.64,26.64,25.79,26.13,16564400,26.13
2011-03-28,27.43,27.59,26.36,26.55,19423600,26.55
2011-03-21,26.43,27.40,26.10,27.33,17740800,27.33
2011-03-14,26.31,26.53,25.00,25.63,24800200,25.63
2011-03-07,27.30,27.43,25.91,26.59,20088800,26.59
2011-02-28,26.91,27.47,26.39,27.32,24301200,27.32
2011-02-22,26.74,26.97,25.84,26.90,22448700,26.90
2011-02-14,27.05,27.38,26.77,27.18,18866100,27.18
2011-02-07,25.93,27.23,25.78,27.04,34051600,27.04
2011-01-31,24.32,25.69,24.30,25.69,22130000,25.69
2011-01-24,23.90,25.05,23.37,24.48,33829100,24.48
2011-01-18,24.68,24.95,23.47,23.98,26605400,23.98
2011-01-10,23.29,24.59,23.28,24.54,25991900,24.54
2011-01-03,22.90,23.73,22.84,23.47,21313400,23.47
2010-12-27,22.88,23.20,22.73,22.90,7843100,22.90
2010-12-20,22.92,23.03,22.63,23.02,10529300,23.02
2010-12-13,22.53,23.11,22.42,22.96,20950800,22.96
2010-12-06,21.97,22.30,21.74,22.25,13363000,22.25
2010-11-29,21.65,22.20,21.26,22.13,15956100,22.13
2010-11-22,21.68,21.87,21.20,21.70,13797300,21.70
2010-11-15,21.69,21.96,20.54,21.82,26531900,21.82
2010-11-08,21.45,22.35,21.39,21.72,23984200,21.72
2010-11-01,21.08,21.82,21.08,21.57,17508300,21.57
2010-10-25,21.25,21.53,20.86,21.02,16688700,21.02
2010-10-18,21.08,21.62,20.49,21.44,30425800,21.44
2010-10-11,20.01,21.58,19.81,21.09,40343100,21.09
2010-10-04,20.27,20.47,19.39,19.87,27051700,19.87
2010-09-27,21.71,21.77,20.06,20.34,37257400,20.34
2010-09-20,20.60,21.83,20.41,21.64,26760000,21.64
2010-09-13,20.12,20.94,20.12,20.57,21883700,20.57
2010-09-07,19.82,20.34,19.64,19.98,17238800,19.98
2010-08-30,18.41,19.98,18.06,19.91,24197800,19.91
2010-08-23,18.80,18.96,17.90,18.37,20029800,18.37
2010-08-16,18.51,19.08,18.35,18.69,25996400,18.69
2010-08-09,20.33,20.51,18.48,18.76,30834400,18.76
2010-08-02,20.05,20.97,19.95,20.24,24274200,20.24
2010-07-26,20.17,20.53,19.67,19.79,19373100,19.79
2010-07-19,20.23,20.59,19.30,20.21,39330200,20.21
2010-07-12,19.42,20.65,19.36,20.15,31759500,20.15
2010-07-06,18.27,19.50,17.98,19.45,23136400,19.45
2010-06-28,19.19,19.28,17.87,18.04,27214800,18.04
2010-06-21,19.53,19.65,18.53,19.24,28860000,19.24
2010-06-14,18.82,19.45,18.54,19.35,18808900,19.35
2010-06-07,18.44,18.68,17.72,18.67,19206400,18.67
2010-06-01,18.46,19.12,18.30,18.38,23737800,18.38
2010-05-24,18.02,18.91,17.26,18.62,31175900,18.62
2010-05-17,18.57,18.85,17.11,17.96,26737200,17.96
2010-05-10,18.69,19.22,18.28,18.57,25067000,18.57
2010-05-03,19.08,19.57,17.10,18.08,31605700,18.08
2010-04-26,19.90,20.00,18.99,19.01,22799500,19.01
2010-04-19,19.27,19.98,18.91,19.98,24088000,19.98
