Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,7.56,7.86,7.51,7.72,1002600,7.72
2012-05-14,8.06,8.15,7.52,7.52,936300,7.52
2012-05-07,8.48,8.55,8.13,8.14,831600,8.14
2012-04-30,8.98,9.03,8.51,8.53,839900,8.53
2012-04-23,8.43,8.98,8.30,8.97,801600,8.97
2012-04-16,8.72,8.95,8.43,8.54,1058200,8.54
2012-04-09,8.80,8.99,8.40,8.70,646800,8.70
2012-04-02,9.30,9.52,8.95,9.00,660200,9.00
2012-03-26,9.67,9.74,9.11,9.34,689400,9.34
2012-03-19,9.42,9.57,9.21,9.56,553700,9.56
2012-03-12,9.24,9.60,9.18,9.41,527200,9.41
2012-03-05,9.00,9.24,8.58,9.24,760900,9.24
2012-02-27,8.99,9.30,8.84,8.99,689800,8.99
2012-02-21,9.49,9.49,9.00,9.05,691200,9.05
2012-02-13,9.53,9.64,9.14,9.50,520900,9.50
2012-02-06,9.79,9.97,9.33,9.42,604000,9.42
2012-01-30,9.54,10.18,9.32,9.87,1750800,9.87
2012-01-23,9.77,9.93,9.59,9.61,818700,9.61
2012-01-17,8.88,10.04,8.88,9.79,1773700,9.79
2012-01-09,8.83,9.10,8.76,8.81,646600,8.81
2012-01-03,8.96,9.06,8.56,8.77,857400,8.77
2011-12-27,8.74,8.92,8.60,8.73,537600,8.73
2011-12-19,8.37,8.86,8.14,8.75,901400,8.75
2011-12-12,8.60,8.86,7.93,8.30,1002700,8.30
2011-12-05,8.71,8.84,8.26,8.77,956200,8.77
2011-11-28,7.96,8.72,7.82,8.52,1150900,8.52
2011-11-21,8.22,8.29,7.56,7.61,741900,7.61
2011-11-14,8.99,9.18,8.26,8.43,1012800,8.43
2011-11-07,8.81,9.20,8.38,9.02,1112900,9.02
2011-10-31,8.78,9.03,8.38,8.87,1498400,8.87
2011-10-24,7.88,9.07,7.80,9.04,1695000,9.04
2011-10-17,8.02,8.09,7.48,7.82,1107600,7.82
2011-10-10,7.31,8.23,7.31,8.12,1286700,8.12
2011-10-03,6.31,7.31,6.00,7.13,1476200,7.13
2011-09-26,7.14,7.55,6.35,6.38,1198800,6.38
2011-09-19,7.50,7.80,6.46,7.05,1435800,7.05
2011-09-12,6.94,7.92,6.91,7.72,1272000,7.72
2011-09-06,6.57,7.59,6.55,7.09,1474800,7.09
2011-08-29,7.25,7.90,6.80,6.87,1590600,6.87
2011-08-22,6.92,7.21,6.59,7.12,1867300,7.12
2011-08-15,7.89,7.98,6.56,6.66,1617400,6.66
2011-08-08,7.27,8.17,6.88,7.81,2837400,7.81
2011-08-01,8.70,8.91,7.31,7.60,2123300,7.60
2011-07-25,9.14,9.26,8.29,8.57,1871600,8.57
2011-07-18,8.43,9.50,7.50,9.37,2278800,9.37
2011-07-11,9.99,9.99,8.37,8.45,2441000,8.45
2011-07-05,10.47,10.58,9.59,9.75,2390600,9.75
2011-06-27,9.90,10.50,9.81,10.44,2306800,10.44
2011-06-20,9.12,10.03,8.95,9.78,2045700,9.78
2011-06-13,8.84,9.41,8.82,9.15,1858000,9.15
2011-06-06,8.68,9.10,8.58,8.91,1650000,8.91
2011-05-31,8.97,9.26,8.61,8.72,1368300,8.72
2011-05-23,8.52,9.00,8.35,8.90,986200,8.90
2011-05-16,9.02,9.02,8.57,8.73,1077600,8.73
2011-05-09,8.73,9.16,8.58,8.92,1202200,8.92
2011-05-02,8.70,8.96,8.29,8.75,1431700,8.75
2011-04-25,8.85,8.94,8.38,8.63,1703400,8.63
2011-04-18,7.75,9.28,7.50,8.89,1849400,8.89
2011-04-11,8.22,8.23,7.55,7.94,1255000,7.94
2011-04-04,8.51,8.76,8.13,8.24,1041900,8.24
2011-03-28,8.44,8.92,8.34,8.71,1391000,8.71
2011-03-21,7.84,8.72,7.80,8.41,1538300,8.41
2011-03-14,7.68,7.96,7.10,7.68,2018300,7.68
2011-03-07,8.92,8.97,7.50,7.78,1406200,7.78
2011-02-28,9.01,9.48,8.40,8.89,1223000,8.89
2011-02-22,8.95,9.06,8.07,8.90,1579300,8.90
2011-02-14,8.96,9.64,8.91,9.15,1707200,9.15
2011-02-07,8.56,8.95,8.45,8.91,1197400,8.91
2011-01-31,7.36,8.60,7.36,8.46,2163400,8.46
2011-01-24,7.24,7.74,6.98,7.27,1492000,7.27
2011-01-18,7.91,7.95,7.10,7.25,1294700,7.25
2011-01-10,7.27,7.97,7.09,7.91,1255200,7.91
2011-01-03,7.60,7.70,7.11,7.32,1409300,7.32
2010-12-27,7.34,7.62,7.30,7.47,557600,7.47
2010-12-20,7.37,7.73,7.33,7.38,914300,7.38
