Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.71,15.93,14.58,15.24,231800,15.24
2012-05-14,15.03,15.37,14.56,14.62,201200,14.62
2012-05-07,15.03,15.94,14.63,15.25,168600,15.25
2012-04-30,16.58,16.66,15.06,15.15,213700,15.15
2012-04-23,15.38,16.74,15.08,16.63,148600,16.63
2012-04-16,15.63,16.29,15.00,15.76,203900,15.76
2012-04-09,15.55,15.94,15.10,15.50,213600,15.50
2012-04-02,16.54,17.45,15.75,15.93,172900,15.93
2012-03-26,17.60,17.87,16.11,16.61,279200,16.61
2012-03-19,18.14,18.49,16.72,17.38,287300,17.38
2012-03-12,17.33,18.26,16.99,18.22,279600,18.22
2012-03-05,16.22,17.72,15.71,17.36,332500,17.36
2012-02-27,17.75,18.20,16.30,16.33,430300,16.33
2012-02-21,16.83,18.04,16.82,17.63,255400,17.63
2012-02-13,16.72,17.14,16.18,16.71,256400,16.71
2012-02-06,16.34,17.00,16.09,16.49,196000,16.49
2012-01-30,16.06,16.58,15.75,16.45,291900,16.45
2012-01-23,15.69,16.75,15.55,16.15,191400,16.15
2012-01-17,15.19,16.21,14.96,15.63,199100,15.63
2012-01-09,15.04,15.37,14.73,15.04,157300,15.04
2012-01-03,15.03,15.20,14.72,14.99,221700,14.99
2011-12-27,13.99,14.88,13.98,14.60,164400,14.60
2011-12-19,13.10,14.14,12.63,14.01,278300,14.01
2011-12-12,13.26,13.59,12.14,12.99,462800,12.99
2011-12-05,14.03,14.10,13.02,13.50,330700,13.50
2011-11-28,12.85,14.12,12.84,13.69,304800,13.69
2011-11-21,13.67,14.02,12.22,12.22,139200,12.22
2011-11-14,15.09,15.34,13.86,13.98,193700,13.98
2011-11-07,14.86,15.36,13.89,15.13,255600,15.13
2011-10-31,14.96,15.40,13.17,14.84,288100,14.84
2011-10-24,14.49,16.05,13.64,15.23,297100,15.23
2011-10-17,14.15,14.83,13.09,14.48,230200,14.48
2011-10-10,11.74,14.31,11.62,14.28,245300,14.28
2011-10-03,10.93,12.18,9.99,11.50,340300,11.50
2011-09-26,11.80,13.25,11.00,11.07,341800,11.07
2011-09-19,12.41,12.46,10.36,11.68,344900,11.68
2011-09-12,11.67,12.86,11.44,12.71,269300,12.71
2011-09-06,11.67,12.90,11.67,11.92,251600,11.92
2011-08-29,12.58,14.05,11.99,12.11,327900,12.11
2011-08-22,11.94,12.57,10.84,12.26,288500,12.26
2011-08-15,13.23,13.65,11.44,11.64,342500,11.64
2011-08-08,13.75,14.21,11.69,12.90,429100,12.90
2011-08-01,17.36,17.46,13.92,14.22,306200,14.22
2011-07-25,17.42,18.08,16.81,17.01,201900,17.01
2011-07-18,16.33,17.90,16.06,17.67,270300,17.67
2011-07-11,15.40,16.68,14.89,16.32,247200,16.32
2011-07-05,15.07,16.28,14.89,15.63,204000,15.63
2011-06-27,14.12,15.33,13.85,15.05,277000,15.05
2011-06-20,13.99,15.06,13.69,14.13,243700,14.13
2011-06-13,14.73,14.77,13.91,14.06,681300,14.06
2011-06-06,15.47,15.49,14.57,14.71,303400,14.71
2011-05-31,15.96,16.07,15.09,15.52,635500,15.52
2011-05-23,15.28,16.36,15.09,16.00,214000,16.00
2011-05-16,15.62,15.96,14.74,15.58,258800,15.58
2011-05-09,15.93,16.45,15.32,15.76,258100,15.76
2011-05-02,18.21,18.35,15.55,15.88,409100,15.88
2011-04-25,18.35,18.47,17.95,18.21,153200,18.21
2011-04-18,17.38,18.36,17.28,18.34,358000,18.34
2011-04-11,17.93,18.02,16.50,17.67,203400,17.67
2011-04-04,18.08,18.56,17.69,17.91,330600,17.91
2011-03-28,17.72,18.15,17.42,18.06,360100,18.06
2011-03-21,15.62,18.21,15.16,17.72,593700,17.72
2011-03-14,14.44,15.99,13.79,15.29,662300,15.29
2011-03-07,15.61,15.62,14.18,14.64,293600,14.64
2011-02-28,16.40,16.60,15.10,15.51,247200,15.51
2011-02-22,15.50,16.40,14.93,16.38,199500,16.38
2011-02-14,14.96,16.00,14.84,15.76,148300,15.76
2011-02-07,16.17,16.50,14.80,15.00,110800,15.00
2011-01-31,15.59,16.55,15.44,16.16,183500,16.16
2011-01-24,15.99,16.59,15.35,15.43,130900,15.43
2011-01-18,16.50,16.88,15.82,16.03,145600,16.03
2011-01-10,14.31,16.52,14.10,16.52,261600,16.52
2011-01-03,15.02,15.02,13.95,14.39,121900,14.39
2010-12-27,14.16,15.00,14.04,14.86,107400,14.86
2010-12-20,14.02,14.40,13.84,14.23,198300,14.23
2010-12-13,14.11,14.30,13.72,13.99,192200,13.99
2010-12-06,13.20,14.08,13.20,14.02,281600,14.02
2010-11-29,12.75,13.39,12.03,13.25,205000,13.25
2010-11-22,13.45,13.47,12.62,12.78,71400,12.78
2010-11-15,13.37,13.57,13.00,13.49,149400,13.49
2010-11-08,12.56,13.52,12.55,13.30,105400,13.30
2010-11-01,11.25,12.70,10.75,12.63,220400,12.63
2010-10-25,11.57,11.68,11.04,11.17,118300,11.17
2010-10-18,11.82,11.91,11.40,11.51,97800,11.51
2010-10-11,11.95,12.06,11.69,11.80,77500,11.80
2010-10-04,12.02,12.04,11.08,11.97,134600,11.97
2010-09-27,11.55,12.22,11.23,12.07,68200,12.07
2010-09-20,10.88,11.53,10.60,11.52,146900,11.52
2010-09-13,10.38,10.91,10.23,10.89,99000,10.89
2010-09-07,10.82,10.84,9.99,10.25,81600,10.25
2010-08-30,10.97,11.26,10.62,10.83,104800,10.83
2010-08-23,10.56,11.01,9.61,10.99,65800,10.99
2010-08-16,10.57,11.04,10.33,10.50,71600,10.50
2010-08-09,11.73,11.87,10.55,10.66,109900,10.66
2010-08-02,13.04,13.10,11.47,11.66,74600,11.66
2010-07-26,12.47,13.22,12.37,12.79,81000,12.79
2010-07-19,12.09,12.96,11.93,12.46,77300,12.46
2010-07-12,12.44,13.02,11.88,12.06,116000,12.06
