Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,19.68,20.22,19.54,20.10,528300,20.10
2012-05-14,20.94,21.08,19.63,19.69,683600,19.69
2012-05-07,20.87,21.30,20.75,21.07,380100,21.07
2012-04-30,20.75,21.48,20.63,20.92,474800,20.92
2012-04-23,20.06,20.95,19.85,20.83,447500,20.83
2012-04-16,19.94,20.44,19.82,20.27,439900,20.27
2012-04-09,19.72,19.94,19.36,19.83,546400,19.83
2012-04-02,20.18,20.43,19.80,20.05,566600,20.05
2012-03-26,20.02,20.27,19.82,20.22,581100,20.22
2012-03-19,19.38,20.01,19.25,19.87,1052900,19.87
2012-03-12,18.91,19.45,18.81,19.38,791500,19.38
2012-03-05,19.03,19.34,18.62,18.82,916000,18.60
2012-02-27,18.99,19.30,18.74,19.12,470300,18.90
2012-02-21,20.31,20.31,19.09,19.15,714100,18.93
2012-02-13,19.59,19.93,19.34,19.81,336900,19.58
2012-02-06,19.63,19.71,19.24,19.37,478000,19.15
2012-01-30,19.05,19.69,18.74,19.64,685900,19.41
2012-01-23,18.45,19.37,18.30,19.25,649000,19.03
2012-01-17,17.79,18.50,17.64,18.49,496400,18.28
2012-01-09,17.20,17.73,17.04,17.70,472300,17.50
2012-01-03,17.23,17.48,16.82,17.20,582200,17.00
2011-12-27,17.20,17.31,16.98,16.98,385300,16.79
2011-12-19,16.49,17.34,16.35,17.22,630400,17.02
2011-12-12,16.31,16.54,15.66,16.48,1038200,16.29
2011-12-05,16.90,17.04,16.29,16.44,1111600,16.03
2011-11-28,15.93,16.87,15.71,16.65,664600,16.23
2011-11-21,16.24,16.26,15.30,15.44,530600,15.05
2011-11-14,16.84,16.84,16.17,16.45,613900,16.04
2011-11-07,17.08,17.33,16.22,16.94,679400,16.52
2011-10-31,17.29,17.44,16.28,17.09,649000,16.66
2011-10-24,16.11,17.75,16.09,17.54,664700,17.10
2011-10-17,15.58,16.15,15.23,16.14,694300,15.74
2011-10-10,15.17,15.73,14.81,15.68,1042800,15.29
2011-10-03,15.80,15.97,14.57,14.89,1528900,14.52
2011-09-26,15.68,17.30,15.31,15.86,1219400,15.46
2011-09-19,17.01,17.09,15.03,15.47,895300,15.08
2011-09-12,16.88,17.49,16.65,17.34,688500,16.91
2011-09-06,16.67,17.84,16.50,17.15,583400,16.51
2011-08-29,17.56,18.28,16.98,17.13,687300,16.49
2011-08-22,17.22,17.81,16.70,17.34,915200,16.69
2011-08-15,17.65,18.30,16.83,16.85,584500,16.22
2011-08-08,16.20,17.94,15.07,17.40,1042900,16.75
2011-08-01,19.50,19.62,16.50,16.75,633600,16.12
2011-07-25,19.88,20.27,19.02,19.40,327300,18.67
2011-07-18,19.41,20.13,18.92,20.05,363000,19.30
2011-07-11,19.45,19.80,19.06,19.45,463500,18.72
2011-07-05,19.03,19.65,18.97,19.64,602900,18.90
2011-06-27,18.15,19.06,18.14,19.03,462200,18.31
2011-06-20,17.90,18.55,17.86,18.15,750300,17.47
2011-06-13,17.67,18.00,17.40,17.94,1003700,17.27
2011-06-06,18.84,19.12,17.93,17.98,654600,17.09
2011-05-31,19.55,19.70,18.67,18.90,1065200,17.97
2011-05-23,19.12,19.62,19.00,19.46,690000,18.50
2011-05-16,19.56,19.85,19.37,19.37,1282600,18.41
2011-05-09,18.78,19.85,18.78,19.58,403600,18.61
2011-05-02,19.78,20.08,19.21,19.32,482900,18.37
2011-04-25,19.25,20.09,19.17,19.82,400100,18.84
2011-04-18,18.51,19.32,18.43,19.27,393400,18.32
2011-04-11,18.60,18.87,18.14,18.71,409600,17.79
2011-04-04,18.83,19.00,18.59,18.62,373400,17.70
2011-03-28,18.26,18.98,18.08,18.75,360200,17.82
2011-03-21,18.32,18.58,17.85,18.21,311000,17.31
2011-03-14,18.29,18.62,17.74,18.15,398900,17.25
2011-03-07,18.31,18.92,18.13,18.42,460100,17.51
2011-02-28,18.90,19.19,18.17,18.25,499600,17.14
2011-02-22,18.96,19.21,18.14,18.76,443800,17.62
2011-02-14,18.72,19.09,18.63,19.07,312600,17.91
2011-02-07,18.43,18.79,18.34,18.76,390900,17.62
2011-01-31,18.80,18.90,18.36,18.44,469400,17.32
2011-01-24,18.38,19.18,18.38,18.70,411800,17.57
2011-01-18,18.84,18.97,18.34,18.41,473300,17.29
2011-01-10,18.25,19.01,17.94,18.87,625500,17.73
2011-01-03,18.35,18.46,17.90,18.29,700300,17.18
2010-12-27,17.71,18.50,17.65,18.18,416500,17.08
2010-12-20,17.25,17.95,17.22,17.77,644300,16.69
2010-12-13,17.09,17.32,16.66,17.15,1066700,16.11
2010-12-06,17.66,17.76,16.68,16.96,1248100,15.72
2010-11-29,17.38,17.78,17.21,17.72,547600,16.43
2010-11-22,17.14,17.60,17.00,17.53,402900,16.25
2010-11-15,17.88,17.98,16.77,17.30,316100,16.04
2010-11-08,18.87,18.97,17.75,17.79,460700,16.49
2010-11-01,18.77,19.23,18.46,18.93,574400,17.55
2010-10-25,19.16,19.27,18.62,18.70,291600,17.34
