Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,60.60,61.22,57.58,58.10,487300,58.10
2012-05-14,61.78,63.21,60.11,60.61,354400,60.61
2012-05-07,62.41,63.50,60.11,62.18,383500,62.18
2012-04-30,65.80,67.95,61.55,62.91,353300,62.91
2012-04-23,59.77,67.55,59.03,65.59,551500,65.59
2012-04-16,63.00,63.84,58.86,59.63,357000,59.63
2012-04-09,65.01,67.08,62.30,62.66,305500,62.66
2012-04-02,65.18,70.92,64.53,66.04,489500,66.04
2012-03-26,67.03,68.59,63.46,66.14,486600,66.14
2012-03-19,65.84,67.56,64.17,65.52,381900,65.52
2012-03-12,63.76,67.04,62.11,64.99,395900,64.99
2012-03-05,65.00,66.24,62.42,63.94,407600,63.94
2012-02-27,74.55,74.55,65.88,65.94,550500,65.94
2012-02-21,75.86,75.96,71.76,74.21,428500,74.21
2012-02-13,74.17,77.00,72.30,75.52,412700,75.52
2012-02-06,69.78,75.60,68.04,73.67,591700,73.67
2012-01-30,66.31,70.19,63.94,69.82,570300,69.82
2012-01-23,66.19,70.48,60.06,66.83,692300,66.83
2012-01-17,65.80,75.00,64.32,65.85,702800,65.85
2012-01-09,63.73,65.30,62.05,64.77,514100,64.77
2012-01-03,59.82,64.80,52.80,63.85,818200,63.85
2011-12-27,57.15,58.70,55.36,56.89,249000,56.89
2011-12-19,52.35,57.50,50.22,57.44,442200,57.44
2011-12-12,55.72,55.98,50.75,52.04,492700,52.04
2011-12-05,57.85,58.39,55.34,56.44,282700,56.44
2011-11-28,53.11,60.73,52.72,57.16,371800,57.16
2011-11-21,54.81,55.26,51.41,51.52,289800,51.52
2011-11-14,59.09,60.17,55.17,55.75,440700,55.75
2011-11-07,60.13,61.70,58.40,59.44,362500,59.44
2011-10-31,66.17,66.17,56.18,60.15,941300,60.15
2011-10-24,64.27,69.57,62.02,66.87,558200,66.87
2011-10-17,65.09,69.58,58.17,64.29,908700,64.29
2011-10-10,64.50,66.04,61.79,65.09,413400,65.09
2011-10-03,57.17,65.31,54.01,63.59,875300,63.59
2011-09-26,61.08,65.18,55.30,57.58,592700,57.58
2011-09-19,67.13,67.61,58.39,60.75,583900,60.75
2011-09-12,67.14,71.45,66.74,67.97,596800,67.97
2011-09-06,65.39,72.55,65.39,67.97,614400,67.97
2011-08-29,72.03,73.84,66.08,67.27,678700,67.27
2011-08-22,72.01,73.58,66.95,70.91,666900,70.91
2011-08-15,75.09,77.64,68.86,69.96,760700,69.96
2011-08-08,76.80,76.93,71.32,74.25,927700,74.25
2011-08-01,86.13,86.55,77.99,79.01,974200,79.01
2011-07-25,91.11,91.73,83.01,85.67,995200,85.67
2011-07-18,91.56,95.52,82.50,92.30,1340100,92.30
2011-07-11,87.61,93.78,85.22,91.40,771400,91.40
2011-07-05,80.51,91.96,80.00,88.77,984300,88.77
2011-06-27,76.45,81.04,75.41,80.86,774700,80.86
2011-06-20,75.65,77.73,73.44,76.62,788800,76.62
2011-06-13,82.10,84.13,75.48,75.63,933100,75.63
2011-06-06,85.86,86.11,80.05,82.13,765400,82.13
2011-05-31,71.66,92.13,67.59,86.19,2396000,86.19
2011-05-23,68.01,71.92,66.22,70.87,588700,70.87
2011-05-16,73.60,74.46,68.48,68.49,537200,68.49
2011-05-09,69.17,76.76,68.37,73.63,548400,73.63
2011-05-02,71.87,74.66,68.68,69.12,793800,69.12
2011-04-25,74.41,77.38,71.66,71.74,766100,71.74
2011-04-18,66.31,74.77,65.07,73.99,1204200,73.99
2011-04-11,79.50,79.58,67.51,68.02,665100,68.02
2011-04-04,73.70,79.79,73.15,77.04,553000,77.04
2011-03-28,71.73,74.13,65.83,73.59,503000,73.59
2011-03-21,68.45,72.37,68.12,71.38,435200,71.38
2011-03-14,71.17,72.66,67.07,67.74,426200,67.74
2011-03-07,74.02,74.57,69.84,71.48,407500,71.48
2011-02-28,75.42,76.82,73.01,73.67,556400,73.67
2011-02-22,72.52,76.33,71.11,75.45,922300,75.45
2011-02-14,68.37,73.69,67.10,72.67,796600,72.67
2011-02-07,65.01,69.42,64.03,68.33,749900,68.33
2011-01-31,65.72,67.71,64.24,64.54,839000,64.54
2011-01-24,71.96,75.55,65.32,65.51,1322100,65.51
2011-01-18,66.12,71.77,62.38,71.73,2036400,71.73
2011-01-10,57.40,65.40,55.66,65.35,1249300,65.35
2011-01-03,64.02,66.43,60.93,64.55,504400,64.55
2010-12-27,64.71,66.01,62.24,63.69,342700,63.69
2010-12-20,62.78,65.75,62.20,64.98,479400,64.98
2010-12-13,61.93,63.90,60.42,62.72,603000,62.72
2010-12-06,59.47,63.58,58.67,62.00,863700,62.00
2010-11-29,59.82,61.54,56.66,59.74,924400,59.74
2010-11-22,61.64,61.87,59.46,59.99,496300,59.99
2010-11-15,60.04,64.35,59.75,61.92,734400,61.92
2010-11-08,59.93,62.68,58.75,59.73,647000,59.73
2010-11-01,65.30,65.66,57.10,60.00,1002700,60.00
2010-10-25,61.48,65.25,59.41,64.53,840900,64.53
2010-10-18,56.64,62.00,56.18,61.13,1264400,61.13
2010-10-11,68.61,69.00,52.00,56.45,1559800,56.45
2010-10-04,69.59,69.83,66.43,68.47,517800,68.47
2010-09-27,66.79,72.70,61.68,69.91,1161100,69.91
