Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,15.45,15.66,15.26,15.49,418900,15.49
2012-05-14,16.20,16.28,15.43,15.45,424800,15.45
2012-05-07,16.30,16.85,16.29,16.40,470800,16.40
2012-04-30,16.70,17.22,16.22,16.36,653800,16.36
2012-04-23,17.09,17.91,16.54,16.77,593000,16.77
2012-04-16,17.03,17.59,16.98,17.38,576700,17.38
2012-04-09,16.41,17.30,16.23,16.92,625400,16.92
2012-04-02,16.50,16.92,16.43,16.70,670000,16.70
2012-03-26,15.98,16.96,15.74,16.63,678000,16.63
2012-03-19,15.56,15.92,15.29,15.81,589000,15.73
2012-03-12,16.20,16.66,15.48,15.59,722600,15.51
2012-03-05,16.01,16.16,15.28,16.14,435600,16.06
2012-02-27,15.22,16.17,15.11,16.10,868000,16.02
2012-02-21,15.02,15.39,14.72,15.30,481100,15.22
2012-02-13,14.85,15.36,14.50,14.96,488200,14.88
2012-02-06,15.14,15.21,14.46,14.67,422100,14.60
2012-01-30,14.89,15.32,14.63,15.23,948200,15.15
2012-01-23,13.96,15.17,13.75,14.98,761700,14.90
2012-01-17,13.16,14.03,13.14,14.00,384100,13.93
2012-01-09,13.05,13.43,12.50,13.09,370500,13.02
2012-01-03,12.90,13.15,12.45,13.01,448800,12.94
2011-12-27,12.78,13.11,12.59,12.67,303600,12.61
2011-12-19,12.40,13.11,12.22,12.82,485800,12.70
2011-12-12,12.49,12.75,12.11,12.35,969600,12.23
2011-12-05,11.44,12.72,11.27,12.65,954500,12.53
2011-11-28,10.80,11.62,10.54,11.28,609600,11.17
2011-11-21,11.29,11.51,10.51,10.51,557600,10.41
2011-11-14,11.82,11.93,11.29,11.46,639500,11.35
2011-11-07,11.70,11.97,11.19,11.94,1015900,11.83
2011-10-31,12.06,12.27,11.25,11.69,1195000,11.58
2011-10-24,13.48,13.72,12.20,12.23,1397700,12.11
2011-10-17,12.76,13.56,12.53,13.42,975000,13.29
2011-10-10,12.13,12.99,11.95,12.88,939600,12.76
2011-10-03,12.69,12.95,11.76,11.87,1260400,11.76
2011-09-26,13.28,13.68,12.73,12.80,682100,12.68
2011-09-19,14.51,14.56,12.70,13.12,838100,12.94
2011-09-12,13.86,15.08,13.75,14.81,585700,14.60
2011-09-06,14.17,15.18,13.93,14.11,662300,13.91
