Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,10.30,10.30,9.80,9.97,19000,9.97
2012-05-14,10.00,10.50,9.81,10.00,3100,10.00
2012-05-07,9.99,10.22,9.56,10.09,15000,10.09
2012-04-30,9.85,10.78,9.52,10.05,7500,10.05
2012-04-23,8.38,9.95,8.35,9.50,8200,9.50
2012-04-16,9.74,9.74,8.30,8.35,11400,8.35
2012-04-09,8.53,9.89,8.35,9.69,11700,9.69
2012-04-02,8.25,9.00,8.05,8.53,8200,8.53
2012-03-26,8.25,8.80,8.11,8.24,9000,8.24
2012-03-19,8.25,8.66,8.04,8.15,3600,8.15
2012-03-12,7.41,8.25,7.41,8.25,7100,8.25
2012-03-05,7.14,7.41,7.14,7.41,2900,7.41
2012-02-27,7.29,7.39,6.95,7.03,5200,7.03
2012-02-21,6.86,7.38,6.86,7.23,6900,7.23
2012-02-13,6.69,6.99,6.69,6.82,4800,6.76
2012-02-06,6.65,6.94,6.35,6.65,15400,6.59
2012-01-30,5.91,6.75,5.79,6.60,4800,6.54
2012-01-23,5.49,6.06,5.28,5.89,7100,5.84
2012-01-17,5.47,5.49,5.24,5.27,4700,5.23
2012-01-09,5.00,5.50,4.99,5.50,10400,5.45
2012-01-03,5.02,5.13,4.95,5.00,5700,4.96
2011-12-27,5.18,5.25,4.95,5.13,3800,5.09
2011-12-19,5.21,5.22,5.00,5.19,6100,5.15
2011-12-12,5.25,5.49,5.02,5.20,4400,5.16
2011-12-05,5.13,5.28,5.00,5.28,4600,5.24
2011-11-28,5.05,5.13,4.88,5.13,10600,5.09
2011-11-21,5.00,5.50,4.85,5.07,8100,5.03
2011-11-14,4.96,5.15,4.96,5.05,6000,5.00
2011-11-07,5.00,5.71,5.00,5.04,4400,4.99
2011-10-31,5.03,5.11,4.90,5.00,2800,4.95
2011-10-24,4.60,5.03,4.60,5.00,5500,4.95
2011-10-17,4.95,4.95,4.61,4.70,1300,4.65
2011-10-10,4.83,4.95,4.66,4.95,4000,4.90
2011-10-03,4.78,4.97,4.55,4.85,3000,4.80
2011-09-26,5.01,5.03,4.75,4.92,3400,4.87
2011-09-19,5.12,5.25,5.03,5.03,8900,4.98
2011-09-12,5.19,5.28,5.10,5.22,7600,5.17
2011-09-06,5.12,5.34,5.10,5.25,4900,5.20
2011-08-29,5.29,5.44,5.06,5.44,4400,5.38
2011-08-22,5.23,5.55,5.05,5.25,5400,5.20
2011-08-15,5.04,5.62,5.02,5.25,9900,5.19
2011-08-08,5.64,5.70,5.00,5.20,6000,5.14
2011-08-01,5.82,5.82,5.64,5.67,4300,5.60
2011-07-25,5.82,5.98,5.60,5.72,3900,5.65
2011-07-18,5.98,5.98,5.80,5.90,2600,5.83
2011-07-11,6.00,6.10,5.77,6.00,2700,5.93
2011-07-05,5.90,6.10,5.77,6.00,7900,5.93
2011-06-27,5.84,5.90,5.75,5.90,1800,5.83
2011-06-20,5.80,5.95,5.63,5.90,2600,5.83
2011-06-13,5.64,5.84,5.60,5.84,2700,5.77
2011-06-06,5.60,5.99,5.60,5.71,2200,5.64
2011-05-31,5.79,6.08,5.54,5.65,6600,5.58
2011-05-23,5.97,5.97,5.66,5.85,4300,5.78
2011-05-16,5.75,6.02,5.70,5.97,5200,5.89
2011-05-09,5.71,5.90,5.70,5.75,1700,5.67
2011-05-02,5.90,5.90,5.56,5.71,9400,5.63
2011-04-25,5.95,5.98,5.79,5.85,3800,5.77
2011-04-18,6.03,6.18,5.75,5.95,4400,5.87
2011-04-11,6.11,6.30,6.00,6.00,900,5.92
2011-04-04,6.06,6.47,5.93,6.03,3300,5.95
2011-03-28,6.82,6.83,6.15,6.15,2500,6.06
2011-03-21,7.00,7.10,6.62,6.82,1800,6.72
2011-03-14,7.00,7.10,6.90,7.04,1600,6.94
2011-03-07,7.00,7.51,7.00,7.00,5300,6.90
2011-02-28,7.05,7.05,6.71,7.00,2500,6.90
