Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,9.37,9.54,9.28,9.37,31500,9.37
2012-05-14,9.27,9.60,9.07,9.36,28300,9.36
2012-05-07,8.91,9.45,8.80,9.42,16200,9.42
2012-04-30,9.53,9.53,8.71,8.94,49200,8.94
2012-04-23,9.04,9.59,9.04,9.59,20500,9.59
2012-04-16,8.68,9.40,8.65,9.25,34200,9.25
2012-04-09,8.79,9.85,8.45,8.60,22900,8.60
2012-04-02,9.42,9.58,8.90,8.95,23700,8.95
2012-03-26,9.28,9.85,9.18,9.41,23200,9.41
2012-03-19,8.85,9.05,8.39,9.04,17000,9.04
2012-03-12,9.12,9.25,8.61,8.80,18200,8.80
2012-03-05,8.17,9.47,8.07,9.15,20300,9.15
2012-02-27,9.10,9.50,8.07,8.16,20400,8.16
2012-02-21,8.93,9.36,8.69,9.16,25100,9.16
2012-02-13,9.62,9.70,8.88,8.94,14800,8.94
2012-02-06,9.83,9.86,9.41,9.44,16200,9.44
2012-01-30,9.31,9.97,8.58,9.90,25100,9.90
2012-01-23,8.64,9.45,8.41,9.39,19000,9.39
2012-01-17,8.25,8.75,8.17,8.67,20500,8.67
2012-01-09,8.68,8.68,8.02,8.18,37500,8.18
2012-01-03,8.72,8.94,8.47,8.72,30700,8.72
2011-12-27,9.08,9.08,8.34,8.47,21400,8.47
2011-12-19,9.86,9.94,8.88,9.09,21300,9.09
2011-12-12,9.20,9.75,8.36,9.75,36800,9.75
2011-12-05,9.58,9.92,9.11,9.40,33100,9.40
2011-11-28,8.60,9.51,8.18,9.40,27700,9.40
2011-11-21,9.28,9.55,8.16,8.17,18900,8.17
2011-11-14,9.06,9.44,8.28,9.42,30000,9.42
2011-11-07,9.23,9.40,8.62,9.16,24300,9.16
2011-10-31,9.62,9.73,8.92,9.32,29100,9.32
2011-10-24,8.73,10.00,8.56,9.82,36900,9.82
2011-10-17,8.93,9.20,8.18,8.74,29700,8.74
2011-10-10,8.23,9.21,7.72,9.10,35400,9.10
2011-10-03,7.48,8.52,7.00,8.00,40600,8.00
2011-09-26,7.22,8.19,7.22,7.60,36500,7.60
2011-09-19,7.36,7.51,6.25,7.14,38600,7.14
2011-09-12,7.28,7.74,7.05,7.47,58800,7.47
2011-09-06,8.10,9.18,7.37,7.47,62000,7.47
2011-08-29,9.24,9.83,8.32,8.50,48400,8.50
2011-08-22,8.54,9.34,8.27,9.18,36600,9.18
2011-08-15,9.87,9.88,8.11,8.32,46700,8.32
2011-08-08,10.40,11.18,9.13,9.69,74600,9.69
2011-08-01,11.28,11.73,10.47,10.90,46700,10.90
2011-07-25,11.73,11.89,10.24,11.20,51700,11.20
2011-07-18,11.25,12.15,10.88,11.92,39500,11.92
2011-07-11,11.04,11.60,11.02,11.34,48500,11.34
2011-07-05,9.92,11.36,9.68,11.30,53100,11.30
2011-06-27,8.87,9.94,8.77,9.91,64400,9.91
2011-06-20,8.06,8.80,7.85,8.80,74300,8.80
2011-06-13,7.76,8.18,7.56,8.07,23600,8.07
2011-06-06,8.25,8.31,7.66,7.71,13900,7.71
2011-05-31,8.83,9.48,8.21,8.23,36400,8.23
2011-05-23,8.12,8.75,8.02,8.73,22500,8.73
2011-05-16,8.09,8.51,7.65,8.33,22000,8.33
2011-05-09,8.17,8.55,7.85,8.19,19400,8.19
2011-05-02,9.25,9.25,8.04,8.18,21900,8.18
2011-04-25,8.81,9.25,8.41,9.22,15100,9.22
2011-04-18,8.99,9.12,8.75,8.86,18600,8.86
2011-04-11,9.03,9.15,8.10,9.12,36200,9.12
2011-04-04,9.10,9.50,9.04,9.06,25500,9.06
2011-03-28,8.22,9.39,8.10,9.10,30300,9.10
2011-03-21,7.35,8.26,7.25,8.20,25600,8.20
2011-03-14,8.05,8.19,6.91,7.28,48000,7.28
2011-03-07,8.20,8.56,8.02,8.14,31700,8.14
2011-02-28,8.07,8.45,7.84,8.14,36700,8.14
2011-02-22,8.16,8.23,7.26,8.07,31900,8.07
2011-02-14,8.06,8.33,8.06,8.29,12300,8.29
2011-02-07,7.67,8.31,7.64,8.10,18900,8.10
2011-01-31,7.83,8.45,7.63,7.67,19700,7.67
2011-01-24,8.15,8.54,7.85,7.88,20100,7.88
2011-01-18,8.38,8.55,8.11,8.12,21900,8.12
2011-01-10,8.28,8.61,8.11,8.43,29900,8.43
2011-01-03,8.72,8.91,8.03,8.25,49800,8.25
2010-12-27,8.97,9.11,8.49,8.59,24900,8.59
2010-12-20,9.18,9.39,8.87,9.04,33700,9.04
2010-12-13,9.09,9.55,9.02,9.21,55300,9.21
2010-12-06,8.17,9.25,8.17,9.10,50300,9.10
2010-11-29,7.92,8.23,7.75,8.23,40400,8.23
2010-11-22,7.79,8.22,7.63,8.00,40800,8.00
2010-11-15,7.65,8.01,7.31,7.96,55400,7.96
2010-11-08,9.19,9.19,7.87,7.98,55400,7.98
2010-11-01,8.41,9.30,8.18,9.26,34100,9.26
2010-10-25,8.50,8.51,8.07,8.38,12100,8.38
2010-10-18,8.05,8.47,7.86,8.47,18500,8.47
2010-10-11,7.90,8.14,7.84,8.10,23200,8.10
2010-10-04,7.90,7.99,7.56,7.92,29000,7.92
2010-09-27,7.82,8.00,7.65,7.95,17000,7.95
2010-09-20,7.60,7.95,7.43,7.80,29900,7.80
2010-09-13,6.81,7.81,6.74,7.57,49400,7.57
2010-09-07,6.38,6.85,6.25,6.78,21000,6.78
2010-08-30,6.53,6.69,6.06,6.38,26400,6.38
2010-08-23,6.02,6.93,5.60,6.58,44600,6.58
2010-08-16,5.47,6.47,5.35,5.96,46000,5.96
2010-08-09,6.15,6.35,5.51,5.51,44300,5.51
2010-08-02,6.34,6.58,5.96,6.09,40300,6.09
2010-07-26,6.27,6.38,6.01,6.23,41800,6.23
2010-07-19,6.04,6.30,5.82,6.27,38200,6.27
2010-07-12,6.08,6.70,5.99,6.00,41000,6.00
2010-07-06,6.60,6.65,5.75,6.08,57100,6.08
2010-06-28,6.71,6.95,6.45,6.46,53800,6.46
2010-06-21,7.52,7.52,6.58,6.71,78200,6.71
2010-06-14,6.87,7.47,6.73,7.36,57800,7.36
2010-06-07,6.64,6.79,6.29,6.79,46800,6.79
2010-06-01,6.86,7.18,6.62,6.63,51300,6.63
2010-05-24,7.14,7.40,6.76,6.93,95900,6.93
2010-05-17,7.68,7.84,6.81,7.13,48200,7.13
2010-05-10,7.68,7.82,7.32,7.63,38400,7.63
2010-05-03,7.88,8.09,7.26,7.33,56400,7.33
2010-04-26,8.01,8.04,7.66,7.88,21200,7.88
2010-04-19,8.05,8.08,7.73,8.04,22900,8.04
2010-04-12,8.05,8.14,7.67,8.06,47500,8.06
2010-04-05,7.76,8.19,7.23,8.06,72300,8.06
2010-03-29,7.90,8.00,7.74,7.78,42500,7.78
