Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,6.88,6.96,6.80,6.91,405000,6.91
2012-05-14,6.94,6.99,6.75,6.81,100700,6.81
2012-05-07,5.34,7.03,5.27,6.97,328700,6.97
2012-04-30,5.47,5.62,5.35,5.40,103200,5.40
2012-04-23,5.51,5.67,5.40,5.50,44000,5.50
2012-04-16,5.54,5.71,5.40,5.55,37000,5.55
2012-04-09,5.63,5.78,5.37,5.46,53500,5.46
2012-04-02,5.86,6.06,5.42,5.69,184700,5.69
2012-03-26,5.45,5.92,5.15,5.83,144400,5.83
2012-03-19,5.15,5.54,5.05,5.40,131600,5.40
2012-03-12,4.96,5.43,4.86,5.15,156500,5.15
2012-03-05,4.60,5.17,4.55,5.00,110000,5.00
2012-02-27,4.52,4.74,4.42,4.62,98900,4.62
2012-02-21,4.68,4.68,4.53,4.55,112100,4.55
2012-02-13,4.81,4.83,4.62,4.68,71600,4.68
2012-02-06,4.89,4.99,4.76,4.85,206600,4.85
2012-01-30,4.36,4.89,4.30,4.87,252900,4.87
2012-01-23,4.00,4.50,3.91,4.35,166100,4.35
2012-01-17,4.04,4.04,3.88,4.00,58600,4.00
2012-01-09,3.49,4.17,3.39,4.00,107800,4.00
2012-01-03,3.29,3.57,3.29,3.45,29900,3.45
2011-12-27,3.23,3.34,3.11,3.26,30000,3.26
2011-12-19,3.28,3.53,3.17,3.26,22200,3.26
2011-12-12,3.57,3.72,3.28,3.31,127100,3.31
2011-12-05,3.07,3.55,3.05,3.53,607900,3.53
2011-11-28,3.07,3.13,2.93,3.03,13600,3.03
2011-11-21,3.20,3.29,2.92,3.05,25700,3.05
2011-11-14,3.19,3.32,3.18,3.30,140700,3.30
2011-11-07,3.28,3.30,3.17,3.25,8400,3.25
2011-10-31,3.27,3.30,3.15,3.28,15500,3.28
2011-10-24,3.32,3.35,3.19,3.25,5600,3.25
2011-10-17,3.24,3.30,3.19,3.24,34900,3.24
2011-10-10,2.95,3.42,2.95,3.15,10300,3.15
2011-10-03,3.01,3.04,2.79,3.00,19400,3.00
2011-09-26,2.96,3.03,2.77,3.01,54700,3.01
2011-09-19,3.11,3.22,2.91,2.92,34700,2.92
2011-09-12,3.22,3.23,3.11,3.20,11400,3.20
2011-09-06,3.25,3.36,3.20,3.22,15400,3.22
2011-08-29,3.08,3.29,3.00,3.25,27200,3.25
2011-08-22,3.06,3.15,2.85,3.07,72900,3.07
2011-08-15,3.20,3.25,2.84,2.93,31800,2.93
2011-08-08,3.60,3.60,3.05,3.15,79300,3.15
2011-08-01,3.66,3.79,3.36,3.40,43100,3.40
2011-07-25,3.81,3.95,3.65,3.66,31700,3.66
2011-07-18,3.90,3.90,3.70,3.81,73400,3.81
2011-07-11,3.90,3.94,3.81,3.89,35800,3.89
2011-07-05,3.59,3.93,3.53,3.90,41600,3.90
2011-06-27,3.55,3.65,3.50,3.60,15800,3.60
2011-06-20,3.56,3.65,3.51,3.55,18300,3.55
2011-06-13,3.48,3.63,3.47,3.61,13300,3.61
2011-06-06,3.54,3.58,3.40,3.51,17200,3.51
2011-05-31,3.52,3.70,3.47,3.56,23300,3.56
2011-05-23,3.63,3.65,3.52,3.55,19700,3.55
2011-05-16,3.78,3.82,3.61,3.68,42200,3.68
2011-05-09,3.72,3.80,3.65,3.75,14300,3.75
2011-05-02,3.81,3.91,3.40,3.68,130300,3.68
2011-04-25,3.95,3.99,3.78,3.85,58500,3.85
2011-04-18,3.79,4.00,3.74,3.96,74400,3.96
2011-04-11,3.90,3.94,3.69,3.82,37100,3.82
2011-04-04,3.94,3.99,3.80,3.90,36500,3.90
2011-03-28,3.74,3.99,3.71,3.98,106500,3.98
2011-03-21,3.89,3.96,3.71,3.72,20800,3.72
2011-03-14,3.79,3.93,3.50,3.90,50700,3.90
2011-03-07,3.92,4.09,3.76,3.81,58300,3.81
2011-02-28,3.66,3.99,3.65,3.88,79800,3.88
2011-02-22,3.42,3.71,3.35,3.65,189600,3.65
2011-02-14,3.48,3.50,3.33,3.39,29600,3.39
2011-02-07,3.25,3.50,3.24,3.44,48400,3.44
2011-01-31,3.13,3.26,3.10,3.24,100100,3.24
2011-01-24,3.12,3.19,3.07,3.16,40600,3.16
2011-01-18,3.00,3.18,3.00,3.11,49700,3.11
2011-01-10,2.90,3.10,2.89,2.99,38500,2.99
2011-01-03,2.84,2.99,2.80,2.97,79400,2.97
2010-12-27,2.82,2.90,2.70,2.80,23300,2.80
2010-12-20,2.52,2.90,2.52,2.82,50000,2.82
2010-12-13,2.44,2.53,2.41,2.50,24200,2.50
2010-12-06,2.41,2.49,2.33,2.40,55100,2.40
2010-11-29,2.50,2.52,2.38,2.40,36600,2.40
2010-11-22,2.50,2.53,2.45,2.47,56100,2.47
2010-11-15,2.70,2.70,2.49,2.51,59100,2.51
2010-11-08,2.63,2.82,2.56,2.68,56400,2.68
2010-11-01,2.46,2.68,2.44,2.59,38800,2.59
2010-10-25,2.42,2.46,2.37,2.46,31000,2.46
2010-10-18,2.35,2.49,2.26,2.40,55800,2.40
2010-10-11,2.35,2.43,2.33,2.39,19500,2.39
2010-10-04,2.44,2.50,2.35,2.35,14800,2.35
2010-09-27,2.45,2.50,2.39,2.45,32600,2.45
2010-09-20,2.65,2.65,2.40,2.43,68700,2.43
2010-09-13,2.60,2.69,2.51,2.69,41300,2.69
2010-09-07,2.65,2.70,2.55,2.55,21200,2.55
2010-08-30,2.70,2.74,2.62,2.70,7300,2.70
2010-08-23,2.71,2.80,2.55,2.64,73000,2.64
2010-08-16,2.67,2.74,2.61,2.69,14300,2.69
2010-08-09,2.77,2.82,2.58,2.63,18600,2.63
2010-08-02,2.78,2.91,2.65,2.71,24400,2.71
2010-07-26,2.55,2.81,2.36,2.79,49400,2.79
2010-07-19,2.58,2.60,2.49,2.54,19200,2.54
2010-07-12,2.58,2.64,2.51,2.57,50200,2.57
2010-07-06,2.66,2.76,2.51,2.55,52800,2.55
2010-06-28,3.02,3.03,2.65,2.66,117900,2.66
2010-06-21,2.86,3.13,2.73,3.00,360600,3.00
2010-06-14,2.89,3.02,2.79,2.82,63500,2.82
2010-06-07,2.79,2.89,2.61,2.85,71100,2.85
2010-06-01,2.95,3.02,2.78,2.78,226400,2.78
2010-05-24,2.81,3.17,2.78,2.94,128700,2.94
2010-05-17,2.97,3.06,2.70,2.80,119200,2.80
2010-05-10,2.83,3.01,2.73,2.94,53900,2.94
2010-05-03,3.30,3.30,2.71,2.72,113600,2.72
2010-04-26,3.13,3.50,2.90,3.30,234400,3.30
2010-04-19,2.86,3.18,2.86,3.06,119500,3.06
2010-04-12,2.92,3.05,2.79,2.86,70100,2.86
2010-04-05,2.74,3.02,2.71,2.92,122300,2.92
2010-03-29,2.75,2.86,2.62,2.72,247200,2.72
2010-03-22,2.66,2.93,2.65,2.75,233200,2.75
2010-03-15,2.97,3.20,2.60,2.68,463900,2.68
2010-03-08,2.97,2.99,2.81,2.93,10800,2.93
2010-03-01,3.00,3.16,2.81,2.98,18800,2.98
2010-02-22,3.00,3.00,2.88,2.96,11600,2.96
2010-02-16,2.92,3.20,2.79,3.11,8300,3.11
2010-02-08,2.87,3.35,2.68,2.89,16400,2.89
2010-02-01,2.87,3.00,2.71,2.83,10500,2.83
2010-01-25,3.24,3.30,2.75,2.76,9900,2.76
2010-01-19,3.02,3.38,2.98,3.22,24600,3.22
2010-01-11,2.79,3.05,2.76,2.91,73300,2.91
2010-01-04,2.77,2.78,2.54,2.77,18900,2.77
2009-12-28,2.73,2.82,2.50,2.74,42500,2.74
2009-12-21,2.70,2.81,2.55,2.71,20500,2.71
2009-12-14,2.73,2.97,2.54,2.68,45300,2.68
2009-12-07,3.59,3.75,2.75,2.76,33700,2.76
2009-11-30,3.50,3.63,3.37,3.58,8100,3.58
2009-11-23,3.59,3.76,3.45,3.51,16100,3.51
2009-11-16,3.74,3.75,3.45,3.57,10500,3.57
2009-11-09,3.74,3.75,3.26,3.74,21300,3.74
2009-11-02,4.17,4.25,3.50,3.50,25700,3.50
2009-10-26,4.58,4.60,4.10,4.15,11500,4.15
2009-10-19,4.79,4.94,4.51,4.56,5200,4.56
2009-10-12,4.80,5.05,4.60,4.65,5600,4.65
2009-10-05,4.79,4.89,4.65,4.82,2700,4.82
2009-09-28,4.99,5.15,4.69,4.69,8700,4.69
2009-09-21,4.98,5.00,4.55,4.98,6400,4.98
2009-09-14,4.74,5.03,4.51,4.99,11500,4.99
2009-09-08,4.71,4.86,4.65,4.81,3300,4.81
2009-08-31,4.89,5.24,4.60,4.76,5600,4.76
2009-08-24,5.15,5.33,4.51,4.89,8700,4.89
2009-08-17,4.98,5.33,4.56,5.10,5700,5.10
2009-08-10,5.51,5.74,4.86,4.86,7200,4.86
2009-08-03,5.59,5.89,5.30,5.57,8400,5.57
2009-07-27,5.60,5.74,4.32,5.67,15300,5.67
2009-07-20,5.82,6.20,5.16,5.91,7200,5.91
2009-07-13,6.08,6.27,5.74,5.80,12500,5.80
2009-07-06,6.01,6.47,5.25,6.09,11300,6.09
2009-06-29,6.49,6.49,5.75,6.09,11300,6.09
2009-06-22,6.94,7.06,6.00,6.50,138600,6.50
2009-06-15,7.25,7.25,6.04,7.24,4400,7.24
2009-06-08,7.03,7.35,6.80,7.35,6300,7.35
2009-06-01,8.05,8.10,6.47,7.01,11000,7.01
2009-05-26,5.48,8.45,5.33,8.45,10700,8.45
2009-05-18,5.50,6.16,5.02,5.48,1000,5.48
2009-05-11,5.93,6.19,5.41,5.42,3900,5.42
2009-05-04,5.95,6.00,5.31,5.90,3700,5.90
2009-04-27,5.15,6.00,4.98,5.90,3800,5.90
2009-04-20,4.64,5.05,4.42,5.05,2900,5.05
2009-04-13,4.11,4.98,4.11,4.64,2200,4.64
2009-04-06,4.00,4.40,4.00,4.40,14100,4.40
2009-03-30,3.75,4.40,3.75,4.05,1300,4.05
2009-03-23,4.21,4.40,3.62,3.75,10200,3.75
2009-03-16,4.40,4.40,3.70,3.75,4600,3.75
2009-03-09,4.00,4.40,3.76,4.00,1700,4.00
2009-03-02,5.00,5.00,4.00,4.00,10700,4.00
2009-02-23,5.76,5.76,4.40,4.40,7700,4.40
2009-02-17,6.13,6.42,5.00,5.38,3100,5.38
