Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,6.06,6.17,5.94,6.00,659300,6.00
2012-05-14,6.33,6.37,5.98,6.01,365000,6.01
2012-05-07,6.29,6.52,6.29,6.39,386500,6.39
2012-04-30,6.58,6.58,6.26,6.33,754200,6.33
2012-04-23,5.84,6.60,5.76,6.58,765000,6.53
2012-04-16,5.80,6.08,5.74,5.97,469500,5.92
2012-04-09,5.86,5.99,5.71,5.74,679200,5.70
2012-04-02,6.08,6.23,5.85,6.02,788700,5.97
2012-03-26,6.46,6.53,6.07,6.12,418200,6.07
2012-03-19,6.55,6.74,6.21,6.35,898700,6.30
2012-03-12,6.22,6.62,6.14,6.56,655300,6.51
2012-03-05,5.84,6.29,5.69,6.21,655200,6.16
2012-02-27,5.89,6.11,5.83,5.88,652200,5.83
2012-02-21,5.94,6.10,5.85,5.96,516700,5.91
2012-02-13,5.79,6.12,5.57,5.94,382000,5.89
2012-02-06,5.97,6.02,5.65,5.71,342800,5.67
2012-01-30,5.52,6.04,5.45,6.01,553100,5.96
2012-01-23,5.85,5.95,5.45,5.58,596300,5.51
2012-01-17,6.01,6.01,5.68,5.88,594900,5.80
2012-01-09,5.80,6.00,5.66,5.99,725200,5.91
2012-01-03,5.43,5.89,5.39,5.74,913200,5.66
2011-12-27,5.36,5.49,5.26,5.26,381100,5.19
2011-12-19,5.04,5.57,4.90,5.41,600600,5.34
2011-12-12,4.80,5.16,4.68,5.04,1037200,4.97
2011-12-05,4.86,4.95,4.66,4.88,767800,4.82
2011-11-28,4.27,4.81,4.17,4.76,884800,4.70
2011-11-21,4.50,4.57,4.05,4.10,337000,4.05
2011-11-14,4.72,4.80,4.51,4.59,477800,4.53
2011-11-07,4.74,4.95,4.54,4.76,439000,4.70
2011-10-31,4.63,4.80,4.25,4.75,640400,4.69
2011-10-24,4.64,4.83,4.15,4.70,1257500,4.64
2011-10-17,4.10,4.64,3.94,4.64,894200,4.55
2011-10-10,3.75,4.22,3.70,4.17,686200,4.09
2011-10-03,3.67,3.97,3.47,3.66,1012000,3.59
2011-09-26,3.78,3.97,3.66,3.70,867700,3.63
2011-09-19,4.10,4.10,3.60,3.72,1446900,3.65
2011-09-12,3.89,4.22,3.89,4.19,959300,4.11
2011-09-06,3.82,4.31,3.81,3.96,629100,3.88
2011-08-29,4.27,4.63,3.91,3.92,693800,3.84
2011-08-22,4.04,4.76,3.92,4.22,615700,4.14
2011-08-15,4.30,4.41,3.88,3.88,819600,3.80
2011-08-08,4.65,4.86,3.87,4.24,1197200,4.16
2011-08-01,5.21,5.21,4.69,4.83,743600,4.73
2011-07-25,5.21,5.38,4.98,5.14,675500,5.04
2011-07-18,5.37,5.41,5.19,5.29,485300,5.15
2011-07-11,5.67,5.85,5.35,5.41,832300,5.27
2011-07-05,5.88,5.98,5.71,5.73,467300,5.58
2011-06-27,5.76,5.90,5.66,5.89,450400,5.74
2011-06-20,5.61,5.77,5.39,5.59,441100,5.45
2011-06-13,5.23,5.75,5.17,5.62,682700,5.48
2011-06-06,5.50,5.58,5.04,5.18,498000,5.05
2011-05-31,5.81,5.90,5.51,5.51,620900,5.37
2011-05-23,5.67,5.84,5.54,5.75,330200,5.60
2011-05-16,5.88,5.92,5.75,5.76,324900,5.61
2011-05-09,5.96,6.14,5.83,5.87,292100,5.72
2011-05-02,6.25,6.26,5.95,5.98,463000,5.83
2011-04-25,6.01,6.31,5.96,6.20,465900,6.04
2011-04-18,6.26,6.34,5.80,5.95,547700,5.77
2011-04-11,6.65,6.72,6.20,6.35,502700,6.16
2011-04-04,6.82,7.00,6.63,6.67,621600,6.47
2011-03-28,6.27,6.89,6.23,6.82,695800,6.61
2011-03-21,6.45,6.54,6.10,6.27,549800,6.08
2011-03-14,6.12,6.43,6.07,6.38,627400,6.19
2011-03-07,6.34,6.57,6.16,6.19,404800,6.00
2011-02-28,6.62,6.70,6.14,6.30,520900,6.11
2011-02-22,6.58,6.69,6.35,6.59,543500,6.39
2011-02-14,6.56,6.69,6.21,6.68,641600,6.48
2011-02-07,6.54,6.75,6.40,6.58,502900,6.38
2011-01-31,6.57,6.60,6.37,6.55,538300,6.35
2011-01-24,6.97,7.05,6.53,6.53,561300,6.33
2011-01-18,7.01,7.08,6.65,6.96,679400,6.72
2011-01-10,6.71,7.05,6.61,7.03,647700,6.79
2011-01-03,7.15,7.41,6.71,6.73,646000,6.50
2010-12-27,7.21,7.35,7.08,7.08,235300,6.84
2010-12-20,6.76,7.47,6.68,7.23,542500,6.98
2010-12-13,6.98,7.13,6.67,6.75,761800,6.52
2010-12-06,6.69,7.00,6.62,6.98,448600,6.74
2010-11-29,6.22,6.71,6.11,6.69,403500,6.46
2010-11-22,6.24,6.46,6.11,6.25,317700,6.03
2010-11-15,6.30,6.48,6.03,6.26,281200,6.04
2010-11-08,6.32,6.45,6.20,6.25,331200,6.03
2010-11-01,5.86,6.62,5.60,6.32,650600,6.10
2010-10-25,5.58,5.84,5.44,5.82,360600,5.62
2010-10-18,5.63,5.76,5.51,5.55,436600,5.35
2010-10-11,5.68,5.79,5.50,5.63,452200,5.43
2010-10-04,5.50,5.80,5.33,5.67,628400,5.46
2010-09-27,5.37,5.70,5.07,5.53,651300,5.33
2010-09-20,5.31,5.65,5.03,5.35,387800,5.16
2010-09-13,5.36,5.58,5.28,5.31,489700,5.12
2010-09-07,5.28,5.38,5.05,5.27,339800,5.08
2010-08-30,5.06,5.31,4.89,5.31,999800,5.12
2010-08-23,5.13,5.21,4.83,5.10,611100,4.92
2010-08-16,5.02,5.33,4.85,5.10,654900,4.92
2010-08-09,5.10,5.16,4.89,5.00,738500,4.82
2010-08-02,5.32,5.43,4.80,5.08,2409800,4.90
2010-07-26,5.22,5.46,4.97,5.30,574600,5.11
2010-07-19,5.32,5.37,4.90,5.22,501900,5.02
2010-07-12,5.81,6.23,5.28,5.29,417900,5.09
2010-07-06,5.15,5.76,5.00,5.75,402200,5.53
2010-06-28,5.50,5.68,5.00,5.09,472800,4.90
2010-06-21,5.32,5.62,5.10,5.50,470200,5.29
2010-06-14,5.26,5.38,5.10,5.25,386700,5.05
2010-06-07,5.03,5.21,4.86,5.21,561100,5.01
2010-06-01,5.18,5.48,4.94,4.98,486900,4.79
2010-05-24,5.65,5.67,5.08,5.23,413000,5.03
2010-05-17,6.37,6.75,5.41,5.64,635100,5.43
