Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.05,14.24,13.75,14.11,63800,14.11
2012-05-14,14.73,14.82,13.92,14.08,75500,14.08
2012-05-07,14.52,14.85,14.42,14.61,56600,14.61
2012-04-30,14.70,14.75,14.52,14.58,63600,14.58
2012-04-23,14.52,14.74,14.34,14.65,73800,14.57
2012-04-16,14.54,14.70,14.40,14.48,79100,14.40
2012-04-09,14.62,14.78,14.34,14.45,81400,14.37
2012-04-02,14.91,15.23,14.17,14.63,117700,14.55
2012-03-26,14.86,15.23,14.53,14.97,112300,14.81
2012-03-19,14.79,14.88,14.65,14.78,113400,14.62
2012-03-12,14.74,14.80,14.57,14.80,78800,14.64
2012-03-05,14.72,14.78,14.35,14.74,94700,14.58
2012-02-27,14.67,14.78,14.50,14.77,63900,14.61
2012-02-21,14.48,14.74,14.41,14.52,71800,14.29
2012-02-13,14.38,14.67,14.34,14.39,79800,14.17
2012-02-06,14.23,14.40,14.22,14.37,81000,14.15
2012-01-30,14.37,14.44,14.18,14.30,83500,14.08
2012-01-23,14.32,14.55,14.16,14.37,96200,14.07
2012-01-17,14.25,14.35,13.98,14.27,81400,13.98
2012-01-09,14.00,14.28,13.78,14.15,96700,13.86
2012-01-03,13.27,14.02,13.20,13.95,107700,13.66
2011-12-27,13.34,13.39,13.17,13.19,75800,12.92
2011-12-19,13.05,13.50,13.00,13.34,81100,12.99
2011-12-12,13.01,13.30,12.99,13.10,66800,12.76
2011-12-05,13.15,13.36,13.02,13.09,56200,12.75
2011-11-28,13.16,13.30,12.96,13.16,60900,12.82
2011-11-21,13.10,13.24,12.95,12.96,48700,12.55
2011-11-14,13.43,13.66,13.23,13.26,56400,12.84
2011-11-07,13.42,13.70,13.05,13.48,48400,13.06
2011-10-31,13.78,13.90,13.33,13.52,56100,13.10
2011-10-24,13.32,13.89,13.30,13.85,57600,13.35
2011-10-17,13.69,13.69,13.22,13.31,89000,12.83
2011-10-10,13.02,13.40,13.00,13.32,70300,12.84
2011-10-03,13.23,13.28,12.62,12.97,85400,12.50
2011-09-26,12.80,13.42,12.69,13.42,155600,12.87
2011-09-19,13.11,13.25,12.45,12.84,123700,12.31
2011-09-12,12.74,13.21,12.71,13.12,111700,12.58
2011-09-06,12.82,13.13,12.77,12.83,110500,12.30
2011-08-29,12.36,13.17,12.30,13.06,183600,12.52
2011-08-22,12.46,12.64,12.13,12.38,147600,11.80
2011-08-15,12.71,12.99,12.33,12.35,118300,11.77
2011-08-08,12.85,13.00,12.05,12.68,284900,12.09
2011-08-01,14.00,14.00,12.81,13.09,150700,12.48
2011-07-25,14.31,14.34,13.34,13.88,172900,13.17
2011-07-18,14.37,14.42,14.25,14.31,88700,13.57
2011-07-11,14.46,14.46,14.23,14.39,68400,13.65
2011-07-05,14.38,14.50,14.34,14.47,66200,13.73
2011-06-27,14.12,14.46,14.11,14.44,110200,13.70
2011-06-20,14.38,14.43,14.12,14.15,103200,13.36
2011-06-13,14.31,14.43,14.13,14.38,99200,13.57
2011-06-06,14.66,14.73,14.11,14.30,184500,13.50
2011-05-31,14.75,14.85,14.56,14.73,105000,13.90
2011-05-23,15.25,15.27,14.56,14.85,190400,13.95
2011-05-16,15.38,15.62,15.15,15.30,150400,14.37
2011-05-09,15.49,15.49,15.22,15.36,126100,14.43
2011-05-02,15.44,15.53,15.16,15.50,124300,14.56
2011-04-25,15.07,15.55,15.01,15.40,155700,14.40
2011-04-18,15.11,15.33,15.02,15.14,177300,14.16
2011-04-11,15.12,15.22,14.80,15.11,108000,14.13
2011-04-04,14.97,15.18,14.79,15.12,148600,14.14
2011-03-28,14.79,15.03,14.73,14.95,171300,13.98
2011-03-21,14.74,14.94,14.66,14.86,120100,13.83
2011-03-14,14.83,14.83,14.49,14.70,105300,13.68
2011-03-07,14.63,14.82,14.38,14.81,164200,13.79
2011-02-28,14.64,14.84,14.57,14.68,177200,13.66
2011-02-22,14.67,14.77,14.50,14.66,132500,13.58
2011-02-14,14.38,14.75,14.38,14.75,184600,13.67
2011-02-07,14.70,14.76,14.12,14.44,223100,13.38
2011-01-31,14.51,14.77,14.42,14.70,152600,13.62
2011-01-24,14.32,14.59,14.28,14.50,143800,13.38
2011-01-18,14.21,14.38,14.01,14.35,156400,13.24
2011-01-10,14.01,14.33,13.94,14.22,181300,13.12
2011-01-03,13.97,14.02,13.72,14.02,125400,12.93
2010-12-27,13.92,13.98,13.83,13.97,77700,12.83
2010-12-20,13.80,13.99,13.76,13.95,169800,12.81
2010-12-13,13.77,13.95,13.58,13.85,155300,12.72
2010-12-06,13.72,13.86,13.50,13.75,119300,12.63
2010-11-29,13.67,13.86,13.55,13.82,99200,12.69
2010-11-22,13.67,13.75,13.54,13.74,62900,12.57
2010-11-15,13.49,13.70,13.16,13.63,113400,12.47
2010-11-08,13.55,13.70,13.36,13.38,118200,12.24
2010-11-01,13.27,13.77,13.24,13.55,137500,12.39
2010-10-25,13.28,13.30,13.18,13.30,98900,12.12
2010-10-18,13.16,13.28,13.15,13.27,112000,12.09
2010-10-11,13.16,13.18,13.07,13.14,118600,11.97
2010-10-04,13.13,13.22,13.05,13.13,113500,11.96
2010-09-27,12.96,13.23,12.95,13.21,104800,12.03
2010-09-20,13.10,13.17,12.82,12.97,252200,11.77
2010-09-13,13.27,13.30,12.90,13.10,141700,11.88
2010-09-07,13.24,13.28,13.11,13.26,104300,12.03
2010-08-30,13.21,13.38,13.18,13.22,113400,11.99
2010-08-23,13.20,13.25,13.11,13.20,93500,11.93
2010-08-16,13.08,13.28,13.06,13.21,117200,11.93
2010-08-09,13.10,13.16,13.00,13.10,87600,11.83
2010-08-02,13.08,13.20,12.98,13.08,110300,11.82
2010-07-26,12.97,13.10,12.96,13.10,96400,11.78
2010-07-19,12.72,13.11,12.67,12.99,127400,11.69
2010-07-12,12.59,12.81,12.54,12.73,97700,11.45
2010-07-06,12.44,12.62,12.30,12.56,65500,11.30
2010-06-28,12.70,12.78,12.22,12.40,96000,11.16
2010-06-21,12.58,12.90,12.46,12.68,93200,11.36
2010-06-14,12.64,12.86,12.47,12.52,70100,11.22
2010-06-07,12.20,12.59,12.04,12.59,72600,11.28
2010-06-01,12.50,12.52,12.13,12.20,77600,10.93
2010-05-24,12.03,12.65,11.98,12.65,93400,11.30
2010-05-17,12.94,12.97,11.51,12.03,162500,10.75
2010-05-10,13.15,13.25,12.65,12.88,129600,11.51
2010-05-03,13.45,13.64,11.98,12.60,189400,11.26
2010-04-26,13.40,13.68,13.29,13.47,118300,12.00
2010-04-19,13.47,13.53,13.14,13.40,120500,11.94
2010-04-12,13.50,13.69,13.43,13.51,173100,12.03
2010-04-05,13.16,13.55,13.12,13.45,137800,11.98
2010-03-29,13.03,13.19,12.94,13.16,126600,11.72
2010-03-22,12.81,13.04,12.81,12.96,111500,11.51
2010-03-15,12.74,12.84,12.69,12.80,116500,11.37
2010-03-08,12.70,12.76,12.56,12.75,100900,11.32
2010-03-01,12.76,12.81,12.58,12.76,116100,11.33
2010-02-22,12.71,12.91,12.58,12.79,125600,11.33
2010-02-16,12.42,12.71,12.37,12.71,112400,11.26
2010-02-08,12.29,12.45,12.16,12.38,102600,10.97
2010-02-01,12.21,12.39,11.86,12.31,149400,10.90
2010-01-25,12.18,12.38,12.18,12.22,114100,10.79
2010-01-19,12.19,12.40,12.15,12.21,116700,10.78
2010-01-11,12.02,12.22,11.98,12.20,159100,10.77
2010-01-04,11.92,12.08,11.79,12.04,152200,10.63
2009-12-28,11.76,12.06,11.65,11.90,164700,10.48
2009-12-21,11.64,11.76,11.45,11.76,128600,10.36
2009-12-14,11.13,11.63,11.07,11.54,128700,10.16
2009-12-07,11.00,11.24,10.95,11.11,131200,9.79
2009-11-30,10.90,10.99,10.83,10.99,160400,9.68
2009-11-23,10.80,10.93,10.76,10.86,83900,9.54
2009-11-16,10.75,10.84,10.68,10.81,141200,9.49
2009-11-09,10.88,10.89,10.64,10.68,107200,9.38
2009-11-02,10.85,10.92,10.75,10.85,70900,9.53
2009-10-26,11.19,11.21,10.68,10.90,128800,9.54
2009-10-19,11.13,11.27,11.08,11.14,107000,9.75
2009-10-12,11.03,11.21,10.99,11.15,105800,9.76
2009-10-05,10.90,11.04,10.80,11.02,162400,9.65
2009-09-28,11.18,11.26,10.79,10.92,218100,9.56
2009-09-21,11.22,11.36,11.12,11.18,109800,9.76
2009-09-14,11.02,11.33,10.97,11.32,94200,9.88
2009-09-08,11.00,11.10,10.91,11.04,56000,9.64
2009-08-31,10.82,10.95,10.68,10.95,65800,9.56
2009-08-24,10.70,10.92,10.68,10.87,103300,9.46
2009-08-17,10.83,10.94,10.61,10.76,86500,9.36
2009-08-10,10.85,11.00,10.69,10.97,98000,9.55
2009-08-03,10.72,10.99,10.53,10.95,112500,9.53
2009-07-27,10.00,10.66,9.95,10.59,81200,9.19
2009-07-20,9.86,10.03,9.71,10.00,145500,8.67
2009-07-13,9.85,9.99,9.83,9.90,74400,8.59
2009-07-06,9.84,9.92,9.76,9.80,81700,8.50
2009-06-29,9.68,9.95,9.68,9.84,65700,8.54
2009-06-22,9.92,9.92,9.51,9.68,74200,8.36
2009-06-15,9.92,10.02,9.86,9.90,106800,8.55
2009-06-08,10.01,10.21,9.90,9.94,188000,8.59
2009-06-01,10.03,10.16,9.93,10.05,81400,8.68
2009-05-26,9.74,10.04,9.64,10.04,66000,8.63
2009-05-18,9.33,9.86,9.32,9.73,66700,8.37
2009-05-11,9.29,9.46,9.16,9.34,113800,8.03
2009-05-04,9.65,9.74,9.26,9.38,145900,8.07
2009-04-27,9.16,9.58,8.99,9.54,87400,8.20
2009-04-20,9.04,9.20,8.70,9.20,79700,7.87
2009-04-13,8.40,9.08,8.38,9.04,94000,7.73
2009-04-06,8.12,8.53,8.05,8.51,59100,7.28
2009-03-30,7.72,8.23,7.68,8.20,55400,7.02
2009-03-23,7.60,8.00,7.45,7.96,55900,6.77
2009-03-16,7.65,7.83,7.25,7.55,64800,6.42
2009-03-09,6.74,7.85,6.65,7.73,238200,6.57
2009-03-02,7.45,7.45,6.61,6.88,186100,5.85
2009-02-23,7.73,8.03,7.53,7.59,103100,6.41
2009-02-17,8.48,8.49,7.52,7.72,188000,6.52
2009-02-09,8.35,9.21,8.34,8.55,67900,7.23
2009-02-02,8.27,8.78,8.07,8.43,99800,7.12
2009-01-26,8.00,8.73,7.91,8.37,126400,7.03
2009-01-20,7.99,8.09,7.65,8.06,110100,6.77
2009-01-12,8.11,8.28,7.78,7.99,121300,6.71
2009-01-05,7.70,8.11,7.55,8.11,168200,6.81
2008-12-29,6.80,7.61,6.73,7.61,149700,6.39
2008-12-22,6.85,6.97,6.60,6.95,111700,5.78
2008-12-15,5.51,7.19,5.50,6.86,215100,5.71
2008-12-08,6.15,6.24,5.45,5.60,189700,4.66
2008-12-01,6.56,6.72,6.09,6.13,129800,5.10
2008-11-24,6.62,7.07,6.42,6.96,71600,5.74
2008-11-17,7.93,7.93,6.19,6.62,146400,5.46
2008-11-10,8.86,8.89,7.83,7.96,81900,6.56
2008-11-03,8.45,8.80,8.44,8.64,114600,7.12
2008-10-27,7.76,8.54,7.64,8.45,137400,6.91
2008-10-20,8.35,8.60,7.62,7.98,111100,6.52
2008-10-13,7.44,9.25,7.44,8.34,91300,6.82
2008-10-06,9.60,9.70,5.25,7.30,181600,5.97
2008-09-29,11.19,11.19,10.02,10.40,213000,8.50
2008-09-22,12.47,12.60,11.27,11.56,121400,9.39
2008-09-15,12.85,12.90,11.12,12.78,280100,10.38
2008-09-08,13.28,13.40,12.90,13.03,74300,10.59
2008-09-02,13.30,13.35,13.13,13.21,111500,10.73
2008-08-25,13.12,13.46,13.06,13.34,89400,10.78
2008-08-18,13.01,13.30,12.97,13.21,162200,10.67
2008-08-11,13.38,13.40,13.08,13.08,110100,10.57
2008-08-04,13.39,13.49,13.15,13.32,85700,10.76
2008-07-28,13.45,13.64,13.11,13.45,58500,10.87
2008-07-21,13.52,13.75,13.32,13.45,60000,10.81
