Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,11.13,11.45,11.11,11.21,76700,11.21
2012-05-14,11.58,11.75,11.00,11.02,153200,11.02
2012-05-07,11.60,12.10,11.36,11.78,144000,11.78
2012-04-30,13.03,13.24,11.60,11.61,245700,11.61
2012-04-23,14.44,14.58,12.87,13.31,333000,13.31
2012-04-16,15.41,16.06,14.61,14.74,112700,14.74
2012-04-09,15.34,16.38,14.56,15.81,176100,15.81
2012-04-02,17.16,17.20,15.59,15.81,443400,15.81
2012-03-26,17.62,17.97,17.15,17.21,93400,17.21
2012-03-19,17.63,17.87,17.11,17.38,92800,17.38
2012-03-12,17.00,17.75,17.00,17.57,92400,17.57
2012-03-05,17.19,17.27,15.99,17.01,104600,17.01
2012-02-27,17.50,17.84,16.26,17.15,153500,17.15
2012-02-21,17.58,17.85,16.89,17.64,84200,17.64
2012-02-13,17.45,17.69,17.20,17.49,79100,17.49
2012-02-06,17.60,17.78,17.10,17.28,85100,17.28
2012-01-30,16.56,17.74,16.52,17.60,96000,17.60
2012-01-23,16.65,17.41,16.50,16.82,98500,16.82
2012-01-17,16.21,16.68,15.82,16.65,131700,16.65
2012-01-09,15.54,16.38,15.34,16.08,119800,16.08
2012-01-03,15.10,15.74,14.80,15.55,206000,15.55
2011-12-27,15.02,15.03,14.48,14.75,127200,14.75
2011-12-19,13.73,15.17,13.06,15.14,167700,15.14
2011-12-12,14.66,14.78,13.11,13.60,143000,13.60
2011-12-05,15.48,15.65,14.27,14.66,101400,14.66
2011-11-28,13.77,15.33,13.58,15.13,236900,15.13
2011-11-21,13.57,13.97,13.13,13.27,257600,13.27
2011-11-14,15.18,15.26,13.49,13.78,288400,13.78
2011-11-07,16.74,16.76,15.07,15.13,208600,15.13
2011-10-31,17.86,17.86,15.74,16.88,229500,16.88
2011-10-24,17.51,19.00,16.84,17.25,191200,17.25
2011-10-17,18.78,18.81,16.68,17.45,177700,17.45
2011-10-10,17.25,19.28,17.25,18.69,105600,18.69
2011-10-03,14.95,17.84,14.35,16.85,218800,16.85
2011-09-26,14.93,15.86,14.34,14.75,244100,14.75
2011-09-19,16.74,17.26,14.28,14.71,167600,14.71
2011-09-12,15.36,17.32,15.01,17.02,198200,17.02
2011-09-06,15.53,16.20,14.71,15.19,167300,15.19
2011-08-29,16.09,18.04,15.74,16.15,143300,16.15
2011-08-22,15.28,16.45,14.21,15.86,131300,15.86
2011-08-15,17.26,17.66,14.74,14.87,252600,14.87
2011-08-08,16.35,17.49,14.11,17.10,355400,17.10
2011-08-01,19.48,19.53,15.65,16.95,423800,16.95
2011-07-25,21.60,21.66,19.01,19.17,159700,19.17
2011-07-18,21.99,22.24,21.30,21.68,85900,21.68
2011-07-11,22.94,23.22,21.83,22.05,76600,22.05
2011-07-05,23.00,23.99,22.41,23.18,260300,23.18
2011-06-27,21.74,23.16,21.45,22.95,126200,22.95
2011-06-20,20.06,21.69,19.61,21.64,307900,21.64
2011-06-13,21.27,21.55,19.98,19.98,102400,19.98
2011-06-06,21.94,22.12,20.80,21.26,102500,21.26
2011-05-31,23.23,23.57,21.91,21.91,165800,21.91
2011-05-23,23.54,23.56,22.44,23.07,160800,23.07
2011-05-16,25.63,25.94,23.17,23.73,228200,23.73
2011-05-09,25.71,26.30,25.32,25.77,137200,25.77
2011-05-02,26.58,26.62,24.79,25.61,139200,25.61
2011-04-25,25.75,27.20,25.08,26.51,97300,26.51
2011-04-18,24.85,25.93,24.51,25.80,143100,25.80
2011-04-11,25.29,25.29,24.64,25.17,116700,25.17
2011-04-04,25.05,25.87,24.80,25.12,158900,25.12
2011-03-28,25.11,25.21,24.47,24.87,225900,24.87
2011-03-21,25.39,25.97,24.65,24.89,379000,24.89
2011-03-14,23.52,25.29,21.28,24.78,483900,24.78
2011-03-07,23.28,26.00,22.65,23.80,342500,23.80
2011-02-28,21.18,23.71,21.01,23.14,206700,23.14
2011-02-22,20.93,21.28,18.91,21.02,271100,21.02
2011-02-14,21.76,22.10,20.94,21.03,95700,21.03
2011-02-07,22.02,22.80,21.25,21.72,116800,21.72
2011-01-31,22.61,23.89,21.67,22.08,111200,22.08
2011-01-24,23.13,24.03,22.57,22.59,67400,22.59
2011-01-18,23.23,24.01,22.89,23.18,165100,23.18
2011-01-10,21.15,23.61,21.08,23.21,124100,23.21
2011-01-03,20.79,22.15,19.88,21.19,182100,21.19
2010-12-27,20.76,20.76,20.26,20.65,122200,20.65
2010-12-20,20.55,21.22,20.40,20.75,105300,20.75
2010-12-13,20.84,21.23,20.18,20.40,150100,20.40
2010-12-06,19.10,21.00,18.93,20.70,167900,20.70
2010-11-29,18.90,19.36,18.39,19.08,118800,19.08
2010-11-22,19.16,19.45,18.85,19.11,40800,19.11
