Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,19.12,19.49,19.12,19.49,20200,19.49
2012-05-14,20.45,20.45,19.03,19.04,23900,19.04
2012-05-07,21.20,21.25,20.49,20.49,16400,20.49
2012-04-30,20.70,21.70,20.63,21.22,18900,21.22
2012-04-23,20.46,20.88,20.29,20.79,10600,20.79
2012-04-16,20.90,21.06,20.30,20.50,30100,20.50
2012-04-09,21.24,21.31,20.77,20.90,22800,20.90
2012-04-02,20.77,21.45,20.75,21.35,36400,21.35
2012-03-26,20.55,20.84,20.04,20.78,41200,20.78
2012-03-19,20.98,21.07,20.43,20.43,10600,20.43
2012-03-12,20.89,21.55,20.65,21.06,35500,21.06
2012-03-05,20.89,20.97,20.30,20.88,21900,20.88
2012-02-27,20.67,21.04,20.65,20.98,22500,20.98
2012-02-21,20.78,20.81,20.47,20.68,16000,20.68
2012-02-13,20.48,20.67,20.23,20.60,13800,20.60
2012-02-06,20.21,20.48,20.09,20.40,20000,20.40
2012-01-30,19.75,20.26,19.51,20.21,24600,20.21
2012-01-23,19.22,19.74,19.22,19.74,18200,19.74
2012-01-17,18.73,19.22,18.68,19.17,14200,19.17
2012-01-09,18.26,18.65,18.18,18.54,12800,18.54
2012-01-03,18.12,18.32,18.01,18.26,23000,18.26
2011-12-27,17.83,17.91,17.61,17.82,26100,17.82
2011-12-19,17.99,18.08,17.53,17.86,27900,17.86
2011-12-12,18.50,18.56,17.79,17.95,13500,17.95
2011-12-05,18.69,18.82,18.43,18.57,15700,18.57
2011-11-28,17.96,18.64,17.88,18.61,20300,18.61
2011-11-21,18.05,18.05,17.60,17.70,17700,17.70
2011-11-14,19.18,19.24,18.20,18.28,14500,18.28
2011-11-07,19.25,19.53,18.84,19.16,24100,19.16
2011-10-31,19.40,19.40,18.69,19.19,24100,19.19
2011-10-24,18.25,19.48,18.25,19.48,27800,19.48
2011-10-17,18.63,18.69,17.86,18.11,23700,18.11
2011-10-10,17.50,18.67,17.50,18.60,20900,18.60
2011-10-03,17.20,17.50,16.35,17.40,46700,17.40
2011-09-26,17.51,18.14,17.24,17.26,23100,17.26
2011-09-19,18.78,19.10,17.45,17.58,20300,17.58
2011-09-12,19.35,19.40,18.97,19.36,34900,19.00
2011-09-06,19.55,20.01,19.32,19.44,16400,19.08
2011-08-29,19.75,20.25,19.67,19.88,19500,19.51
2011-08-22,19.61,19.63,19.01,19.52,31600,19.16
2011-08-15,19.59,20.08,19.10,19.29,24000,18.93
2011-08-08,19.07,19.66,16.60,19.46,55700,19.10
2011-08-01,20.78,20.92,19.33,19.83,28500,19.46
2011-07-25,20.92,21.04,20.41,20.72,17300,20.34
2011-07-18,20.78,21.07,20.60,20.90,21800,20.51
2011-07-11,21.06,21.08,20.81,20.86,15200,20.47
2011-07-05,21.00,21.28,21.00,21.11,14500,20.72
2011-06-27,20.51,21.15,20.43,21.12,24700,20.73
2011-06-20,20.90,20.90,20.23,20.40,16500,20.02
2011-06-13,20.96,21.12,20.74,20.79,8500,20.06
2011-06-06,21.34,21.35,21.06,21.06,16600,20.32
2011-05-31,21.34,21.46,20.83,21.29,39800,20.54
2011-05-23,20.94,21.30,20.86,21.27,13900,20.52
2011-05-16,21.12,21.17,20.83,21.12,19600,20.38
2011-05-09,21.25,21.40,21.05,21.09,10400,20.35
2011-05-02,21.60,21.66,21.00,21.21,13700,20.46
2011-04-25,21.72,21.72,21.45,21.50,11000,20.74
2011-04-18,21.11,21.63,21.00,21.62,21100,20.86
2011-04-11,21.66,21.71,21.24,21.36,14200,20.61
2011-04-04,21.16,21.69,21.09,21.67,30400,20.91
2011-03-28,20.63,21.09,20.50,21.04,15300,20.30
2011-03-21,20.14,20.60,20.14,20.56,12600,19.84
2011-03-14,20.58,20.92,20.18,20.46,15800,19.40
2011-03-07,20.63,20.66,20.34,20.56,15600,19.50
2011-02-28,19.98,20.61,19.98,20.54,33200,19.48
2011-02-22,20.30,20.38,19.64,19.94,37600,18.91
2011-02-14,20.58,20.60,20.08,20.44,26800,19.38
2011-02-07,20.79,20.95,20.33,20.45,18400,19.39
2011-01-31,20.48,20.91,20.35,20.79,20500,19.72
2011-01-24,21.28,21.30,20.11,20.54,29700,19.48
2011-01-18,21.57,21.65,20.88,21.23,18800,20.13
2011-01-10,22.45,22.45,21.34,21.67,27600,20.55
2011-01-03,21.35,22.68,21.35,22.39,33600,21.23
