Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,8.18,8.25,7.94,7.95,8000,7.95
2012-05-14,8.30,8.45,8.05,8.24,8100,8.24
2012-05-07,8.43,8.70,8.26,8.49,19600,8.49
2012-04-30,9.32,9.55,8.23,8.61,25600,8.61
2012-04-23,7.10,9.97,6.99,9.97,35900,9.97
2012-04-16,6.45,7.05,6.45,6.95,3600,6.95
2012-04-09,6.16,6.65,6.00,6.47,6300,6.47
2012-04-02,6.80,6.90,6.00,6.16,5400,6.16
2012-03-26,6.79,6.85,6.60,6.82,1300,6.82
2012-03-19,6.69,6.91,6.58,6.78,4400,6.78
2012-03-12,6.75,6.90,6.51,6.71,2900,6.71
2012-03-05,6.69,7.00,6.50,6.81,2500,6.81
2012-02-27,6.79,7.10,6.60,6.75,3000,6.75
2012-02-21,6.78,7.25,6.25,7.00,15200,7.00
2012-02-13,5.60,7.34,5.50,6.73,15600,6.73
2012-02-06,5.45,5.61,5.40,5.55,3500,5.55
2012-01-30,5.50,5.70,5.36,5.49,2300,5.49
2012-01-23,5.47,6.00,5.44,5.52,4900,5.52
2012-01-17,4.84,5.37,4.79,5.25,4300,5.25
2012-01-09,4.30,4.85,4.30,4.85,5300,4.85
2012-01-03,4.41,4.62,4.33,4.36,3400,4.36
2011-12-27,4.90,4.90,4.30,4.32,11900,4.32
2011-12-19,4.95,5.11,4.90,4.90,5300,4.90
2011-12-12,4.98,5.14,4.88,5.00,3600,5.00
2011-12-05,4.90,5.46,4.70,4.93,3600,4.93
2011-11-28,5.05,5.08,4.65,4.80,5100,4.80
2011-11-21,4.88,5.16,4.85,4.97,3600,4.97
2011-11-14,5.28,5.49,4.97,4.98,4200,4.98
2011-11-07,5.50,5.99,5.26,5.27,2800,5.27
2011-10-31,5.61,6.00,5.55,5.89,1000,5.89
2011-10-24,5.30,5.90,5.28,5.70,2800,5.70
2011-10-17,5.26,5.48,5.25,5.45,2400,5.45
2011-10-10,5.29,5.43,5.16,5.25,5300,5.25
2011-10-03,5.56,5.80,5.10,5.25,6800,5.25
2011-09-26,5.79,5.87,5.50,5.55,5200,5.55
2011-09-19,5.68,5.90,5.60,5.76,4800,5.76
2011-09-12,5.86,5.99,5.59,5.59,6600,5.59
2011-09-06,5.87,6.00,5.84,5.92,6100,5.92
2011-08-29,6.00,6.00,5.76,6.00,8700,6.00
2011-08-22,6.13,6.14,5.86,6.00,12500,6.00
2011-08-15,6.20,6.44,5.98,5.99,16500,5.99
2011-08-08,6.01,6.21,5.75,6.04,44800,6.04
2011-08-01,6.46,6.46,5.90,5.99,11800,5.99
2011-07-25,6.07,6.44,5.75,6.06,16500,6.06
2011-07-18,6.28,6.50,5.86,6.02,23700,6.02
2011-07-11,5.68,6.78,5.55,6.41,37100,6.41
2011-07-05,5.50,6.00,5.40,5.81,24000,5.81
2011-06-27,6.00,7.26,5.00,5.50,44300,5.50
2011-06-20,8.51,8.68,5.75,5.75,16800,5.75
2011-06-13,8.51,9.00,8.01,8.73,2200,8.73
2011-06-06,9.10,9.10,8.49,8.70,3900,8.70
2011-05-31,9.42,9.50,8.51,9.10,8600,9.10
2011-05-23,9.86,10.45,9.00,9.54,7900,9.54
2011-05-16,7.37,10.59,7.04,9.12,10700,9.12
2011-05-09,10.49,11.14,6.75,7.57,14900,7.57
2011-05-02,2.90,12.75,2.59,10.48,4300,10.48
2011-04-25,2.27,3.43,2.11,2.90,6300,14.50
2011-04-18,2.60,2.71,2.22,2.39,3900,11.95
2011-04-11,2.90,2.95,2.53,2.56,6800,12.80
2011-04-04,2.85,3.15,2.70,2.90,3800,14.50
2011-03-28,2.87,2.98,2.70,2.85,4300,14.25
2011-03-21,3.04,3.07,2.50,2.87,4500,14.35
2011-03-14,2.26,3.30,2.03,3.15,4200,15.75
2011-03-07,2.77,2.82,2.29,2.32,3100,11.60
2011-02-28,2.84,3.30,2.65,2.80,3600,14.00
2011-02-22,3.33,3.35,2.65,2.84,6100,14.20
2011-02-14,2.84,3.88,2.76,3.33,15800,16.65
2011-02-07,2.16,2.88,2.16,2.74,7400,13.70
2011-01-31,2.50,2.50,1.95,2.17,11100,10.85
2011-01-24,2.25,3.90,1.92,2.45,14800,12.25
2011-01-18,2.00,2.46,1.39,2.27,2000,11.35
2011-01-10,1.78,2.00,1.78,1.98,700,9.90
2011-01-03,1.41,1.90,1.41,1.78,1300,8.90
2010-12-27,1.50,1.60,1.25,1.50,2400,7.50
2010-12-20,1.10,1.50,1.05,1.50,2200,7.50
2010-12-13,1.14,1.20,1.08,1.08,2000,5.40
2010-12-06,1.21,1.21,1.02,1.12,2200,5.60
2010-11-29,1.14,1.75,0.99,1.23,4900,6.15
2010-11-22,1.16,1.32,0.94,1.05,4000,5.25
2010-11-15,1.70,1.75,1.07,1.15,3900,5.75
2010-11-08,1.90,1.99,1.65,1.65,1100,8.25
2010-11-01,1.74,1.99,1.65,1.93,1000,9.65
2010-10-25,1.80,1.99,1.71,1.88,1500,9.40
2010-10-18,1.90,1.95,1.80,1.80,1000,9.00
2010-10-11,1.90,1.95,1.77,1.92,300,9.60
2010-10-04,1.85,1.99,1.76,1.92,900,9.60
2010-09-27,1.85,1.95,1.76,1.85,1100,9.25
2010-09-20,1.95,1.99,1.69,1.85,500,9.25
2010-09-13,1.80,1.94,1.80,1.89,300,9.45
2010-09-07,1.76,1.99,1.72,1.84,1700,9.20
2010-08-30,1.66,1.89,1.66,1.85,600,9.25
2010-08-23,1.67,1.90,1.60,1.70,900,8.50
2010-08-16,1.70,1.90,1.50,1.67,2700,8.35
2010-08-09,1.78,1.78,1.51,1.70,2300,8.50
2010-08-02,2.00,2.00,1.75,1.78,5800,8.90
2010-07-26,1.90,2.10,1.70,1.97,4300,9.85
2010-07-19,1.96,2.10,1.81,1.92,300,9.60
2010-07-12,2.05,2.30,2.00,2.00,1000,10.00
2010-07-06,2.11,2.21,1.90,2.05,1800,10.25
2010-06-28,2.90,2.90,2.08,2.20,1800,11.00
2010-06-21,3.15,3.15,2.67,2.90,900,14.50
2010-06-14,3.31,3.37,3.03,3.15,600,15.75
2010-06-07,3.24,3.50,3.05,3.21,700,16.05
2010-06-01,3.63,3.82,2.99,3.36,1500,16.80
2010-05-24,3.32,3.32,3.05,3.09,200,15.45
2010-05-17,3.58,3.60,3.09,3.32,500,16.60
2010-05-10,3.48,3.54,3.30,3.41,700,17.05
2010-05-03,3.39,3.95,3.03,3.13,1900,15.65
2010-04-26,3.28,3.40,3.25,3.39,700,16.95
2010-04-19,3.16,3.45,3.16,3.29,1700,16.45
2010-04-12,3.64,3.97,3.00,3.16,2800,15.80
2010-04-05,3.50,4.00,3.35,3.55,1400,17.75
2010-03-29,3.86,3.95,3.50,3.50,1700,17.50
2010-03-22,3.52,3.89,3.25,3.89,900,19.45
2010-03-15,3.21,3.76,3.21,3.76,300,18.80
2010-03-08,3.59,3.78,3.28,3.60,600,18.00
2010-03-01,3.45,3.60,3.35,3.45,100,17.25
2010-02-22,3.65,3.98,3.22,3.27,1200,16.35
2010-02-16,3.12,3.88,3.04,3.88,700,19.40
2010-02-08,3.85,3.85,3.11,3.11,1100,15.55
2010-02-01,3.13,4.00,2.90,3.85,1800,19.25
2010-01-25,2.79,3.14,2.71,3.00,1200,15.00
2010-01-19,2.66,2.95,2.60,2.62,800,13.10
2010-01-11,2.60,2.88,2.60,2.60,600,13.00
2010-01-04,2.40,2.75,2.28,2.50,1400,12.50
2009-12-28,2.60,2.60,2.02,2.29,2400,11.45
2009-12-21,2.70,2.75,2.37,2.58,700,12.90
2009-12-14,2.51,2.70,2.26,2.70,1700,13.50
2009-12-07,2.90,2.93,2.30,2.50,1800,12.50
2009-11-30,2.90,3.00,2.75,2.89,900,14.45
2009-11-23,3.14,3.14,2.66,2.99,800,14.95
2009-11-16,3.15,3.15,2.90,3.00,1300,15.00
2009-11-09,3.25,3.35,3.07,3.13,500,15.65
2009-11-02,3.69,3.69,3.00,3.48,300,17.40
2009-10-26,3.76,3.91,3.51,3.51,700,17.55
2009-10-19,3.84,3.98,3.57,3.81,500,19.05
2009-10-12,4.00,4.00,3.85,3.96,300,19.80
2009-10-05,4.00,4.10,3.85,4.00,600,20.00
2009-09-28,4.25,4.25,3.85,3.89,400,19.45
2009-09-21,4.50,4.50,3.96,4.06,800,20.30
2009-09-14,4.29,4.50,4.26,4.50,300,22.50
2009-09-08,4.04,4.69,4.04,4.69,700,23.45
2009-08-31,4.46,4.46,4.16,4.30,400,21.50
2009-08-24,4.18,4.49,4.05,4.38,300,21.85
2009-08-17,4.49,4.49,4.00,4.18,700,20.85
2009-08-10,4.00,4.50,4.00,4.09,500,20.40
2009-08-03,3.97,4.50,3.92,4.01,300,20.00
2009-07-27,3.86,4.50,3.80,3.85,200,19.21
2009-07-20,3.55,4.00,3.55,3.86,200,19.26
2009-07-13,3.79,4.14,3.45,3.58,100,17.86
2009-07-06,4.02,4.10,3.16,3.16,500,15.76
2009-06-29,4.20,4.35,3.82,4.00,900,19.95
2009-06-22,4.20,4.30,3.77,3.77,300,18.81
2009-06-15,4.50,4.50,3.96,4.20,300,20.95
2009-06-08,4.50,4.50,4.10,4.50,300,22.45
2009-06-01,4.50,4.79,4.29,4.37,1500,21.80
2009-05-26,4.83,4.90,4.40,4.73,600,23.54
2009-05-18,4.78,4.99,4.39,4.84,900,24.09
2009-05-11,4.67,4.95,4.41,4.88,200,24.29
2009-05-04,4.99,4.99,4.36,4.53,500,22.55
2009-04-27,4.28,4.99,4.26,4.51,500,22.45
2009-04-20,4.89,4.98,4.08,4.37,200,21.75
2009-04-13,4.98,4.99,4.24,4.87,500,24.24
2009-04-06,4.83,4.83,4.01,4.69,200,23.34
2009-03-30,5.15,5.25,4.50,4.57,400,22.75
2009-03-23,5.81,5.81,4.71,5.25,800,26.13
2009-03-16,4.96,5.75,4.96,5.75,900,28.62
2009-03-09,3.86,5.45,2.25,4.95,2900,24.59
2009-03-02,6.09,6.09,3.80,3.86,1900,19.17
2009-02-23,6.15,6.44,5.69,6.40,800,31.79
2009-02-17,7.00,7.46,6.17,6.30,1500,31.30
2009-02-09,7.20,7.50,6.75,7.00,700,34.77
2009-02-02,7.25,7.40,6.89,7.00,1400,34.77
2009-01-26,7.29,7.75,7.21,7.25,200,36.01
2009-01-20,7.68,7.85,7.22,7.46,700,37.06
2009-01-12,8.00,8.49,7.51,7.61,200,37.80
2009-01-05,7.75,8.25,7.75,8.00,500,39.74
2008-12-29,8.10,8.43,7.21,8.25,1000,40.98
2008-12-22,8.24,8.24,7.97,8.10,200,40.24
2008-12-15,8.70,9.00,7.64,7.74,1300,38.45
2008-12-08,7.15,9.47,7.15,7.64,100,37.95
2008-12-01,7.75,8.75,7.03,7.12,100,35.37
2008-11-24,7.44,8.75,7.31,7.75,900,38.50
2008-11-17,8.45,8.53,7.05,7.11,300,34.58
2008-11-10,8.50,8.59,8.00,8.47,600,41.19
2008-11-03,8.41,9.00,8.00,8.60,100,41.82
2008-10-27,8.63,9.00,8.63,8.80,100,42.79
2008-10-20,8.50,8.85,8.47,8.47,000,41.19
2008-10-13,8.19,8.95,7.54,8.50,600,41.33
2008-10-06,9.28,9.97,7.00,7.42,600,36.08
2008-09-29,9.97,9.97,8.95,9.87,500,48.00
2008-09-22,8.24,10.00,7.29,9.80,2000,47.66
2008-09-15,7.62,8.24,7.00,7.51,800,36.52
2008-09-08,7.87,8.00,7.53,7.95,100,38.66
2008-09-02,7.90,7.92,7.54,7.86,500,38.22
2008-08-25,8.00,8.00,7.55,7.69,100,36.64
2008-08-18,7.85,8.09,7.68,7.94,200,37.83
2008-08-11,8.10,8.33,7.75,7.90,200,37.64
2008-08-04,8.60,8.60,7.54,7.79,800,37.11
2008-07-28,8.42,8.50,7.03,7.76,2300,36.97
2008-07-21,8.39,9.40,8.39,8.44,800,40.21
2008-07-14,8.54,8.54,6.67,8.22,1900,39.16
2008-07-07,8.55,8.78,8.01,8.24,1000,39.26
2008-06-30,9.46,9.48,8.53,8.90,1500,42.40
2008-06-23,10.05,10.05,8.98,9.01,1400,42.93
2008-06-16,11.56,11.75,10.30,10.30,600,49.07
2008-06-09,11.67,11.97,11.26,11.81,900,56.27
2008-06-02,12.40,12.40,11.35,11.62,400,55.36
2008-05-27,11.96,12.53,11.84,12.53,600,58.91
2008-05-19,12.22,12.60,11.86,12.00,300,56.42
2008-05-12,12.18,12.25,12.15,12.22,500,57.45
2008-05-05,12.20,13.18,12.10,12.50,300,58.77
2008-04-28,12.45,12.45,12.08,12.19,500,57.31
2008-04-21,13.25,13.35,12.42,12.45,700,58.53
2008-04-14,13.50,14.25,12.81,12.96,200,60.93
2008-04-07,13.75,13.75,13.30,13.51,100,63.52
2008-03-31,14.06,14.35,13.30,13.90,1100,65.35
2008-03-24,13.93,14.00,12.82,13.75,300,64.65
2008-03-17,14.34,14.45,13.53,13.93,300,65.49
2008-03-10,15.00,15.36,14.50,14.52,500,68.27
2008-03-03,14.51,14.74,14.51,14.52,500,68.27
2008-02-25,15.02,15.31,14.84,15.00,200,69.75
2008-02-19,14.75,15.49,14.57,15.49,100,72.03
2008-02-11,14.99,15.35,14.75,14.75,100,68.59
2008-02-04,14.48,15.00,13.75,15.00,300,69.75
2008-01-28,13.50,14.49,13.16,13.26,300,61.66
2008-01-22,12.99,14.15,12.99,13.52,400,62.87
2008-01-14,12.94,13.87,12.10,12.17,700,56.59
2008-01-07,13.15,14.24,11.79,13.50,700,62.77
2007-12-31,14.10,14.95,13.00,13.00,100,60.45
2007-12-24,14.87,15.25,14.00,14.10,500,65.56
2007-12-17,14.20,15.09,14.05,14.63,500,68.03
2007-12-10,15.00,15.44,14.17,14.52,100,67.52
2007-12-03,15.30,16.13,14.69,15.03,600,69.89
2007-11-26,14.95,15.28,14.77,15.28,400,70.32
2007-11-19,14.86,15.17,14.85,14.95,100,68.80
2007-11-12,14.95,14.96,14.80,14.96,200,68.85
2007-11-05,15.86,15.97,14.71,14.87,400,68.43
2007-10-29,16.27,16.56,15.40,15.85,200,72.94
2007-10-22,17.64,17.69,16.40,16.40,300,75.47
2007-10-15,17.90,18.03,17.35,17.40,100,80.07
2007-10-08,18.05,18.08,17.90,17.95,000,82.60
2007-10-01,18.00,18.29,17.97,18.05,100,83.07
2007-09-24,19.25,19.25,18.00,18.00,000,82.84
2007-09-17,18.00,19.50,17.90,19.21,100,88.40
2007-09-10,18.53,18.53,17.90,18.23,100,83.89
2007-09-04,17.75,18.69,17.75,18.69,100,86.01
2007-08-27,17.75,18.72,17.75,17.75,000,80.96
2007-08-20,18.38,18.40,17.50,18.40,100,83.92
2007-08-13,19.10,19.49,17.85,18.66,600,85.11
2007-08-06,22.03,22.03,19.15,19.15,800,87.34
2007-07-30,22.12,22.24,22.03,22.03,000,100.48
2007-07-23,23.10,23.10,22.35,22.35,000,101.94
2007-07-16,23.11,23.45,23.10,23.10,200,105.36
2007-07-09,23.76,23.78,23.34,23.34,300,106.45
2007-07-02,23.60,24.40,23.46,23.76,300,108.37
2007-06-25,23.96,23.96,23.46,23.82,000,108.64
2007-06-18,23.50,23.99,23.46,23.99,200,109.42
2007-06-11,23.74,23.80,23.35,23.71,200,108.14
2007-06-04,24.00,24.00,23.62,23.90,400,109.01
2007-05-29,23.90,24.08,23.72,23.98,600,108.64
2007-05-21,24.00,24.75,23.84,24.03,300,108.86
2007-05-14,24.38,25.40,23.98,24.00,1500,108.73
2007-05-07,24.69,24.91,23.50,24.33,700,110.22
2007-04-30,23.74,24.99,23.74,24.95,1000,113.03
2007-04-23,23.50,23.77,23.50,23.74,100,107.55
2007-04-16,23.50,23.65,23.50,23.64,300,107.10
2007-04-09,23.54,23.63,23.50,23.50,600,106.46
2007-04-02,23.70,23.86,23.65,23.75,200,107.60
2007-03-26,23.60,23.96,23.60,23.96,000,108.55
2007-03-19,23.40,24.00,23.25,23.75,500,107.60
2007-03-12,23.48,23.74,23.25,23.25,000,105.33
2007-03-05,23.30,23.71,23.30,23.71,000,107.41
2007-02-26,24.50,24.50,23.30,23.30,100,104.84
2007-02-20,23.85,24.18,23.85,24.18,300,108.80
2007-02-12,24.79,24.79,23.85,23.85,000,107.31
2007-02-05,24.81,25.24,24.28,24.84,2100,111.77
2007-01-29,23.30,24.77,23.30,24.77,300,111.45
2007-01-22,23.25,23.68,23.25,23.30,500,104.84
2007-01-16,23.53,23.55,23.25,23.50,1300,105.74
2007-01-08,23.75,24.00,23.50,23.50,000,105.74
2007-01-03,24.15,24.15,23.75,23.75,000,106.86
2006-12-26,24.22,24.47,23.90,24.32,000,109.43
2006-12-18,24.99,24.99,23.92,24.22,2000,108.98
2006-12-11,24.90,25.00,24.15,25.00,2500,112.49
2006-12-04,24.75,24.92,23.42,24.44,300,109.97
2006-11-27,22.86,24.67,22.86,24.67,500,110.33
2006-11-20,23.50,23.61,22.86,22.98,300,102.77
2006-11-13,22.86,25.43,22.82,23.05,4400,103.08
2006-11-06,23.05,23.15,22.86,22.86,3100,102.23
2006-10-30,23.30,23.44,23.05,23.05,100,103.08
2006-10-23,23.86,23.86,23.05,23.30,000,104.20
2006-10-16,22.90,23.73,22.75,23.73,200,106.13
2006-10-09,23.07,23.24,22.79,22.93,100,102.55
2006-10-02,24.23,24.23,22.76,23.40,1300,104.65
2006-09-25,23.89,24.00,23.11,23.11,100,103.35
2006-09-18,24.00,24.00,23.35,23.49,200,105.05
2006-09-11,24.00,24.00,23.24,23.75,300,106.22
2006-09-05,23.75,24.10,23.14,23.98,2600,107.24
2006-08-28,22.75,23.00,22.75,23.00,000,102.86
2006-08-21,22.69,22.85,22.60,22.75,1000,101.08
2006-08-14,22.40,23.45,22.40,22.65,100,100.63
2006-08-07,22.60,22.72,22.51,22.51,800,100.01
2006-07-31,22.35,22.85,22.35,22.55,200,100.19
2006-07-24,22.24,22.92,22.00,22.54,100,100.15
2006-07-17,22.00,22.50,22.00,22.21,000,98.68
2006-07-10,22.25,22.60,21.60,22.00,400,97.75
2006-07-03,22.40,22.65,22.24,22.32,100,99.17
2006-06-26,22.40,22.40,22.40,22.40,000,99.52
2006-06-19,22.99,23.07,22.14,22.40,000,99.52
2006-06-12,23.16,23.25,22.10,22.32,400,99.17
2006-06-05,23.83,23.88,23.30,23.30,100,103.52
2006-05-30,23.40,23.65,23.40,23.60,000,104.86
2006-05-22,23.66,23.69,23.15,23.15,100,102.24
2006-05-15,24.74,24.74,23.54,23.54,000,103.96
2006-05-08,24.50,24.74,23.68,24.74,100,109.26
