Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,18.09,18.21,18.00,18.15,99000,18.15
2012-05-14,18.42,18.46,18.12,18.13,106100,17.99
2012-05-07,18.29,18.65,18.23,18.50,104600,18.36
2012-04-30,18.31,18.50,18.21,18.34,103100,18.20
2012-04-23,18.01,18.34,18.01,18.31,104300,18.17
2012-04-16,18.13,18.30,18.10,18.14,100300,18.00
2012-04-09,18.00,18.23,17.90,18.13,77700,17.86
2012-04-02,17.95,18.12,17.86,18.07,95400,17.80
2012-03-26,17.97,18.19,17.86,18.05,113300,17.78
2012-03-19,18.12,18.16,17.33,17.92,187000,17.65
2012-03-12,18.32,18.39,18.05,18.08,116900,17.68
2012-03-05,18.45,18.52,18.01,18.31,117600,17.90
2012-02-27,18.70,18.85,18.45,18.55,86300,18.13
2012-02-21,18.50,18.94,18.47,18.75,136100,18.33
2012-02-13,18.29,18.68,18.12,18.53,119500,18.12
2012-02-06,17.91,18.35,17.89,18.30,95000,17.76
2012-01-30,18.08,18.35,17.96,18.01,126900,17.48
2012-01-23,17.90,18.25,17.85,18.13,135800,17.59
2012-01-17,17.78,17.95,17.72,17.90,117900,17.37
2012-01-09,17.49,17.83,17.35,17.78,138800,17.12
2012-01-03,17.56,17.75,17.43,17.47,90200,16.82
2011-12-27,17.62,17.77,17.40,17.46,83600,16.81
2011-12-19,17.70,17.86,17.35,17.80,74500,17.14
2011-12-12,17.12,17.68,17.03,17.58,87800,16.73
2011-12-05,17.63,17.63,17.00,17.19,86000,16.36
2011-11-28,17.02,17.49,16.80,17.15,72000,16.32
2011-11-21,17.26,17.26,16.71,16.86,92900,16.05
2011-11-14,17.45,17.89,17.12,17.35,82100,16.51
2011-11-07,17.43,17.53,17.22,17.44,90100,16.47
2011-10-31,17.35,17.55,16.55,17.51,82200,16.54
2011-10-24,17.10,17.67,17.04,17.42,94200,16.45
2011-10-17,16.96,17.24,16.69,17.07,96400,16.12
2011-10-10,16.37,16.99,16.35,16.94,108100,15.87
2011-10-03,15.99,16.41,14.73,16.34,206200,15.31
2011-09-26,17.11,17.16,16.00,16.00,113900,14.99
2011-09-19,17.35,17.67,16.25,16.92,138900,15.85
2011-09-12,17.00,17.55,16.77,17.48,100700,16.25
2011-09-06,16.84,17.28,16.62,17.17,117800,15.96
2011-08-29,17.17,17.57,16.95,16.96,99500,15.77
2011-08-22,16.97,17.10,16.39,17.10,140600,15.90
2011-08-15,17.61,17.88,16.70,16.97,185600,15.65
2011-08-08,16.08,17.59,14.79,17.59,321100,16.22
2011-08-01,17.71,18.06,15.82,16.87,296700,15.56
2011-07-25,18.21,18.30,17.16,17.45,167100,16.09
2011-07-18,18.29,18.45,18.11,18.38,114300,16.95
2011-07-11,18.29,18.44,17.92,18.31,166900,16.77
2011-07-05,17.86,18.29,17.78,18.29,132600,16.75
2011-06-27,17.80,17.97,17.72,17.85,71700,16.35
2011-06-20,17.53,17.86,17.21,17.80,69900,16.30
2011-06-13,17.47,17.74,17.29,17.54,105600,15.94
2011-06-06,17.55,17.69,17.27,17.59,100200,15.99
2011-05-31,18.38,18.38,17.47,17.62,135900,16.02
2011-05-23,18.09,18.52,18.09,18.23,95700,16.57
2011-05-16,18.11,18.43,18.09,18.16,132200,16.51
2011-05-09,18.07,18.32,17.98,18.20,111400,16.43
2011-05-02,17.83,18.15,17.73,18.10,85400,16.34
2011-04-25,17.59,17.94,17.57,17.83,94500,16.09
2011-04-18,17.58,17.80,17.41,17.65,106800,15.93
2011-04-11,17.40,17.67,17.20,17.66,85300,15.82
2011-04-04,17.07,17.49,17.07,17.45,82700,15.63
2011-03-28,17.21,17.31,16.98,17.10,113900,15.32
2011-03-21,17.52,17.74,17.12,17.15,106300,15.36
