Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,30.30,30.50,30.30,30.37,500,30.37
2012-05-14,30.36,30.37,30.30,30.30,200,30.30
2012-05-07,30.50,30.50,30.50,30.50,000,30.50
2012-04-30,30.25,30.50,30.25,30.50,000,30.50
2012-04-23,30.25,30.50,30.25,30.25,6700,30.25
2012-04-16,30.13,30.30,30.13,30.25,2500,30.25
2012-04-09,30.22,30.30,30.20,30.23,2600,30.23
2012-04-02,30.14,30.20,30.14,30.18,400,30.18
2012-03-26,30.05,30.15,30.03,30.15,11300,30.15
2012-03-19,30.07,30.50,30.04,30.05,11400,30.05
2012-03-12,23.42,30.15,22.04,30.15,16300,30.15
2012-03-05,23.22,23.40,22.49,23.30,400,23.30
2012-02-27,22.00,23.26,22.00,23.26,800,23.20
2012-02-21,20.60,21.00,20.60,21.00,400,20.94
2012-02-13,20.66,21.81,19.85,20.15,1800,20.09
2012-02-06,19.71,21.00,18.62,21.00,2500,20.94
2012-01-30,18.52,20.00,18.52,20.00,400,19.95
2012-01-23,18.52,18.52,18.08,18.08,200,18.03
2012-01-17,18.50,18.90,18.50,18.90,100,18.85
2012-01-09,18.20,18.86,17.78,18.50,600,18.45
2012-01-03,18.03,18.31,17.70,18.31,1400,18.26
2011-12-27,17.96,18.97,17.57,17.96,3200,17.91
2011-12-19,17.74,18.99,17.74,18.00,2700,17.95
2011-12-12,17.25,17.96,17.25,17.58,1600,17.53
2011-12-05,17.44,17.45,16.94,17.26,2500,17.20
2011-11-28,18.07,18.15,16.54,17.44,2500,17.38
2011-11-21,18.15,18.25,16.88,18.19,3300,18.13
2011-11-14,16.85,18.45,16.37,18.45,4200,18.39
2011-11-07,17.20,18.20,16.70,16.97,1600,16.91
2011-10-31,16.50,17.65,16.50,17.20,900,17.14
2011-10-24,17.34,18.19,16.05,16.66,6200,16.60
2011-10-17,15.82,17.42,15.82,17.42,3600,17.36
2011-10-10,16.90,17.48,16.17,16.45,1500,16.40
2011-10-03,15.38,16.98,15.11,16.98,3400,16.92
2011-09-26,15.86,17.45,14.75,15.33,3600,15.28
2011-09-19,17.43,18.05,15.94,16.09,3200,16.04
2011-09-12,17.75,17.75,17.75,17.75,200,17.69
2011-09-06,17.25,17.25,17.03,17.03,000,16.96
2011-08-29,17.69,18.24,16.43,17.25,2900,17.18
2011-08-22,18.25,18.25,17.40,17.41,900,17.34
2011-08-15,18.75,18.75,17.35,18.24,300,18.17
2011-08-08,16.30,17.50,16.00,17.28,1200,17.21
2011-08-01,17.44,18.49,16.77,17.34,500,17.27
2011-07-25,17.37,18.55,17.25,17.64,1500,17.57
2011-07-18,17.74,18.17,17.51,17.51,700,17.44
2011-07-11,18.50,18.52,17.26,17.69,4400,17.62
2011-07-05,17.80,18.60,17.60,18.60,700,18.53
2011-06-27,17.07,17.95,17.07,17.80,2000,17.73
2011-06-20,17.19,17.25,16.85,17.25,900,17.18
2011-06-13,17.09,17.25,16.65,17.00,1600,16.93
2011-06-06,17.19,17.19,16.45,16.75,3300,16.69
2011-05-31,17.21,17.21,16.57,16.57,800,16.50
2011-05-23,16.82,17.44,16.74,16.95,1100,16.87
2011-05-16,16.50,17.01,16.50,17.00,2200,16.92
2011-05-09,16.65,16.75,16.40,16.75,4300,16.68
2011-05-02,16.50,16.50,16.20,16.25,800,16.18
2011-04-25,16.26,16.50,16.25,16.50,700,16.43
2011-04-18,16.05,16.50,16.05,16.50,900,16.43
2011-04-11,16.48,16.83,16.00,16.38,400,16.31
2011-04-04,16.55,16.55,16.05,16.55,300,16.48
