Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.93,26.17,25.88,26.16,18300,26.16
2012-05-14,25.66,26.04,25.55,26.04,36300,26.04
2012-05-07,26.02,26.15,25.62,25.79,32700,25.79
2012-04-30,26.20,26.46,26.06,26.14,20400,26.14
2012-04-23,26.13,26.24,25.86,26.24,23600,26.24
2012-04-16,25.77,26.19,25.71,26.16,17600,26.16
2012-04-09,25.65,25.94,25.54,25.85,47500,25.85
2012-04-02,25.95,26.02,25.56,25.65,24200,25.65
2012-03-26,25.73,26.09,25.68,25.91,36100,25.91
2012-03-19,26.23,26.24,25.55,25.78,30400,25.78
2012-03-12,26.52,26.66,25.89,26.10,44100,26.10
2012-03-05,26.80,26.80,26.31,26.54,21100,26.54
2012-02-27,26.80,26.88,26.50,26.64,14600,26.64
2012-02-21,27.10,27.39,26.91,27.28,13000,26.81
2012-02-13,26.90,27.25,26.72,27.20,16900,26.74
2012-02-06,26.84,26.89,26.70,26.89,15100,26.43
2012-01-30,26.47,26.85,26.47,26.72,16600,26.26
2012-01-23,26.41,26.69,26.35,26.54,22100,26.09
2012-01-17,26.94,26.94,26.36,26.36,21500,25.91
2012-01-09,26.65,26.95,26.61,26.79,15800,26.33
2012-01-03,26.33,26.90,26.26,26.79,14800,26.33
2011-12-27,26.37,26.70,26.27,26.41,10700,25.96
2011-12-19,26.27,26.54,26.20,26.41,18500,25.96
2011-12-12,26.35,26.54,26.25,26.29,13700,25.84
2011-12-05,26.92,26.92,26.32,26.36,19500,25.91
2011-11-28,26.70,26.97,26.31,26.50,20700,26.05
2011-11-21,26.77,27.25,26.74,27.11,12500,26.19
2011-11-14,26.88,27.23,26.71,27.04,13100,26.12
2011-11-07,26.54,27.13,26.52,26.96,13900,26.04
2011-10-31,26.66,26.87,26.52,26.60,15400,25.70
2011-10-24,26.70,27.19,26.56,26.73,13400,25.82
2011-10-17,26.80,26.80,26.51,26.68,12100,25.77
2011-10-10,27.12,27.12,26.52,26.81,8700,25.90
2011-10-03,26.91,27.09,26.59,26.69,13300,25.78
2011-09-26,26.63,27.10,26.51,27.08,14100,26.16
2011-09-19,26.30,26.95,26.25,26.69,15700,25.78
2011-09-12,26.53,26.72,26.28,26.45,16700,25.55
2011-09-06,26.60,26.89,26.43,26.70,14900,25.79
2011-08-29,26.27,26.77,26.15,26.72,16400,25.81
2011-08-22,26.89,26.98,26.41,26.62,18000,25.27
2011-08-15,26.25,26.97,26.11,26.91,11600,25.54
2011-08-08,25.49,26.47,24.50,26.25,41000,24.91
2011-08-01,26.15,26.34,25.35,25.75,17900,24.44
2011-07-25,26.69,26.69,25.81,26.03,17200,24.71
2011-07-18,26.64,26.96,26.60,26.80,15200,25.44
2011-07-11,26.62,26.80,26.53,26.69,11500,25.33
2011-07-05,26.78,26.81,26.50,26.69,13900,25.33
2011-06-27,26.40,26.75,26.40,26.67,13200,25.31
2011-06-20,26.67,26.97,26.40,26.51,20000,25.16
2011-06-13,26.58,26.76,26.25,26.56,19900,25.21
2011-06-06,27.18,27.49,26.69,26.73,21800,25.37
2011-05-31,26.50,27.38,26.22,27.31,26400,25.92
2011-05-23,27.54,27.63,26.55,26.55,20500,25.20
