Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,2.86,3.02,2.82,2.97,89100,2.97
2012-05-14,3.00,3.14,2.76,2.90,147100,2.90
2012-05-07,3.06,3.25,2.97,3.02,163900,3.02
2012-04-30,2.95,3.18,2.90,3.04,178300,3.04
2012-04-23,2.86,3.08,2.86,2.96,82100,2.96
2012-04-16,2.83,2.96,2.81,2.93,72600,2.93
2012-04-09,2.83,2.99,2.81,2.82,137000,2.82
2012-04-02,3.01,3.04,2.81,2.88,95500,2.88
2012-03-26,3.08,3.13,2.95,3.03,89000,3.03
2012-03-19,3.07,3.09,2.89,3.05,57500,3.05
2012-03-12,2.81,3.08,2.81,3.07,113500,3.07
2012-03-05,2.74,2.83,2.70,2.81,127000,2.81
2012-02-27,2.72,2.83,2.70,2.73,82000,2.73
2012-02-21,2.97,2.97,2.74,2.75,117200,2.75
2012-02-13,3.02,3.09,2.90,2.99,103800,2.99
2012-02-06,2.92,3.10,2.85,2.92,122800,2.92
2012-01-30,2.90,3.01,2.84,2.92,113400,2.92
2012-01-23,2.60,3.09,2.40,2.93,231500,2.93
2012-01-17,2.46,2.67,2.45,2.62,91400,2.62
2012-01-09,2.23,2.52,2.22,2.45,85600,2.45
2012-01-03,2.28,2.37,2.20,2.22,201000,2.22
2011-12-27,2.24,2.27,2.15,2.20,102600,2.20
2011-12-19,2.33,2.33,2.18,2.23,100000,2.23
2011-12-12,2.36,2.38,2.20,2.31,180500,2.31
2011-12-05,2.38,2.42,2.25,2.36,170200,2.36
2011-11-28,2.29,2.43,2.15,2.33,163300,2.33
2011-11-21,2.42,2.47,2.15,2.16,74800,2.16
2011-11-14,2.69,2.75,2.35,2.49,96500,2.49
2011-11-07,2.65,2.79,2.50,2.68,122400,2.68
2011-10-31,2.75,2.91,2.60,2.72,115500,2.72
2011-10-24,2.52,2.95,2.51,2.83,180900,2.83
2011-10-17,2.65,2.71,2.40,2.50,141700,2.50
2011-10-10,2.40,2.68,2.37,2.68,119600,2.68
2011-10-03,2.36,2.41,2.08,2.32,186400,2.32
2011-09-26,2.43,2.70,2.28,2.32,83400,2.32
2011-09-19,2.48,2.70,2.22,2.40,170600,2.40
2011-09-12,2.24,2.60,2.24,2.57,127700,2.57
2011-09-06,2.10,2.49,2.10,2.33,152600,2.33
2011-08-29,2.49,2.92,2.20,2.22,185600,2.22
2011-08-22,2.39,2.68,2.32,2.45,118300,2.45
2011-08-15,2.41,2.75,2.26,2.30,125500,2.30
2011-08-08,2.65,2.73,2.19,2.39,292900,2.39
2011-08-01,3.08,3.28,2.75,2.75,137400,2.75
2011-07-25,3.16,3.21,2.91,3.01,94900,3.01
2011-07-18,3.07,3.30,2.92,3.21,87600,3.21
2011-07-11,3.32,3.34,3.01,3.11,77700,3.11
2011-07-05,3.12,3.42,3.05,3.37,161700,3.37
2011-06-27,2.93,3.18,2.84,3.14,133200,3.14
2011-06-20,2.48,2.93,2.48,2.91,233500,2.91
2011-06-13,2.33,2.58,2.26,2.49,168100,2.49
2011-06-06,2.72,2.78,2.48,2.48,117500,2.48
2011-05-31,3.06,3.12,2.69,2.76,151300,2.76
2011-05-23,2.75,3.15,2.64,3.05,108100,3.05
2011-05-16,3.12,3.21,2.77,2.79,136100,2.79
2011-05-09,3.06,3.24,2.95,3.14,179000,3.14
2011-05-02,3.33,3.35,3.00,3.10,209100,3.10
2011-04-25,3.60,3.71,3.21,3.35,282600,3.35
2011-04-18,3.30,3.84,3.13,3.60,435000,3.60
2011-04-11,3.23,3.36,3.01,3.35,218800,3.35
2011-04-04,3.31,3.38,3.12,3.25,208700,3.25
2011-03-28,3.20,3.35,3.11,3.31,231100,3.31
2011-03-21,2.70,3.22,2.70,3.15,322800,3.15
2011-03-14,2.72,2.74,2.50,2.65,225200,2.65
2011-03-07,2.86,2.99,2.67,2.73,148600,2.73
2011-02-28,2.70,2.92,2.58,2.85,181400,2.85
2011-02-22,2.79,2.79,2.45,2.73,121200,2.73
2011-02-14,2.82,2.89,2.70,2.80,88200,2.80
2011-02-07,2.76,2.90,2.70,2.83,136100,2.83
2011-01-31,2.90,2.98,2.65,2.76,175300,2.76
2011-01-24,2.27,3.10,2.18,2.85,376000,2.85
2011-01-18,2.56,2.56,2.24,2.26,124300,2.26
2011-01-10,2.48,2.66,2.40,2.55,153200,2.55
2011-01-03,2.70,2.74,2.40,2.51,154200,2.51
2010-12-27,2.78,3.04,2.62,2.69,206000,2.69
2010-12-20,2.46,2.75,2.43,2.74,228300,2.74
2010-12-13,2.27,2.48,2.27,2.45,241900,2.45
2010-12-06,2.07,2.31,2.04,2.30,257800,2.30
2010-11-29,2.04,2.15,1.98,2.09,387400,2.09
2010-11-22,2.10,2.14,1.96,2.01,219300,2.01
2010-11-15,2.10,2.22,2.06,2.12,219200,2.12
