Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,19.86,20.30,19.63,19.88,34000,19.88
2012-05-14,20.16,21.00,19.49,19.86,37000,19.86
2012-05-07,20.00,22.00,20.00,20.68,49100,20.68
2012-04-30,20.16,20.50,20.00,20.26,27300,20.26
2012-04-23,20.00,20.65,19.58,20.02,22200,20.02
2012-04-16,19.00,20.61,18.75,20.07,27100,20.07
2012-04-09,18.49,19.00,18.45,19.00,10900,19.00
2012-04-02,18.39,18.50,18.28,18.50,8200,18.50
2012-03-26,17.34,18.39,17.02,18.10,9600,18.10
2012-03-19,16.97,17.27,16.90,17.20,4000,17.20
2012-03-12,17.13,17.34,16.83,16.92,4900,16.82
2012-03-05,17.15,17.20,16.81,17.20,5500,17.10
2012-02-27,17.00,17.20,16.61,17.15,5100,17.05
2012-02-21,16.77,17.18,16.62,17.01,12700,16.91
2012-02-13,15.15,16.95,15.01,16.77,11000,16.67
2012-02-06,14.66,15.15,14.43,15.01,12300,14.92
2012-01-30,14.24,14.89,13.85,14.66,7700,14.57
2012-01-23,14.39,14.43,13.93,14.03,11300,13.95
2012-01-17,14.44,14.45,14.01,14.31,7500,14.23
2012-01-09,14.17,14.50,14.02,14.21,13200,14.13
2012-01-03,13.85,14.13,13.82,14.13,4500,14.05
2011-12-27,13.79,14.06,13.78,13.84,4000,13.76
2011-12-19,13.68,14.06,13.60,13.82,4100,13.74
2011-12-12,13.87,14.17,13.50,13.79,3600,13.61
2011-12-05,13.87,13.94,13.26,13.87,5000,13.69
2011-11-28,13.90,14.61,13.67,13.75,5700,13.57
2011-11-21,13.55,13.75,13.45,13.71,3100,13.53
2011-11-14,13.61,13.75,13.39,13.60,2400,13.42
2011-11-07,13.85,14.35,13.50,13.50,4100,13.32
2011-10-31,14.35,14.46,14.01,14.06,2200,13.88
2011-10-24,14.03,14.81,13.75,14.35,3700,14.16
2011-10-17,13.86,14.22,13.66,13.75,2400,13.57
2011-10-10,13.61,13.95,13.48,13.89,3400,13.71
2011-10-03,14.97,15.00,13.42,13.72,2000,13.54
2011-09-26,14.53,15.12,14.26,14.99,1900,14.80
2011-09-19,15.14,15.14,14.00,14.64,3800,14.45
2011-09-12,14.76,15.23,14.76,14.94,3000,14.64
2011-09-06,14.99,15.48,14.55,14.82,4900,14.53
2011-08-29,15.00,15.70,14.51,14.95,5200,14.65
2011-08-22,14.65,14.99,14.18,14.84,2200,14.55
2011-08-15,14.81,15.75,14.10,14.50,12100,14.21
2011-08-08,14.90,15.46,13.04,14.81,9700,14.52
2011-08-01,15.91,15.91,15.05,15.05,4000,14.75
2011-07-25,15.15,15.64,14.90,15.64,5200,15.33
2011-07-18,15.00,15.65,14.74,15.17,5200,14.87
2011-07-11,15.25,15.25,14.75,15.00,7500,14.70
2011-07-05,14.75,15.30,14.70,15.20,5700,14.90
2011-06-27,14.08,14.83,13.87,14.83,4100,14.54
2011-06-20,13.99,14.45,13.80,14.11,4600,13.83
2011-06-13,14.50,14.78,13.92,14.08,5400,13.80
2011-06-06,14.90,15.21,14.66,14.78,4000,14.41
2011-05-31,14.91,15.25,14.66,15.11,5500,14.73
2011-05-23,14.40,15.20,14.40,14.91,5400,14.54
2011-05-16,14.14,14.58,14.10,14.31,4400,13.95
2011-05-09,14.54,14.96,14.20,14.20,2200,13.85
2011-05-02,14.37,15.14,14.15,14.60,7000,14.24
2011-04-25,15.62,16.05,14.00,14.29,15200,13.94
2011-04-18,16.49,16.50,15.38,15.57,11700,15.18
2011-04-11,15.62,16.60,15.50,16.01,6500,15.61
2011-04-04,15.29,15.93,14.76,15.64,5700,15.25
2011-03-28,14.70,16.10,14.56,14.65,12900,14.29
2011-03-21,14.70,14.86,14.51,14.69,4700,14.33
2011-03-14,14.62,14.91,14.30,14.79,5200,14.35
2011-03-07,15.31,15.33,14.20,14.62,5100,14.18
2011-02-28,14.70,15.48,14.11,15.03,8500,14.58
2011-02-22,15.88,15.98,14.67,14.70,9600,14.26
