Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.17,4.24,4.05,4.23,9000,4.23
2012-05-14,4.18,4.40,4.11,4.15,6000,4.15
2012-05-07,4.33,4.44,4.15,4.20,4100,4.20
2012-04-30,4.06,4.50,4.04,4.33,6300,4.33
2012-04-23,4.44,4.59,3.80,4.06,20200,4.06
2012-04-16,4.87,4.87,4.32,4.50,11000,4.50
2012-04-09,4.85,4.98,4.60,4.85,5200,4.85
2012-04-02,4.75,5.04,4.75,4.85,8100,4.85
2012-03-26,4.78,5.36,4.48,4.80,16800,4.80
2012-03-19,4.49,4.92,4.37,4.78,10100,4.78
2012-03-12,4.20,4.50,4.14,4.50,6700,4.50
2012-03-05,4.00,4.15,3.96,4.05,8400,4.04
2012-02-27,3.75,4.03,3.70,3.99,12100,3.98
2012-02-21,3.75,3.95,3.65,3.75,14900,3.74
2012-02-13,3.75,3.99,3.51,3.72,27800,3.71
2012-02-06,3.53,3.81,3.50,3.75,13800,3.74
2012-01-30,3.13,3.59,3.10,3.54,5700,3.53
2012-01-23,2.97,3.15,2.94,3.08,4600,3.07
2012-01-17,2.91,3.05,2.91,3.00,8300,2.99
2012-01-09,2.95,3.00,2.82,2.95,3900,2.94
2012-01-03,2.75,2.95,2.60,2.95,6600,2.94
2011-12-27,2.80,2.95,2.70,2.84,5000,2.83
2011-12-19,2.74,3.00,2.49,2.80,12700,2.79
2011-12-12,2.81,2.99,2.61,2.82,3100,2.81
2011-12-05,2.92,3.00,2.84,2.99,3600,2.97
2011-11-28,2.88,3.00,2.85,2.93,2700,2.91
2011-11-21,2.98,3.00,2.89,2.97,4800,2.95
2011-11-14,3.05,3.05,2.95,2.97,6400,2.95
2011-11-07,3.18,3.18,2.95,3.07,3600,3.05
2011-10-31,3.19,3.44,3.07,3.20,4000,3.18
2011-10-24,3.14,3.30,2.97,3.27,5700,3.25
2011-10-17,3.00,3.16,2.81,3.13,4700,3.11
2011-10-10,3.19,3.19,2.95,2.95,2800,2.93
2011-10-03,3.18,3.19,3.00,3.13,6400,3.11
2011-09-26,3.02,3.19,2.99,3.16,5600,3.14
2011-09-19,3.20,3.22,3.05,3.08,3600,3.06
2011-09-12,3.34,3.44,3.12,3.34,4300,3.32
2011-09-06,3.22,3.45,3.22,3.36,9200,3.33
2011-08-29,3.43,3.45,3.20,3.30,4600,3.27
2011-08-22,3.25,3.49,3.20,3.43,2300,3.40
2011-08-15,3.44,3.62,3.01,3.30,4800,3.27
2011-08-08,3.65,3.82,3.10,3.40,10900,3.37
2011-08-01,3.99,3.99,3.73,3.73,3100,3.70
2011-07-25,4.08,4.09,3.75,4.00,4200,3.96
2011-07-18,3.93,4.14,3.85,4.07,4600,4.03
2011-07-11,3.90,3.96,3.77,3.86,5800,3.83
2011-07-05,3.91,4.02,3.80,3.96,4400,3.93
2011-06-27,3.73,3.88,3.66,3.88,5400,3.85
2011-06-20,3.85,3.88,3.61,3.71,800,3.68
2011-06-13,3.45,3.89,3.45,3.89,5400,3.86
2011-06-06,3.68,3.68,3.42,3.67,4300,3.63
2011-05-31,3.75,3.79,3.65,3.70,5800,3.66
2011-05-23,3.95,3.95,3.71,3.78,12500,3.74
2011-05-16,4.07,4.10,3.82,3.93,10700,3.88
2011-05-09,4.14,4.14,4.03,4.07,6400,4.02
2011-05-02,4.14,4.14,4.05,4.10,4800,4.05
2011-04-25,4.13,4.20,4.04,4.08,4300,4.03
2011-04-18,4.03,4.20,3.90,4.11,6900,4.06
2011-04-11,4.15,4.19,4.00,4.03,7100,3.98
2011-04-04,4.15,4.34,4.10,4.13,4600,4.08
2011-03-28,4.24,4.24,4.03,4.10,5300,4.05
2011-03-21,4.10,4.24,3.98,4.20,5000,4.15
2011-03-14,3.80,4.48,3.80,4.11,31700,4.06
2011-03-07,3.73,3.83,3.71,3.83,6000,3.78
2011-02-28,3.60,3.84,3.60,3.70,3700,3.65
2011-02-22,3.90,4.00,3.61,3.61,14600,3.56
2011-02-14,3.99,4.00,3.88,4.00,3800,3.94
2011-02-07,3.95,3.99,3.78,3.89,8700,3.84
2011-01-31,3.74,4.00,3.72,3.98,5900,3.92
2011-01-24,3.65,3.89,3.60,3.79,15700,3.74
2011-01-18,3.65,3.75,3.60,3.65,3500,3.60
2011-01-10,3.75,3.76,3.65,3.65,4000,3.60
2011-01-03,3.66,3.78,3.52,3.71,2100,3.66
2010-12-27,3.80,3.89,3.55,3.74,6300,3.69
2010-12-20,3.73,3.80,3.52,3.80,4200,3.75
2010-12-13,3.51,3.75,3.45,3.71,2900,3.66
2010-12-06,3.76,3.94,3.50,3.50,4900,3.44
2010-11-29,3.80,3.98,3.75,3.76,3000,3.70
2010-11-22,3.78,4.00,3.75,3.98,2800,3.91
2010-11-15,4.05,4.05,3.76,3.78,7200,3.72
