Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.70,14.20,13.21,13.60,5174800,13.60
2012-05-14,15.88,16.65,13.65,13.66,6978900,13.66
2012-05-07,16.88,17.67,15.75,16.14,6081100,16.14
2012-04-30,17.93,19.48,16.80,16.94,7015500,16.94
2012-04-23,20.01,20.13,17.81,18.35,5009500,18.35
2012-04-16,21.31,23.80,20.53,20.65,8805000,20.65
2012-04-09,20.49,23.88,20.02,20.83,8300900,20.83
2012-04-02,25.14,25.16,20.50,20.98,7427700,20.98
2012-03-26,26.43,26.99,24.50,25.05,4109100,25.05
2012-03-19,28.98,29.63,25.73,26.11,5283800,26.11
2012-03-12,27.60,29.37,25.60,29.08,5134700,29.08
2012-03-05,29.95,30.07,25.29,27.49,8733600,27.49
2012-02-27,35.10,37.18,29.90,30.02,9183500,30.02
2012-02-21,43.16,43.48,35.48,35.58,5520800,35.58
2012-02-13,44.49,45.20,37.88,42.59,5561600,42.59
2012-02-06,45.21,50.20,43.67,43.91,5079100,43.91
2012-01-30,44.49,47.10,42.07,45.16,3963900,45.16
2012-01-23,38.56,46.27,36.33,45.54,4211900,45.54
2012-01-17,41.21,44.16,37.90,38.45,5397800,38.45
2012-01-09,35.12,43.49,35.12,39.92,4589600,39.92
2012-01-03,35.00,36.64,33.50,35.27,3366800,35.27
2011-12-27,34.69,34.69,31.45,33.76,2375800,33.76
2011-12-19,31.64,35.96,29.87,34.70,5193000,34.70
2011-12-12,45.00,45.39,29.90,31.91,8702900,31.91
2011-12-05,48.51,51.89,44.71,45.67,3140800,45.67
2011-11-28,41.95,49.47,41.90,47.77,2744900,47.77
2011-11-21,44.05,44.50,40.05,40.32,2818300,40.32
2011-11-14,45.31,47.30,43.53,45.44,3301400,45.44
2011-11-07,49.50,49.60,43.46,46.09,2886400,46.09
2011-10-31,52.20,52.70,45.54,49.59,3990900,49.59
2011-10-24,54.31,60.99,42.50,53.99,10699800,53.99
2011-10-17,55.03,56.65,50.87,53.77,3558900,53.77
2011-10-10,60.79,61.68,53.05,56.23,3554700,56.23
2011-10-03,61.83,67.72,55.68,59.74,4503000,59.74
2011-09-26,71.42,76.00,62.08,63.21,2974000,63.21
2011-09-19,83.99,84.82,61.55,70.24,4847700,70.24
2011-09-12,86.81,93.64,83.57,85.70,2663900,85.70
2011-09-06,87.21,91.09,82.11,84.96,2631200,84.96
2011-08-29,102.90,103.60,88.82,90.10,1669500,90.10
2011-08-22,90.75,101.55,87.29,100.71,1761200,100.71
2011-08-15,104.31,106.81,87.82,88.68,2488700,88.68
2011-08-08,96.90,107.99,92.75,104.13,3170800,104.13
2011-08-01,121.35,123.86,99.03,105.43,2123200,105.43
2011-07-25,123.47,124.00,115.62,118.23,1038300,118.23
2011-07-18,123.84,126.14,121.12,124.12,897900,124.12
2011-07-11,130.32,130.98,122.35,124.64,1194200,124.64
2011-07-05,132.03,134.21,130.24,132.60,1599000,132.60
2011-06-27,116.15,142.22,115.06,133.06,2944200,133.06
2011-06-20,121.27,126.00,116.29,116.56,1596800,116.56
2011-06-13,118.48,122.99,115.33,121.55,1373100,121.55
2011-06-06,118.27,119.49,111.40,117.09,1411500,117.09
2011-05-31,126.37,128.95,118.15,118.66,1930600,118.66
