Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.12,14.48,13.99,14.12,270100,14.12
2012-05-14,14.49,14.60,14.01,14.07,219400,14.07
2012-05-07,14.47,14.89,14.38,14.64,235800,14.64
2012-04-30,15.28,15.31,14.40,14.49,358200,14.49
2012-04-23,14.74,15.54,14.58,15.34,314300,15.34
2012-04-16,14.05,15.22,14.05,14.93,370900,14.93
2012-04-09,14.36,14.52,13.93,14.00,263700,14.00
2012-04-02,14.87,15.23,14.53,14.58,253500,14.58
2012-03-26,14.98,15.34,14.70,14.94,270600,14.81
2012-03-19,15.49,15.67,14.53,14.83,344900,14.70
2012-03-12,14.16,15.73,14.08,15.50,687900,15.36
2012-03-05,13.67,14.28,13.37,14.20,418800,14.08
2012-02-27,13.82,14.10,13.52,13.75,388000,13.63
2012-02-21,14.54,14.54,13.82,13.97,335500,13.85
2012-02-13,14.51,14.74,14.03,14.56,383700,14.43
2012-02-06,14.68,14.93,14.28,14.34,288300,14.21
2012-01-30,13.50,14.98,13.44,14.80,632700,14.67
2012-01-23,13.02,13.45,12.50,13.44,421500,13.32
2012-01-17,13.11,13.50,12.76,13.09,557300,12.98
2012-01-09,12.73,13.46,12.72,13.03,434000,12.92
2012-01-03,12.34,13.04,12.12,12.69,326300,12.58
2011-12-27,11.98,12.34,11.95,12.03,272200,11.80
2011-12-19,11.86,12.44,11.30,12.07,368100,11.84
2011-12-12,11.78,12.20,11.30,11.78,423700,11.56
2011-12-05,12.09,12.36,11.58,11.96,302600,11.74
2011-11-28,11.05,12.28,10.87,11.88,471800,11.66
2011-11-21,11.51,11.70,10.67,10.70,330300,10.50
2011-11-14,12.00,12.24,11.40,11.70,440400,11.48
2011-11-07,12.13,12.48,11.62,12.02,470600,11.79
2011-10-31,11.72,12.26,10.93,12.21,765400,11.98
2011-10-24,11.67,12.73,11.35,11.93,784200,11.71
2011-10-17,11.02,11.68,10.52,11.67,630200,11.45
2011-10-10,10.64,11.33,10.58,11.14,816100,10.93
2011-10-03,9.36,10.67,8.95,10.19,1061300,10.00
2011-09-26,9.33,10.00,9.20,9.37,581600,9.08
2011-09-19,10.44,10.54,9.04,9.23,706300,8.94
2011-09-12,10.11,10.68,10.08,10.64,1250100,10.31
2011-09-06,10.28,11.08,10.20,10.23,438200,9.91
2011-08-29,11.28,11.73,10.49,10.49,566900,10.16
2011-08-22,10.55,11.95,10.20,11.16,832700,10.81
2011-08-15,11.55,11.71,10.16,10.28,594000,9.96
2011-08-08,12.09,12.40,10.57,11.42,992600,11.06
2011-08-01,13.32,13.40,12.40,12.41,749300,12.02
2011-07-25,12.99,13.29,12.57,13.14,527400,12.73
2011-07-18,12.87,13.35,12.63,13.12,315200,12.71
2011-07-11,13.27,13.50,12.86,12.89,354600,12.49
2011-07-05,13.66,13.90,13.26,13.44,404500,13.02
2011-06-27,12.95,13.78,12.95,13.70,291900,13.15
2011-06-20,13.36,13.63,12.89,12.97,567000,12.45
2011-06-13,13.34,13.53,13.15,13.43,513400,12.89
2011-06-06,13.55,13.87,13.13,13.29,420100,12.75
2011-05-31,14.34,14.41,13.51,13.60,566800,13.05
2011-05-23,14.20,14.35,13.90,14.24,251700,13.66
2011-05-16,14.45,14.67,14.30,14.31,373800,13.73
2011-05-09,14.59,14.97,14.50,14.54,233900,13.95
2011-05-02,15.13,15.15,14.58,14.61,376000,14.02
2011-04-25,14.64,15.19,14.52,15.03,336300,14.42
2011-04-18,14.47,14.79,14.17,14.71,339000,14.11
2011-04-11,14.78,14.91,14.17,14.57,317800,13.98
2011-04-04,15.05,15.37,14.83,14.83,436400,14.23
2011-03-28,15.08,15.20,14.81,15.05,523100,14.32
2011-03-21,15.68,15.88,15.05,15.07,420000,14.34
2011-03-14,15.25,15.81,15.07,15.54,726900,14.78
2011-03-07,15.78,16.00,15.27,15.39,331800,14.64
2011-02-28,15.48,16.00,15.20,15.70,541700,14.94
2011-02-22,14.57,15.44,14.49,15.44,649900,14.69
2011-02-14,14.45,14.80,14.17,14.71,350400,13.99
2011-02-07,14.09,14.47,14.03,14.45,349700,13.75
2011-01-31,14.06,14.35,13.97,14.11,505200,13.42
2011-01-24,15.04,15.24,14.16,14.45,459600,13.75
2011-01-18,14.88,15.58,14.88,15.01,474800,14.28
2011-01-10,14.76,15.70,14.51,15.58,365900,14.82
2011-01-03,15.29,15.80,14.77,14.77,402700,14.05
2010-12-27,15.54,15.78,15.10,15.11,223900,14.25
2010-12-20,14.53,15.74,14.52,15.64,412400,14.75
2010-12-13,14.38,14.73,14.14,14.49,434300,13.67
2010-12-06,13.54,14.35,13.44,14.35,409100,13.54
2010-11-29,13.39,13.66,13.07,13.60,472300,12.83
2010-11-22,13.30,13.70,12.96,13.49,327900,12.73
2010-11-15,13.39,13.72,13.08,13.32,344100,12.57
2010-11-08,13.65,13.74,13.30,13.34,410100,12.58
2010-11-01,13.01,14.10,12.84,13.71,542500,12.93
2010-10-25,13.72,13.72,13.00,13.00,503800,12.26
2010-10-18,14.67,15.20,13.61,13.65,499700,12.88
2010-10-11,14.73,15.11,14.40,14.63,331100,13.80
2010-10-04,14.60,14.96,14.29,14.76,321300,13.92
2010-09-27,14.23,14.87,14.01,14.63,478700,13.68
2010-09-20,13.97,14.45,13.75,14.26,401900,13.33
2010-09-13,14.28,14.48,13.75,13.94,435300,13.03
2010-09-07,14.27,14.40,13.86,14.09,324400,13.17
2010-08-30,14.32,14.52,13.78,14.36,456400,13.43
2010-08-23,14.50,14.69,13.75,14.42,398600,13.48
2010-08-16,14.87,15.41,14.17,14.43,352300,13.49
2010-08-09,16.01,16.44,14.88,14.94,415900,13.97
2010-08-02,16.26,16.60,15.59,15.87,277700,14.84
2010-07-26,16.36,17.01,15.95,15.98,422300,14.94
2010-07-19,14.84,16.33,14.54,16.24,621700,15.18
2010-07-12,15.23,15.82,14.60,14.75,536000,13.79
2010-07-06,15.02,15.37,14.49,15.32,451600,14.32
2010-06-28,15.22,15.40,14.08,14.75,483900,13.67
2010-06-21,15.91,15.94,14.95,15.26,387300,14.15
2010-06-14,15.76,15.93,15.32,15.73,367200,14.58
2010-06-07,15.18,15.79,14.79,15.66,789500,14.52
2010-06-01,15.70,16.43,15.12,15.15,620200,14.04
2010-05-24,16.44,16.67,15.27,15.86,669900,14.70
2010-05-17,17.98,18.35,16.02,16.49,526300,15.29
2010-05-10,17.33,18.50,17.12,17.90,565300,16.59
2010-05-03,18.53,18.88,16.21,16.56,912200,15.35
2010-04-26,18.96,18.96,17.57,18.49,957400,17.14
2010-04-19,16.89,19.00,16.67,18.88,995400,17.50
2010-04-12,16.68,17.59,16.52,16.96,799200,15.72
