Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,2.35,4.18,2.35,3.99,765800,3.99
2012-05-14,2.75,2.90,2.29,2.35,33000,2.35
2012-05-07,2.69,2.93,2.51,2.85,24300,2.85
2012-04-30,2.81,2.95,2.64,2.75,12600,2.75
2012-04-23,2.80,3.05,2.66,2.86,14400,2.86
2012-04-16,2.83,2.94,2.72,2.88,11700,2.88
2012-04-09,2.85,2.97,2.51,2.76,20400,2.76
2012-04-02,2.75,2.99,2.75,2.96,18600,2.96
2012-03-26,3.00,3.00,2.67,2.84,30600,2.84
2012-03-19,3.06,3.10,2.75,2.94,35700,2.94
2012-03-12,3.14,3.32,3.00,3.06,32300,3.06
2012-03-05,3.10,3.15,3.00,3.15,30300,3.15
2012-02-27,3.99,4.05,3.02,3.12,133200,3.12
2012-02-21,4.00,4.12,3.90,4.05,13800,4.05
2012-02-13,4.21,4.36,3.95,4.00,29400,4.00
2012-02-06,4.44,4.62,3.91,4.08,101600,4.08
2012-01-30,4.26,4.70,3.82,4.24,110300,4.24
2012-01-23,3.35,4.98,3.29,4.51,263100,4.51
2012-01-17,3.53,3.66,3.30,3.32,29200,3.32
2012-01-09,3.54,3.78,3.30,3.50,29900,3.50
2012-01-03,3.10,3.55,3.02,3.55,34600,3.55
2011-12-27,3.40,3.40,3.03,3.03,24100,3.03
2011-12-19,3.47,3.47,3.24,3.30,17400,3.30
2011-12-12,3.67,3.89,3.29,3.37,24700,3.37
2011-12-05,3.75,4.08,3.68,3.69,26000,3.69
2011-11-28,3.76,4.20,3.17,3.68,67800,3.68
2011-11-21,3.67,3.83,3.30,3.49,32500,3.49
2011-11-14,4.06,4.14,3.70,3.78,39600,3.78
2011-11-07,4.03,4.10,3.80,4.01,33000,4.01
2011-10-31,4.10,4.60,3.92,4.04,75000,4.04
2011-10-24,4.60,4.60,4.01,4.07,58000,4.07
2011-10-17,4.54,5.20,4.25,4.55,69400,4.55
2011-10-10,4.57,4.92,4.41,4.63,45400,4.63
2011-10-03,4.50,5.09,3.65,4.47,83000,4.47
2011-09-26,4.67,5.50,4.32,4.43,77100,4.43
2011-09-19,5.84,6.00,4.65,4.81,90100,4.81
2011-09-12,6.40,6.60,5.83,5.96,126100,5.96
2011-09-06,6.08,7.20,6.02,6.64,164700,6.64
2011-08-29,5.47,7.45,5.26,6.52,360100,6.52
2011-08-22,5.07,5.78,4.90,5.19,112100,5.19
2011-08-15,6.40,6.40,4.95,5.01,128100,5.01
2011-08-08,5.31,6.38,4.30,5.70,320100,5.70
2011-08-01,6.17,8.10,5.60,5.85,636200,5.85
2011-07-25,6.17,6.81,5.50,5.64,253900,5.64
2011-07-18,10.30,10.30,6.45,7.07,253500,7.07
2011-07-11,8.75,10.75,8.56,10.30,325200,10.30
2011-07-05,7.65,9.15,7.13,8.78,323100,8.78
2011-06-27,5.49,7.77,5.41,7.30,188000,7.30
2011-06-20,5.95,6.34,5.25,5.64,113700,5.64
2011-06-13,5.02,5.99,4.26,5.67,214500,5.67
2011-06-06,6.90,7.00,4.86,4.90,184000,4.90
2011-05-31,7.99,8.00,6.66,6.75,144900,6.75
2011-05-23,7.75,8.05,7.25,7.55,171200,7.55
2011-05-16,7.73,8.65,6.39,8.12,306600,8.12
2011-05-09,7.80,9.80,7.78,7.78,868900,7.78
2011-05-02,6.07,9.60,5.99,7.70,1694300,7.70
2011-04-25,3.32,6.95,3.00,5.77,975700,5.77
2011-04-18,3.10,3.64,2.96,3.21,25800,3.21
2011-04-11,3.29,3.66,2.77,3.10,62900,3.10
2011-04-04,2.42,3.39,2.29,3.16,79100,3.16
2011-03-28,2.19,2.87,2.18,2.46,64800,2.46
2011-03-21,2.36,2.48,2.00,2.19,39000,2.19
2011-03-14,2.03,2.60,1.50,2.40,114400,2.40
2011-03-07,2.89,2.89,2.04,2.13,39800,2.13
2011-02-28,3.11,3.29,2.69,2.86,52000,2.86
