Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,7.81,7.81,7.81,7.81,100,7.81
2012-05-14,7.64,8.00,7.16,7.95,500,7.95
2012-05-07,7.70,8.14,7.55,7.64,2200,7.64
2012-04-30,7.70,8.26,7.61,7.70,2600,7.70
2012-04-23,7.70,8.36,7.70,8.24,600,8.24
2012-04-16,9.50,9.50,7.70,8.17,1100,8.17
2012-04-09,8.35,8.99,7.86,8.47,1100,8.47
2012-04-02,8.77,8.97,8.70,8.75,1400,8.75
2012-03-26,9.33,9.33,8.09,8.78,1300,8.78
2012-03-19,7.97,9.20,7.65,9.00,2300,9.00
2012-03-12,7.54,8.00,7.54,7.90,1600,7.90
2012-03-05,8.00,8.00,7.50,7.78,600,7.78
2012-02-27,7.93,8.25,7.51,7.80,1100,7.80
2012-02-21,7.30,8.37,7.21,7.97,1500,7.97
2012-02-13,7.22,7.25,7.07,7.25,700,7.25
2012-02-06,7.24,7.25,7.17,7.25,1600,7.25
2012-01-30,6.87,7.64,6.87,7.18,4100,7.18
2012-01-23,6.30,7.77,5.68,7.62,5100,7.62
2012-01-17,6.50,6.50,6.30,6.30,400,6.30
2012-01-09,5.92,6.50,5.92,6.50,1300,6.50
2012-01-03,5.90,6.20,5.83,5.83,700,5.83
2011-12-27,6.12,6.12,5.42,5.70,2200,5.70
2011-12-19,6.20,6.27,6.05,6.09,1200,6.09
2011-12-12,6.20,6.50,6.11,6.25,6300,6.25
2011-12-05,6.25,6.97,6.20,6.20,4900,6.20
2011-11-28,5.75,6.31,5.75,6.31,2600,6.31
2011-11-21,5.58,5.86,5.45,5.84,500,5.84
2011-11-14,5.76,5.85,5.36,5.58,2000,5.58
2011-11-07,5.02,6.00,5.02,5.76,1800,5.76
2011-10-31,5.72,5.80,4.76,5.30,700,5.30
2011-10-24,5.77,5.95,5.51,5.72,1200,5.72
2011-10-17,4.50,6.49,4.48,5.75,6600,5.75
2011-10-10,4.74,4.74,4.11,4.50,600,4.50
2011-10-03,4.55,4.61,3.84,4.61,800,4.61
2011-09-26,4.52,4.72,4.20,4.55,1600,4.55
2011-09-19,4.71,4.72,4.50,4.72,300,4.72
2011-09-12,4.64,4.68,4.50,4.50,900,4.50
2011-09-06,4.95,4.95,4.60,4.64,1800,4.64
2011-08-29,4.85,4.95,4.62,4.95,1500,4.95
2011-08-22,4.75,4.90,4.60,4.80,1200,4.80
2011-08-15,5.05,5.05,4.02,4.75,4300,4.75
2011-08-08,5.16,5.16,4.81,5.05,2000,5.05
2011-08-01,5.11,5.16,5.11,5.16,000,5.16
2011-07-25,5.03,5.11,5.00,5.11,500,5.11
2011-07-18,5.02,5.20,4.85,5.08,1200,5.08
2011-07-11,5.05,5.35,5.00,5.19,1000,5.19
2011-07-05,5.42,5.54,5.05,5.10,3700,5.10
2011-06-27,5.29,5.52,5.21,5.42,1800,5.42
2011-06-20,5.25,5.50,5.00,5.29,1600,5.29
2011-06-13,5.47,5.75,4.91,5.25,5200,5.25
2011-06-06,5.95,6.07,5.43,5.90,4300,5.90
2011-05-31,6.23,6.23,5.78,5.83,800,5.83
2011-05-23,6.30,6.30,6.23,6.23,000,6.23
2011-05-16,6.30,6.30,6.30,6.30,000,6.30
2011-05-09,6.76,6.83,6.30,6.30,300,6.30
2011-05-02,6.11,7.00,6.11,6.73,4500,6.73
2011-04-25,6.20,6.27,6.05,6.11,1300,6.11
2011-04-18,6.08,6.20,5.85,6.20,6700,6.20
2011-04-11,6.11,6.25,6.10,6.10,1200,6.10
2011-04-04,6.00,6.21,6.00,6.08,2100,6.08
2011-03-28,6.23,6.25,6.01,6.01,2300,6.01
2011-03-21,5.80,6.25,5.80,6.08,2500,6.08
2011-03-14,5.80,6.00,5.70,5.83,5500,5.83
2011-03-07,5.89,5.99,5.80,5.80,700,5.80
2011-02-28,6.55,6.55,5.70,5.70,1000,5.70
2011-02-22,5.80,6.25,5.17,6.15,2000,6.15
2011-02-14,5.88,6.00,5.84,5.85,600,5.85
2011-02-07,6.03,6.36,5.79,6.10,1400,6.10
2011-01-31,6.85,7.00,5.60,5.92,2100,5.92
2011-01-24,5.71,7.14,4.91,5.95,7600,5.95
2011-01-18,4.98,5.65,4.69,5.65,3000,5.65
2011-01-10,4.64,5.00,4.60,4.90,2700,4.90
