Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.30,25.52,25.30,25.41,8200,25.41
2012-05-14,25.50,25.55,24.99,25.47,3800,25.47
2012-05-07,25.52,25.57,25.40,25.57,6000,25.57
2012-04-30,25.41,25.57,25.41,25.55,5700,25.55
2012-04-23,25.55,25.55,25.39,25.44,3300,25.44
2012-04-16,25.59,25.59,25.40,25.43,2500,25.43
2012-04-09,25.57,25.63,25.39,25.45,2300,25.45
2012-04-02,25.64,25.64,25.45,25.54,5000,25.54
2012-03-26,25.41,25.75,25.39,25.50,3900,25.50
2012-03-19,25.39,25.47,25.32,25.47,4700,25.47
2012-03-12,25.59,25.81,25.28,25.48,8100,25.48
2012-03-05,25.58,25.80,25.58,25.72,6600,25.25
2012-02-27,25.61,25.63,25.51,25.55,4200,25.09
2012-02-21,25.65,25.83,25.51,25.60,5400,25.13
2012-02-13,25.44,25.63,25.40,25.60,5500,25.13
2012-02-06,25.35,25.63,25.35,25.55,18100,25.09
2012-01-30,25.38,25.43,25.30,25.43,6200,24.97
2012-01-23,25.29,25.41,25.27,25.38,2400,24.92
2012-01-17,25.40,25.42,25.32,25.32,2000,24.86
2012-01-09,25.39,25.42,25.21,25.35,4200,24.89
2012-01-03,25.41,25.41,25.21,25.39,5900,24.93
2011-12-27,25.30,25.41,25.20,25.30,1700,24.84
2011-12-19,25.15,25.35,24.98,25.21,6400,24.75
2011-12-12,25.35,25.42,25.05,25.18,6800,24.72
2011-12-05,25.36,25.44,25.28,25.35,3500,24.43
2011-11-28,25.25,25.44,25.25,25.44,3500,24.52
2011-11-21,25.20,25.32,25.20,25.25,2300,24.33
2011-11-14,25.32,25.39,25.22,25.39,4400,24.47
2011-11-07,25.29,25.38,25.15,25.21,6300,24.30
2011-10-31,25.20,25.35,24.72,25.35,3500,24.43
2011-10-24,25.17,25.20,25.02,25.15,5300,24.24
2011-10-17,25.10,25.20,25.02,25.13,2900,24.22
2011-10-10,25.03,25.16,25.03,25.09,3500,24.18
2011-10-03,25.18,25.18,24.90,25.00,8000,24.09
2011-09-26,25.01,25.14,24.96,25.14,4300,24.23
2011-09-19,24.99,25.13,24.99,25.00,3000,24.09
2011-09-12,25.26,25.60,24.91,25.02,5800,24.11
2011-09-06,25.35,25.39,25.22,25.35,2900,23.98
2011-08-29,25.50,25.50,25.18,25.21,2100,23.85
2011-08-22,25.40,25.50,25.16,25.42,4700,24.05
2011-08-15,25.26,25.42,24.88,25.39,3600,24.02
2011-08-08,24.74,25.24,22.71,25.23,13400,23.87
2011-08-01,25.20,25.29,25.00,25.14,6600,23.78
2011-07-25,25.37,25.40,25.08,25.18,5200,23.82
2011-07-18,25.44,25.44,25.23,25.34,4000,23.97
2011-07-11,25.32,25.45,25.26,25.29,3000,23.93
2011-07-05,25.32,25.34,25.30,25.33,2700,23.96
2011-06-27,25.25,25.33,25.18,25.30,3700,23.93
2011-06-20,25.39,25.50,25.15,25.33,5500,23.96
2011-06-13,25.00,25.28,25.00,25.28,5900,23.92
2011-06-06,25.45,25.48,25.30,25.48,11600,23.66
2011-05-31,25.48,25.49,25.39,25.48,4000,23.66
2011-05-23,25.30,25.48,25.30,25.48,8100,23.66
2011-05-16,25.35,25.40,25.28,25.40,5000,23.59
2011-05-09,25.32,25.37,25.26,25.26,2900,23.46
2011-05-02,25.19,25.32,25.12,25.31,6000,23.50
2011-04-25,25.20,25.33,25.10,25.14,7700,23.35
2011-04-18,25.08,25.33,25.03,25.15,6000,23.35
2011-04-11,25.08,25.17,25.02,25.09,4900,23.30
2011-04-04,25.02,25.17,25.00,25.08,4600,23.29
2011-03-28,25.00,25.09,24.99,25.05,5700,23.26
2011-03-21,25.02,25.04,24.91,25.00,4700,23.22
2011-03-14,24.99,25.04,24.86,24.95,10000,23.17
2011-03-07,25.38,25.39,24.86,24.98,5400,23.20
2011-02-28,25.27,25.37,25.25,25.34,4400,23.10
2011-02-22,25.35,25.35,25.23,25.30,6400,23.06
2011-02-14,25.18,25.29,25.18,25.27,4900,23.03
2011-02-07,25.19,25.22,25.10,25.17,5100,22.94
2011-01-31,25.05,25.22,25.04,25.20,8700,22.97
2011-01-24,25.07,25.14,25.03,25.09,7300,22.87
2011-01-18,25.16,25.18,24.98,25.11,6700,22.89
2011-01-10,25.03,25.14,24.91,25.08,11900,22.86
2011-01-03,25.11,25.20,25.00,25.01,21600,22.79
2010-12-27,25.10,25.16,24.85,25.06,4700,22.84
2010-12-20,24.90,25.10,24.75,25.05,13300,22.83
2010-12-13,24.89,24.90,24.65,24.81,10400,22.61
2010-12-06,25.26,25.29,25.16,25.27,6500,22.60
2010-11-29,25.12,25.28,25.04,25.22,7300,22.56
2010-11-22,25.19,25.19,25.00,25.04,8300,22.40
2010-11-15,25.16,25.25,24.10,25.08,7800,22.43
2010-11-08,25.16,25.32,25.15,25.15,6700,22.50
2010-11-01,25.24,25.47,25.11,25.16,28100,22.51
2010-10-25,25.20,25.20,25.00,25.14,28400,22.49
2010-10-18,25.23,25.37,25.05,25.16,19600,22.51
2010-10-11,25.14,25.40,25.13,25.20,71600,22.54
2010-10-04,25.34,25.48,25.08,25.24,32000,22.58
2010-09-27,25.20,25.51,25.07,25.28,30600,22.61
2010-09-20,25.14,25.25,25.00,25.14,22500,22.49
2010-09-13,25.04,25.25,24.91,25.16,20500,22.51
2010-09-07,25.25,25.48,25.20,25.36,43500,22.27
2010-08-30,25.03,25.41,24.93,25.21,31700,22.13
2010-08-23,25.11,25.17,24.88,24.91,22300,21.87
2010-08-16,24.87,25.17,24.87,25.03,23900,21.98
2010-08-09,24.51,24.95,24.51,24.90,23000,21.86
2010-08-02,24.48,24.62,24.34,24.56,13100,21.56
2010-07-26,24.44,24.64,24.32,24.49,11200,21.50
2010-07-19,23.97,24.50,23.75,24.44,6600,21.46
2010-07-12,24.45,24.45,23.92,23.93,5800,21.01
2010-07-06,24.12,24.48,23.85,24.48,14800,21.49
2010-06-28,23.87,24.07,23.64,23.92,7800,21.00
2010-06-21,23.95,23.95,23.48,23.74,8700,20.84
2010-06-14,23.70,23.98,23.29,23.72,14300,20.83
2010-06-07,23.95,24.40,23.52,23.70,6700,20.81
2010-06-01,23.33,23.80,23.33,23.80,22300,20.49
2010-05-24,23.48,23.85,22.87,23.33,10400,20.09
2010-05-17,23.89,23.89,22.50,23.38,9300,20.13
2010-05-10,22.25,24.14,22.25,23.65,15400,20.36
2010-05-03,24.39,24.60,15.40,22.02,26700,18.96
2010-04-26,24.31,24.63,24.12,24.44,7100,21.04
2010-04-19,24.24,24.34,24.04,24.31,6700,20.93
2010-04-12,24.30,24.46,24.20,24.31,13900,20.93
2010-04-05,24.34,24.49,24.21,24.41,10600,21.02
2010-03-29,24.13,24.49,24.02,24.49,20500,21.09
2010-03-22,24.15,24.38,24.02,24.02,17300,20.68
2010-03-15,23.86,24.25,23.48,24.07,16300,20.73
2010-03-08,23.84,24.20,23.62,23.84,10400,20.53
2010-03-01,23.36,24.02,23.33,23.78,7700,20.08
2010-02-22,22.88,23.50,22.86,23.45,5000,19.80
2010-02-16,22.75,23.00,22.61,23.00,6500,19.42
2010-02-08,22.88,23.05,22.57,22.58,9100,19.06
2010-02-01,23.04,23.40,22.85,23.05,8000,19.46
2010-01-25,23.25,23.38,22.61,23.00,5100,19.42
2010-01-19,23.34,24.04,23.20,23.25,5800,19.63
2010-01-11,23.55,23.55,22.97,23.23,4500,19.61
2010-01-04,22.58,23.99,22.58,23.15,5400,19.55
2009-12-28,22.13,22.50,22.04,22.50,7800,19.00
2009-12-21,21.84,22.15,21.82,22.12,6800,18.68
2009-12-14,21.91,21.98,21.69,21.95,4300,18.53
2009-12-07,22.02,22.45,21.84,21.84,6700,18.44
2009-11-30,21.66,22.45,21.50,22.00,6500,18.18
2009-11-23,21.41,21.81,21.41,21.67,4600,17.91
2009-11-16,22.24,22.58,21.28,21.41,7100,17.69
2009-11-09,21.49,22.29,21.36,22.29,3900,18.42
2009-11-02,21.55,21.71,20.54,21.11,9100,17.45
2009-10-26,22.35,22.35,21.51,21.66,8100,17.90
2009-10-19,22.32,22.44,22.00,22.10,5500,18.27
2009-10-12,23.31,23.60,21.90,22.37,10400,18.49
2009-10-05,22.34,23.79,22.26,23.25,6000,19.22
2009-09-28,22.52,22.80,21.75,22.28,5600,18.41
2009-09-21,21.12,22.65,21.02,22.29,6500,18.42
2009-09-14,20.30,21.43,20.15,21.10,6300,17.44
2009-09-08,21.00,21.09,20.27,20.30,5200,16.78
2009-08-31,20.42,20.99,20.15,20.74,4900,16.76
2009-08-24,20.85,20.97,20.36,20.80,6800,16.81
2009-08-17,21.46,21.68,20.56,20.85,9100,16.85
2009-08-10,20.94,22.17,20.60,21.50,6400,17.37
2009-08-03,19.92,21.10,19.86,20.77,6400,16.78
2009-07-27,19.60,20.24,19.40,19.92,5000,16.10
2009-07-20,18.14,19.50,18.14,19.40,5500,15.68
2009-07-13,18.49,18.60,18.05,18.17,6500,14.68
2009-07-06,18.60,18.60,17.69,18.55,4300,14.99
2009-06-29,18.00,18.85,17.80,18.60,4800,15.03
