Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.28,26.76,25.28,25.88,62900,25.88
2012-05-14,25.71,26.40,25.07,25.24,42300,25.24
2012-05-07,26.17,27.71,25.59,26.18,39700,26.18
2012-04-30,27.92,28.92,26.30,26.36,49700,26.26
2012-04-23,25.49,28.23,25.05,28.04,52500,27.94
2012-04-16,26.18,26.68,25.12,26.05,46100,25.95
2012-04-09,27.25,27.80,25.88,26.01,70500,25.91
2012-04-02,29.07,29.73,27.66,27.95,77500,27.85
2012-03-26,30.55,31.03,28.66,29.27,51700,29.16
2012-03-19,30.46,31.36,28.72,30.26,51000,30.15
2012-03-12,29.59,30.93,29.04,30.42,62400,30.31
2012-03-05,28.87,30.42,28.10,29.50,66600,29.39
2012-02-27,34.80,35.48,28.54,28.95,210100,28.74
2012-02-21,33.81,34.47,33.21,34.03,52100,33.79
2012-02-13,33.30,34.07,32.04,33.84,42000,33.60
2012-02-06,32.65,33.81,32.11,32.74,39700,32.51
2012-01-30,30.60,33.19,29.76,32.95,62000,32.72
2012-01-23,31.07,31.69,30.08,31.04,41300,30.82
2012-01-17,30.10,31.40,28.57,30.91,40700,30.69
2012-01-09,30.38,31.33,29.47,29.78,38400,29.57
2012-01-03,30.19,31.40,29.91,30.21,64600,29.99
2011-12-27,30.67,31.31,29.09,29.21,48600,29.00
2011-12-19,27.63,31.09,26.56,30.81,72300,30.59
2011-12-12,27.05,28.46,25.43,27.46,90800,27.26
2011-12-05,28.80,29.03,26.25,27.62,80400,27.42
2011-11-28,25.11,28.86,24.91,28.22,68000,28.02
2011-11-21,26.60,28.26,24.25,24.30,56500,24.13
2011-11-14,29.36,29.80,26.75,27.29,60200,27.10
2011-11-07,29.13,30.49,27.93,29.58,64000,29.37
2011-10-31,28.02,29.35,25.83,29.18,81500,28.91
2011-10-24,27.96,31.27,27.94,28.58,102000,28.32
2011-10-17,27.08,28.39,26.15,27.91,70700,27.66
2011-10-10,24.85,27.83,24.39,27.56,67900,27.31
2011-10-03,20.39,24.26,19.55,24.18,106100,23.96
2011-09-26,20.81,23.56,19.89,20.68,76700,20.49
2011-09-19,22.73,23.18,19.82,20.59,95800,20.40
2011-09-12,21.06,24.21,20.88,23.42,89300,23.21
2011-09-06,21.24,23.80,20.96,21.56,81800,21.36
2011-08-29,23.12,25.43,22.19,22.44,276500,22.24
2011-08-22,23.44,23.63,21.25,22.78,71700,22.57
2011-08-15,26.66,27.94,22.35,22.55,72600,22.35
2011-08-08,24.32,26.63,22.80,26.26,136400,26.02
2011-08-01,35.35,35.44,24.33,25.57,104700,25.28
2011-07-25,33.51,36.00,32.69,34.60,86200,34.21
2011-07-18,33.48,34.87,32.84,34.08,62700,33.69
2011-07-11,32.77,34.00,32.07,33.97,52300,33.58
2011-07-05,32.06,34.07,31.83,33.52,70500,33.14
2011-06-27,28.39,32.69,27.29,32.05,80700,31.69
2011-06-20,28.23,30.00,27.73,28.44,90200,28.12
2011-06-13,28.15,29.29,27.00,28.44,69800,28.12
2011-06-06,31.65,31.87,28.73,28.83,61800,28.50
2011-05-31,30.94,34.83,30.94,31.72,268100,31.36
2011-05-23,28.42,30.80,27.94,30.30,41800,29.96
2011-05-16,28.23,29.60,27.45,29.05,65700,28.72
2011-05-09,30.07,30.75,28.26,28.52,60800,28.20
2011-05-02,35.60,35.78,29.39,30.11,105000,29.71
2011-04-25,31.86,35.85,31.71,35.34,72900,34.87
2011-04-18,31.02,32.22,30.80,31.97,64000,31.54
2011-04-11,31.98,31.98,30.98,31.64,79100,31.22
2011-04-04,32.50,32.93,31.20,32.04,84300,31.61
2011-03-28,31.04,33.07,31.04,32.46,83500,32.03
2011-03-21,32.00,32.39,31.27,31.90,73800,31.48
2011-03-14,30.93,31.98,29.23,31.59,59200,31.17
2011-03-07,33.23,34.68,30.49,31.47,57100,31.05
2011-02-28,30.58,33.55,29.34,33.15,97700,32.65
2011-02-22,27.84,31.81,26.80,30.40,72000,29.94
2011-02-14,27.91,28.75,27.21,28.29,39300,27.86
2011-02-07,28.27,28.99,26.85,28.01,34800,27.59
2011-01-31,26.98,28.99,26.59,28.15,32700,27.73
2011-01-24,25.76,27.77,25.76,26.86,42100,26.45
2011-01-18,28.06,28.38,25.78,25.84,42000,25.45
2011-01-10,27.79,28.75,27.19,28.29,52200,27.86
2011-01-03,28.51,29.95,26.86,27.95,51500,27.53
2010-12-27,29.48,30.27,28.08,28.18,42800,27.75
2010-12-20,28.64,29.80,28.11,29.51,45700,29.06
2010-12-13,30.00,30.30,28.07,28.58,106800,28.15
2010-12-06,30.16,30.56,28.78,29.79,74800,29.34
2010-11-29,26.29,30.50,25.89,30.29,90700,29.83
2010-11-22,24.68,26.75,24.37,26.42,57100,26.02
2010-11-15,25.00,25.27,23.53,24.86,78500,24.48
2010-11-08,25.31,26.80,24.76,24.78,71200,24.41
2010-11-01,23.00,25.42,22.17,25.29,76800,24.90
2010-10-25,22.87,23.90,22.61,22.84,68400,22.49
2010-10-18,22.41,22.89,21.01,22.70,55800,22.35
2010-10-11,20.86,23.83,20.37,22.40,116300,22.05
2010-10-04,18.15,20.94,18.02,20.86,113000,20.54
2010-09-27,17.52,18.45,17.48,18.06,62500,17.78
2010-09-20,16.27,18.14,16.10,17.47,86600,17.20
2010-09-13,15.88,16.35,15.36,16.26,93800,16.01
2010-09-07,15.49,15.99,15.22,15.73,31400,15.49
2010-08-30,15.38,15.86,14.72,15.61,45000,15.37
2010-08-23,15.45,15.83,14.47,15.53,56700,15.29
2010-08-16,16.33,16.86,14.77,15.35,68100,15.11
