Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,24.95,24.95,24.95,24.95,000,24.95
2012-05-14,25.32,25.32,24.17,24.95,1200,24.95
2012-05-07,25.27,25.69,25.27,25.32,800,25.32
2012-04-30,25.24,25.24,25.15,25.15,400,25.09
2012-04-23,25.43,25.43,25.24,25.24,000,25.18
2012-04-16,25.20,25.43,25.20,25.43,1200,25.37
2012-04-09,25.20,25.42,25.17,25.20,600,25.14
2012-04-02,25.18,25.25,25.17,25.20,1200,25.08
2012-03-26,25.15,25.25,25.15,25.15,400,25.03
2012-03-19,25.22,25.22,25.22,25.22,200,25.10
2012-03-12,25.18,25.24,25.15,25.22,400,25.10
2012-03-05,25.32,25.32,25.18,25.29,900,25.11
2012-02-27,25.33,25.33,25.28,25.28,200,25.10
2012-02-21,25.35,25.35,25.24,25.26,400,25.08
2012-02-13,25.34,26.39,25.32,25.35,700,25.17
2012-02-06,25.24,25.39,25.11,25.34,700,25.16
2012-01-30,25.26,25.75,25.26,25.40,1700,25.15
2012-01-23,25.23,25.27,25.23,25.25,500,25.00
2012-01-17,25.17,25.39,25.13,25.13,1100,24.88
2012-01-09,25.10,25.29,25.10,25.29,200,25.04
2012-01-03,25.18,25.40,25.10,25.10,2700,24.79
2011-12-27,25.20,25.20,25.20,25.20,000,24.89
2011-12-19,25.13,25.31,25.12,25.20,2200,24.89
2011-12-12,25.29,25.32,25.10,25.20,1200,24.89
2011-12-05,25.10,25.43,25.10,25.19,1100,24.82
2011-11-28,25.19,25.20,24.17,25.05,1700,24.68
2011-11-21,25.00,25.05,25.00,25.05,100,24.68
2011-11-14,25.20,25.31,24.98,24.98,1500,24.61
2011-11-07,25.11,25.20,25.11,25.20,300,24.83
2011-10-31,25.10,25.12,25.10,25.11,200,24.68
2011-10-24,25.05,25.15,25.05,25.10,300,24.67
2011-10-17,25.09,25.09,25.05,25.05,000,24.62
2011-10-10,25.05,25.10,25.05,25.09,200,24.66
2011-10-03,25.10,25.15,25.00,25.05,900,24.56
2011-09-26,25.26,25.26,25.10,25.10,100,24.61
2011-09-19,25.10,25.21,25.01,25.21,700,24.71
2011-09-12,25.10,25.10,25.00,25.10,100,24.61
2011-09-06,25.02,25.07,25.02,25.06,200,24.51
2011-08-29,24.72,25.04,24.72,25.04,200,24.49
2011-08-22,25.01,25.01,24.59,24.72,300,24.17
2011-08-15,25.05,25.15,25.05,25.15,400,24.59
2011-08-08,25.01,25.10,24.70,24.70,800,24.15
2011-08-01,24.99,25.16,24.99,25.16,500,24.54
2011-07-25,25.14,25.15,24.80,24.99,600,24.37
2011-07-18,25.10,25.15,24.80,25.14,4400,24.52
2011-07-11,24.92,25.10,24.92,25.10,400,24.48
2011-07-05,24.91,24.93,24.91,24.92,100,24.25
2011-06-27,24.91,24.91,24.91,24.91,000,24.24
2011-06-20,24.93,25.16,24.86,24.91,1800,24.24
2011-06-13,24.90,25.15,24.65,25.00,700,24.32
2011-06-06,24.86,24.94,24.86,24.90,1000,24.23
2011-05-31,25.28,25.28,24.86,24.86,1800,24.12
2011-05-23,25.20,25.28,25.20,25.28,000,24.53
2011-05-16,25.03,25.20,24.95,25.20,200,24.45
2011-05-09,25.20,25.20,25.03,25.03,400,24.29
2011-05-02,25.01,25.21,25.01,25.01,000,24.21
2011-04-25,25.16,25.20,24.80,25.01,100,24.21
2011-04-18,25.16,25.16,25.16,25.16,000,24.36
2011-04-11,25.34,25.35,25.14,25.16,900,24.36
2011-04-04,25.69,25.69,25.10,25.55,600,24.67
2011-03-28,25.49,25.70,25.21,25.69,200,24.81
2011-03-21,25.20,25.49,25.17,25.49,100,24.61
2011-03-14,25.45,25.58,25.10,25.17,1700,24.30
2011-03-07,25.45,25.45,25.16,25.16,100,24.29
2011-02-28,25.10,25.10,25.10,25.10,000,23.69
2011-02-22,25.10,25.10,25.10,25.10,000,23.69
2011-02-14,25.01,25.10,25.01,25.10,100,23.69
2011-02-07,24.92,25.03,24.92,25.02,000,23.61
2011-01-31,25.72,25.72,24.92,24.92,500,23.46
2011-01-24,25.72,25.72,25.72,25.72,000,24.21
2011-01-18,25.80,25.80,25.72,25.72,000,24.21
2011-01-10,25.25,25.80,24.93,25.80,1400,24.29
2011-01-03,25.00,25.25,24.95,25.10,300,23.57
2010-12-27,25.00,25.00,24.84,24.87,100,23.35
2010-12-20,24.98,25.01,24.82,25.00,1100,23.47
2010-12-13,25.70,25.70,24.98,24.98,600,23.45
2010-12-06,25.16,25.78,25.13,25.78,400,24.21
2010-11-29,24.85,25.50,24.85,25.50,400,23.88
2010-11-22,25.25,25.68,24.93,24.93,2700,23.35
2010-11-15,25.49,25.49,24.93,25.12,200,23.53
2010-11-08,25.25,26.06,25.24,25.90,100,24.26
2010-11-01,24.98,25.16,24.77,25.16,100,23.51
2010-10-25,24.98,24.98,24.98,24.98,000,23.34
2010-10-18,24.98,24.98,24.98,24.98,000,23.34
2010-10-11,25.00,25.00,24.78,24.98,100,23.34
2010-10-04,25.05,25.05,24.64,25.00,300,23.30
2010-09-27,25.00,25.15,24.80,25.05,2500,23.35
2010-09-20,24.80,24.80,24.80,24.80,000,23.11
2010-09-13,24.98,24.98,24.80,24.80,100,23.11
2010-09-07,24.95,24.98,24.65,24.98,600,23.28
2010-08-30,25.07,25.36,24.95,24.95,300,23.19
2010-08-23,24.67,25.00,24.33,24.89,500,23.14
2010-08-16,24.92,24.92,24.92,24.92,000,23.17
2010-08-09,24.75,24.92,24.75,24.92,000,23.17
2010-08-02,24.70,24.75,24.70,24.75,000,22.95
2010-07-26,24.77,24.77,24.39,24.70,600,22.90
2010-07-19,24.53,24.65,24.37,24.65,200,22.86
2010-07-12,24.75,24.75,24.53,24.53,000,22.75
2010-07-06,24.23,24.75,24.23,24.60,900,22.75
2010-06-28,24.33,24.60,24.22,24.23,700,22.41
2010-06-21,24.25,24.58,24.21,24.46,300,22.62
2010-06-14,24.31,24.58,24.21,24.23,900,22.41
2010-06-07,24.14,24.57,23.95,24.23,900,22.41
2010-06-01,24.61,24.85,24.16,24.16,1100,22.29
2010-05-24,24.85,25.00,24.61,24.61,500,22.70
2010-05-17,25.05,25.05,24.58,24.85,300,22.92
2010-05-10,25.00,25.05,24.93,25.05,100,23.11
2010-05-03,24.91,25.24,24.91,25.00,100,23.01
2010-04-26,24.95,25.04,24.86,24.95,200,22.96
2010-04-19,24.85,25.16,24.85,24.95,200,22.96
2010-04-12,24.63,24.87,24.60,24.85,200,22.87
2010-04-05,24.90,24.95,24.61,24.95,400,22.90
2010-03-29,24.98,25.15,24.90,24.90,300,22.85
2010-03-22,25.46,25.70,24.97,24.98,2800,22.93
2010-03-15,24.99,25.76,24.96,25.46,1100,23.37
2010-03-08,24.66,24.81,24.30,24.53,1000,22.51
2010-03-01,24.70,25.00,24.69,24.75,1000,22.66
2010-02-22,24.36,24.87,24.35,24.71,900,22.63
2010-02-16,24.83,24.87,24.47,24.47,200,22.41
2010-02-08,24.83,24.83,24.83,24.83,000,22.74
2010-02-01,24.71,24.83,24.71,24.83,000,22.68
2010-01-25,24.83,24.83,24.71,24.71,000,22.57
2010-01-19,24.83,24.83,24.83,24.83,000,22.68
2010-01-11,24.75,25.00,24.29,25.00,1900,22.83
2010-01-04,24.50,24.75,24.41,24.75,600,22.55
2009-12-28,24.39,24.50,24.27,24.50,600,22.32
2009-12-21,24.40,24.40,24.10,24.39,800,22.22
2009-12-14,24.40,24.40,24.32,24.40,300,22.23
2009-12-07,23.98,24.46,23.90,24.36,3300,22.19
2009-11-30,23.88,24.00,23.70,23.98,300,21.79
2009-11-23,23.84,24.05,23.84,23.88,400,21.70
2009-11-16,23.92,24.00,23.84,23.84,1000,21.66
2009-11-09,24.00,24.00,23.74,23.83,000,21.65
2009-11-02,24.00,24.00,23.80,24.00,400,21.75
2009-10-26,23.99,24.00,23.70,24.00,400,21.75
2009-10-19,23.82,23.99,21.29,23.99,3100,21.74
2009-10-12,23.40,24.00,23.40,23.75,1500,21.52
2009-10-05,24.00,24.00,23.04,23.21,500,21.03
2009-09-28,24.00,24.00,24.00,24.00,000,21.69
2009-09-21,23.80,24.80,23.80,24.00,200,21.69
2009-09-14,23.10,24.99,23.10,24.14,300,21.82
2009-09-08,22.99,22.99,22.99,22.99,000,20.78
2009-08-31,22.88,22.88,22.88,22.88,000,20.62
2009-08-24,22.62,22.88,22.62,22.88,100,20.62
2009-08-17,22.45,22.65,22.26,22.44,300,20.23
2009-08-10,22.45,22.45,22.45,22.45,000,20.24
2009-08-03,22.45,22.45,22.45,22.45,000,20.18
2009-07-27,22.11,22.45,22.11,22.45,100,20.18
2009-07-20,22.15,22.50,22.12,22.12,100,19.88
2009-07-13,22.00,22.85,22.00,22.15,1200,19.91
2009-07-06,22.25,22.25,22.25,22.25,000,20.00
2009-06-29,22.25,22.25,22.25,22.25,100,19.94
2009-06-22,22.25,22.25,22.25,22.25,000,19.94
2009-06-15,22.00,22.25,22.00,22.25,000,19.94
2009-06-08,22.01,22.01,22.00,22.00,300,19.72
2009-06-01,22.00,22.71,22.00,22.13,200,19.78
2009-05-26,23.75,23.75,21.51,22.00,1300,19.66
2009-05-18,21.53,21.93,20.95,21.53,800,19.24
2009-05-11,20.50,21.75,20.40,21.75,300,19.44
2009-05-04,20.10,20.50,20.10,20.50,000,18.26
2009-04-27,20.10,20.10,20.10,20.10,000,17.91
2009-04-20,19.83,20.10,19.83,20.10,000,17.91
2009-04-13,19.72,19.83,19.72,19.83,000,17.67
2009-04-06,19.72,19.72,19.72,19.72,000,17.57
2009-03-30,19.72,19.72,19.72,19.72,000,17.51
2009-03-23,19.90,19.90,19.90,19.90,000,17.67
2009-03-16,19.50,20.95,19.50,19.90,2600,17.67
2009-03-09,20.15,20.15,18.83,19.46,700,17.28
2009-03-02,21.32,21.32,20.29,20.33,300,18.00
2009-02-23,20.44,21.50,20.44,21.50,300,19.03
2009-02-17,20.80,21.00,20.26,20.26,1200,17.94
2009-02-09,20.48,20.80,20.48,20.80,100,18.41
2009-02-02,21.46,21.46,20.48,20.48,200,18.07
2009-01-26,21.82,21.82,21.64,21.64,000,19.10
2009-01-20,22.00,22.00,21.82,21.82,000,19.26
2009-01-12,22.70,23.99,21.50,22.18,400,19.58
2009-01-05,20.55,20.80,20.55,20.80,100,18.30
