Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,24.18,24.25,24.12,24.15,900,24.15
2012-05-14,24.17,24.18,24.03,24.18,200,24.18
2012-05-07,23.99,24.98,23.90,23.90,1000,23.90
2012-04-30,23.85,24.15,23.85,24.15,000,24.09
2012-04-23,23.70,24.10,23.52,23.85,400,23.79
2012-04-16,24.00,24.00,23.66,23.69,500,23.63
2012-04-09,24.35,24.35,24.00,24.00,100,23.94
2012-04-02,24.05,24.16,23.82,24.00,600,23.88
2012-03-26,23.98,24.43,23.85,24.43,1400,24.30
2012-03-19,23.50,23.80,23.50,23.75,500,23.63
2012-03-12,24.00,24.00,23.28,23.80,600,23.68
2012-03-05,23.76,24.10,23.60,23.60,400,23.42
2012-02-27,24.50,24.50,23.71,23.71,200,23.53
2012-02-21,24.25,24.82,23.93,24.50,1100,24.31
2012-02-13,24.25,24.25,23.93,24.25,600,24.06
2012-02-06,23.99,24.49,23.90,23.96,700,23.78
2012-01-30,23.75,23.98,23.41,23.74,1300,23.50
2012-01-23,23.47,23.81,23.44,23.44,000,23.20
2012-01-17,23.75,23.80,23.40,23.47,800,23.23
2012-01-09,23.39,23.75,23.32,23.75,500,23.51
2012-01-03,23.81,23.84,23.51,23.64,500,23.33
2011-12-27,23.82,23.84,23.50,23.50,400,23.20
2011-12-19,23.56,23.85,23.49,23.82,1000,23.51
2011-12-12,24.41,24.96,23.51,23.56,800,23.25
2011-12-05,23.80,24.85,23.80,23.92,800,23.55
2011-11-28,23.32,24.50,23.00,23.80,2400,23.43
2011-11-21,22.93,23.32,22.93,23.32,100,22.96
2011-11-14,23.09,23.17,22.93,22.93,300,22.57
2011-11-07,23.72,24.47,23.52,23.52,400,23.15
2011-10-31,24.00,24.00,23.50,23.65,100,23.22
2011-10-24,22.80,24.00,22.70,24.00,600,23.56
2011-10-17,23.27,23.78,22.52,22.80,800,22.39
2011-10-10,23.30,24.00,23.27,23.27,400,22.85
2011-10-03,23.10,24.49,23.05,23.30,1400,22.82
2011-09-26,23.76,24.15,23.05,23.05,500,22.57
2011-09-19,23.74,24.10,23.28,23.75,200,23.26
2011-09-12,22.78,23.74,22.38,23.26,500,22.78
2011-09-06,23.45,23.45,21.91,21.91,1000,21.39
2011-08-29,22.76,24.20,22.76,23.34,700,22.79
2011-08-22,22.29,23.87,21.82,22.76,400,22.22
2011-08-15,21.60,22.40,21.60,22.00,200,21.48
2011-08-08,21.60,21.60,20.26,21.30,500,20.80
2011-08-01,23.86,23.86,21.63,22.00,300,21.42
2011-07-25,23.90,23.90,23.46,23.86,100,23.23
2011-07-18,23.60,24.25,23.60,23.90,500,23.27
2011-07-11,24.00,24.25,23.60,23.60,300,22.98
2011-07-05,24.15,24.15,23.76,24.01,400,23.31
2011-06-27,22.92,24.25,22.92,24.15,700,23.45
2011-06-20,22.60,22.84,22.20,22.66,700,22.00
2011-06-13,23.72,23.90,22.50,22.60,600,21.95
2011-06-06,24.25,24.72,23.72,23.72,900,23.03
2011-05-31,24.24,24.78,23.91,24.25,1400,23.49
2011-05-23,24.08,24.24,23.86,24.24,2000,23.48
2011-05-16,23.95,24.23,23.34,23.85,3200,23.10
2011-05-09,23.58,24.14,23.46,23.46,900,22.72
2011-05-02,23.63,23.63,23.23,23.24,000,22.45
2011-04-25,23.50,23.63,23.50,23.63,100,22.82
2011-04-18,23.50,23.85,23.36,23.36,300,22.56
2011-04-11,23.11,24.12,22.94,23.50,600,22.70
2011-04-04,23.00,23.75,22.91,23.11,800,22.26
2011-03-28,22.33,23.08,22.24,23.08,300,22.23
2011-03-21,22.67,22.67,22.30,22.33,200,21.51
2011-03-14,22.99,23.06,22.67,22.67,200,21.84
2011-03-07,23.18,23.18,22.56,22.99,100,22.14
2011-02-28,23.13,23.21,21.97,23.18,600,22.27
2011-02-22,23.20,23.52,23.20,23.52,1100,22.60
2011-02-14,23.31,23.50,22.70,22.70,700,21.81
2011-02-07,23.60,23.63,23.31,23.31,400,22.40
2011-01-31,22.65,24.10,22.65,23.99,2200,22.99
2011-01-24,22.89,22.89,22.56,22.62,100,21.67
2011-01-18,23.45,23.45,22.13,22.56,900,21.62
2011-01-10,22.05,23.68,22.05,23.45,400,22.47
2011-01-03,22.75,22.75,21.54,22.05,700,21.07
2010-12-27,22.12,22.75,21.53,22.74,1000,21.73
2010-12-20,22.50,22.50,22.06,22.20,1800,21.21
2010-12-13,23.25,23.56,23.20,23.20,900,22.17
2010-12-06,23.29,24.00,23.27,23.27,200,22.23
2010-11-29,22.62,23.25,22.62,23.25,500,22.16
2010-11-22,23.64,23.70,22.62,22.62,1000,21.56
2010-11-15,24.10,24.14,22.88,23.28,2700,22.18
2010-11-08,23.53,24.14,23.38,23.94,600,22.81
2010-11-01,23.21,23.79,23.21,23.53,1400,22.36
2010-10-25,22.85,23.21,21.75,23.21,1000,22.06
2010-10-18,23.64,23.89,23.05,23.05,1100,21.91
2010-10-11,22.35,23.42,22.31,23.42,4200,22.26
2010-10-04,22.55,23.00,22.33,22.62,1800,21.44
2010-09-27,22.88,22.95,22.17,22.58,6300,21.40
2010-09-20,22.65,23.00,22.62,22.78,2400,21.59
2010-09-13,22.00,22.75,22.00,22.52,1300,21.34
2010-09-07,22.41,22.42,21.95,21.95,700,20.80
2010-08-30,21.69,22.35,21.60,22.26,600,21.03
2010-08-23,21.00,21.39,21.00,21.39,000,20.21
2010-08-16,21.00,21.00,21.00,21.00,100,19.84
