Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.53,14.81,14.23,14.71,28300,14.71
2012-05-14,15.19,15.19,14.01,14.63,24200,14.63
2012-05-07,12.90,15.09,12.07,15.03,28100,15.03
2012-04-30,14.81,15.00,12.56,12.85,37900,12.85
2012-04-23,15.02,15.38,14.34,14.71,25500,14.71
2012-04-16,14.33,15.69,14.25,15.37,13800,15.37
2012-04-09,14.77,15.16,14.18,14.22,12100,14.22
2012-04-02,14.50,15.29,14.11,15.18,15200,15.18
2012-03-26,15.00,15.31,14.35,14.46,13300,14.46
2012-03-19,15.74,15.93,14.72,14.83,13700,14.83
2012-03-12,15.17,15.95,14.81,15.73,14000,15.73
2012-03-05,14.49,15.32,14.15,15.20,21000,15.20
2012-02-27,15.09,15.61,14.19,14.41,22700,14.41
2012-02-21,16.12,16.12,13.90,15.39,40700,15.39
2012-02-13,17.98,19.75,15.79,16.06,25400,16.06
2012-02-06,18.64,18.64,17.51,17.68,8700,17.68
2012-01-30,17.50,18.64,16.79,18.51,16600,18.51
2012-01-23,17.09,17.99,16.93,17.78,10700,17.78
2012-01-17,16.84,17.15,16.18,17.09,21600,17.09
2012-01-09,17.12,17.55,16.53,16.61,18900,16.61
2012-01-03,17.53,17.73,16.65,16.96,16000,16.96
2011-12-27,15.99,17.45,15.39,17.05,24700,17.05
2011-12-19,17.17,17.39,15.87,16.18,13200,16.18
2011-12-12,17.89,18.03,16.60,17.01,14500,17.01
2011-12-05,19.55,19.55,17.76,18.20,15200,18.20
2011-11-28,17.60,20.46,16.90,19.31,20600,19.31
2011-11-21,17.24,17.71,16.70,16.70,13000,16.70
2011-11-14,18.14,18.17,17.00,17.55,15700,17.55
2011-11-07,20.16,20.98,18.03,18.29,21400,18.29
2011-10-31,19.23,20.87,18.43,20.35,28000,20.35
2011-10-24,18.72,19.99,18.16,19.41,20400,19.41
2011-10-17,18.90,19.55,17.48,18.72,15700,18.72
2011-10-10,17.86,19.55,17.27,19.14,20800,19.14
2011-10-03,19.93,20.29,16.51,17.41,28500,17.41
