Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.75,4.10,3.66,4.00,20500,4.00
2012-05-14,4.98,5.00,3.20,3.75,38800,3.75
2012-05-07,5.13,5.20,4.76,4.97,7300,4.97
2012-04-30,5.13,5.50,4.81,5.10,9600,5.10
2012-04-23,4.81,5.20,4.52,5.10,9500,5.10
2012-04-16,4.82,5.08,4.51,4.70,6300,4.70
2012-04-09,5.08,5.14,4.81,4.85,6700,4.85
2012-04-02,5.02,5.16,4.98,5.08,4600,5.08
2012-03-26,5.11,5.15,4.94,5.08,15400,5.08
2012-03-19,5.40,5.40,4.85,5.11,11600,5.11
2012-03-12,5.74,5.74,5.05,5.34,29800,5.34
2012-03-05,5.60,6.00,5.20,5.74,28300,5.58
2012-02-27,4.94,5.61,4.69,5.59,34200,5.43
2012-02-21,4.76,5.05,4.51,4.95,19500,4.81
2012-02-13,4.48,5.19,4.43,4.69,26500,4.56
2012-02-06,4.20,4.48,4.07,4.45,13400,4.33
2012-01-30,4.37,4.75,3.90,4.22,19600,4.10
2012-01-23,4.35,4.54,3.90,4.30,28300,4.18
2012-01-17,4.35,4.54,4.20,4.32,20300,4.20
2012-01-09,4.43,4.50,3.85,4.14,10300,4.02
2012-01-03,3.23,4.68,3.15,4.30,29600,4.18
2011-12-27,3.01,3.31,2.50,3.31,23000,3.22
2011-12-19,2.98,3.33,2.95,3.11,22700,3.02
2011-12-12,4.10,4.10,3.00,3.00,25700,2.92
2011-12-05,3.90,4.29,3.70,4.22,8800,4.10
2011-11-28,4.05,4.20,3.26,3.75,17300,3.65
2011-11-21,4.27,4.27,3.85,3.95,14900,3.84
2011-11-14,4.23,4.24,4.02,4.14,9800,4.02
2011-11-07,4.25,4.46,3.92,4.16,17300,4.04
2011-10-31,4.73,4.73,3.92,4.15,16600,4.03
2011-10-24,4.91,4.91,4.35,4.63,43300,4.50
2011-10-17,5.11,5.11,4.19,4.69,46000,4.40
2011-10-10,5.15,5.20,4.65,5.00,16500,4.69
2011-10-03,5.03,5.20,4.80,5.15,4400,4.83
2011-09-26,5.54,5.54,5.00,5.20,4400,4.88
2011-09-19,6.20,6.23,5.06,5.35,5700,5.02
2011-09-12,6.37,6.73,5.39,5.89,10100,5.52
2011-09-06,6.60,6.97,6.01,6.32,13500,5.93
2011-08-29,5.25,7.14,5.02,7.00,16000,6.56
2011-08-22,5.95,5.95,4.58,5.23,10600,4.90
2011-08-15,5.55,6.00,5.15,5.85,6500,5.49
2011-08-08,5.75,6.00,5.01,5.54,14100,5.19
2011-08-01,6.60,6.84,5.36,5.52,19400,5.18
2011-07-25,7.20,7.24,6.31,6.51,14800,6.10
2011-07-18,6.95,7.61,6.90,7.16,7800,6.71
2011-07-11,7.30,7.35,6.95,6.96,13400,6.53
2011-07-05,7.78,7.85,6.99,7.30,24100,6.84
2011-06-27,7.97,8.50,7.25,7.82,131300,7.33
2011-06-20,10.67,10.70,8.20,8.58,58300,8.04
2011-06-13,9.94,10.92,9.51,10.24,10100,9.60
2011-06-06,9.00,10.27,8.75,9.94,7900,9.18
2011-05-31,8.99,9.00,8.70,9.00,1100,8.31
2011-05-23,9.00,9.00,8.80,8.80,6900,8.13
2011-05-16,8.94,9.00,8.76,8.99,1700,8.30
2011-05-09,9.00,9.99,8.58,8.95,6600,8.27
2011-05-02,8.93,9.00,8.90,8.95,400,8.12
2011-04-25,8.53,9.00,8.53,8.93,800,8.10
2011-04-18,8.75,9.00,8.52,8.52,2000,7.73
