Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.05,3.42,3.01,3.15,799200,3.15
2012-05-14,3.89,3.97,2.78,3.04,1146000,3.04
2012-05-07,4.28,4.36,3.90,3.94,906400,3.94
2012-04-30,5.44,5.60,4.17,4.30,1517400,4.30
2012-04-23,5.40,5.52,5.18,5.45,803300,5.45
2012-04-16,5.38,5.62,5.11,5.51,818000,5.51
2012-04-09,5.37,5.70,5.11,5.36,1330300,5.36
2012-04-02,6.36,6.45,5.46,5.52,1930700,5.52
2012-03-26,6.57,6.60,6.11,6.36,1121700,6.36
2012-03-19,6.74,7.07,6.23,6.46,1488600,6.46
2012-03-12,6.37,6.89,5.93,6.80,2032400,6.80
2012-03-05,6.78,6.88,6.05,6.29,1452100,6.29
2012-02-27,7.04,7.32,6.63,6.75,1956500,6.75
2012-02-21,8.76,8.97,6.94,7.00,5857900,7.00
2012-02-13,8.97,10.12,8.59,8.78,2134700,8.78
2012-02-06,7.33,9.29,7.30,8.78,1346400,8.78
2012-01-30,7.12,7.50,6.75,7.39,477500,7.39
2012-01-23,7.48,7.89,7.07,7.19,436700,7.19
2012-01-17,6.96,7.59,6.76,7.50,435900,7.50
2012-01-09,6.66,7.54,6.38,6.88,495700,6.88
2012-01-03,6.91,7.14,6.61,6.66,403500,6.66
2011-12-27,6.70,6.93,6.27,6.76,445200,6.76
2011-12-19,6.97,7.09,6.11,6.74,498100,6.74
2011-12-12,7.69,7.84,6.64,6.93,404600,6.93
2011-12-05,7.77,8.09,7.37,7.82,463500,7.82
2011-11-28,7.06,7.83,7.06,7.60,536900,7.60
2011-11-21,8.55,8.59,6.60,6.93,536100,6.93
2011-11-14,9.50,9.54,8.57,8.72,488300,8.72
2011-11-07,8.55,10.10,8.35,9.57,705700,9.57
2011-10-31,9.00,9.26,8.31,8.62,612400,8.62
2011-10-24,8.45,9.48,8.42,9.18,664200,9.18
2011-10-17,9.26,10.14,8.11,8.45,998800,8.45
2011-10-10,7.03,9.47,7.03,9.29,813800,9.29
2011-10-03,7.70,7.82,5.78,6.90,610900,6.90
2011-09-26,8.28,8.50,7.58,7.81,624800,7.81
2011-09-19,7.75,8.40,7.42,8.21,1044000,8.21
2011-09-12,7.53,9.75,7.53,7.86,1338900,7.86
2011-09-06,6.36,8.15,6.23,7.80,1090800,7.80
2011-08-29,5.89,7.26,5.89,6.64,850600,6.64
2011-08-22,6.19,6.31,5.52,5.85,535400,5.85
2011-08-15,5.20,6.17,4.87,6.03,802700,6.03
2011-08-08,4.49,5.65,4.15,5.16,1123800,5.16
2011-08-01,6.40,6.45,4.30,4.64,1080800,4.64
2011-07-25,6.36,6.52,5.53,6.26,2151800,6.26
2011-07-18,7.03,7.09,6.33,6.54,864200,6.54
2011-07-11,7.21,7.29,6.90,7.09,431800,7.09
2011-07-05,7.54,7.68,7.14,7.34,510600,7.34
2011-06-27,7.61,8.36,7.42,7.57,731400,7.57
2011-06-20,7.05,7.89,7.00,7.55,1091900,7.55
2011-06-13,6.54,7.40,6.29,7.02,960100,7.02
2011-06-06,7.36,7.45,6.28,6.54,901100,6.54
2011-05-31,7.47,7.99,7.28,7.36,1091600,7.36
2011-05-23,7.11,7.49,6.60,7.35,1210200,7.35
2011-05-16,7.75,7.81,7.13,7.20,756500,7.20
2011-05-09,8.44,8.44,7.77,7.83,924000,7.83
2011-05-02,8.42,8.62,7.60,8.33,1328200,8.33
