Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.66,14.21,13.50,13.94,73800,13.94
2012-05-14,14.14,14.41,13.70,13.75,118000,13.75
2012-05-07,15.07,15.09,14.27,14.65,118600,14.51
2012-04-30,15.49,15.66,15.06,15.10,75600,14.96
2012-04-23,15.17,15.56,14.89,15.53,84900,15.38
2012-04-16,15.46,15.50,15.11,15.26,71100,15.11
2012-04-09,15.65,15.70,15.39,15.44,52500,15.29
2012-04-02,15.80,16.10,15.59,15.67,71700,15.38
2012-03-26,15.98,16.06,15.57,15.81,102400,15.52
2012-03-19,15.81,16.05,15.25,15.70,103500,15.41
2012-03-12,16.28,16.34,15.72,15.84,60300,15.55
2012-03-05,16.59,16.59,15.75,16.23,114200,15.79
2012-02-27,16.53,16.89,16.32,16.41,122500,15.97
2012-02-21,16.07,16.76,15.99,16.49,126200,16.05
2012-02-13,15.85,16.00,15.56,15.98,82500,15.55
2012-02-06,16.00,16.35,15.81,15.85,81000,15.42
2012-01-30,15.57,16.00,15.35,15.95,112300,15.39
2012-01-23,14.53,15.66,14.53,15.61,160300,15.06
2012-01-17,14.71,14.81,14.52,14.69,106900,14.17
2012-01-09,14.49,14.85,14.36,14.60,110700,14.08
2012-01-03,13.74,14.48,13.63,14.41,156000,13.77
2011-12-27,13.55,13.75,13.06,13.44,326200,12.84
2011-12-19,13.57,13.86,13.10,13.60,257500,13.00
2011-12-12,14.87,14.87,13.26,13.35,147100,12.76
2011-12-05,15.35,15.55,14.93,14.98,88600,14.31
2011-11-28,14.48,15.40,14.40,15.16,92500,14.35
2011-11-21,14.90,14.90,14.20,14.23,99000,13.47
2011-11-14,15.64,15.64,14.68,14.96,72200,14.16
2011-11-07,15.86,16.30,15.35,15.55,95500,14.72
2011-10-31,16.00,16.00,15.07,15.68,86000,14.71
2011-10-24,15.10,16.36,15.10,15.96,80400,14.98
2011-10-17,16.00,16.18,14.64,14.99,78200,14.07
2011-10-10,14.73,16.00,14.73,15.65,50600,14.68
2011-10-03,14.65,14.95,12.30,14.70,97400,13.67
2011-09-26,14.70,15.26,14.11,14.56,135400,13.54
2011-09-19,16.29,16.48,13.87,14.43,119300,13.42
2011-09-12,16.48,16.75,16.25,16.39,62700,15.24
2011-09-06,16.70,17.19,16.50,16.74,63200,15.44
2011-08-29,16.46,17.20,16.34,16.87,70000,15.56
2011-08-22,16.55,16.86,15.88,16.24,94600,14.98
2011-08-15,16.62,17.19,15.96,16.09,96900,14.84
2011-08-08,15.26,16.62,15.12,16.31,131400,14.91
2011-08-01,18.24,18.50,15.57,16.68,130400,15.25
2011-07-25,19.18,19.27,17.84,18.00,92700,16.46
2011-07-18,18.83,19.65,18.51,18.85,68400,17.23
2011-07-11,18.94,18.99,18.57,18.71,44100,17.10
2011-07-05,18.61,19.24,18.54,18.97,74500,17.21
2011-06-27,17.79,18.58,17.51,18.55,51200,16.83
2011-06-20,17.16,17.96,17.04,17.81,84900,16.16
2011-06-13,17.60,17.75,16.98,17.11,124900,15.53
2011-06-06,18.32,18.86,17.63,17.68,67200,15.91
2011-05-31,18.95,19.06,18.38,18.41,45700,16.57
2011-05-23,18.31,18.91,17.94,18.86,79500,16.97
2011-05-16,18.52,18.68,17.56,18.42,95800,16.58
2011-05-09,19.25,19.64,18.47,18.74,75500,16.87
2011-05-02,19.84,20.03,18.82,19.08,71600,17.05
2011-04-25,20.00,20.07,19.39,19.86,57200,17.74
2011-04-18,19.95,20.46,19.40,19.99,55300,17.86
2011-04-11,20.04,20.40,19.17,19.85,61000,17.73
2011-04-04,19.78,20.47,19.75,20.02,70400,17.76
2011-03-28,19.69,19.74,19.32,19.74,53500,17.51
2011-03-21,19.20,19.99,19.00,19.69,77500,17.47
2011-03-14,20.06,20.06,18.52,19.12,95700,16.96
2011-03-07,20.57,20.57,19.87,20.06,141100,17.80
2011-02-28,21.00,21.00,20.10,20.41,66200,18.11
2011-02-22,20.70,21.03,20.50,21.00,66600,18.63
2011-02-14,20.97,21.37,20.70,20.91,43200,18.55
2011-02-07,20.70,20.97,20.33,20.74,43400,18.40
2011-01-31,21.75,21.75,20.03,20.57,57600,18.25
2011-01-27,20.00,24.60,19.94,21.00,381700,18.63
