Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,2.00,2.00,1.85,1.86,58000,1.86
2012-05-14,2.19,2.24,1.84,1.95,124500,1.95
2012-05-07,2.21,2.27,2.15,2.23,44900,2.23
2012-04-30,2.48,2.48,2.20,2.27,67400,2.27
2012-04-23,2.25,2.54,2.13,2.48,167400,2.48
2012-04-16,2.18,2.42,2.18,2.26,103300,2.26
2012-04-09,2.30,2.44,2.05,2.15,266500,2.15
2012-04-02,2.75,2.75,2.29,2.34,212400,2.34
2012-03-26,3.01,3.47,2.56,2.75,883300,2.75
2012-03-19,2.60,2.99,2.51,2.94,225400,2.94
2012-03-12,2.73,2.73,2.45,2.65,157600,2.65
2012-03-05,2.75,2.96,2.66,2.72,258900,2.72
2012-02-27,2.77,2.77,2.19,2.70,309400,2.70
2012-02-21,2.96,3.15,2.59,2.77,593000,2.77
2012-02-13,2.15,2.98,2.02,2.89,622200,2.89
2012-02-06,1.91,2.48,1.85,2.10,265900,2.10
2012-01-30,1.64,1.99,1.57,1.96,43000,1.96
2012-01-23,1.70,1.72,1.58,1.65,15300,1.65
2012-01-17,1.64,1.74,1.57,1.68,23100,1.68
2012-01-09,1.42,1.59,1.39,1.58,20200,1.58
2012-01-03,1.43,1.50,1.41,1.44,15500,1.44
2011-12-27,1.35,1.45,1.35,1.45,33400,1.45
2011-12-19,1.26,1.42,1.25,1.42,14600,1.42
2011-12-12,1.39,1.40,1.18,1.28,45700,1.28
2011-12-05,1.45,1.48,1.36,1.44,9500,1.44
2011-11-28,1.40,1.50,1.35,1.41,22300,1.41
2011-11-21,1.37,1.43,1.31,1.35,14700,1.35
2011-11-14,1.20,1.50,1.18,1.43,159200,1.43
2011-11-07,1.17,1.32,1.14,1.20,127100,1.20
2011-10-31,1.18,1.20,1.13,1.15,56100,1.15
2011-10-24,1.16,1.24,1.14,1.18,50300,1.18
2011-10-17,1.23,1.25,1.15,1.16,66900,1.16
2011-10-10,1.25,1.32,1.20,1.25,20400,1.25
2011-10-03,1.34,1.34,1.22,1.28,9500,1.28
2011-09-26,1.30,1.36,1.22,1.28,12800,1.28
2011-09-19,1.36,1.40,1.16,1.28,28100,1.28
2011-09-12,1.35,1.44,1.35,1.40,12000,1.40
2011-09-06,1.47,1.47,1.36,1.40,20600,1.40
2011-08-29,1.50,1.77,1.45,1.45,18100,1.45
2011-08-22,1.52,1.57,1.42,1.50,19700,1.50
2011-08-15,1.57,1.59,1.50,1.56,15000,1.56
2011-08-08,1.41,1.57,1.25,1.57,57200,1.57
2011-08-01,1.60,1.64,1.41,1.44,42600,1.44
2011-07-25,1.70,1.74,1.55,1.58,27500,1.58
