Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,8.07,8.11,8.01,8.06,34000,8.06
2012-05-14,8.35,8.44,8.03,8.06,28900,8.06
2012-05-07,8.45,8.46,8.31,8.34,17600,8.34
2012-04-30,8.48,8.64,8.41,8.44,35600,8.44
2012-04-23,8.40,8.55,8.34,8.47,42000,8.47
2012-04-16,8.24,8.54,8.19,8.46,31700,8.46
2012-04-09,8.28,8.39,8.16,8.26,25800,8.26
2012-04-02,8.35,8.44,8.22,8.28,20800,8.28
2012-03-26,8.14,8.33,8.14,8.32,21500,8.32
2012-03-19,8.15,8.15,8.02,8.14,12900,8.14
2012-03-12,8.01,8.13,8.00,8.08,30500,8.08
2012-03-05,7.80,8.02,7.76,8.00,33300,8.00
2012-02-27,7.83,7.88,7.74,7.80,15800,7.80
2012-02-21,7.85,7.89,7.78,7.83,12800,7.83
2012-02-13,7.59,7.81,7.59,7.81,21700,7.81
2012-02-06,7.75,7.88,7.61,7.65,19400,7.65
2012-01-30,7.42,7.75,7.42,7.72,22000,7.72
2012-01-23,7.42,7.57,7.40,7.53,16800,7.53
2012-01-17,7.32,7.44,7.32,7.42,21100,7.42
2012-01-09,7.25,7.45,7.23,7.34,16000,7.34
2012-01-03,7.20,7.29,7.16,7.24,9500,7.24
2011-12-27,7.03,7.17,7.01,7.13,20100,7.13
2011-12-19,6.93,7.10,6.83,7.08,29100,7.08
2011-12-12,6.95,7.01,6.82,6.92,29200,6.92
2011-12-05,6.95,7.00,6.85,6.95,26400,6.95
2011-11-28,6.71,7.00,6.60,6.89,37000,6.89
2011-11-21,6.73,6.73,6.54,6.59,22300,6.59
2011-11-14,6.93,6.96,6.72,6.75,35200,6.75
2011-11-07,6.92,7.04,6.87,6.91,29400,6.91
2011-10-31,7.12,7.19,6.94,6.95,14600,6.95
2011-10-24,6.97,7.23,6.88,7.17,20700,7.17
2011-10-17,6.95,7.02,6.79,6.93,13900,6.93
2011-10-10,6.63,6.92,6.58,6.91,12600,6.91
2011-10-03,6.55,6.67,6.14,6.58,19000,6.58
2011-09-26,6.64,6.94,6.59,6.68,26200,6.68
2011-09-19,6.92,6.96,6.47,6.65,25400,6.65
2011-09-12,6.74,7.04,6.65,6.93,15200,6.93
2011-09-06,6.86,7.03,6.74,6.82,19000,6.82
2011-08-29,6.92,7.13,6.90,6.96,28600,6.96
2011-08-22,6.66,7.05,6.58,6.79,19100,6.79
2011-08-15,6.83,7.06,6.52,6.59,42800,6.59
2011-08-08,6.81,6.85,6.50,6.83,52700,6.83
2011-08-01,7.52,7.57,6.58,6.86,64900,6.86
2011-07-25,7.71,7.80,7.33,7.51,13500,7.51
2011-07-18,7.73,7.83,7.60,7.78,12400,7.78
2011-07-11,7.83,7.90,7.69,7.76,18400,7.76
2011-07-05,7.74,7.90,7.73,7.85,16300,7.85
2011-06-27,7.46,7.78,7.46,7.75,14600,7.75
2011-06-20,7.50,7.56,7.38,7.46,25700,7.46
2011-06-13,7.43,7.65,7.37,7.49,14600,7.49
2011-06-06,7.55,7.64,7.43,7.45,41300,7.45
2011-05-31,7.65,7.70,7.49,7.55,37800,7.55
2011-05-23,7.57,7.67,7.51,7.60,20200,7.60
2011-05-16,7.50,7.64,7.46,7.59,32800,7.59
2011-05-09,7.45,7.55,7.39,7.51,36700,7.51
2011-05-02,7.40,7.50,7.34,7.40,34400,7.40
2011-04-25,7.41,7.42,7.23,7.38,107700,7.38
2011-04-18,7.50,7.67,7.40,7.47,85500,7.47
2011-04-11,7.44,7.57,7.30,7.49,74200,7.49
2011-04-04,7.60,7.78,7.42,7.46,99600,7.46
2011-03-28,7.42,7.75,7.42,7.65,71300,7.65
2011-03-21,7.16,7.54,7.16,7.48,72500,7.48
2011-03-14,7.23,7.32,7.14,7.20,58200,7.20
2011-03-07,7.48,7.52,7.26,7.32,65300,7.32
2011-02-28,7.67,8.28,7.21,7.44,190700,7.44
2011-02-22,7.35,7.77,7.35,7.62,37100,7.62
2011-02-14,7.51,7.64,7.30,7.58,12900,7.58
2011-02-07,7.45,7.70,7.37,7.50,18800,7.50
2011-01-31,7.04,7.50,7.02,7.48,44600,7.48
2011-01-24,7.09,7.19,7.01,7.05,33300,7.05
2011-01-18,7.12,7.17,7.02,7.09,11800,7.09
2011-01-10,7.01,7.15,6.99,7.15,14200,7.15
2011-01-03,7.11,7.18,7.07,7.08,21300,7.08
2010-12-27,7.02,7.10,6.99,7.10,18400,7.10
2010-12-20,6.86,7.08,6.81,6.99,26700,6.99
2010-12-13,6.94,6.95,6.75,6.90,41300,6.90
2010-12-06,6.72,6.91,6.72,6.89,30700,6.89
2010-11-29,6.54,6.78,6.53,6.76,14100,6.76
2010-11-22,6.58,6.64,6.54,6.59,14400,6.59
2010-11-15,6.40,6.63,6.26,6.59,23200,6.59
2010-11-08,6.73,6.73,6.62,6.63,16400,6.63
2010-11-01,6.62,6.80,6.52,6.73,22800,6.73
2010-10-25,6.51,6.59,6.49,6.54,18000,6.54
2010-10-18,6.56,6.56,6.45,6.50,23500,6.50
2010-10-11,6.48,6.56,6.46,6.53,22600,6.53
2010-10-04,6.42,6.53,6.25,6.52,26700,6.52
2010-09-27,6.35,6.46,6.35,6.45,17200,6.45
2010-09-20,6.28,6.41,6.27,6.38,17500,6.38
2010-09-13,6.17,6.32,6.17,6.29,20100,6.29
2010-09-07,6.25,6.25,6.08,6.19,8400,6.19
2010-08-30,6.03,6.21,5.90,6.20,10700,6.20
2010-08-23,6.10,6.16,5.89,6.07,33700,6.07
2010-08-16,6.20,6.29,6.08,6.16,21300,6.16
2010-08-09,6.26,6.37,6.16,6.18,14100,6.18
2010-08-02,6.32,6.38,6.25,6.33,17100,6.33
2010-07-26,6.32,6.55,6.18,6.30,13800,6.30
2010-07-19,6.25,6.39,6.21,6.32,17200,6.32
2010-07-12,6.26,6.40,6.22,6.22,11300,6.22
2010-07-06,6.10,6.33,6.10,6.32,15400,6.32
2010-06-28,6.28,6.32,6.05,6.12,24200,6.12
2010-06-21,6.40,6.46,6.15,6.28,31400,6.28
2010-06-14,6.39,6.50,6.29,6.41,19800,6.41
2010-06-07,6.28,6.39,6.15,6.39,20700,6.39
2010-06-01,6.29,6.46,6.29,6.30,17500,6.30
2010-05-24,6.26,6.39,6.08,6.37,14600,6.37
2010-05-17,6.53,6.71,6.02,6.25,23800,6.25
2010-05-10,6.54,6.82,6.51,6.60,16700,6.60
2010-05-03,6.82,6.99,6.21,6.48,28100,6.48
2010-04-26,7.00,7.06,6.87,6.88,16300,6.88
2010-04-19,6.97,7.07,6.93,7.00,15000,7.00
2010-04-12,7.01,7.15,6.97,6.97,18000,6.97
2010-04-05,6.93,7.14,6.93,7.03,15900,7.03
2010-03-29,6.86,7.03,6.86,7.00,12100,7.00
2010-03-22,6.99,7.08,6.62,6.90,20200,6.90
2010-03-15,6.91,7.06,6.77,6.95,17400,6.95
2010-03-08,6.76,6.96,6.55,6.90,20200,6.90
2010-03-01,6.72,6.90,6.67,6.86,12400,6.86
2010-02-22,6.73,6.73,6.55,6.67,9100,6.67
2010-02-16,6.58,6.80,6.56,6.70,23400,6.70
2010-02-08,6.35,6.57,6.35,6.52,10800,6.52
2010-02-01,6.52,6.68,6.30,6.32,20200,6.32
2010-01-25,6.77,6.81,6.41,6.57,33900,6.57
2010-01-19,6.80,7.03,6.62,6.65,33000,6.65
2010-01-11,6.90,6.97,6.76,6.80,30100,6.80
2010-01-04,6.72,7.00,6.70,6.86,50200,6.86
2009-12-28,6.70,6.87,6.50,6.70,81800,6.70
2009-12-21,6.24,6.47,6.21,6.34,11800,6.34
2009-12-14,6.07,6.24,6.07,6.14,13700,6.14
2009-12-07,6.05,6.14,5.96,6.07,16700,6.07
2009-11-30,5.94,6.07,5.82,6.05,14300,6.05
2009-11-23,6.00,6.05,5.88,5.99,7300,5.99
2009-11-16,5.99,6.08,5.91,5.93,7900,5.93
2009-11-09,5.85,6.05,5.85,6.00,8300,6.00
2009-11-02,5.80,6.10,5.76,5.91,14300,5.91
2009-10-26,5.99,6.08,5.61,5.84,16300,5.84
2009-10-19,6.08,6.17,6.03,6.04,10500,6.04
2009-10-12,6.05,6.09,5.99,6.08,15400,6.08
2009-10-05,5.95,6.01,5.85,5.99,14600,5.99
2009-09-28,5.91,6.04,5.77,5.89,14100,5.89
2009-09-21,5.90,6.08,5.87,5.92,12400,5.92
2009-09-14,5.77,5.96,5.77,5.90,11400,5.90
2009-09-08,5.64,5.83,5.64,5.79,13900,5.79
2009-08-31,5.58,5.74,5.46,5.65,10100,5.65
2009-08-24,5.43,5.81,5.43,5.69,8300,5.69
2009-08-17,5.54,5.75,5.40,5.75,11400,5.75
2009-08-10,5.51,5.59,5.46,5.54,13700,5.54
2009-08-03,5.62,5.71,5.46,5.55,17600,5.55
2009-07-27,5.35,5.68,5.32,5.57,14500,5.57
2009-07-20,5.17,5.47,4.93,5.31,20200,5.31
2009-07-13,5.00,5.23,4.99,5.21,3200,5.21
2009-07-06,5.10,5.10,4.95,5.02,19300,5.02
2009-06-29,5.06,5.20,5.06,5.08,22300,5.08
2009-06-22,5.00,5.13,4.96,5.10,11300,5.10
2009-06-15,5.10,5.10,4.91,5.04,13900,5.04
2009-06-08,5.06,5.14,4.99,5.08,14100,5.08
2009-06-01,4.96,5.15,4.95,5.13,18700,5.13
2009-05-26,4.87,5.04,4.71,5.01,11800,5.01
2009-05-18,4.84,5.03,4.84,4.93,11300,4.93
2009-05-11,4.89,5.01,4.69,4.85,21400,4.85
2009-05-04,4.79,5.05,4.65,4.95,16000,4.95
2009-04-27,4.58,4.94,4.58,4.84,16200,4.84
2009-04-20,4.78,4.95,4.65,4.71,12500,4.71
2009-04-13,4.92,5.01,4.65,4.97,7200,4.97
2009-04-06,4.65,5.05,4.43,5.04,10700,5.04
2009-03-30,4.53,5.34,4.32,4.79,22300,4.79
2009-03-23,4.45,4.66,4.45,4.60,12300,4.60
2009-03-16,4.43,4.60,4.32,4.47,15500,4.47
2009-03-09,3.87,4.42,3.85,4.42,20100,4.42
2009-03-02,4.50,4.50,3.82,3.93,28400,3.93
2009-02-23,4.69,4.87,4.50,4.50,24200,4.50
2009-02-17,4.94,4.94,4.64,4.69,14100,4.69
2009-02-09,5.15,5.34,4.91,5.04,18100,5.04
2009-02-02,4.97,5.22,4.91,5.20,14300,5.20
2009-01-26,4.88,5.11,4.78,4.93,25800,4.93
2009-01-20,4.82,4.87,4.65,4.81,17200,4.81
2009-01-12,5.02,5.07,4.79,4.91,20900,4.91
2009-01-05,5.17,5.25,4.86,5.05,12800,5.05
2008-12-29,4.66,5.18,4.58,5.15,27700,5.15
2008-12-22,4.56,4.86,4.50,4.73,24100,4.73
2008-12-15,4.36,4.61,4.23,4.53,14100,4.53
2008-12-08,4.34,4.64,4.25,4.59,19500,4.54
2008-12-01,4.23,4.53,4.02,4.25,13100,4.20
2008-11-24,4.04,4.61,3.87,4.37,14200,4.32
2008-11-17,4.74,4.90,3.80,4.01,22000,3.97
2008-11-10,5.14,5.24,4.55,4.79,12900,4.74
2008-11-03,5.31,5.65,5.04,5.20,9100,5.14
2008-10-27,4.50,5.31,4.50,5.31,24700,5.25
2008-10-20,5.25,5.49,4.30,4.89,18500,4.84
2008-10-13,5.50,5.50,4.85,5.20,31100,5.14
2008-10-06,5.16,5.50,4.06,4.25,58400,4.20
2008-09-29,5.71,5.90,5.50,5.69,17600,5.63
2008-09-22,6.00,6.03,5.62,5.77,11300,5.71
2008-09-15,6.22,6.22,5.57,6.00,21200,5.93
2008-09-08,6.39,6.40,6.21,6.22,8400,6.15
2008-09-02,6.36,6.48,6.32,6.34,8700,6.27
2008-08-25,6.41,6.44,6.34,6.34,8300,6.27
2008-08-18,6.48,6.48,6.33,6.37,9900,6.30
2008-08-11,6.30,6.45,6.30,6.39,18800,6.32
2008-08-04,6.29,6.38,6.21,6.28,16600,6.21
2008-07-28,6.23,6.29,6.15,6.18,18800,6.11
2008-07-21,6.06,6.22,6.06,6.20,15700,6.13
2008-07-14,6.05,6.09,5.83,6.08,15700,6.01
2008-07-07,6.10,6.13,5.95,5.97,21300,5.90
2008-06-30,6.19,6.24,6.05,6.10,11400,6.03
2008-06-23,6.19,6.36,6.13,6.19,14900,6.12
2008-06-16,6.60,6.61,6.30,6.30,8800,6.23
2008-06-09,6.70,6.80,6.46,6.65,16700,6.58
2008-06-02,6.58,6.70,6.57,6.65,16900,6.58
2008-05-27,6.51,6.72,6.50,6.58,15000,6.51
2008-05-19,6.60,6.65,6.52,6.52,13300,6.45
2008-05-12,6.63,6.74,6.54,6.62,12300,6.55
2008-05-05,6.65,6.69,6.56,6.59,10200,6.52
2008-04-28,6.51,6.74,6.45,6.72,15500,6.65
2008-04-21,6.51,6.59,6.48,6.54,8400,6.47
2008-04-14,6.60,6.60,6.44,6.56,8900,6.49
2008-04-07,6.65,6.74,6.48,6.56,11500,6.49
2008-03-31,6.80,6.89,6.55,6.56,11900,6.49
2008-03-24,6.45,6.75,6.42,6.66,10800,6.59
2008-03-17,6.44,6.46,6.12,6.36,14600,6.29
2008-03-10,6.85,6.86,6.35,6.41,14800,6.34
2008-03-03,6.98,7.05,6.85,6.85,11300,6.77
2008-02-25,6.82,7.08,6.80,6.98,20300,6.90
2008-02-19,6.80,7.23,6.77,6.87,18000,6.79
2008-02-11,6.92,7.14,6.62,6.89,11400,6.81
2008-02-04,6.85,7.20,6.82,6.89,16500,6.81
2008-01-28,6.80,6.95,6.72,6.80,10300,6.72
2008-01-22,6.40,7.48,6.40,6.83,23200,6.75
2008-01-14,6.98,6.98,6.56,6.57,18800,6.50
2008-01-07,6.80,7.05,6.70,6.96,21900,6.88
2007-12-31,7.10,7.15,6.75,6.80,15900,6.72
2007-12-24,6.90,7.20,6.90,7.06,19100,6.98
2007-12-17,6.82,6.98,6.65,6.90,21200,6.82
2007-12-10,7.05,7.12,6.84,6.84,17300,6.71
2007-12-03,6.96,7.30,6.93,7.06,15400,6.93
2007-11-26,6.85,7.24,6.79,7.11,21600,6.98
2007-11-19,7.09,7.09,6.62,6.76,15700,6.64
2007-11-12,6.85,7.10,6.68,7.01,17700,6.88
2007-11-05,7.40,7.53,6.30,6.94,27300,6.81
2007-10-29,7.83,8.13,7.39,7.40,18700,7.26
2007-10-22,7.76,7.95,7.70,7.76,15800,7.62
2007-10-15,7.90,8.03,7.75,7.79,14400,7.65
2007-10-08,8.08,8.08,7.76,7.85,21200,7.70
2007-10-01,8.01,8.16,8.00,8.02,14800,7.87
2007-09-24,8.25,8.42,8.01,8.03,13400,7.88
2007-09-17,8.28,8.50,8.01,8.18,29000,8.03
2007-09-10,8.52,8.55,8.25,8.33,13100,8.18
2007-09-04,8.60,8.98,8.50,8.55,10500,8.39
2007-08-27,9.05,9.05,8.50,8.70,10500,8.54
2007-08-20,9.00,9.00,8.02,8.81,10800,8.65
2007-08-13,9.15,9.45,8.15,8.90,24000,8.74
2007-08-06,9.47,9.60,8.90,9.05,17800,8.88
2007-07-30,9.85,10.06,9.41,9.41,23200,9.24
2007-07-23,11.00,11.50,9.25,10.70,45300,10.50
2007-07-16,9.21,10.94,9.10,10.90,44000,10.70
2007-07-09,9.35,9.50,8.72,9.25,54200,9.08
2007-07-02,7.90,9.45,7.75,9.18,70200,9.01
2007-06-29,8.25,8.25,7.70,7.95,75600,7.80
