Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,11.68,12.19,11.47,12.03,133800,12.03
2012-05-14,12.21,12.55,11.57,11.62,1278500,11.62
2012-05-07,11.30,12.58,10.83,12.36,186700,12.36
2012-04-30,12.23,12.25,11.30,11.37,238800,11.37
2012-04-23,11.76,12.30,11.67,12.30,84900,12.30
2012-04-16,11.80,12.20,11.76,11.97,79200,11.97
2012-04-09,11.75,12.15,11.44,11.78,100200,11.78
2012-04-02,12.06,12.30,11.56,11.58,142300,11.58
2012-03-26,12.24,12.38,11.78,12.06,124800,12.06
2012-03-19,11.66,12.23,11.22,12.15,132800,12.15
2012-03-12,11.29,11.75,11.10,11.64,217600,11.64
2012-03-05,11.46,11.75,11.22,11.55,83800,11.55
2012-02-27,11.82,12.00,11.43,11.51,63200,11.51
2012-02-21,11.93,12.00,11.29,11.97,82900,11.97
2012-02-13,11.78,12.01,11.63,11.91,68100,11.91
2012-02-06,11.90,12.00,11.44,11.66,56600,11.66
2012-01-30,11.73,12.01,11.42,12.00,208600,12.00
2012-01-23,11.46,11.88,11.07,11.78,104300,11.78
2012-01-17,11.02,11.49,10.75,11.45,110900,11.45
2012-01-09,10.92,11.18,10.76,10.95,68800,10.95
2012-01-03,10.50,11.07,10.40,10.91,65500,10.91
2011-12-27,10.22,10.27,9.77,10.23,48200,10.23
2011-12-19,9.84,10.26,9.36,10.23,68000,10.23
2011-12-12,10.34,10.43,9.60,10.10,86000,10.10
2011-12-05,11.10,11.18,10.34,10.50,101400,10.50
2011-11-28,10.60,11.16,10.49,10.96,316200,10.96
2011-11-21,10.50,10.78,10.09,10.25,108800,10.25
2011-11-14,9.44,10.79,9.01,10.76,225300,10.76
2011-11-07,9.46,9.89,8.76,9.51,96000,9.51
2011-10-31,9.83,10.08,8.65,9.51,81200,9.51
2011-10-24,9.24,10.58,8.79,10.03,142600,10.03
2011-10-17,8.97,9.19,8.46,9.16,111100,9.16
2011-10-10,7.81,9.14,7.79,9.08,160900,9.08
2011-10-03,7.62,8.18,7.03,7.62,167300,7.62
2011-09-26,8.49,8.72,7.68,7.68,180500,7.68
2011-09-19,9.05,9.56,8.33,8.40,117700,8.40
2011-09-12,8.28,9.52,8.12,9.22,140800,9.22
2011-09-06,8.61,9.25,8.35,8.40,135600,8.40
2011-08-29,9.51,9.63,8.82,8.88,98500,8.88
2011-08-22,9.48,9.77,9.09,9.45,89900,9.45
2011-08-15,10.66,10.85,9.15,9.24,141400,9.24
2011-08-08,9.73,10.65,8.52,10.56,261300,10.56
2011-08-01,11.33,11.34,9.42,9.96,254700,9.96
2011-07-25,11.75,11.85,11.08,11.23,136800,11.23
2011-07-18,11.94,12.22,11.59,11.89,98500,11.89
