Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,0.84,0.90,0.60,0.70,5200,0.70
2012-05-14,0.85,0.89,0.72,0.72,2600,0.72
2012-05-07,0.88,0.88,0.77,0.77,3200,0.77
2012-04-30,0.87,0.89,0.78,0.88,3000,0.88
2012-04-23,0.85,0.90,0.76,0.76,13700,0.76
2012-04-16,0.86,0.99,0.80,0.85,5900,0.85
2012-04-09,1.00,1.02,0.96,1.00,4400,1.00
2012-04-02,0.87,1.18,0.79,1.00,15700,1.00
2012-03-26,0.66,1.14,0.63,0.88,13900,0.88
2012-03-19,0.84,0.84,0.65,0.65,14300,0.65
2012-03-12,0.79,0.90,0.73,0.79,17800,0.79
2012-03-05,0.70,0.79,0.70,0.71,4600,0.71
2012-02-27,0.79,0.80,0.66,0.78,3700,0.78
2012-02-21,0.70,0.79,0.56,0.79,17400,0.79
2012-02-13,0.74,0.74,0.61,0.68,5500,0.68
2012-02-06,0.69,0.71,0.64,0.64,3100,0.64
2012-01-30,0.69,0.70,0.58,0.69,3600,0.69
2012-01-23,0.69,0.70,0.53,0.57,2400,0.57
2012-01-17,0.67,0.69,0.61,0.69,2400,0.69
2012-01-09,0.66,0.68,0.61,0.61,900,0.61
2012-01-03,0.68,0.68,0.61,0.68,3900,0.68
2011-12-27,0.68,0.68,0.50,0.62,6900,0.62
2011-12-19,0.78,0.79,0.66,0.67,6100,0.67
2011-12-12,0.77,0.92,0.77,0.78,2300,0.78
2011-12-05,0.92,0.95,0.77,0.93,6600,0.93
2011-11-28,0.83,1.03,0.66,0.95,23100,0.95
2011-11-21,0.78,0.87,0.57,0.83,39800,0.83
2011-11-14,0.95,0.95,0.64,0.74,14300,0.74
2011-11-07,0.99,1.13,0.89,0.95,35800,0.95
2011-10-31,0.99,0.99,0.96,0.99,400,0.99
2011-10-24,0.86,1.05,0.85,0.99,3100,0.99
2011-10-17,0.99,1.05,0.99,1.02,600,1.02
2011-10-10,1.14,1.20,0.80,0.99,3600,0.99
2011-10-03,1.33,1.66,1.02,1.14,5500,1.14
2011-09-26,1.40,1.42,1.21,1.35,4200,1.35
2011-09-19,1.48,1.55,1.31,1.40,4100,1.40
2011-09-12,1.70,1.70,1.30,1.45,5000,1.45
2011-09-06,1.70,1.85,1.41,1.75,8500,1.75
2011-08-29,1.99,1.99,1.61,1.67,23800,1.67
2011-08-22,1.94,2.10,1.70,1.70,28500,1.70
2011-08-15,2.51,2.60,1.74,1.74,5700,1.74
2011-08-08,2.00,2.68,1.59,2.51,8300,2.51
2011-08-01,2.02,2.20,2.00,2.00,1500,2.00
2011-07-25,2.43,2.54,1.82,2.12,9700,2.12
2011-07-18,2.55,2.55,2.21,2.50,5100,2.50
2011-07-11,2.38,2.50,2.38,2.50,6000,2.50
2011-07-05,2.28,2.45,2.28,2.38,2900,2.38
2011-06-27,2.39,2.39,2.18,2.30,2600,2.30
2011-06-20,2.40,2.45,2.19,2.35,2200,2.35
2011-06-13,2.45,2.50,2.24,2.42,2300,2.42
2011-06-06,2.19,2.50,2.19,2.48,1400,2.48
2011-05-31,2.46,2.47,2.44,2.47,1100,2.47
2011-05-23,2.53,2.65,2.15,2.44,4500,2.44
2011-05-16,2.60,2.66,2.17,2.60,6200,2.60
2011-05-09,2.60,2.60,2.40,2.55,2700,2.55
2011-05-02,2.60,2.65,2.25,2.53,9100,2.53
2011-04-25,2.64,2.65,2.22,2.55,5400,2.55
2011-04-18,2.55,2.64,2.33,2.56,5000,2.56
2011-04-11,2.75,2.78,2.22,2.45,11900,2.45
2011-04-04,2.69,3.10,2.48,2.75,12400,2.75
2011-03-28,2.60,2.74,2.34,2.59,6300,2.59
2011-03-21,2.55,2.68,2.45,2.58,6900,2.58
2011-03-14,2.71,2.86,2.22,2.47,14500,2.47
2011-03-07,2.84,2.85,2.52,2.85,8600,2.85
2011-02-28,2.80,2.85,2.12,2.73,9300,2.73
2011-02-22,2.50,3.00,2.45,2.70,8400,2.70
2011-02-14,2.88,2.89,2.25,2.58,2100,2.58
2011-02-07,2.77,2.97,2.50,2.88,1000,2.88
2011-01-31,3.19,3.19,2.52,2.72,3600,2.72
2011-01-24,3.14,3.39,2.90,3.02,2800,3.02
2011-01-18,3.40,3.42,2.90,3.30,3000,3.30
2011-01-10,3.38,3.50,3.28,3.35,3200,3.35
2011-01-03,2.94,3.38,2.90,3.38,5500,3.38
2010-12-27,3.28,3.43,2.65,2.92,7200,2.92
2010-12-20,3.11,3.62,3.10,3.35,5700,3.35
2010-12-13,3.31,3.39,3.15,3.28,3400,3.28
2010-12-06,3.40,3.52,3.18,3.32,3600,3.32
2010-11-29,3.54,3.78,3.01,3.46,4800,3.46
2010-11-22,3.27,4.05,2.67,3.59,12700,3.59
2010-11-15,3.59,3.73,3.25,3.46,1500,3.46
2010-11-08,3.58,3.93,3.35,3.90,2800,3.90
