Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,26.14,26.14,26.14,26.14,100,26.14
2012-05-14,25.81,26.36,25.76,26.24,600,26.24
2012-05-07,26.00,26.39,25.89,26.02,1200,26.02
2012-04-30,25.77,26.20,25.75,26.20,600,26.20
2012-04-23,25.93,26.46,25.79,25.85,2800,25.85
2012-04-16,25.78,25.95,25.77,25.77,1200,25.77
2012-04-09,25.98,26.00,25.79,25.92,500,25.92
2012-04-02,25.85,25.95,25.85,25.85,700,25.85
2012-03-26,25.71,25.98,25.55,25.98,1300,25.98
2012-03-19,25.61,25.87,25.49,25.65,700,25.65
2012-03-12,25.72,25.72,25.60,25.61,700,25.61
2012-03-05,25.40,25.81,25.40,25.72,1800,25.72
2012-02-27,25.75,25.80,25.34,25.37,1200,25.37
2012-02-21,26.28,26.75,25.83,25.83,2800,25.83
2012-02-13,25.89,26.38,25.88,26.18,4500,25.28
2012-02-06,26.22,26.28,25.85,26.00,5300,25.10
2012-01-30,26.24,26.24,26.07,26.20,1900,25.30
2012-01-23,26.05,26.26,26.05,26.22,1100,25.32
2012-01-17,26.15,26.40,26.05,26.17,1700,25.27
2012-01-09,26.31,26.40,26.04,26.40,1200,25.49
2012-01-03,25.90,26.35,25.83,26.06,2500,25.16
2011-12-27,26.15,26.15,25.77,25.88,4400,24.99
2011-12-19,26.00,26.22,25.80,26.22,1900,25.32
2011-12-12,25.99,26.22,25.83,26.02,800,25.12
2011-12-05,26.04,26.25,25.65,26.04,2200,25.14
2011-11-28,25.73,26.09,25.63,25.95,2700,25.06
2011-11-21,25.82,26.07,25.61,25.82,1100,24.93
2011-11-14,25.71,25.93,25.46,25.80,800,24.91
2011-11-07,25.70,26.07,25.70,25.71,400,24.82
2011-10-31,26.10,26.10,25.64,25.67,200,24.79
2011-10-24,26.00,26.32,25.69,26.10,600,25.20
2011-10-17,26.19,26.19,25.57,26.13,400,25.23
2011-10-10,25.60,26.20,25.55,26.19,1300,25.29
2011-10-03,25.58,25.74,25.50,25.55,300,24.67
2011-09-26,25.76,26.29,25.58,25.58,200,24.70
2011-09-19,25.71,26.05,25.47,26.05,700,25.15
2011-09-12,25.40,25.89,25.35,25.88,1400,24.99
2011-09-06,25.39,26.08,25.32,25.32,2000,24.45
2011-08-29,25.53,26.15,25.51,25.90,1100,25.01
2011-08-22,26.20,26.40,25.57,25.60,600,24.72
2011-08-15,25.84,26.34,25.83,25.95,600,24.18
