Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,8.46,9.08,8.44,8.82,96900,8.82
2012-05-14,8.45,9.43,8.22,8.49,181300,8.49
2012-05-07,8.97,9.15,8.35,8.50,212800,8.50
2012-04-30,10.00,10.12,8.87,8.92,170900,8.92
2012-04-23,10.48,10.56,9.52,10.00,278300,10.00
2012-04-16,11.09,11.19,10.44,10.64,339400,10.64
2012-04-09,10.90,11.25,10.40,11.08,212800,11.08
2012-04-02,10.60,11.19,10.53,10.87,244100,10.87
2012-03-26,10.67,11.00,10.05,10.60,155900,10.60
2012-03-19,9.50,10.95,9.34,10.55,335800,10.55
2012-03-12,10.04,10.35,9.08,9.51,163500,9.51
2012-03-05,9.74,10.23,8.92,10.07,261700,10.07
2012-02-27,11.14,11.35,9.71,9.80,618400,9.80
2012-02-21,10.00,11.21,9.37,11.14,546600,11.14
2012-02-13,9.47,9.47,8.93,9.15,105400,9.15
2012-02-06,8.97,9.97,8.85,9.34,262400,9.34
2012-01-30,9.63,9.87,9.00,9.02,189800,9.02
2012-01-23,9.76,10.29,9.59,9.81,143700,9.81
2012-01-17,9.16,9.91,9.00,9.73,368300,9.73
2012-01-09,8.26,9.30,8.24,8.96,228100,8.96
2012-01-03,8.50,8.60,8.04,8.21,133900,8.21
2011-12-27,7.03,8.76,6.65,8.32,369400,8.32
2011-12-19,7.82,7.95,6.95,7.02,188200,7.02
2011-12-12,8.19,8.26,7.31,7.76,235500,7.76
2011-12-05,8.96,9.25,7.99,8.19,202600,8.19
2011-11-28,8.63,9.25,8.18,8.86,175700,8.86
2011-11-21,9.10,9.10,8.10,8.35,125000,8.35
2011-11-14,8.27,9.47,8.11,9.28,342400,9.28
2011-11-07,8.73,8.97,7.55,8.27,209600,8.27
2011-10-31,8.80,9.11,8.24,8.69,320000,8.69
2011-10-24,6.79,9.26,6.62,8.93,466300,8.93
2011-10-17,6.91,6.91,6.30,6.67,173600,6.67
2011-10-10,6.08,7.14,5.89,6.90,262500,6.90
2011-10-03,5.82,6.20,5.20,5.98,137600,5.98
2011-09-26,6.43,6.50,5.58,5.84,347000,5.84
2011-09-19,6.17,6.32,5.77,6.23,159700,6.23
2011-09-12,6.88,7.25,6.13,6.26,219900,6.26
2011-09-06,5.82,7.50,5.56,7.04,571900,7.04
2011-08-29,4.91,5.99,4.70,5.92,621400,5.92
2011-08-22,4.78,5.14,4.67,4.85,809200,4.85
2011-08-15,6.45,7.00,4.54,4.57,599100,4.57
2011-08-08,5.42,6.87,5.42,6.41,982300,6.41
2011-08-01,7.15,7.22,5.55,5.76,781000,5.76
2011-07-25,9.70,9.70,6.93,6.97,1638600,6.97
2011-07-18,10.26,11.54,10.06,10.56,386000,10.56
2011-07-11,10.14,10.40,9.76,10.40,415000,10.40
2011-07-05,9.00,10.35,8.78,10.34,271100,10.34
2011-06-27,10.30,10.45,9.00,9.06,384200,9.06
2011-06-20,9.80,10.50,9.34,10.40,620400,10.40
2011-06-13,8.31,11.30,8.14,9.82,1073300,9.82
2011-06-06,8.66,10.04,7.59,8.37,924400,8.37
2011-05-31,8.74,9.88,8.38,8.68,1379200,8.68
2011-05-23,9.68,9.68,7.68,8.39,2011000,8.39
2011-05-16,10.57,10.63,9.56,9.85,490600,9.85
2011-05-09,11.33,12.45,10.06,10.65,701100,10.65
2011-05-02,12.02,12.27,8.82,11.33,556900,11.33
2011-04-25,13.88,13.94,11.76,12.01,344700,12.01
2011-04-18,11.50,14.09,11.25,13.88,516100,13.88
2011-04-11,13.37,13.70,11.50,11.63,353400,11.63
2011-04-04,14.17,14.41,13.38,13.45,149000,13.45
2011-03-28,13.24,13.95,12.95,13.86,168800,13.86
2011-03-21,12.19,13.27,12.04,13.20,320600,13.20
2011-03-14,14.56,14.56,11.56,12.09,765100,12.09
2011-03-07,14.49,15.18,14.24,14.68,150500,14.68
2011-02-28,15.05,15.32,13.98,14.41,271400,14.41
2011-02-22,14.39,15.50,14.02,15.12,417400,15.12
2011-02-14,16.65,18.15,14.22,14.32,892200,14.32
2011-02-07,16.08,16.68,15.89,16.68,236000,16.68
2011-01-31,16.24,16.68,15.80,16.10,294800,16.10
2011-01-24,16.05,16.37,15.25,16.15,404800,16.15
2011-01-18,16.67,16.87,15.94,16.08,423300,16.08
2011-01-10,16.00,17.43,15.99,16.71,336500,16.71
2011-01-03,15.30,16.30,15.30,16.05,277900,16.05
2010-12-27,14.01,15.39,14.00,15.16,280800,15.16
2010-12-20,14.49,14.98,14.22,14.69,134000,14.69
2010-12-13,15.18,15.99,14.13,14.39,368800,14.39
2010-12-06,14.20,15.82,13.70,15.10,302800,15.10
2010-11-29,13.86,14.35,13.49,14.34,224500,14.34
2010-11-22,13.82,14.19,13.53,13.98,276800,13.98
2010-11-15,13.71,14.68,13.05,14.03,372700,14.03
2010-11-08,14.09,14.12,13.05,13.62,286900,13.62
2010-11-01,12.68,14.25,12.61,14.05,497400,14.05
2010-10-25,12.50,12.65,11.77,12.64,535100,12.64
2010-10-18,12.00,12.36,11.75,12.26,249700,12.26
2010-10-11,12.00,12.12,11.82,12.03,177600,12.03
2010-10-04,11.25,12.02,11.03,11.96,456600,11.96
2010-09-27,10.46,11.37,10.46,11.19,456000,11.19
2010-09-20,10.38,10.73,10.29,10.42,134200,10.42
2010-09-13,10.07,10.74,9.98,10.38,434600,10.38
2010-09-07,10.16,10.22,9.78,10.05,211900,10.05
2010-08-30,9.82,10.30,9.74,10.30,105100,10.30
2010-08-23,9.77,10.07,9.12,9.91,124100,9.91
2010-08-16,10.14,10.26,9.10,9.74,109400,9.74
2010-08-09,9.74,10.48,9.37,10.21,385100,10.21
2010-08-02,9.90,10.00,9.08,9.71,124000,9.71
2010-07-26,9.58,9.95,9.32,9.76,184000,9.76
2010-07-19,8.29,9.59,8.25,9.59,186000,9.59
2010-07-12,8.91,9.21,8.20,8.33,126200,8.33
2010-07-06,9.14,9.55,8.94,9.00,47200,9.00
2010-06-28,9.38,9.47,8.54,8.87,85800,8.87
2010-06-21,9.99,10.04,9.22,9.44,75300,9.44
2010-06-14,9.47,10.00,9.40,9.84,69600,9.84
2010-06-07,8.98,9.46,8.62,9.37,175500,9.37
2010-06-01,9.34,9.47,8.86,9.01,143200,9.01
2010-05-24,9.09,9.85,7.86,9.48,379000,9.48
2010-05-17,9.63,9.93,8.92,9.15,328000,9.15
