Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,27.66,27.70,27.59,27.59,300,27.59
2012-05-14,27.23,27.66,27.20,27.66,2400,27.66
2012-05-07,27.00,27.49,27.00,27.30,2400,27.30
2012-04-30,27.41,27.41,27.02,27.20,4300,27.20
2012-04-23,27.17,27.44,27.10,27.44,2600,27.44
2012-04-16,27.15,27.36,27.12,27.31,2100,27.31
2012-04-09,27.05,27.34,26.90,27.11,2400,27.11
2012-04-02,26.91,27.29,26.91,27.29,1500,27.29
2012-03-26,26.36,27.39,26.36,26.90,2100,26.90
2012-03-19,27.00,27.00,25.40,26.00,2600,26.00
2012-03-12,27.05,27.42,26.53,27.00,2500,27.00
2012-03-05,27.30,27.70,26.90,26.93,1300,26.43
2012-02-27,27.30,27.30,27.15,27.29,1000,26.79
2012-02-21,27.44,27.44,26.65,27.30,2400,26.80
2012-02-13,27.06,27.59,26.57,27.44,800,26.93
2012-02-06,26.51,27.25,26.27,27.05,2000,26.55
2012-01-30,26.65,26.70,26.05,26.68,1400,26.19
2012-01-23,26.43,26.70,25.85,26.42,1100,25.93
2012-01-17,26.48,26.69,25.72,26.59,2800,26.10
2012-01-09,26.01,26.48,25.51,26.48,3600,25.99
2012-01-03,26.04,26.38,25.95,26.38,1400,25.89
2011-12-27,25.95,26.05,25.58,26.05,500,25.57
2011-12-19,25.64,25.95,25.50,25.95,1200,25.47
2011-12-12,25.50,25.68,25.40,25.61,700,25.14
2011-12-05,25.34,25.69,25.30,25.51,700,25.04
2011-11-28,25.55,25.67,25.17,25.63,2000,25.16
2011-11-21,25.70,25.85,25.30,25.50,2400,25.03
2011-11-14,26.10,26.38,25.71,25.71,2100,25.24
2011-11-07,25.87,26.30,25.54,25.65,1300,24.71
2011-10-31,26.25,26.34,25.87,25.87,1000,24.92
2011-10-24,25.31,26.30,25.31,26.19,1600,25.23
2011-10-17,25.45,25.60,25.13,25.47,1700,24.53
2011-10-10,25.05,25.85,25.01,25.45,1900,24.51
2011-10-03,26.20,26.20,24.85,25.00,2400,24.08
2011-09-26,25.99,26.70,25.03,26.18,3800,25.22
2011-09-19,25.97,25.98,24.23,25.50,3800,24.56
2011-09-12,26.00,26.00,25.25,25.75,900,24.80
2011-09-06,26.10,26.43,25.56,25.56,1500,24.62
2011-08-29,25.80,26.50,25.40,26.38,2000,25.41
2011-08-22,25.65,26.50,25.65,25.89,1100,24.94
2011-08-15,25.02,26.70,24.70,25.65,3400,24.71
2011-08-08,25.10,25.65,21.79,24.75,12800,23.39
2011-08-01,26.20,26.77,24.65,25.76,2500,24.34
2011-07-25,26.30,26.33,25.80,25.80,1800,24.38
2011-07-18,26.36,26.90,26.04,26.30,2400,24.85
2011-07-11,26.56,26.95,26.14,26.55,2500,25.09
2011-07-05,26.50,26.85,26.50,26.74,1900,25.27
2011-06-27,26.49,26.50,26.00,26.50,1500,25.04
2011-06-20,25.85,26.45,25.85,26.08,400,24.65
2011-06-13,25.40,26.25,25.26,26.25,2400,24.81
2011-06-06,25.90,26.24,25.40,25.44,7200,24.04
2011-05-31,25.70,26.14,25.69,26.00,2000,24.57
2011-05-23,26.83,27.21,25.45,25.62,6400,24.21
2011-05-16,25.75,26.72,25.63,26.21,4200,24.77
2011-05-09,25.69,26.18,25.35,25.75,3100,23.88
2011-05-02,25.60,25.99,25.51,25.89,1700,24.01
2011-04-25,25.72,25.75,25.40,25.53,2900,23.68
2011-04-18,25.45,25.74,24.56,25.69,4900,23.83
2011-04-11,25.68,25.70,25.25,25.70,2400,23.84
2011-04-04,25.31,25.85,25.17,25.30,2800,23.47
2011-03-28,26.00,26.03,25.16,25.27,4800,23.44
2011-03-21,25.98,26.20,25.37,26.20,2400,24.30
2011-03-14,26.40,26.90,25.35,26.02,3900,24.13
2011-03-07,26.32,26.70,26.32,26.50,100,24.12
2011-02-28,26.75,27.20,26.12,26.90,1000,24.49
2011-02-22,26.34,26.70,25.90,26.70,4700,24.30
2011-02-14,26.18,26.70,26.00,26.70,1600,24.30
2011-02-07,26.12,26.69,25.91,26.02,1500,23.69
2011-01-31,25.50,26.70,25.42,25.95,3100,23.62
2011-01-24,25.74,25.80,25.50,25.72,1000,23.41
2011-01-18,25.96,25.96,24.78,25.65,4500,23.35
2011-01-10,25.87,26.70,25.76,25.96,3100,23.63
2011-01-03,26.23,26.70,25.75,25.86,1800,23.54
2010-12-27,26.60,26.70,25.77,26.24,1400,23.89
2010-12-20,25.55,26.35,25.55,26.35,2400,23.99
2010-12-13,25.25,26.15,25.21,26.00,6700,23.67
2010-12-06,25.35,25.50,25.00,25.15,2400,22.89
2010-11-29,25.70,26.00,25.15,25.99,2500,23.66
2010-11-22,25.42,25.75,25.16,25.70,1000,23.39
2010-11-15,25.50,25.75,25.41,25.75,3300,23.44
2010-11-08,25.49,25.93,25.37,25.60,1800,22.86
2010-11-01,25.26,25.90,25.02,25.90,3000,23.13
2010-10-25,25.89,25.89,25.18,25.34,900,22.63
2010-10-18,25.57,25.98,25.41,25.41,1300,22.69
2010-10-11,25.15,25.98,25.15,25.45,4000,22.72
2010-10-04,25.30,25.35,25.05,25.24,2400,22.54
2010-09-27,25.03,26.00,24.72,25.18,4000,22.48
2010-09-20,26.00,26.15,25.38,25.99,5100,23.21
2010-09-13,25.17,26.00,25.09,25.75,3500,22.99
2010-09-07,24.85,25.99,24.45,25.96,6700,23.18
