Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,18.14,18.81,18.09,18.78,97500,18.78
2012-05-14,19.25,19.35,18.00,18.02,99100,18.02
2012-05-07,19.20,19.59,19.02,19.44,87000,19.44
2012-04-30,19.14,19.25,19.01,19.23,106400,19.11
2012-04-23,18.67,19.13,18.67,19.06,169800,18.94
2012-04-16,18.48,18.81,18.37,18.75,127300,18.63
2012-04-09,17.92,18.41,17.92,18.38,150900,18.26
2012-04-02,17.73,18.27,17.72,18.15,146700,17.92
2012-03-26,17.80,18.08,17.75,17.80,102100,17.57
2012-03-19,17.81,17.93,17.65,17.73,91400,17.50
2012-03-12,18.11,18.28,17.80,17.90,83200,17.67
2012-03-05,18.44,18.45,17.71,18.13,128500,17.90
2012-02-27,18.53,18.96,18.37,18.49,99300,18.14
2012-02-21,18.40,18.59,18.24,18.52,67400,18.17
2012-02-13,18.15,18.32,18.00,18.31,86700,17.96
2012-02-06,17.98,18.22,17.96,18.18,111100,17.83
2012-01-30,18.05,18.24,17.94,17.95,135400,17.50
2012-01-23,17.90,18.20,17.81,18.13,137600,17.67
2012-01-17,17.50,17.91,17.31,17.86,94900,17.41
2012-01-09,17.35,17.71,17.19,17.59,67000,17.15
2012-01-03,17.21,17.34,17.05,17.33,56700,16.89
2011-12-27,17.07,17.50,17.00,17.07,59100,16.64
2011-12-19,16.93,17.30,16.73,17.15,79400,16.61
2011-12-12,16.82,16.93,16.45,16.84,65700,16.31
2011-12-05,17.08,17.25,16.85,16.94,46100,16.41
2011-11-28,16.92,17.22,16.60,17.01,70400,16.37
2011-11-21,16.82,16.99,16.47,16.76,58000,16.13
2011-11-14,17.22,17.57,16.92,16.96,53700,16.32
2011-11-07,17.22,17.62,17.15,17.21,64000,16.56
2011-10-31,17.19,17.49,16.90,17.31,63700,16.55
2011-10-24,16.94,17.60,16.92,17.31,80800,16.55
2011-10-17,16.76,17.15,16.69,16.98,68700,16.24
2011-10-10,16.57,16.98,16.14,16.69,82500,15.96
2011-10-03,16.06,16.59,15.17,16.51,88900,15.68
2011-09-26,16.54,17.13,16.12,16.14,66900,15.33
2011-09-19,16.84,17.14,16.38,16.41,65700,15.59
