Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.61,14.85,14.00,14.19,75700,14.19
2012-05-14,15.97,16.10,14.42,14.62,154400,14.62
2012-05-07,14.84,16.18,14.84,16.00,270000,16.00
2012-04-30,14.04,15.25,13.86,14.98,130000,14.98
2012-04-23,14.14,14.26,13.76,14.02,74100,14.02
2012-04-16,14.57,14.64,13.83,14.29,129700,14.29
2012-04-09,14.69,14.98,14.35,14.56,84300,14.56
2012-04-02,14.90,15.20,14.37,14.95,136700,14.95
2012-03-26,15.46,15.53,14.89,15.02,85100,15.02
2012-03-19,15.53,15.75,14.82,15.37,96200,15.37
2012-03-12,15.60,16.43,15.32,15.61,354300,15.61
2012-03-05,15.40,16.00,15.00,15.70,266100,15.70
2012-02-27,12.08,15.97,12.00,15.81,352500,15.81
2012-02-21,11.71,12.25,11.20,12.08,77500,12.08
2012-02-13,11.49,11.90,11.34,11.78,79000,11.78
2012-02-06,11.42,11.80,11.09,11.42,55900,11.42
2012-01-30,11.53,11.70,11.20,11.53,72200,11.53
2012-01-23,11.35,11.97,11.01,11.72,133200,11.72
2012-01-17,10.60,11.59,10.33,11.33,128700,11.33
2012-01-09,10.11,11.10,9.90,10.41,97300,10.41
2012-01-03,9.54,10.43,9.26,10.00,50300,10.00
2011-12-27,9.20,9.40,9.01,9.23,98600,9.23
2011-12-19,9.80,9.85,9.04,9.31,111300,9.31
2011-12-12,10.77,11.00,9.69,9.82,103500,9.82
2011-12-05,11.61,11.62,10.50,11.01,47800,11.01
2011-11-28,11.84,12.27,11.05,11.51,114800,11.51
2011-11-21,11.85,11.95,10.62,11.39,109700,11.39
2011-11-14,11.62,12.69,11.50,12.14,123100,12.14
2011-11-07,12.20,12.37,11.38,11.88,91200,11.88
2011-10-31,12.64,12.98,11.50,12.17,75900,12.17
2011-10-24,11.00,13.58,11.00,13.01,200000,13.01
2011-10-17,10.90,11.09,10.23,10.95,75200,10.95
2011-10-10,9.03,11.09,8.91,10.97,98100,10.97
2011-10-03,8.60,9.77,8.02,8.75,259500,8.75
2011-09-26,10.31,10.82,8.79,8.79,219000,8.79
2011-09-19,11.05,11.57,10.01,10.30,121800,10.30
2011-09-12,9.64,11.47,9.64,11.47,88000,11.47
2011-09-06,9.88,10.49,9.55,9.80,120100,9.80
2011-08-29,9.98,11.22,9.74,10.15,179200,10.15
2011-08-22,9.86,10.17,9.26,9.86,110800,9.86
2011-08-15,10.86,12.80,8.98,9.49,778700,9.49
2011-08-08,11.02,11.51,10.25,10.62,838900,10.62
2011-08-01,14.00,14.12,11.66,11.71,272000,11.71
2011-07-25,14.39,14.67,13.63,13.87,185600,13.87
2011-07-18,13.36,14.70,13.00,14.45,175700,14.45
2011-07-11,14.54,15.35,13.27,13.45,147300,13.45
