Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,74.51,78.18,73.71,76.83,2233000,76.83
2012-05-14,77.55,78.10,74.20,74.53,1665100,74.53
2012-05-07,79.62,81.76,78.23,78.32,1856300,78.32
2012-04-30,82.98,85.18,79.60,80.23,4027900,80.23
2012-04-23,89.24,89.97,86.20,87.82,1550300,87.82
2012-04-16,88.66,90.81,86.43,90.00,1225400,90.00
2012-04-09,90.32,90.32,87.66,88.61,1104500,88.61
2012-04-02,92.49,92.55,90.13,91.27,1526800,91.27
2012-03-26,85.66,93.36,85.05,92.48,2182700,92.48
2012-03-19,86.24,87.76,84.68,85.91,1379100,85.67
2012-03-12,86.63,88.41,85.69,86.64,1246900,86.39
2012-03-05,86.83,88.26,85.17,87.06,1223100,86.81
2012-02-27,89.24,91.60,86.85,87.24,2543900,86.99
2012-02-21,90.49,93.00,87.65,89.00,2134300,88.75
2012-02-13,86.02,89.72,85.52,88.61,1957300,88.36
2012-02-06,87.35,87.72,84.04,85.74,2786000,85.50
2012-01-30,87.37,93.00,86.76,90.12,1847100,89.86
2012-01-23,92.29,93.63,84.55,88.26,2675000,88.01
2012-01-17,95.75,96.46,90.95,92.15,1570100,91.89
2012-01-09,92.98,94.99,91.78,94.71,1223000,94.44
2012-01-03,89.21,94.85,87.78,92.25,2005800,91.99
2011-12-27,89.70,90.95,87.37,87.61,749800,87.36
2011-12-19,84.71,89.86,84.42,89.60,822300,89.10
2011-12-12,86.49,88.23,84.38,84.75,1542700,84.27
2011-12-05,90.04,90.76,85.24,86.85,1401800,86.36
2011-11-28,83.19,90.00,82.88,89.11,1460700,88.61
2011-11-21,84.13,85.16,80.89,80.89,885500,80.44
2011-11-14,87.51,89.22,83.94,85.12,1438000,84.64
2011-11-07,87.01,88.33,84.96,88.11,1675700,87.62
2011-10-31,82.75,87.32,82.01,86.58,3173500,86.09
2011-10-24,79.09,82.81,78.73,80.35,2264100,79.90
2011-10-17,74.71,76.33,71.60,76.29,1399100,75.86
2011-10-10,71.38,75.82,71.12,75.17,1501900,74.75
2011-10-03,72.72,72.72,65.20,70.11,2506800,69.72
2011-09-26,77.81,80.64,72.69,72.73,1862000,72.32
2011-09-19,78.26,79.80,72.57,77.08,2188300,76.41
2011-09-12,71.66,79.53,71.21,79.40,1852500,78.71
2011-09-06,71.83,77.34,71.36,72.46,1103800,71.83
2011-08-29,74.21,78.81,73.33,74.18,1413500,73.53
2011-08-22,71.32,73.74,68.58,73.29,1853300,72.65
2011-08-15,75.10,76.05,69.45,69.76,2083600,69.15
2011-08-08,69.23,75.45,65.50,74.21,3912900,73.56
2011-08-01,78.69,78.76,68.75,70.92,4609700,70.30
2011-07-25,79.18,80.05,71.27,74.58,2506100,73.93
2011-07-18,80.33,80.97,78.53,79.59,1253600,78.89
2011-07-11,80.08,82.27,79.48,80.55,1113700,79.85
2011-07-05,83.30,84.32,79.82,80.82,1560200,80.11
2011-06-27,80.50,83.22,79.67,83.12,1164400,82.39
2011-06-20,77.09,83.40,77.09,80.38,1570200,79.43
2011-06-13,78.22,80.25,77.17,77.51,1157200,76.59
2011-06-06,77.14,80.81,76.61,78.19,1498600,77.27
2011-05-31,79.86,80.83,78.00,78.02,1344600,77.10
2011-05-23,79.13,79.80,76.69,79.40,1867000,78.46
2011-05-16,78.08,80.42,77.35,79.79,1451100,78.85
2011-05-09,77.04,79.60,76.65,78.33,1548400,77.41
2011-05-02,76.55,77.28,72.50,76.95,1810700,76.04
2011-04-25,72.32,77.80,71.80,76.12,2026700,75.22
2011-04-18,70.13,74.65,69.21,72.34,1299700,71.49
2011-04-11,69.95,71.40,69.18,70.78,1515800,69.94
2011-04-04,70.00,71.08,69.33,70.13,1417400,69.30
2011-03-28,66.29,70.33,65.53,69.99,1459400,69.16
2011-03-21,65.64,67.13,64.06,66.08,1091900,65.30
2011-03-14,63.99,65.94,62.02,64.91,1907700,64.14
2011-03-07,64.62,65.00,62.30,64.45,1383500,63.69
2011-02-28,66.49,66.82,62.65,64.56,2442800,63.80
2011-02-22,63.95,67.00,61.28,62.60,2623500,61.86
2011-02-14,58.35,61.92,57.70,61.44,1781400,60.71
2011-02-07,59.17,60.44,57.80,58.31,2138200,57.62
2011-01-31,58.24,64.21,57.77,60.54,2444800,59.83
2011-01-24,58.06,60.41,57.50,58.18,1502400,57.49
2011-01-18,57.59,59.39,57.39,58.01,2080900,57.33
2011-01-10,56.60,59.48,55.68,59.35,1839800,58.65
2011-01-03,55.06,57.59,54.57,56.83,1404800,56.16
2010-12-27,55.19,55.37,54.35,54.74,599800,54.09
2010-12-20,55.44,56.06,54.61,55.43,1160800,54.78
2010-12-13,56.62,57.80,54.24,55.36,1687300,54.71
2010-12-06,57.04,57.30,55.85,56.51,1218300,55.84
2010-11-29,56.21,57.81,54.94,57.04,1858700,56.37
2010-11-22,55.73,58.68,55.12,56.79,2420400,56.12
2010-11-15,59.45,59.62,54.57,56.03,2578400,55.37
2010-11-08,59.22,60.31,58.20,59.20,1129000,58.50
2010-11-01,59.25,61.33,57.81,59.56,2491600,58.86
2010-10-25,57.21,58.40,56.02,58.29,1748100,57.60
2010-10-18,54.96,57.14,53.77,56.97,2024100,56.30
2010-10-11,51.12,55.31,50.85,54.84,2613500,54.19
2010-10-04,50.07,51.01,49.00,50.85,1784200,50.25
2010-09-27,50.15,50.75,49.75,50.13,2064300,49.54
2010-09-20,50.77,51.47,49.48,50.25,2344100,49.66
2010-09-13,52.94,53.55,50.29,50.37,2033500,49.78
2010-09-07,50.76,52.93,50.32,52.78,1195300,52.16
2010-08-30,48.94,51.08,47.21,51.08,1364600,50.48
2010-08-23,48.65,49.34,47.21,48.94,1444200,48.36
2010-08-16,49.04,50.33,47.92,48.51,1537200,47.94
2010-08-09,50.94,51.24,48.00,49.33,1845200,48.75
2010-08-02,48.41,50.78,47.31,50.61,2085700,50.01
2010-07-26,46.05,47.87,45.36,47.02,1751000,46.46
2010-07-19,45.86,47.07,45.42,46.02,1506000,45.48
2010-07-12,46.05,47.47,45.55,45.66,1638200,45.12
2010-07-06,44.86,46.35,43.97,46.20,1527100,45.65
2010-06-28,48.15,48.39,43.59,44.34,1702000,43.82
2010-06-21,49.79,50.16,47.51,48.10,1735800,47.53
2010-06-14,48.22,49.57,48.04,49.25,1757300,48.67
2010-06-07,47.65,48.20,45.74,47.95,2163300,47.38
2010-06-01,45.65,49.27,45.36,47.39,1952700,46.83
2010-05-24,44.44,46.39,43.30,46.05,1692600,45.51
2010-05-17,45.71,47.21,43.17,44.71,2259800,44.18
2010-05-10,45.56,46.69,44.79,45.75,2472300,45.21
2010-05-03,45.81,47.12,43.27,44.35,3020500,43.83
2010-04-26,46.92,47.61,43.21,45.72,4179600,45.18
2010-04-19,43.67,45.83,43.65,45.53,2867500,44.99
2010-04-12,44.99,45.15,43.05,43.93,3041700,43.41
2010-04-05,47.03,48.44,44.58,45.13,2521700,44.60
2010-03-29,47.35,47.71,46.52,46.92,1749000,46.37
2010-03-22,49.56,50.63,47.02,47.20,2144500,46.64
2010-03-15,48.03,50.84,46.83,50.00,2685800,49.41
2010-03-08,48.25,49.18,47.54,47.97,1539600,47.40
2010-03-01,47.64,48.47,46.18,48.14,1787100,47.57
2010-02-22,45.81,48.00,45.70,47.33,2866500,46.77
2010-02-16,46.34,47.30,45.07,45.35,2407800,44.81
2010-02-08,46.99,48.34,45.43,45.95,2309300,45.41
2010-02-01,48.00,50.37,45.65,47.02,3793500,46.46
2010-01-25,50.89,51.41,47.81,48.62,3513300,48.05
2010-01-19,49.30,52.66,49.30,51.00,8360900,50.40
2010-01-11,47.48,48.99,45.32,48.51,2585600,47.94
2010-01-04,44.43,48.69,44.43,47.51,2334900,46.95
2009-12-28,45.31,45.67,43.78,43.89,1190100,43.37
2009-12-21,44.21,46.20,44.16,45.44,2258900,44.90
2009-12-14,42.10,44.57,41.96,43.53,2908700,43.02
2009-12-07,40.93,42.60,40.10,41.84,2911000,41.35
2009-11-30,41.99,42.81,40.15,40.31,2094900,39.83
2009-11-23,40.95,42.26,40.50,41.73,1325900,41.24
2009-11-16,41.43,42.21,39.76,40.44,1850600,39.96
2009-11-09,40.35,41.97,39.96,41.10,1867300,40.61
2009-11-02,35.81,40.55,35.78,40.45,3001100,39.97
2009-10-26,37.62,39.25,35.80,37.58,2822600,37.14
2009-10-19,37.26,38.85,36.94,37.54,2200400,37.10
2009-10-12,37.56,38.83,36.87,36.95,3024100,36.51
2009-10-05,36.99,38.39,35.66,37.29,2991000,36.85
2009-09-28,37.62,39.28,35.98,36.68,3298600,36.25
2009-09-21,38.91,40.24,37.16,37.60,2209500,37.16
2009-09-14,39.55,41.00,38.46,39.89,2338700,39.42
2009-09-08,38.19,39.90,36.44,39.49,3277400,39.02
2009-08-31,35.88,38.18,35.08,37.79,2083600,37.34
2009-08-24,36.49,37.59,35.82,36.23,1968700,35.80
2009-08-17,33.91,36.85,33.91,36.05,2474800,35.62
2009-08-10,33.36,35.00,33.25,34.69,2006500,34.28
2009-08-03,34.68,34.68,31.92,33.50,2620300,33.10
2009-07-27,30.94,34.43,30.71,32.85,2816900,32.46
2009-07-20,29.13,31.58,28.40,31.53,2104300,31.16
2009-07-13,30.39,31.05,27.54,28.98,4283300,28.64
2009-07-06,30.99,33.04,30.14,30.36,3499400,30.00
2009-06-29,31.70,33.19,30.93,31.18,2679000,30.81
2009-06-22,31.13,32.52,29.16,31.71,2487100,31.34
2009-06-15,29.17,32.63,27.75,31.59,3621100,31.22
2009-06-08,30.85,30.95,28.29,29.41,2705000,29.06
2009-06-01,31.54,32.91,30.05,30.96,2194700,30.59
2009-05-26,30.38,32.24,29.56,31.33,1809700,30.96
2009-05-18,31.81,32.23,30.16,30.43,1942100,30.07
2009-05-11,31.88,33.10,29.97,31.58,2700600,31.21
2009-05-04,29.19,32.88,28.21,32.62,3556100,32.23
2009-04-27,28.90,30.33,28.02,28.92,5465600,28.58
2009-04-20,28.55,29.70,26.85,27.36,3561600,27.04
2009-04-13,29.83,30.10,27.70,28.95,4312100,28.61
