Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,5.99,6.00,5.43,5.77,1900,5.77
2012-05-14,6.00,6.30,5.88,5.99,2900,5.99
2012-05-07,6.35,6.58,5.85,6.10,4500,6.10
2012-04-30,6.12,6.85,5.80,6.52,10500,6.52
2012-04-23,5.20,6.30,5.10,6.09,33500,6.09
2012-04-16,4.80,4.89,4.55,4.89,3800,4.89
2012-04-09,4.87,4.89,4.47,4.80,4800,4.80
2012-04-02,5.02,5.14,4.82,4.90,2400,4.90
2012-03-26,4.89,5.16,4.70,5.13,6300,5.13
2012-03-19,5.43,5.46,4.82,4.94,5400,4.94
2012-03-12,5.46,5.60,5.39,5.43,4200,5.43
2012-03-05,5.60,5.70,5.30,5.43,2700,5.43
2012-02-27,5.78,5.94,5.49,5.52,5900,5.52
2012-02-21,5.54,5.83,5.50,5.65,4600,5.65
2012-02-13,5.78,5.80,5.50,5.52,3200,5.52
2012-02-06,5.85,5.97,5.51,5.77,4100,5.77
2012-01-30,5.72,5.97,5.40,5.89,4000,5.89
2012-01-23,5.84,5.91,5.42,5.80,3400,5.80
2012-01-17,5.42,5.93,5.42,5.83,8300,5.83
2012-01-09,5.20,5.43,5.15,5.21,5800,5.21
2012-01-03,5.23,5.43,5.06,5.28,7900,5.28
2011-12-27,5.32,5.71,5.21,5.25,9300,5.25
2011-12-19,5.35,5.72,5.21,5.42,6200,5.42
2011-12-12,5.30,5.68,5.21,5.36,4000,5.36
2011-12-05,5.36,5.66,5.26,5.40,3700,5.40
2011-11-28,6.08,6.08,5.38,5.38,4300,5.38
2011-11-21,5.79,6.07,5.43,6.00,8500,6.00
2011-11-14,6.25,6.27,5.39,5.55,3300,5.55
2011-11-07,6.00,6.38,5.76,6.25,6800,6.25
2011-10-31,6.00,6.62,5.44,5.91,9500,5.91
2011-10-24,6.40,6.95,5.90,6.01,11200,6.01
2011-10-17,6.23,6.63,6.03,6.43,6700,6.43
2011-10-10,5.47,5.95,5.35,5.68,2100,5.68
2011-10-03,5.90,5.90,5.18,5.46,7300,5.46
2011-09-26,6.10,6.43,5.91,5.91,6300,5.91
2011-09-19,6.50,6.55,5.62,6.09,9800,6.09
2011-09-12,6.22,6.47,6.04,6.41,4700,6.41
2011-09-06,5.99,6.46,5.95,6.15,9700,6.15
2011-08-29,5.98,6.50,5.57,6.21,7000,6.21
2011-08-22,5.01,5.94,5.01,5.61,8000,5.61
2011-08-15,4.91,5.51,4.91,5.11,6400,5.11
2011-08-08,5.12,5.12,4.54,4.95,18400,4.95
2011-08-01,6.33,6.66,5.02,5.20,17500,5.20
2011-07-25,6.64,6.68,6.02,6.17,8300,6.17
2011-07-18,6.46,6.82,6.17,6.66,6800,6.66
2011-07-11,6.98,6.98,6.15,6.36,9300,6.36
2011-07-05,6.98,7.04,6.82,6.95,6400,6.95
2011-06-27,6.58,7.06,5.95,6.88,25200,6.88
2011-06-20,6.20,7.10,5.96,6.70,21400,6.70
2011-06-13,5.15,6.90,5.04,6.26,67400,6.26
2011-06-06,5.49,5.49,5.00,5.09,14100,5.09
2011-05-31,5.50,5.52,5.07,5.36,15000,5.36
2011-05-23,5.01,5.52,5.00,5.07,11200,5.07
2011-05-16,5.50,5.75,5.17,5.19,12600,5.19
2011-05-09,5.05,5.58,5.00,5.28,16200,5.28
2011-05-02,5.42,5.68,4.85,5.07,12900,5.07
2011-04-25,4.88,5.54,4.71,5.44,18800,5.44
2011-04-18,5.62,5.62,4.86,4.88,21900,4.88
2011-04-11,5.80,5.95,5.07,5.70,44400,5.70
2011-04-04,7.40,7.40,5.56,5.59,58300,5.59
2011-03-28,4.56,8.25,4.50,6.96,168700,6.96
2011-03-21,4.54,4.63,4.44,4.55,5600,4.55
2011-03-14,4.81,4.81,4.49,4.54,9800,4.54
2011-03-07,5.00,5.00,4.51,4.79,13300,4.79
2011-02-28,4.99,5.00,4.82,4.93,8400,4.93
2011-02-22,4.86,5.02,4.75,4.91,17500,4.91
2011-02-14,4.90,5.03,4.74,4.86,17800,4.86
2011-02-07,4.70,5.00,4.61,4.85,22900,4.85
2011-01-31,4.26,4.73,4.22,4.51,8500,4.51
2011-01-24,4.80,4.82,4.32,4.32,16500,4.32
2011-01-18,4.49,5.25,4.42,4.84,47800,4.84
2011-01-10,4.39,4.45,4.07,4.43,18400,4.43
2011-01-03,3.75,4.65,3.67,4.40,39800,4.40
2010-12-27,3.61,3.82,3.50,3.76,21700,3.76
2010-12-20,3.50,3.66,3.50,3.57,9200,3.57
2010-12-13,3.75,3.93,3.33,3.55,18500,3.55
2010-12-06,3.70,3.82,3.57,3.80,16200,3.80
2010-11-29,3.70,3.84,3.61,3.72,5600,3.72
2010-11-22,3.75,3.79,3.69,3.70,3100,3.70
2010-11-15,3.88,3.91,3.65,3.75,5100,3.75
2010-11-08,3.67,3.86,3.59,3.73,13600,3.73
2010-11-01,3.91,3.97,3.63,3.74,9000,3.74
2010-10-25,4.15,4.20,3.80,3.86,11000,3.86
2010-10-18,3.61,4.18,3.55,4.16,26000,4.16
2010-10-11,3.52,3.68,3.13,3.62,9900,3.62
2010-10-04,3.92,3.92,3.44,3.54,18800,3.54
2010-09-27,3.95,4.07,3.92,3.92,4400,3.92
2010-09-20,3.99,4.05,3.90,3.95,5500,3.95
2010-09-13,3.97,4.30,3.91,4.06,8300,4.06
2010-09-07,3.89,4.29,3.88,4.02,4800,4.02
2010-08-30,4.10,4.17,3.82,3.95,6800,3.95
2010-08-23,4.16,4.24,3.80,4.03,8000,4.03
2010-08-16,4.02,4.28,4.02,4.14,13000,4.14
2010-08-09,3.96,4.40,3.91,4.11,51800,4.11
2010-08-02,3.85,4.40,3.79,4.00,30000,4.00
2010-07-26,3.08,3.88,3.00,3.85,46200,3.85
2010-07-19,4.00,4.00,3.02,3.07,23900,3.07
2010-07-12,3.87,4.20,3.74,3.98,15100,3.98
2010-07-06,3.85,4.07,3.73,4.00,5600,4.00
2010-06-28,4.10,4.23,3.70,3.90,7500,3.90
2010-06-21,3.92,4.21,3.81,4.03,4300,4.03
2010-06-14,3.83,4.06,3.75,3.89,7800,3.89
2010-06-07,4.12,4.23,3.76,3.85,5900,3.85
2010-06-01,4.35,4.50,4.11,4.26,7100,4.26
2010-05-24,4.05,4.29,3.76,4.24,8900,4.24
2010-05-17,4.34,4.69,4.00,4.03,9600,4.03
2010-05-10,4.45,4.72,4.12,4.40,14300,4.40
2010-05-03,4.76,4.83,4.15,4.19,11300,4.19
2010-04-26,4.53,4.85,4.35,4.75,22000,4.75
2010-04-19,4.99,4.99,4.20,4.51,59300,4.51
2010-04-12,4.99,5.06,4.67,4.91,9100,4.91
2010-04-05,5.00,5.16,4.83,5.00,13900,5.00
2010-03-29,5.71,5.71,4.61,4.80,41200,4.80
2010-03-22,7.39,7.50,5.50,5.71,42300,5.71
2010-03-15,5.80,7.75,5.46,6.19,24000,6.19
2010-03-08,0.23,6.12,0.23,5.90,20000,5.90
2010-03-01,0.25,0.25,0.23,0.24,16500,6.00
2010-02-22,0.23,0.30,0.22,0.23,39300,5.75
2010-02-16,0.25,0.25,0.22,0.23,11600,5.75
2010-02-08,0.32,0.32,0.21,0.23,52100,5.75
2010-02-01,0.36,0.37,0.32,0.34,9200,8.50
2010-01-25,0.36,0.38,0.36,0.36,6300,9.00
2010-01-19,0.38,0.40,0.36,0.36,22500,9.00
2010-01-11,0.44,0.45,0.38,0.39,47400,9.75
2010-01-04,0.39,0.54,0.38,0.47,29300,11.75
2009-12-28,0.39,0.41,0.36,0.37,15000,9.25
2009-12-21,0.40,0.40,0.36,0.39,8500,9.75
2009-12-14,0.40,0.42,0.38,0.41,9500,10.25
2009-12-07,0.42,0.44,0.39,0.42,8200,10.50
2009-11-30,0.63,0.63,0.41,0.43,5700,10.75
2009-11-23,0.41,0.45,0.39,0.41,4500,10.25
2009-11-16,0.41,0.45,0.40,0.41,5300,10.25
2009-11-09,0.47,0.47,0.39,0.44,7600,11.00
2009-11-02,0.46,0.47,0.41,0.47,9300,11.75
2009-10-26,0.57,0.57,0.42,0.47,20600,11.75
2009-10-19,0.63,0.65,0.54,0.57,18200,14.25
2009-10-12,0.64,0.69,0.60,0.63,22200,15.75
2009-10-05,0.55,0.64,0.54,0.62,19600,15.50
2009-09-28,0.60,0.69,0.54,0.56,40600,14.00
2009-09-21,0.50,0.63,0.49,0.59,48600,14.75
2009-09-14,0.51,0.54,0.49,0.50,10800,12.50
2009-09-08,0.50,0.55,0.49,0.51,12000,12.75
2009-08-31,0.51,0.55,0.48,0.50,14000,12.50
2009-08-24,0.52,0.54,0.49,0.50,8100,12.50
2009-08-17,0.48,0.59,0.45,0.50,21200,12.50
2009-08-10,0.56,0.58,0.49,0.49,10300,12.25
2009-08-03,0.51,0.54,0.50,0.54,6500,13.50
2009-07-27,0.50,0.56,0.48,0.51,13200,12.75
2009-07-20,0.51,0.51,0.45,0.47,6700,11.75
2009-07-13,0.50,0.54,0.48,0.51,9500,12.75
2009-07-06,0.52,0.52,0.45,0.50,8100,12.50
2009-06-29,0.50,0.55,0.50,0.51,6500,12.75
2009-06-22,0.57,0.61,0.49,0.51,8300,12.75
2009-06-15,0.65,0.70,0.55,0.58,9700,14.50
2009-06-08,0.51,0.75,0.51,0.65,35400,16.25
2009-06-01,0.54,0.61,0.50,0.55,9000,13.75
2009-05-26,0.53,0.59,0.50,0.57,8400,14.25
2009-05-18,0.47,0.52,0.47,0.50,11300,12.50
2009-05-11,0.55,0.65,0.44,0.47,29800,11.75
2009-05-04,0.52,0.56,0.44,0.55,20800,13.75
2009-04-27,0.47,0.52,0.42,0.48,20200,12.00
2009-04-20,0.45,0.45,0.40,0.44,13900,11.00
2009-04-13,0.45,0.58,0.42,0.45,21000,11.25
2009-04-06,0.44,0.45,0.41,0.45,5100,11.25
2009-03-30,0.42,0.45,0.39,0.44,6800,11.00
2009-03-23,0.40,0.51,0.37,0.45,13300,11.25
2009-03-16,0.33,0.42,0.33,0.40,5900,10.00
2009-03-09,0.33,0.34,0.29,0.31,5300,7.75
2009-03-02,0.35,0.37,0.30,0.30,4500,7.50
2009-02-23,0.42,0.42,0.32,0.35,6400,8.75
2009-02-17,0.41,0.45,0.36,0.39,4100,9.75
2009-02-09,0.45,0.46,0.40,0.41,4300,10.25
2009-02-02,0.46,0.46,0.42,0.45,3200,11.25
2009-01-26,0.45,0.49,0.42,0.45,4300,11.25
2009-01-20,0.45,0.48,0.42,0.43,4600,10.75
2009-01-12,0.52,0.54,0.45,0.48,5300,12.00
2009-01-05,0.49,0.63,0.44,0.52,15400,13.00
2008-12-29,0.36,0.50,0.35,0.47,10500,11.75
2008-12-22,0.40,0.40,0.32,0.36,10400,9.00
2008-12-15,0.43,0.45,0.38,0.38,7600,9.50
2008-12-08,0.42,0.47,0.40,0.43,5800,10.75
2008-12-01,0.49,0.49,0.42,0.42,3600,10.50
2008-11-24,0.50,0.50,0.44,0.46,4500,11.50
2008-11-17,0.57,0.58,0.39,0.45,9900,11.25
2008-11-10,0.81,0.81,0.53,0.54,9800,13.50
2008-11-03,0.57,0.82,0.57,0.63,16500,15.75
2008-10-27,0.60,0.60,0.52,0.55,5600,13.75
2008-10-20,0.68,0.69,0.51,0.55,7800,13.75
2008-10-13,0.64,0.71,0.55,0.63,9400,15.75
2008-10-06,0.75,0.78,0.52,0.60,18600,15.00
2008-09-29,1.00,1.13,0.78,0.82,23500,20.50
2008-09-22,0.66,0.95,0.60,0.90,22100,22.50
2008-09-15,0.88,0.88,0.55,0.69,21400,17.25
2008-09-08,1.10,1.17,0.82,0.90,28200,22.50
2008-09-02,1.30,1.31,1.03,1.10,28000,27.50
2008-08-25,1.40,1.40,1.25,1.28,16600,32.00
2008-08-18,1.23,1.41,1.12,1.33,36600,33.25
2008-08-11,1.40,1.40,1.08,1.21,38900,30.25
2008-08-04,1.43,1.63,1.32,1.40,22500,35.00
2008-07-28,1.41,1.58,1.36,1.43,33500,35.75
2008-07-21,1.51,1.65,1.30,1.34,43000,33.50
2008-07-14,1.89,2.05,1.46,1.48,61400,37.00
2008-07-07,1.73,1.88,1.30,1.88,128300,47.00
2008-06-30,1.52,2.45,1.46,1.72,280600,43.00
2008-06-23,1.10,1.47,1.09,1.47,81000,36.75
2008-06-16,0.79,1.12,0.79,1.06,29000,26.50
2008-06-09,0.85,0.85,0.75,0.78,9100,19.50
2008-06-02,0.89,0.93,0.81,0.83,9100,20.75
2008-05-27,0.93,0.94,0.78,0.87,16800,21.75
2008-05-19,0.98,0.98,0.88,0.94,16900,23.50
2008-05-12,0.72,0.94,0.70,0.93,27300,23.25
2008-05-05,0.68,0.75,0.65,0.72,23100,18.00
2008-04-28,0.55,0.67,0.51,0.66,11300,16.50
2008-04-21,0.55,0.55,0.50,0.54,19700,13.50
2008-04-14,0.52,0.56,0.50,0.54,16100,13.50
2008-04-07,0.64,0.66,0.50,0.51,27700,12.75
2008-03-31,0.57,0.61,0.53,0.61,9900,15.25
2008-03-24,0.53,0.57,0.51,0.55,9700,13.75
2008-03-17,0.60,0.60,0.51,0.51,9000,12.75
2008-03-10,0.63,0.65,0.56,0.58,9900,14.50
2008-03-03,0.56,0.63,0.52,0.61,21600,15.25
2008-02-25,0.51,0.60,0.51,0.57,6800,14.25
2008-02-19,0.61,0.62,0.52,0.53,8200,13.25
2008-02-11,0.66,0.66,0.60,0.60,5100,15.00
2008-02-04,0.60,0.68,0.59,0.63,9500,15.75
2008-01-28,0.60,0.62,0.57,0.59,10800,14.75
2008-01-22,0.59,0.62,0.49,0.58,38300,14.50
2008-01-14,0.94,0.97,0.57,0.60,30600,15.00
2008-01-07,1.04,1.04,0.94,0.94,4400,23.50
2007-12-31,0.96,1.07,0.93,0.99,9800,24.75
2007-12-24,0.97,1.01,0.90,1.00,9900,25.00
2007-12-17,1.05,1.05,0.95,0.98,10900,24.50
2007-12-10,1.09,1.10,1.01,1.02,6300,25.50
2007-12-03,1.06,1.11,1.01,1.07,6900,26.75
2007-11-26,1.01,1.19,1.00,1.06,9300,26.50
2007-11-19,1.15,1.15,0.91,1.03,12900,25.75
2007-11-12,1.22,1.29,1.10,1.15,5800,28.75
2007-11-05,1.25,1.36,1.21,1.21,9000,30.25
2007-10-29,1.20,1.39,1.18,1.24,9300,31.00
2007-10-22,1.24,1.27,1.16,1.20,7100,30.00
2007-10-15,1.24,1.34,1.20,1.22,16200,30.50
2007-10-08,1.24,1.30,1.20,1.24,10800,31.00
2007-10-01,1.33,1.42,1.23,1.24,12300,31.00
2007-09-24,1.34,1.42,1.22,1.42,11600,35.50
2007-09-17,1.11,1.42,1.11,1.34,13600,33.50
2007-09-10,1.15,1.16,1.10,1.13,6800,28.25
2007-09-04,1.17,1.19,1.14,1.16,5400,29.00
2007-08-27,1.16,1.19,1.11,1.16,6100,29.00
2007-08-20,1.22,1.29,1.15,1.18,4200,29.50
2007-08-13,1.40,1.41,1.12,1.22,8000,30.50
2007-08-06,1.27,1.40,1.10,1.34,11800,33.50
2007-07-30,1.31,1.39,1.30,1.31,6100,32.75
2007-07-23,1.55,1.55,1.32,1.33,12700,33.25
2007-07-16,1.60,1.65,1.54,1.58,12400,39.50
2007-07-09,1.37,1.60,1.36,1.56,20400,39.00
2007-07-02,1.32,1.37,1.30,1.36,9000,34.00
2007-06-25,1.27,1.36,1.18,1.28,10900,32.00
2007-06-18,1.30,1.30,1.25,1.28,6400,32.00
2007-06-11,1.25,1.32,1.18,1.26,15100,31.50
2007-06-04,1.08,1.28,1.06,1.22,19600,30.50
2007-05-29,1.08,1.10,1.00,1.07,11300,26.75
2007-05-21,1.07,1.11,1.04,1.08,13400,27.00
2007-05-14,0.85,1.09,0.85,1.06,26800,26.50
2007-05-07,0.90,0.90,0.85,0.88,17400,22.00
2007-04-30,0.87,0.90,0.85,0.90,7500,22.50
2007-04-23,0.91,0.95,0.84,0.87,23700,21.75
2007-04-16,0.94,0.97,0.90,0.92,23300,23.00
2007-04-09,0.92,0.95,0.91,0.94,11000,23.50
2007-04-02,0.94,0.99,0.90,0.92,19800,23.00
2007-03-26,1.03,1.15,0.94,0.95,37500,23.75
2007-03-19,1.05,1.10,0.94,1.03,25900,25.75
2007-03-12,1.10,1.10,1.01,1.05,11600,26.25
2007-03-05,1.09,1.13,1.02,1.09,13500,27.25
2007-02-26,1.30,1.33,1.07,1.10,18900,27.50
2007-02-20,1.14,1.29,1.10,1.29,40100,32.25
2007-02-12,1.05,1.14,1.02,1.13,30900,28.25
2007-02-05,1.03,1.07,1.01,1.02,26500,25.50
2007-01-29,1.03,1.12,1.00,1.02,25400,25.50
2007-01-22,1.10,1.18,1.00,1.04,56000,26.00
2007-01-16,1.20,1.22,1.07,1.09,40000,27.25
2007-01-08,1.26,1.28,1.15,1.20,28400,30.00
2007-01-03,1.32,1.33,1.24,1.25,20300,31.25
2006-12-26,1.26,1.34,1.21,1.27,35900,31.75
2006-12-18,1.39,1.41,1.25,1.26,29500,31.50
2006-12-11,1.40,1.40,1.30,1.36,15000,34.00
2006-12-04,1.46,1.48,1.36,1.39,16600,34.75
2006-11-27,1.58,1.59,1.40,1.49,12500,37.25
2006-11-20,1.45,1.57,1.36,1.54,16900,38.50
2006-11-13,1.48,1.50,1.37,1.42,17500,35.50
2006-11-06,1.37,1.71,1.36,1.56,34900,39.00
2006-10-30,1.39,1.42,1.33,1.37,9600,34.25
2006-10-23,1.46,1.48,1.36,1.38,10600,34.50
2006-10-16,1.37,1.47,1.35,1.43,12700,35.75
2006-10-09,1.30,1.44,1.30,1.36,18200,34.00
2006-10-02,1.36,1.38,1.21,1.30,29100,32.50
2006-09-25,1.40,1.41,1.22,1.36,52600,34.00
2006-09-18,1.66,1.67,1.31,1.38,33900,34.50
2006-09-11,1.78,1.80,1.64,1.67,30900,41.75
2006-09-05,1.83,1.92,1.75,1.79,16600,44.75
2006-08-28,1.75,1.89,1.71,1.81,22500,45.25
2006-08-21,1.74,1.74,1.65,1.72,19000,43.00
2006-08-14,1.75,1.79,1.63,1.70,31400,42.50
2006-08-07,1.79,2.00,1.62,1.76,22300,44.00
2006-07-31,1.89,1.97,1.73,1.77,18900,44.25
2006-07-24,1.68,2.14,1.61,2.00,15100,50.00
2006-07-17,1.95,1.99,1.62,1.62,17600,40.50
2006-07-10,2.48,2.48,1.87,1.94,26200,48.50
2006-07-03,2.46,2.66,2.36,2.36,15100,59.00
2006-06-26,2.78,2.78,2.32,2.45,27600,61.25
2006-06-19,3.00,3.06,2.67,2.76,9000,69.00
2006-06-12,2.96,3.05,2.56,2.90,15600,72.50
2006-06-05,3.37,3.48,2.86,2.99,9400,74.75
2006-05-30,3.26,3.45,3.25,3.41,7000,85.25
2006-05-22,3.24,3.27,2.81,3.22,15200,80.50
2006-05-15,3.50,3.50,3.13,3.17,16100,79.25
2006-05-08,4.00,4.02,3.35,3.38,17000,84.50
2006-05-01,3.98,4.36,3.88,4.00,25000,100.00
2006-04-24,3.75,4.26,3.63,3.93,39200,98.25
2006-04-17,3.46,3.75,3.46,3.64,15500,91.00
2006-04-10,3.51,3.56,3.28,3.48,9500,87.00
2006-04-03,3.52,3.61,3.40,3.55,8300,88.75
2006-03-27,3.85,4.02,3.11,3.48,36100,87.00
2006-03-20,3.71,3.99,3.55,3.88,7600,97.00
2006-03-13,3.49,3.84,3.40,3.63,10900,90.75
2006-03-06,4.23,4.23,3.42,3.45,12500,86.25
2006-02-27,4.02,4.30,3.96,4.17,14200,104.25
2006-02-21,4.18,4.22,3.87,3.96,15100,99.00
2006-02-13,3.97,4.17,3.84,4.10,10000,102.50
2006-02-06,4.14,4.18,3.92,4.01,10000,100.25
2006-01-30,3.71,4.40,3.67,4.08,50600,102.00
2006-01-23,3.79,3.95,3.47,3.65,23400,91.25
2006-01-17,3.15,3.76,3.11,3.58,30200,89.50
2006-01-09,2.82,3.29,2.72,3.11,24400,77.75
2006-01-03,3.14,3.19,2.83,2.86,14900,71.50
2005-12-27,2.80,3.21,2.70,3.13,24700,78.25
2005-12-19,2.69,3.00,2.50,2.88,18700,72.00
2005-12-12,2.88,2.94,2.68,2.71,10900,67.75
2005-12-05,2.79,2.86,2.65,2.84,9900,71.00
2005-11-28,2.74,2.93,2.62,2.77,9300,69.25
2005-11-21,2.90,2.90,2.73,2.75,9300,68.75
2005-11-14,2.91,3.00,2.84,2.88,9100,72.00
2005-11-07,3.05,3.05,2.57,2.94,27800,73.50
2005-10-31,3.12,3.34,2.94,3.05,18200,76.25
2005-10-24,3.00,3.09,2.84,3.05,10100,76.25
2005-10-17,3.11,3.27,2.79,2.99,20200,74.75
2005-10-10,3.56,3.58,3.03,3.08,17600,77.00
2005-10-03,3.97,4.10,3.51,3.53,19200,88.25
2005-09-26,3.68,4.01,3.62,3.89,10400,97.25
2005-09-19,3.80,3.97,3.61,3.64,10900,91.00
2005-09-12,4.17,4.30,3.75,3.86,17800,96.50
2005-09-06,3.76,4.26,3.70,4.22,25300,105.50
2005-08-29,3.52,4.17,3.49,3.75,35100,93.75
2005-08-22,3.40,3.78,3.27,3.49,19700,87.25
2005-08-15,3.73,3.74,3.20,3.34,14600,83.50
2005-08-08,3.37,3.72,3.31,3.70,18900,92.50
2005-08-01,3.64,3.73,3.26,3.36,11800,84.00
2005-07-25,3.29,3.72,3.25,3.61,19200,90.25
2005-07-18,3.24,3.43,3.21,3.32,7200,83.00
2005-07-11,3.38,3.53,3.25,3.29,14900,82.25
2005-07-05,3.55,3.55,3.33,3.39,7100,84.75
2005-06-27,3.71,3.79,3.50,3.58,13900,89.50
2005-06-20,3.94,3.98,3.68,3.77,11800,94.25
