Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,26.55,27.24,26.55,27.22,1400,27.22
2012-05-14,27.25,27.91,26.55,26.55,2200,26.55
2012-05-07,27.59,27.82,27.13,27.31,1300,27.31
2012-04-30,27.30,28.09,27.03,27.95,3100,27.95
2012-04-23,27.07,28.09,26.79,27.40,4500,27.40
2012-04-16,26.62,26.99,26.62,26.95,700,26.95
2012-04-09,26.35,26.82,26.33,26.77,1500,26.77
2012-04-02,26.51,26.85,26.33,26.72,2800,26.72
2012-03-26,26.32,26.90,26.32,26.51,1700,26.51
2012-03-19,26.52,26.77,25.77,26.51,2100,26.51
2012-03-12,26.57,26.85,26.49,26.51,3200,26.51
2012-03-05,26.72,27.05,26.51,26.57,2800,26.57
2012-02-27,26.91,27.19,26.73,26.86,1900,26.86
2012-02-21,26.90,27.10,26.68,27.08,2200,27.08
2012-02-13,26.92,27.10,26.30,26.66,3200,26.66
2012-02-06,26.95,27.19,26.25,26.84,3000,26.84
2012-01-30,26.41,27.41,26.16,26.98,3900,26.98
2012-01-23,26.16,26.55,26.01,26.54,3300,26.54
2012-01-17,26.37,26.60,25.79,26.53,7200,26.53
2012-01-09,27.57,28.00,26.57,26.57,4300,26.57
2012-01-03,26.69,28.29,26.67,27.88,3600,27.88
2011-12-27,26.67,26.70,26.20,26.67,1800,26.67
2011-12-19,26.30,26.74,26.20,26.70,1500,26.70
2011-12-12,26.68,26.75,26.19,26.50,2900,26.50
2011-12-05,26.40,27.18,26.40,26.75,2000,26.75
2011-11-28,27.23,27.30,26.25,26.81,3800,26.81
2011-11-21,26.45,26.90,26.21,26.78,2900,25.98
2011-11-14,26.98,26.98,26.00,26.48,3700,25.69
2011-11-07,26.98,26.98,26.48,26.86,1300,26.06
2011-10-31,26.86,26.97,26.40,26.97,900,26.17
2011-10-24,26.88,26.90,26.16,26.82,1200,26.02
2011-10-17,26.46,26.87,26.25,26.87,2100,26.07
2011-10-10,26.25,26.70,26.10,26.20,1400,25.42
2011-10-03,26.37,26.88,26.00,26.50,1900,25.71
2011-09-26,26.29,26.29,25.42,26.10,5400,25.32
2011-09-19,26.42,27.00,25.75,26.75,1800,25.95
2011-09-12,26.00,26.25,26.00,26.06,2400,25.28
2011-09-06,25.67,26.00,25.15,26.00,4300,25.23
2011-08-29,25.72,26.05,25.50,25.88,2300,25.11
2011-08-22,26.06,26.47,25.73,25.97,1500,25.20
2011-08-15,26.40,26.50,25.65,26.33,800,25.55
2011-08-08,25.38,26.48,25.20,26.40,3400,25.61
2011-08-01,25.70,25.88,25.32,25.88,1800,25.11
2011-07-25,25.69,25.86,25.50,25.53,1500,24.77
2011-07-18,25.94,25.96,25.62,25.63,2300,24.87
2011-07-11,25.80,25.96,25.61,25.95,2000,25.18
2011-07-05,25.95,25.95,25.70,25.79,1400,25.02
2011-06-27,25.87,25.95,25.75,25.94,600,25.17
2011-06-20,25.64,26.20,25.40,25.82,2600,25.05
2011-06-13,25.64,25.89,25.52,25.53,2300,24.77
2011-06-06,25.54,25.92,25.53,25.88,1400,25.11
2011-05-31,25.60,25.79,25.48,25.53,1700,24.77
2011-05-23,26.38,26.75,25.40,25.54,3800,24.78
2011-05-16,26.13,26.63,26.13,26.32,2600,24.76
2011-05-09,26.36,26.59,26.13,26.29,1600,24.73
2011-05-02,26.47,26.75,26.12,26.32,1500,24.76
2011-04-25,26.50,26.75,26.15,26.29,2300,24.73
2011-04-18,26.25,26.50,26.06,26.44,1100,24.88
2011-04-11,25.95,26.26,25.81,26.26,800,24.71
2011-04-04,26.02,26.24,26.00,26.00,1600,24.46
2011-03-28,26.07,26.44,25.78,26.07,2500,24.53
2011-03-21,25.85,26.19,25.76,26.19,1200,24.64
2011-03-14,25.98,26.52,25.78,25.93,1400,24.40
2011-03-07,25.74,26.00,25.66,25.85,2800,24.32
2011-02-28,25.93,26.22,25.93,25.94,1000,24.41
2011-02-22,25.96,25.96,25.65,25.89,2600,24.36
2011-02-14,25.96,26.29,25.78,25.98,1600,24.44
2011-02-07,26.00,26.17,25.61,25.95,2100,24.41
2011-01-31,26.30,26.65,25.69,26.60,2800,25.03
2011-01-24,25.48,26.24,25.21,26.24,4500,24.69
2011-01-18,25.44,25.50,25.15,25.39,3000,23.89
2011-01-10,25.61,25.68,25.37,25.62,2500,24.10
2011-01-03,25.57,25.64,25.40,25.51,1600,24.00
2010-12-27,25.24,26.15,25.21,25.56,4300,24.05
2010-12-20,25.53,25.56,25.16,25.49,2900,23.98
2010-12-13,25.76,25.83,25.50,25.75,2100,24.23
2010-12-06,25.90,25.97,25.56,25.60,2300,24.09
2010-11-29,25.99,25.99,25.53,25.75,3800,24.23
2010-11-22,26.64,26.65,25.61,25.61,1300,24.09
2010-11-15,26.63,26.94,26.62,26.64,1500,24.31
2010-11-08,26.58,26.91,26.51,26.70,2200,24.37
2010-11-01,26.75,27.00,26.58,26.60,2100,24.27
2010-10-25,26.96,26.96,26.55,26.59,1900,24.27
2010-10-18,26.84,27.00,26.81,26.96,5600,24.60
2010-10-11,26.88,26.99,26.60,26.84,5000,24.49
2010-10-04,26.38,26.76,26.34,26.71,6700,24.38
2010-09-27,26.92,27.10,26.62,26.62,4900,24.29
2010-09-20,26.32,27.20,26.32,27.14,6100,24.77
2010-09-13,26.24,26.49,26.05,26.31,4500,24.01
2010-09-07,26.42,26.64,26.17,26.17,4300,23.88
2010-08-30,26.35,26.49,26.35,26.36,2300,24.06
2010-08-23,26.12,26.38,25.93,26.38,2400,24.07
2010-08-16,26.17,26.27,25.95,26.10,2100,23.82
2010-08-09,26.41,26.50,25.77,26.15,6700,23.86
2010-08-02,26.25,26.85,26.21,26.41,4100,24.10
2010-07-26,26.30,26.40,26.16,26.33,1600,24.03
2010-07-19,26.27,26.92,26.10,26.42,2800,24.11
2010-07-12,26.28,26.40,25.96,26.29,4300,23.99
2010-07-06,26.24,26.39,26.10,26.31,2500,24.01
2010-06-28,26.17,26.30,26.00,26.01,3000,23.74
2010-06-21,26.17,26.38,25.88,26.35,4800,24.05
2010-06-14,26.53,26.54,26.15,26.15,5200,23.86
2010-06-07,26.11,26.54,26.07,26.54,2500,24.22
2010-06-01,25.66,26.24,25.65,25.86,7400,23.60
2010-05-24,26.00,26.14,25.20,25.44,5300,23.22
2010-05-17,26.06,26.25,25.81,26.05,4500,23.04
2010-05-10,25.76,26.23,25.60,26.01,4700,23.01
2010-05-03,25.80,25.92,24.19,25.30,6500,22.38
2010-04-26,25.80,25.80,25.50,25.70,3900,22.73
2010-04-19,25.96,25.99,25.77,25.77,1800,22.80
2010-04-12,25.92,25.99,25.77,25.77,4400,22.80
2010-04-05,25.91,26.08,25.83,25.91,1300,22.92
2010-03-29,25.83,26.04,25.83,25.97,1900,22.97
2010-03-22,26.10,26.10,25.86,25.91,2700,22.92
2010-03-15,25.91,26.14,25.71,26.10,3700,23.09
2010-03-08,25.95,26.20,25.86,25.94,5600,22.95
2010-03-01,25.96,26.18,25.83,26.05,2600,23.04
2010-02-22,25.97,26.25,25.88,25.97,3300,22.97
2010-02-16,25.66,26.03,25.66,26.00,3900,23.00
2010-02-08,25.87,26.12,25.65,25.82,4000,22.84
2010-02-01,26.22,26.25,25.62,26.00,7300,23.00
2010-01-25,26.13,26.56,26.01,26.17,3900,23.15
2010-01-19,26.93,27.13,26.19,26.23,3600,23.20
2010-01-11,25.93,27.46,25.93,26.70,4400,23.62
2010-01-04,26.23,26.61,25.91,26.03,2800,23.03
2009-12-28,25.99,26.24,25.86,26.18,700,23.16
2009-12-21,25.74,26.23,25.67,25.99,5800,22.99
