Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.16,3.20,3.00,3.10,20700,3.10
2012-05-14,3.05,3.25,2.99,3.17,38400,3.17
2012-05-07,3.52,3.52,2.95,3.06,74200,3.06
2012-04-30,3.56,4.35,3.46,3.54,165200,3.54
2012-04-23,2.35,3.98,2.25,3.63,258600,3.63
2012-04-16,2.30,2.39,2.25,2.35,22800,2.35
2012-04-09,2.24,2.39,2.13,2.32,34100,2.32
2012-04-02,2.21,2.37,2.15,2.27,43900,2.27
2012-03-26,1.84,2.59,1.81,2.20,131000,2.20
2012-03-19,1.84,1.95,1.78,1.82,47700,1.82
2012-03-12,1.68,1.89,1.55,1.87,44900,1.87
2012-03-05,1.53,1.69,1.51,1.67,27300,1.67
2012-02-27,1.60,1.63,1.51,1.57,14100,1.57
2012-02-21,1.64,1.67,1.55,1.60,11800,1.60
2012-02-13,1.56,1.70,1.55,1.66,11500,1.66
2012-02-06,1.61,1.71,1.52,1.57,29400,1.57
2012-01-30,1.69,1.74,1.45,1.66,44400,1.66
2012-01-23,1.55,1.85,1.55,1.67,19900,1.67
2012-01-17,1.45,1.97,1.35,1.55,101000,1.55
2012-01-09,1.40,1.50,1.35,1.41,21000,1.41
2012-01-03,1.31,1.42,1.30,1.39,12600,1.39
2011-12-27,1.32,1.43,1.30,1.33,46500,1.33
2011-12-19,1.35,1.38,1.25,1.33,21800,1.33
2011-12-12,1.42,1.45,1.29,1.37,22000,1.37
2011-12-05,1.40,1.50,1.36,1.43,14600,1.43
2011-11-28,1.44,1.59,1.28,1.44,29000,1.44
2011-11-21,1.51,1.64,1.38,1.41,17900,1.41
2011-11-14,1.50,1.75,1.50,1.53,18100,1.53
2011-11-07,1.74,1.74,1.25,1.58,79100,1.58
2011-10-31,1.87,1.88,1.63,1.75,33700,1.75
2011-10-24,1.86,1.94,1.79,1.89,25300,1.89
2011-10-17,1.81,1.98,1.80,1.87,23500,1.87
2011-10-10,1.83,1.92,1.78,1.88,7500,1.88
2011-10-03,1.87,1.92,1.63,1.78,23900,1.78
2011-09-26,1.89,1.98,1.81,1.92,14300,1.92
2011-09-19,1.89,1.98,1.79,1.96,9200,1.96
2011-09-12,1.90,2.00,1.87,1.87,12900,1.87
2011-09-06,1.92,2.01,1.83,1.94,13200,1.94
2011-08-29,1.99,2.06,1.89,1.96,22800,1.96
2011-08-22,1.91,2.05,1.76,1.99,17100,1.99
2011-08-15,2.00,2.06,1.75,1.80,31100,1.80
2011-08-08,1.91,2.12,1.75,1.94,58400,1.94
2011-08-01,2.32,2.32,1.92,2.10,50500,2.10
2011-07-25,2.25,2.38,1.96,2.18,47100,2.18
2011-07-18,2.26,2.38,2.11,2.28,34200,2.28
2011-07-11,2.45,2.52,2.25,2.27,42100,2.27
2011-07-05,2.02,2.87,2.00,2.49,163200,2.49
2011-06-27,1.90,2.07,1.80,2.07,24400,2.07
2011-06-20,1.92,2.10,1.78,1.87,47700,1.87
2011-06-13,1.88,2.09,1.85,1.92,61800,1.92
2011-06-06,2.32,2.33,1.69,1.90,115200,1.90
2011-05-31,2.48,2.60,2.32,2.33,48700,2.33
2011-05-23,2.50,2.58,2.35,2.48,36500,2.48
2011-05-16,2.98,2.98,2.50,2.51,98400,2.51
2011-05-09,2.76,3.10,2.50,2.99,117100,2.99
2011-05-02,2.99,3.05,2.56,2.76,126000,2.76
2011-04-25,3.04,3.16,2.85,3.00,97300,3.00
2011-04-18,3.25,3.44,3.01,3.09,79600,3.09
2011-04-11,3.51,3.51,3.08,3.31,88500,3.31
2011-04-04,3.23,3.84,3.19,3.46,185300,3.46
2011-03-28,3.15,3.34,3.15,3.26,122000,3.26
2011-03-21,3.30,3.44,2.85,3.14,171400,3.14
